POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA6012,81,162,401,417,484,335,161,29,3,2068,0,0,3,0,8,0,0,0,0,11,0,3,21,17,11,3,0,0,0,57,6,4,9,10,9,10,0,0,0,40,0,0,0,7,0,0,0,0,0,7,0,0,5,12,5,0,0,0,0,30,0,0,0,6,5,4,3,0,0,19,25,34,35,18,26,28,7,0,0,167,22,34,40,20,16,6,0,0,0,144,0,3,10,3,6,6,0,0,0,25,0,3,13,3,7,0,0,0,0,26,0,3,14,18,19,3,7,0,0,61,0,0,7,11,12,9,5,0,0,45,0,19,52,45,57,25,11,0,0,207,0,4,24,14,12,4,0,0,0,59,0,9,26,24,23,17,9,0,0,94,11,25,64,59,110,77,28,3,0,365,6,27,98,90,98,73,38,0,0,441,3,8,13,7,8,7,3,0,0,59,0,4,17,13,14,6,6,0,0,63
POA6014,194,453,1116,1252,1176,833,204,37,4,5275,0,0,3,3,3,7,5,0,0,19,0,3,38,48,38,14,0,0,0,141,14,6,25,17,22,17,3,0,0,99,0,0,12,7,9,3,0,0,0,35,0,3,29,43,30,21,4,0,0,127,0,9,15,17,26,3,3,0,0,64,73,78,99,59,59,39,11,0,0,417,81,76,60,27,22,11,3,0,0,282,0,3,9,22,16,4,3,0,0,57,7,12,19,12,8,7,0,0,0,64,0,3,35,33,28,13,6,0,0,123,3,0,18,20,22,12,5,3,0,81,7,29,118,161,147,62,10,3,0,534,0,15,77,39,33,14,3,0,0,187,3,6,64,75,82,43,5,0,0,283,19,44,123,155,209,175,32,0,0,754,8,95,262,290,263,212,55,3,0,1191,10,18,17,24,28,11,3,0,0,113,8,25,41,22,32,22,9,0,0,155
POA6015,93,155,131,231,478,342,97,41,8,1580,0,0,0,0,3,0,3,5,0,13,0,0,4,15,13,0,3,0,0,33,8,0,3,3,8,3,0,0,0,26,0,0,0,0,3,3,0,0,0,7,0,0,3,9,14,3,0,0,0,32,0,0,3,3,10,5,0,0,0,16,31,33,5,21,28,14,0,3,0,136,32,24,5,10,7,6,0,0,0,86,0,3,0,0,5,7,3,0,0,16,0,0,3,0,6,3,0,0,0,10,0,3,3,4,16,7,0,4,0,41,0,0,5,0,20,6,9,3,0,43,0,11,23,28,45,29,6,0,0,151,0,0,3,8,15,7,3,0,0,38,0,0,7,9,23,10,0,0,0,56,9,15,17,32,77,51,11,5,0,219,7,25,20,61,98,59,14,0,0,286,9,7,0,3,9,3,0,0,0,36,3,8,3,3,13,9,4,3,0,40
POA6016,69,192,784,687,550,345,74,3,0,2698,0,0,0,0,3,0,0,0,0,3,0,0,50,36,14,5,0,0,0,107,9,8,15,10,7,0,0,0,0,54,0,0,9,8,7,0,0,0,0,28,0,8,21,11,20,0,0,0,0,57,0,0,12,12,4,3,0,0,0,28,32,46,70,36,31,17,9,0,0,230,33,39,60,21,7,4,0,0,0,174,0,3,14,4,0,3,0,0,0,30,0,0,9,12,13,3,0,0,0,37,0,7,20,40,26,8,0,0,0,99,0,3,17,19,14,3,4,0,0,60,3,17,74,73,42,16,3,0,0,229,0,18,59,35,19,7,0,0,0,144,0,8,48,53,47,29,0,0,0,182,9,25,60,89,107,68,13,0,0,373,8,33,143,137,118,84,15,3,0,535,0,14,10,15,7,0,3,0,0,51,5,9,26,25,15,5,0,0,0,96
POA6017,15,130,568,256,129,102,30,3,0,1229,0,0,0,3,3,0,0,0,0,5,0,0,17,5,5,3,0,0,0,33,0,0,14,5,5,4,0,0,0,30,0,0,3,3,0,0,0,0,0,10,0,0,21,11,3,3,0,0,0,33,0,0,6,4,0,0,0,0,0,11,8,24,38,15,14,9,0,0,0,101,10,29,57,20,3,5,0,0,0,116,0,0,10,6,3,0,0,0,0,19,0,0,4,0,0,0,0,0,0,6,0,4,14,7,3,0,0,0,0,25,0,3,8,6,0,3,0,0,0,27,0,12,48,11,4,9,3,0,0,86,0,14,27,16,8,4,0,0,0,69,0,4,26,15,8,6,0,0,0,65,0,9,32,13,13,14,3,0,0,85,0,28,95,35,37,23,6,0,0,227,0,0,8,4,3,0,0,0,0,18,0,8,17,6,8,5,0,0,0,46
POA6018,384,698,2445,2244,2024,1280,373,64,3,9517,3,0,9,3,4,3,5,0,0,25,0,15,98,82,47,11,0,0,0,248,25,16,41,52,48,33,12,3,0,228,0,0,14,25,17,5,0,0,0,65,0,23,100,84,63,29,10,0,0,312,0,7,30,50,35,19,3,0,0,137,146,158,165,140,124,113,29,4,0,874,161,119,142,58,60,32,4,3,0,588,0,24,55,44,23,15,4,0,0,161,10,15,39,34,16,8,6,0,0,130,0,17,111,88,67,37,9,0,0,330,3,17,63,39,30,29,8,0,0,193,5,46,289,219,186,63,26,0,0,836,0,7,88,70,59,39,12,3,0,280,5,29,148,157,148,84,21,0,0,581,24,75,290,317,445,321,34,6,0,1505,17,108,590,402,405,317,69,5,0,1910,26,29,45,39,34,12,4,0,0,186,11,42,111,83,66,53,11,0,0,373
POA6019,173,493,1877,1443,1131,735,212,39,0,6099,0,0,3,0,3,0,4,0,0,9,0,11,103,68,31,12,0,0,0,215,15,9,42,27,20,13,4,0,0,128,0,3,17,21,3,4,0,0,0,44,6,11,87,39,34,23,0,0,0,197,0,5,24,18,22,13,0,0,0,82,59,96,130,70,81,62,21,3,0,520,63,86,162,45,33,17,8,0,0,413,3,16,35,22,12,15,0,0,0,101,0,12,26,18,11,4,3,0,0,74,0,13,84,58,45,28,4,0,0,230,0,10,43,32,30,23,12,0,0,157,3,33,171,141,95,45,19,4,0,515,0,16,88,56,47,27,3,0,0,243,0,14,106,78,69,43,12,0,0,327,12,44,198,189,216,157,35,6,0,864,8,85,375,259,239,186,32,3,0,1189,10,19,31,26,12,6,3,0,0,112,5,17,106,39,44,16,3,0,0,238
POA6020,262,399,709,1096,1287,1098,390,31,6,5289,0,0,3,5,7,3,0,0,0,20,0,0,43,34,26,3,3,0,0,108,11,8,7,16,26,22,9,0,0,113,0,0,8,6,6,3,0,0,0,29,0,5,33,50,42,31,17,0,0,181,3,4,17,13,23,16,8,0,0,79,101,85,43,63,97,83,22,0,0,505,92,45,33,23,20,19,3,0,0,239,3,4,8,10,14,18,3,0,0,61,5,11,10,10,9,19,0,0,0,72,0,7,16,50,47,39,12,0,0,172,0,12,22,25,42,25,13,0,0,134,4,26,76,128,95,66,15,4,0,415,0,19,28,23,35,30,14,0,0,153,3,10,38,81,98,65,8,0,0,299,13,46,82,200,283,295,50,0,0,978,12,77,145,184,252,261,62,4,0,1002,13,8,17,23,13,16,3,0,0,92,6,16,33,34,29,31,13,0,0,166
POA6021,185,453,1357,1146,973,692,227,39,0,5079,0,0,5,0,0,0,0,0,0,13,0,3,40,31,10,3,0,0,0,83,5,3,28,38,28,26,3,3,0,138,0,3,12,8,7,3,0,0,0,36,0,12,57,40,44,31,3,0,0,192,0,3,19,20,23,11,3,0,0,86,84,109,108,101,87,91,23,0,0,594,54,44,87,37,36,27,3,0,0,293,0,5,19,16,23,11,0,0,0,77,3,3,23,9,9,8,0,0,0,49,0,14,48,53,36,24,4,0,0,170,3,11,25,29,24,4,5,3,0,94,10,38,104,112,60,31,8,0,0,369,0,13,37,47,44,32,6,0,0,175,0,6,75,61,72,31,3,0,0,257,10,38,109,125,156,100,25,0,0,562,7,64,247,189,191,153,41,6,0,897,8,15,18,13,21,12,0,0,0,83,6,14,72,32,46,17,5,0,0,199
POA6022,46,94,302,307,253,188,80,5,0,1273,0,0,0,3,3,0,0,0,0,9,0,0,3,3,5,0,0,0,0,16,0,3,4,13,6,3,3,0,0,31,0,0,0,5,0,0,0,0,0,4,0,0,9,10,3,3,4,0,0,31,3,0,5,9,4,0,0,0,0,22,21,18,25,21,17,13,3,0,0,114,20,13,22,8,8,0,0,0,0,67,0,0,3,3,5,8,0,0,0,22,0,0,0,7,4,8,0,0,0,13,0,0,8,3,10,5,0,0,0,31,0,0,8,7,8,4,0,0,0,22,0,4,27,13,16,6,8,0,0,78,0,4,6,8,9,3,4,0,0,33,0,0,17,23,17,15,3,0,0,76,0,3,49,57,44,45,11,0,0,207,3,16,53,61,49,55,21,0,0,260,3,0,0,0,3,4,0,0,0,15,3,5,17,14,15,10,0,0,0,51
