region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6081,1784,1818,3602,1013,464,1477,211,580,791,88,67,155,48,39,87,1360,1150,2510,353,597,950,3.5,3.4,3.5,76.1,63.3,69.6,73.5,61.1,67.2,38,39,77,31,44,75,195,271,466,120,222,342,612,289,901,2045,2025,4070,203,212,415,1441,1399,2840,676,705,1381
POA6082,1245,1226,2471,623,295,918,152,356,508,76,58,134,31,30,61,882,739,1621,274,425,699,3.5,4.1,3.8,70.8,60.3,65.6,68.4,57.8,63.1,22,16,38,8,27,35,100,120,220,91,142,233,398,199,597,1300,1266,2566,182,194,376,875,848,1723,506,537,1043
POA6083,1402,1388,2790,735,345,1080,181,401,582,60,61,121,34,33,67,1010,840,1850,287,460,747,3.4,3.9,3.6,72.1,60.5,66.3,69.7,58.1,63.9,32,39,71,15,24,39,94,146,240,88,153,241,478,194,672,1493,1474,2967,119,129,248,1101,1073,2174,433,449,882
POA6084,2423,2518,4941,1366,668,2034,218,716,934,116,87,203,53,82,135,1753,1553,3306,520,824,1344,3.0,5.3,4.1,72.3,61.7,66.9,70.1,58.4,64.2,17,25,42,14,23,37,88,212,300,132,229,361,826,388,1214,2566,2619,5185,388,406,794,1596,1631,3227,1173,1232,2405
POA6090,13,0,13,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,0,0,0,70.0,0,70.0,70.0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,10,0,10,0,0,0,4,0,4,4,3,7
POA6100,6300,5689,11989,3292,2000,5292,844,1234,2078,191,203,394,196,182,378,4523,3619,8142,1101,1613,2714,4.3,5.0,4.6,71.8,63.6,67.9,68.7,60.4,64.8,473,366,839,104,174,278,1232,1259,2491,603,626,1229,1075,526,1601,4650,4389,9039,1620,1543,3163,2273,2224,4497,3680,3427,7107
POA6101,6456,6235,12691,3190,2010,5200,889,1416,2305,243,245,488,217,219,436,4539,3890,8429,1407,2005,3412,4.8,5.6,5.2,70.3,62.4,66.4,67.0,58.9,63.0,370,312,682,121,205,326,1142,1373,2515,561,614,1175,1263,662,1925,5436,5420,10856,1545,1467,3012,2827,2908,5735,3665,3531,7196
POA6102,6026,6253,12279,1919,1132,3051,942,1159,2101,179,166,345,375,260,635,3415,2717,6132,1920,2887,4807,11.0,9.6,10.4,56.7,43.5,49.9,50.5,39.3,44.8,329,260,589,73,97,170,1006,1025,2031,507,512,1019,838,503,1341,4241,4561,8802,1733,1692,3425,2014,2332,4346,3579,3485,7064
POA6103,3690,3512,7202,1913,1096,3009,414,676,1090,135,105,240,137,104,241,2599,1981,4580,733,1219,1952,5.3,5.2,5.3,70.4,56.4,63.6,66.7,53.4,60.2,162,146,308,52,62,114,555,617,1172,317,288,605,719,339,1058,2930,2865,5795,918,794,1712,1570,1572,3142,2023,1875,3898
POA6104,5604,5499,11103,2840,1667,4507,567,1114,1681,227,214,441,182,145,327,3816,3140,6956,1205,1925,3130,4.8,4.6,4.7,68.1,57.1,62.7,64.8,54.5,59.7,137,125,262,62,92,154,610,750,1360,397,468,865,1390,626,2016,4795,4860,9655,1200,1094,2294,2782,2877,5659,2795,2671,5466
POA6105,5569,5522,11091,2702,1495,4197,623,1076,1699,238,214,452,202,177,379,3765,2962,6727,1428,2263,3691,5.4,6.0,5.6,67.6,53.6,60.7,64.0,50.4,57.2,128,124,252,46,72,118,542,619,1161,360,488,848,1466,677,2143,5082,5163,10245,1194,1107,2301,3101,3235,6336,2757,2637,5394
POA6106,17,0,17,6,0,6,0,3,3,0,0,0,3,0,3,9,3,12,3,0,3,33.3,0,25.0,60.0,100,66.7,40.0,100,50.0,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,12,4,16,3,0,3,3,3,6,11,0,11
POA6107,15343,14713,30056,7539,4133,11672,1985,3209,5194,619,515,1134,578,508,1086,10721,8365,19086,3414,5423,8837,5.4,6.1,5.7,69.9,56.9,63.5,66.1,53.4,59.9,567,467,1034,142,230,372,1872,2285,4157,1134,1282,2416,3517,1765,5282,13895,13545,27440,3306,3131,6437,7816,7818,15634,8128,7698,15826
POA6108,9085,9292,18377,4817,2515,7332,1045,2319,3364,435,359,794,337,283,620,6634,5476,12110,2020,3439,5459,5.1,5.2,5.1,73.0,58.9,65.9,69.3,55.9,62.5,187,136,323,75,117,192,750,969,1719,686,815,1501,2823,1564,4387,9371,9579,18950,1387,1369,2756,6468,6607,13075,3615,3699,7314
POA6109,4309,4262,8571,2046,1018,3064,449,805,1254,184,124,308,186,162,348,2865,2109,4974,1066,1809,2875,6.5,7.7,7.0,66.5,49.5,58.0,62.2,45.7,54.0,46,52,98,26,30,56,235,328,563,222,275,497,1134,586,1720,4082,4036,8118,814,772,1586,2614,2612,5226,1922,1854,3776
POA6110,13360,13958,27318,7042,3664,10706,1388,3270,4658,623,521,1144,487,487,974,9540,7942,17482,2845,5106,7951,5.1,6.1,5.6,71.4,56.9,64.0,67.8,53.4,60.4,165,173,338,88,129,217,809,1188,1997,798,1186,1984,4087,2352,6439,13409,13729,27138,2429,2542,4971,8194,8396,16590,6382,6727,13109
POA6111,8835,8929,17764,4454,2204,6658,1006,2274,3280,433,364,797,339,248,587,6232,5090,11322,2041,3371,5412,5.4,4.9,5.2,70.5,57.0,63.7,66.7,54.2,60.4,145,131,276,80,163,243,614,927,1541,571,822,1393,2762,1517,4279,8776,8707,17483,1471,1606,3077,5985,5947,11932,3576,3784,7360
POA6112,15358,15811,31169,8312,4257,12569,1461,3683,5144,738,570,1308,571,550,1121,11082,9060,20142,3248,5807,9055,5.2,6.1,5.6,72.2,57.3,64.6,68.4,53.8,61.0,243,190,433,110,179,289,960,1461,2421,882,1338,2220,4741,2721,7462,14795,15002,29797,3615,3850,7465,8084,8159,16243,8753,9182,17935
POA6121,1055,1065,2120,591,317,908,126,324,450,51,32,83,24,26,50,792,699,1491,204,320,524,3.0,3.7,3.4,75.0,65.6,70.3,72.7,63.2,67.9,10,13,23,5,17,22,58,106,164,61,94,155,375,155,530,1190,1172,2362,102,131,233,840,808,1648,390,435,825
POA6122,3453,3576,7029,2058,992,3050,361,987,1348,193,149,342,108,99,207,2720,2227,4947,572,1237,1809,4.0,4.4,4.2,78.7,62.3,70.4,75.6,59.5,67.4,31,33,64,24,47,71,187,273,460,193,353,546,1207,688,1895,3377,3382,6759,1010,1087,2097,1674,1690,3364,2322,2458,4780
POA6123,520,549,1069,292,139,431,51,161,212,36,26,62,14,12,26,393,338,731,110,195,305,3.6,3.6,3.6,75.7,61.5,68.4,73.0,59.3,65.9,3,3,6,5,4,9,16,46,62,28,35,63,164,100,264,601,613,1214,88,75,163,401,415,816,236,232,468
POA6124,424,412,836,210,109,319,45,103,148,28,13,41,16,8,24,299,233,532,107,153,260,5.4,3.4,4.5,70.5,56.6,63.6,66.7,54.6,60.8,8,8,16,4,6,10,32,45,77,23,39,62,143,82,225,446,443,889,63,47,110,299,293,592,167,168,335
POA6125,1069,1029,2098,564,228,792,124,316,440,45,40,85,22,25,47,755,609,1364,251,385,636,2.9,4.1,3.4,70.7,59.1,65.0,68.6,56.6,62.7,8,10,18,5,20,25,63,94,157,72,79,151,367,155,522,1135,1092,2227,143,158,301,765,746,1511,442,441,883
POA6126,348,107,455,48,26,74,10,27,37,6,5,11,0,3,3,64,61,125,278,41,319,0,4.9,2.4,18.5,57.5,27.7,18.5,54.7,27.0,9,0,9,0,0,0,8,11,19,8,10,18,34,11,45,113,107,220,18,15,33,79,79,158,47,42,89
POA6147,5994,6028,12022,3049,1679,4728,728,1402,2130,277,215,492,255,238,493,4309,3534,7843,1436,2300,3736,5.9,6.7,6.3,71.9,58.6,65.2,67.6,54.7,61.1,186,172,358,50,83,133,735,858,1593,429,493,922,1502,825,2327,6069,5994,12063,1012,1007,2019,4035,4131,8166,2557,2452,5009
POA6148,6889,7479,14368,3296,1795,5091,962,1858,2820,283,244,527,193,199,392,4734,4096,8830,1802,3078,4880,4.1,4.9,4.4,68.7,54.8,61.5,65.9,52.1,58.7,427,317,744,123,188,311,1287,1414,2701,590,809,1399,1392,712,2104,6728,7251,13979,1251,1289,2540,4422,4842,9264,3159,3338,6497
POA6149,7538,8005,15543,4015,2112,6127,1030,2385,3415,306,311,617,235,191,426,5586,4999,10585,1737,2780,4517,4.2,3.8,4.0,74.1,62.5,68.1,71.0,60.1,65.4,471,290,761,183,257,440,1519,1652,3171,743,932,1675,1504,756,2260,7833,8145,15978,1022,1024,2046,5791,6043,11834,2628,2715,5343
POA6150,5428,5787,11215,2462,1276,3738,844,1620,2464,193,199,392,188,162,350,3687,3257,6944,1575,2350,3925,5.1,5.0,5.0,67.9,56.3,61.9,64.5,53.5,58.8,397,240,637,109,173,282,1268,1336,2604,529,651,1180,808,436,1244,5409,5619,11028,880,897,1777,3971,4053,8024,2078,2240,4318
POA6151,6970,7007,13977,3671,2105,5776,892,1691,2583,236,264,500,190,201,391,4989,4261,9250,1408,2276,3684,3.8,4.7,4.2,71.6,60.8,66.2,68.9,57.9,63.4,635,481,1116,174,258,432,1778,1814,3592,588,737,1325,997,556,1553,5849,5902,11751,1676,1716,3392,3343,3576,6919,3794,3675,7469
POA6152,9986,10980,20966,4751,3139,7890,1370,2503,3873,324,385,709,339,309,648,6784,6336,13120,2548,4019,6567,5.0,4.9,4.9,67.9,57.7,62.6,64.5,54.9,59.5,786,606,1392,223,357,580,2275,2411,4686,845,1100,1945,1460,909,2369,8413,9371,17784,2449,2474,4923,4906,5645,10551,5414,5529,10943
POA6153,7554,8474,16028,3717,2070,5787,1014,2196,3210,250,286,536,194,217,411,5175,4769,9944,1848,3294,5142,3.7,4.6,4.1,68.5,56.3,62.0,65.9,53.7,59.5,648,438,1086,168,300,468,1896,2002,3898,707,929,1636,1115,691,1806,6960,7908,14868,1482,1559,3041,4420,5187,9607,3655,3892,7547
POA6154,3710,4225,7935,1796,981,2777,462,1094,1556,127,123,250,91,80,171,2476,2278,4754,1057,1766,2823,3.7,3.5,3.6,66.7,53.9,59.9,64.3,52.0,57.8,219,158,377,82,130,212,787,930,1717,406,468,874,699,383,1082,3719,4135,7854,641,662,1303,2504,2842,5346,1592,1751,3343
POA6155,18971,18924,37895,10433,5584,16017,2329,5394,7723,752,679,1431,543,575,1118,14057,12232,26289,4228,6110,10338,3.9,4.7,4.3,74.1,64.6,69.4,71.2,61.6,66.4,966,698,1664,265,400,665,3133,3550,6683,1587,1973,3560,4075,2082,6157,19041,19525,38566,3331,3370,6701,11874,12379,24253,9128,9307,18435
POA6156,5928,6835,12763,3014,1570,4584,772,1855,2627,233,236,469,149,160,309,4168,3821,7989,1483,2739,4222,3.6,4.2,3.9,70.3,55.9,62.6,67.8,53.6,60.2,304,256,560,117,221,338,1074,1328,2402,517,722,1239,1317,670,1987,6099,6869,12968,1046,1165,2211,3870,4430,8300,2772,3146,5918
POA6157,4940,5853,10793,2599,1637,4236,614,1470,2084,176,230,406,126,115,241,3515,3452,6967,1151,2128,3279,3.6,3.3,3.5,71.2,59.0,64.6,68.6,57.0,62.3,267,237,504,105,242,347,842,1222,2064,477,619,1096,1208,556,1764,4766,5508,10274,928,1025,1953,3055,3541,6596,2281,2678,4959
POA6158,2693,2939,5632,1329,785,2114,368,839,1207,124,120,244,70,60,130,1891,1804,3695,644,1005,1649,3.7,3.3,3.5,70.2,61.3,65.6,67.6,59.3,63.3,212,199,411,82,146,228,642,711,1353,229,337,566,460,225,685,2697,2902,5599,454,489,943,1821,1951,3772,1162,1237,2399
POA6159,1186,1191,2377,547,330,877,144,291,435,46,28,74,45,25,70,782,674,1456,282,426,708,5.8,3.7,4.8,65.9,56.6,61.3,62.1,54.5,58.3,94,75,169,25,45,70,299,327,626,104,132,236,165,93,258,965,982,1947,228,271,499,574,577,1151,546,579,1125
POA6160,3426,3433,6859,1550,1076,2626,421,809,1230,151,148,299,143,86,229,2265,2119,4384,856,1080,1936,6.3,4.1,5.2,66.1,61.7,63.9,61.9,59.2,60.6,273,247,520,77,156,233,681,918,1599,272,309,581,610,265,875,2668,2774,5442,807,787,1594,1638,1658,3296,1702,1736,3438
POA6161,55,45,100,36,22,58,8,13,21,3,3,6,0,0,0,47,38,85,3,5,8,0,0,0,88.7,82.6,85.9,88.7,82.6,85.9,0,0,0,0,3,3,4,3,7,8,3,11,16,7,23,34,28,62,25,20,45,7,11,18,49,37,86
POA6162,4151,4474,8625,1842,1101,2943,589,1195,1784,162,152,314,117,115,232,2710,2563,5273,1185,1680,2865,4.3,4.5,4.4,65.3,57.3,61.1,62.5,54.7,58.4,242,270,512,78,184,262,687,954,1641,319,411,730,886,411,1297,3876,4244,8120,813,820,1633,2414,2660,5074,1967,2130,4097
POA6163,18697,19748,38445,8959,4836,13795,2265,4997,7262,823,743,1566,673,563,1236,12720,11139,23859,5016,7745,12761,5.3,5.1,5.2,68.0,56.4,62.1,64.4,53.6,58.8,512,547,1059,238,404,642,2078,2856,4934,1314,1803,3117,4947,2275,7222,18218,19290,37508,3142,3183,6325,12564,13372,25936,7527,7919,15446
POA6164,17950,18112,36062,11156,5734,16890,1813,5098,6911,869,810,1679,514,499,1013,14352,12141,26493,2705,5208,7913,3.6,4.1,3.8,80.0,67.0,73.5,77.1,64.3,70.7,484,403,887,199,336,535,2088,2801,4889,1375,1809,3184,5260,2664,7924,18480,18284,36764,3918,4002,7920,9712,9729,19441,10726,10834,21560
POA6165,48,54,102,18,10,28,7,13,20,0,3,3,5,3,8,30,29,59,7,17,24,16.7,10.3,13.6,62.5,54.7,58.4,52.1,49.1,50.5,0,0,0,0,0,0,0,3,3,0,0,0,12,5,17,42,44,86,6,14,20,34,33,67,14,23,37
POA6166,3374,3372,6746,1776,827,2603,359,965,1324,173,135,308,84,90,174,2392,2017,4409,807,1226,2033,3.5,4.5,3.9,70.9,59.8,65.3,68.4,57.1,62.8,54,45,99,22,40,62,264,344,608,239,304,543,1049,446,1495,3423,3504,6927,442,444,886,2537,2540,5077,1130,1220,2350
