POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6383,276,0,0,0,7,282,86,0,12,0,3,93,6,0,0,0,0,6,367,0,9,0,9,382
POA6384,9,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,10
POA6385,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
POA6386,22,0,0,0,0,23,14,0,0,0,3,14,0,0,0,0,0,0,35,0,0,0,3,36
POA6390,478,7,6,7,0,495,87,9,8,0,3,108,16,0,0,0,0,16,582,13,13,7,4,619
POA6391,270,3,0,0,0,278,66,9,0,0,0,72,7,0,0,0,0,7,346,14,0,0,0,358
POA6392,154,0,0,3,0,156,37,3,0,0,0,40,0,0,0,0,0,0,191,4,0,3,0,194
POA6393,37,0,0,0,0,37,14,0,0,0,0,14,0,0,0,0,0,0,51,0,0,0,0,51
POA6394,140,0,0,0,0,137,36,0,0,0,0,36,0,0,0,0,0,0,172,0,0,0,0,175
POA6395,425,6,7,0,3,445,131,0,16,0,0,147,18,4,0,0,0,21,572,11,27,0,3,609
POA6396,89,0,0,0,0,92,21,0,0,0,0,24,4,0,0,0,0,4,117,0,0,0,0,120
POA6397,22,0,0,0,0,28,14,0,0,0,0,13,0,0,0,0,0,0,38,0,0,0,0,40
POA6398,147,7,3,3,6,170,34,0,3,3,3,43,9,0,0,0,0,9,194,7,3,6,12,220
POA6401,1952,15,48,21,10,2051,576,28,27,14,4,646,62,0,7,0,0,77,2589,47,82,34,18,2777
POA6403,53,0,0,0,0,53,11,0,0,0,0,11,0,0,0,0,0,0,62,0,0,0,0,62
POA6405,89,0,0,0,0,91,17,0,0,0,0,17,4,0,0,0,0,8,118,0,0,0,0,118
POA6407,254,0,8,8,14,284,59,0,6,4,3,73,6,0,0,0,0,6,324,0,12,12,16,366
POA6409,104,0,0,3,0,104,24,0,0,0,0,23,7,0,0,0,0,7,131,0,0,3,3,137
POA6410,255,7,0,3,3,264,93,12,0,0,3,111,14,0,0,0,5,19,361,20,0,3,10,392
POA6411,36,0,0,0,0,34,5,0,0,0,0,5,3,0,0,0,0,3,40,0,0,0,0,44
POA6412,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
POA6413,17,0,0,0,0,17,5,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,25
POA6414,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,3,24,0,0,0,3,24
POA6415,795,13,4,5,5,819,206,32,4,0,0,241,30,3,0,0,0,39,1035,43,10,3,9,1096
POA6418,199,8,0,0,3,210,53,13,0,0,0,63,10,0,0,0,0,9,260,20,0,0,3,285
POA6419,21,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22
POA6420,28,0,0,0,0,28,3,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,35
POA6421,37,0,0,0,0,38,3,0,0,0,0,3,3,0,0,0,0,3,44,0,0,3,0,46
POA6422,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
POA6423,40,0,0,0,0,40,18,0,0,0,0,18,0,0,0,0,0,0,57,0,0,0,0,55
POA6424,28,0,0,0,0,24,7,0,0,0,0,7,0,0,0,0,0,0,26,0,0,0,0,27
POA6425,23,0,0,0,3,24,10,0,0,0,0,10,0,0,0,0,0,0,31,0,0,0,3,35
POA6426,224,5,0,4,4,233,77,12,0,4,0,89,10,0,0,0,0,8,308,11,0,12,4,334
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
POA6429,214,3,5,12,3,229,83,0,10,4,0,101,11,0,3,0,0,17,306,3,14,14,5,350
POA6430,5240,924,103,61,15,6346,638,263,70,28,7,1011,111,46,9,8,7,176,5987,1232,186,101,33,7536
POA6431,93,0,3,4,6,102,66,0,0,3,3,75,11,0,0,3,0,11,164,0,5,9,8,183
POA6432,1561,214,4,46,6,1839,354,97,4,14,0,470,48,16,0,0,3,73,1965,324,12,63,14,2377
POA6434,9,0,0,0,5,16,4,0,0,0,0,9,0,0,0,0,3,5,16,0,0,0,10,27
POA6436,15,0,0,3,3,20,8,3,0,6,3,15,3,0,0,0,0,4,28,4,0,8,8,41
