POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA6290,58,1458,491,220,1102,0.7,860,2
POA6302,51,1500,539,250,1367,0.7,1026,2.2
POA6304,53,1151,534,150,1262,0.7,989,2.2
POA6306,47,1083,673,150,1487,0.7,1133,2.3
POA6308,49,1200,527,150,1328,0.7,1016,2.3
POA6309,52,1000,495,100,1312,0.8,933,2.1
POA6311,43,1300,641,200,1487,0.7,1162,2.3
POA6312,40,1213,630,220,1511,0.7,1224,2.4
POA6313,46,1083,707,110,1805,0.7,1216,2.4
POA6315,49,1000,544,162,1289,0.7,985,2.2
POA6316,45,832,713,70,1518,0.8,1166,2.3
POA6317,40,1133,668,180,1402,0.8,1210,2.5
POA6318,41,900,691,118,1542,0.8,1316,2.5
POA6320,37,726,591,96,1292,0.8,1187,2.7
POA6321,46,737,559,137,1149,0.8,949,2.5
POA6322,53,993,518,120,1142,0.8,936,2.2
POA6323,51,1229,479,160,1180,0.7,921,2.2
POA6324,45,1233,553,200,1304,0.8,1058,2.4
POA6326,46,1300,589,87,1444,0.8,1201,2.5
POA6327,44,1517,568,200,1399,0.9,1300,2.7
POA6328,44,806,586,20,1328,0.8,1220,2.5
POA6330,43,1603,612,280,1513,0.8,1208,2.4
POA6333,49,1573,544,263,1268,0.8,1013,2.3
POA6335,37,812,678,152,1550,0.7,1292,2.5
POA6336,42,467,832,100,1924,0.7,1180,2.3
POA6337,35,965,840,100,1786,0.7,1464,2.6
POA6338,48,864,787,172,1524,0.7,1212,2.2
POA6341,41,750,878,79,1625,0.7,1242,2.4
POA6343,38,0,809,0,1575,0.8,1420,2.6
POA6346,43,1000,842,150,1472,0.8,1312,2.3
POA6348,49,1300,562,250,1517,0.7,1045,2.1
POA6350,49,504,558,110,1134,0.6,944,2
POA6351,34,0,900,25,1625,0.8,1375,3.1
POA6352,40,648,808,90,1468,0.6,1160,2
POA6353,41,1170,824,150,1949,0.7,1410,2.4
POA6355,39,430,946,110,1847,0.7,1476,2.4
POA6356,41,290,1093,5,2250,0.6,1458,2.2
POA6357,41,0,749,0,1937,0.6,1156,2.5
POA6358,47,542,812,0,1875,0.6,1625,1.8
POA6359,41,1100,892,120,1575,0.8,1368,2.4
POA6361,43,0,687,0,1792,0.7,1656,2.5
POA6363,41,379,735,0,1312,0.7,1125,2.6
POA6365,46,672,707,136,1699,0.7,1230,2.1
POA6367,46,650,633,110,1474,0.7,1115,2.2
POA6368,36,0,762,0,1375,0.6,1199,2.4
POA6369,47,650,760,132,1647,0.7,1187,2.2
POA6370,43,867,606,106,1362,0.7,1080,2.3
POA6372,51,664,550,0,1187,0.6,819,2.3
POA6373,40,0,828,0,1958,0.8,1854,2.5
POA6375,44,1000,731,150,1592,0.7,1276,2.2
POA6383,53,1021,539,100,1125,0.7,900,2
POA6384,34,0,634,0,2083,0.9,1375,2.7
POA6385,51,0,575,0,966,0.9,966,3
POA6386,54,407,674,0,1875,0.6,880,2.2
POA6390,39,1733,816,277,2094,0.8,1855,2.5
POA6391,43,1262,824,128,1848,0.7,1437,2.5
POA6392,46,893,700,138,1375,0.7,1187,2.1
POA6393,49,0,487,60,1083,0.7,824,2.4
POA6394,44,433,697,0,1451,0.7,1309,2.5
POA6395,44,1083,728,150,1616,0.7,1303,2.4
POA6396,41,889,737,67,1451,0.7,1328,2.5
POA6397,44,454,488,150,974,0.7,706,2.2
POA6398,56,1083,483,190,1141,0.7,875,2
POA6401,40,1300,587,245,1476,0.8,1150,2.4
POA6403,47,1300,554,240,1375,0.7,1166,2.4
POA6405,40,975,645,150,1428,0.7,1231,2.6
POA6407,36,1000,629,186,1743,0.8,1331,2.5
POA6409,38,867,661,102,1589,0.8,1273,2.5
POA6410,47,867,493,115,1209,0.8,954,2.4
POA6411,52,1667,690,50,1416,0.7,1271,2.2
POA6412,47,0,1083,0,1687,0.6,1625,2.3
POA6413,55,0,574,100,1625,0.6,900,2
POA6414,51,0,758,150,1625,0.9,1781,2.5
POA6415,36,1127,655,180,1710,0.8,1325,2.4
POA6418,47,860,705,124,1649,0.7,1138,2.2
POA6419,45,0,612,109,1125,0.7,966,2.2
POA6420,42,0,749,0,2125,0.7,1416,2.3
POA6421,43,1257,787,50,1625,0.7,1166,2.4
POA6422,30,0,1125,0,2416,1,2250,2.6
POA6423,45,1019,1105,85,1916,0.6,1275,1.9
POA6424,49,0,752,0,1437,0.8,1208,2.5
POA6425,50,0,774,0,1666,0.5,1542,2.2
POA6426,45,800,710,140,1920,0.7,1218,2.1
POA6427,37,0,2575,0,0,0,0,0
POA6428,36,493,634,0,1375,0.8,1312,3.3
POA6429,41,917,543,180,1410,0.8,1091,2.3
POA6430,32,1950,1020,300,2482,0.8,2186,2.7
POA6431,33,0,384,55,744,1.3,1227,3.8
POA6432,33,1517,837,270,2067,0.8,1772,2.5
POA6434,36,0,1297,110,900,1,949,2.3
POA6436,40,0,641,100,1156,1,1104,1.9
POA6437,34,0,1676,0,2367,0.8,2191,2.6
POA6438,36,867,1232,139,1553,0.9,1287,2.3
POA6440,36,679,1597,70,888,0.9,1111,2.6
POA6442,32,1200,869,200,2241,0.8,2037,2.6
POA6443,46,604,686,129,1208,0.7,789,1.9
POA6445,40,337,743,50,1583,0.9,1292,3
POA6446,34,0,930,0,1937,0.7,1792,2.9
POA6447,34,0,1187,0,2416,0.7,2250,2.4
POA6448,32,1538,451,150,1640,0.9,1410,2.8
POA6450,40,1721,682,240,1701,0.8,1349,2.5
POA6452,37,0,0,0,0,0,0,0
POA6460,45,1083,616,154,1537,0.7,1020,2.2
POA6461,44,867,624,120,1446,0.7,1109,2.3
POA6462,39,1367,687,0,1437,0.7,1166,2.5
POA6463,62,0,833,0,1937,0.6,1812,2
POA6465,52,0,762,0,1875,0.4,1087,1.4
POA6466,53,0,589,0,1156,0.6,1031,1.9
POA6467,50,0,875,0,1624,0.7,1562,1.9
POA6468,39,867,718,166,1562,0.6,1208,2.3
POA6470,46,0,687,0,1625,0,1499,2
POA6472,42,460,886,75,1875,0.9,1481,2.5
POA6473,43,0,466,0,1374,0.9,1187,2.8
POA6475,47,542,637,95,1437,0.7,1068,2.3
POA6476,47,0,680,0,1562,0.7,1374,2
POA6477,41,510,585,60,1224,0.6,1116,2.3
POA6479,43,600,657,90,1608,0.8,1402,2.5
POA6480,42,1900,700,0,1375,0.7,2124,2.5
POA6484,47,0,1762,0,850,0.5,424,1.4
POA6485,52,607,497,150,1125,0.6,819,2
POA6487,50,0,974,0,1812,0.6,1333,1.9
POA6488,48,585,546,90,1300,0.7,790,2.3
POA6489,55,477,480,125,1187,0.6,949,1.9
POA6490,44,758,615,55,1333,0.7,1068,2.5
POA6501,43,2167,625,315,1862,0.8,1671,2.8
POA6502,45,1751,500,298,1273,0.8,1064,2.4
POA6503,43,1700,643,225,1507,0.8,1307,2.6
POA6504,54,2200,456,300,1125,0.7,939,2.4
POA6505,51,1975,682,180,1562,0.7,1166,2.3
POA6506,50,867,550,175,1375,0.7,1312,1.9
POA6507,44,988,796,100,1692,0.7,1521,2.4
POA6509,43,0,831,75,1899,0.7,1437,2.6
POA6510,42,1124,684,180,1745,0.7,1361,2.4
POA6511,51,1733,576,260,1187,0.7,1071,2.1
POA6512,42,433,833,0,1375,0.8,1093,2.4
POA6513,40,975,885,0,1916,0.8,1625,2.6
POA6514,55,1733,444,220,1007,0.6,746,2.1
POA6515,49,774,865,70,2033,0.6,1458,2
POA6516,48,1863,596,300,1367,0.7,1123,2.2
POA6517,45,737,794,100,1733,0.7,1275,2
POA6518,47,650,461,0,900,0.7,825,2.3
POA6519,40,594,610,115,1406,0.7,1162,2.3
POA6521,47,1076,787,0,1731,0.7,1375,2.3
POA6522,42,700,732,93,1416,0.7,1234,2.3
POA6525,49,1733,547,240,1351,0.7,1085,2.3
POA6528,47,1400,560,250,1264,0.8,1097,2.4
POA6530,38,1690,653,265,1641,0.8,1320,2.5
POA6532,38,2000,733,300,1921,0.8,1619,2.7
POA6535,52,1300,511,150,1275,0.7,1007,2.3
POA6536,51,1628,535,230,1312,0.8,902,2.1
POA6537,42,1440,648,175,1414,0.8,1106,2.1
POA6556,42,1912,683,350,1882,0.8,1677,2.7
POA6558,36,2000,676,260,1718,0.8,1413,2.6
POA6560,43,1408,592,213,1543,0.8,1218,2.5
POA6562,45,1800,607,270,1508,0.7,1368,2.5
POA6564,51,1638,475,240,1071,0.7,1091,2.3
POA6566,52,1517,548,280,1365,0.7,1107,2.2
POA6567,53,1733,510,300,1431,0.7,1204,2.2
POA6568,47,536,604,165,1833,0.6,1142,2.2
POA6569,40,1000,725,103,1424,0.7,1114,2.2
POA6571,42,2084,860,84,1562,0.6,1375,2.2
