POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6225,5,27,18,15,7,23,24,23,4,146,7,9,8,5,9,23,4,25,31,130,184,446,359,356,453,365,620,552,83,3425
POA6226,0,0,3,0,8,0,0,3,0,15,0,5,0,0,3,3,0,5,3,28,20,55,38,44,54,72,59,75,9,428
POA6227,0,3,5,0,3,0,3,0,0,17,0,4,0,0,3,0,3,3,3,15,13,49,38,41,47,56,53,63,3,359
POA6228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,9,5,15,12,8,9,24,3,82
POA6229,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,8,7,10,10,9,11,18,0,72
POA6230,14,128,64,89,151,137,99,123,17,822,34,97,62,53,110,131,52,110,127,787,813,2402,1891,2303,3268,2960,2035,3026,323,19024
POA6232,15,30,18,40,38,43,22,26,9,238,14,17,11,11,28,24,15,26,33,171,243,581,466,606,834,713,557,810,85,4897
POA6233,7,42,44,46,44,56,36,50,3,322,18,36,8,25,40,63,25,46,58,322,399,1048,832,928,1293,1248,948,1568,136,8402
POA6236,3,4,3,3,11,4,0,5,0,41,3,5,3,3,0,5,5,15,5,44,49,136,135,121,135,123,110,208,16,1042
POA6237,0,3,9,3,3,13,3,9,0,38,3,3,7,4,3,12,5,7,3,46,61,139,116,173,188,183,111,254,12,1238
POA6239,9,13,4,6,10,11,5,15,0,67,5,12,6,11,6,12,7,18,14,91,111,221,196,218,221,259,175,409,37,1852
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,14,4,13,9,7,8,13,0,69
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,3,3,11,0,26
POA6244,4,0,0,6,0,0,0,4,0,11,4,4,0,0,0,4,0,6,7,24,48,75,59,80,38,78,42,207,15,645
POA6251,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,8,10,15,16,23,21,26,11,50,4,165
POA6252,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,13,8,6,0,10,5,16,0,68
POA6253,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,5,11,16,44,23,36,32,30,25,54,12,265
POA6254,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,3,10,10,26,11,18,7,23,25,42,11,167
POA6255,0,9,6,10,12,8,4,9,0,56,7,19,5,6,8,6,0,12,9,77,78,254,208,204,207,208,129,309,31,1630
POA6256,0,0,0,0,0,0,0,6,0,7,0,0,0,3,0,0,3,3,4,14,3,36,20,29,21,22,17,55,10,213
POA6258,5,12,4,14,23,30,9,19,0,117,15,11,7,12,15,25,10,17,17,128,175,356,289,337,440,533,251,580,56,3016
POA6260,0,4,0,0,0,0,0,3,0,10,0,3,0,0,9,4,0,6,14,34,42,87,74,79,84,105,44,140,24,683
POA6262,0,0,3,0,0,3,0,0,0,12,0,0,0,0,0,3,0,3,5,13,17,38,36,44,15,48,21,65,5,298
POA6271,0,15,3,9,9,15,6,6,0,62,0,6,6,7,7,11,3,9,12,60,76,198,138,177,214,219,118,285,30,1452
