POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6174,432,36,30,0,0,0,3,508
POA6175,494,34,29,3,0,0,6,565
POA6176,167,18,4,3,0,0,3,193
POA6180,590,73,51,5,0,0,0,722
POA6181,75,3,0,0,0,0,0,79
POA6182,0,0,0,0,0,0,0,0
POA6207,121,5,11,0,0,0,0,135
POA6208,968,108,59,16,5,0,22,1185
POA6209,154,20,11,6,0,0,0,192
POA6210,5590,609,392,71,12,12,51,6739
POA6211,678,70,36,3,3,0,5,796
POA6213,59,4,5,0,0,0,0,64
POA6214,70,5,0,0,0,0,0,80
POA6215,358,37,22,6,0,3,5,433
POA6218,37,0,7,0,0,0,3,45
POA6220,427,40,30,8,0,0,6,510
POA6221,27,3,3,0,0,0,0,34
POA6223,22,3,3,0,0,0,0,31
POA6224,102,18,10,0,0,0,0,129
POA6225,789,84,61,11,0,0,12,960
POA6226,112,5,0,0,0,0,0,128
POA6227,98,3,3,3,0,0,0,110
POA6228,15,0,5,0,0,0,0,19
POA6229,16,0,0,0,0,0,0,16
POA6230,3867,363,224,57,5,3,36,4544
POA6232,1068,117,97,19,7,0,9,1313
POA6233,2120,154,137,26,8,3,19,2467
POA6236,224,15,13,4,0,0,5,260
POA6237,277,23,9,3,0,0,3,320
POA6239,415,31,12,3,0,0,3,459
POA6240,10,0,0,0,0,0,0,10
POA6243,4,0,0,0,0,0,0,5
POA6244,128,8,3,0,0,0,0,136
POA6251,28,3,3,0,0,0,0,33
POA6252,8,3,0,0,0,0,0,9
POA6253,33,0,9,0,0,0,0,46
POA6254,32,3,3,0,0,0,0,40
POA6255,318,29,17,3,0,0,3,364
POA6256,31,4,3,0,0,0,0,41
POA6258,574,36,32,5,0,0,8,659
POA6260,131,6,4,0,0,0,0,144
POA6262,51,5,3,0,0,0,3,62
POA6271,296,25,20,3,3,0,3,349
POA6275,90,8,4,3,0,0,0,103
POA6280,2583,251,161,29,7,0,16,3043
POA6281,809,41,27,0,0,0,3,889
POA6282,145,7,6,4,0,0,0,154
POA6284,270,18,15,0,0,0,0,295
POA6285,979,45,50,4,0,0,3,1083
POA6286,44,5,4,0,0,0,0,58
POA6288,49,0,5,0,0,0,0,62
POA6290,95,10,5,0,0,0,0,113
POA6302,246,19,15,3,0,0,5,297
POA6304,121,9,9,0,0,0,7,143
POA6306,86,8,3,0,0,0,0,96
POA6308,121,9,5,0,0,0,4,140
POA6309,16,0,0,0,0,0,0,19
POA6311,48,0,7,0,0,0,0,56
POA6312,402,18,30,10,0,0,6,467
POA6313,19,0,3,0,0,0,0,24
POA6315,150,0,10,3,0,0,0,159
POA6316,36,3,3,0,0,0,0,39
POA6317,316,27,25,11,0,0,3,380
POA6318,48,4,0,0,0,0,0,57
POA6320,49,3,0,0,0,0,0,54
POA6321,46,3,3,0,0,0,0,51
POA6322,16,0,0,0,0,0,0,21
POA6323,64,9,4,0,0,0,0,80
POA6324,277,28,17,8,0,0,9,325
POA6326,57,3,0,0,0,0,0,59
POA6327,28,0,4,0,0,0,0,32
POA6328,43,0,0,0,0,0,0,45
POA6330,3056,275,193,36,3,0,25,3584
POA6333,466,39,30,0,0,0,8,545
POA6335,78,4,3,0,0,0,0,84
POA6336,27,0,0,0,0,0,0,29
POA6337,58,0,0,0,0,0,0,62
POA6338,54,6,0,0,0,0,0,60
POA6341,39,0,0,0,0,0,0,39
POA6343,33,0,0,0,0,0,0,34
POA6346,66,4,0,0,0,0,0,66
POA6348,54,3,5,0,0,0,0,64
POA6350,17,3,0,0,0,0,3,28
POA6351,13,0,0,0,0,0,0,13
POA6352,19,0,0,0,0,0,0,20
POA6353,78,3,0,0,0,0,0,82
POA6355,54,0,0,0,0,0,0,58
POA6356,14,0,0,0,0,0,0,14
POA6357,11,0,0,0,0,0,0,11
POA6358,3,0,0,0,0,0,0,4
POA6359,50,0,0,0,0,0,0,48
POA6361,14,0,0,0,0,0,0,14
POA6363,15,0,0,0,0,0,0,15
POA6365,43,0,4,0,0,0,0,51
POA6367,32,0,3,0,0,0,0,38
POA6368,8,3,0,0,0,0,0,12
POA6369,53,7,0,0,0,0,0,64
POA6370,37,0,4,3,0,0,0,47
POA6372,11,0,0,0,0,0,0,11
POA6373,10,0,0,0,0,0,0,16
POA6375,61,12,8,3,0,0,3,75
POA6383,58,3,6,0,0,0,3,69
POA6384,4,0,0,0,0,0,0,4
POA6385,3,0,0,0,0,0,0,3
POA6386,6,0,0,0,0,0,0,11
POA6390,177,11,14,0,0,0,3,214
POA6391,90,3,8,0,0,0,0,103
POA6392,38,0,0,0,0,0,0,41
POA6393,9,0,0,0,0,0,0,14
POA6394,50,0,0,0,0,0,0,49
POA6395,154,3,7,0,0,0,3,168
