POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6083,27,0,0,0,0,27,11,0,0,0,0,15,7,0,0,0,0,10,18,0,0,0,0,18,21,0,0,0,0,25,67,0,0,0,0,70,82,0,0,3,0,88,117,0,0,4,0,125,71,0,0,4,0,75,89,0,0,0,0,95,62,0,0,0,0,62,36,0,0,0,0,33,618,0,0,11,4,638
POA6084,52,0,0,0,0,52,16,0,0,0,0,16,20,0,0,0,0,20,45,0,0,0,0,45,43,0,0,0,0,49,154,0,0,0,0,161,208,0,0,9,0,216,357,0,0,0,4,355,250,0,0,3,0,257,206,0,0,0,0,210,98,0,0,0,0,102,73,0,0,0,0,69,1522,0,0,16,7,1548
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,60,20,6,0,0,79,15,9,4,0,0,29,13,7,3,0,0,17,28,10,4,0,0,41,38,16,11,0,0,68,91,40,38,0,0,170,88,70,53,0,0,208,192,109,56,0,0,349,155,69,14,0,0,239,165,35,31,0,0,237,94,23,22,0,0,149,26,18,3,0,0,48,968,425,240,3,5,1640
POA6101,78,16,0,0,0,99,29,12,3,0,0,38,34,3,4,0,0,40,38,12,9,0,0,61,51,16,8,0,0,74,130,46,25,0,0,199,193,58,25,3,0,274,346,116,50,0,3,518,237,45,24,0,0,309,240,40,23,7,0,302,114,19,14,0,0,144,48,9,3,0,0,56,1539,394,189,10,3,2125
POA6102,31,13,3,0,0,41,11,5,3,0,0,17,14,3,0,0,0,16,15,13,0,0,0,33,30,14,0,0,0,42,67,35,11,0,0,117,83,64,15,0,0,159,149,102,17,0,0,268,92,29,3,0,0,132,88,21,0,0,0,113,42,6,0,0,0,49,28,5,0,0,0,35,651,317,53,0,0,1014
POA6103,32,14,13,0,3,54,12,0,0,0,0,16,10,8,3,0,0,14,10,0,3,0,0,20,21,10,9,0,0,35,51,25,42,0,0,122,88,41,65,0,0,199,130,71,83,0,0,290,87,42,32,0,0,156,76,30,20,0,0,124,46,10,3,0,0,66,8,8,10,0,0,21,579,256,283,0,4,1123
POA6104,76,8,0,0,0,88,28,3,0,0,0,28,19,0,0,0,0,20,50,7,0,0,0,59,70,14,0,0,0,81,178,24,7,0,0,203,197,43,7,0,0,246,372,85,11,0,3,464,213,32,9,0,0,251,169,21,3,0,0,189,83,14,0,0,0,97,52,12,0,0,0,66,1497,260,39,0,4,1806
POA6105,85,12,0,0,0,98,27,4,0,0,0,29,26,7,0,0,0,34,44,6,0,0,0,49,67,11,0,0,0,76,144,40,0,0,0,186,207,73,7,0,0,288,316,81,5,0,4,400,196,50,0,0,0,244,125,29,0,0,0,157,38,7,0,0,0,44,42,11,0,0,0,55,1305,333,20,0,6,1661
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
