region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6107,106,119,225,113,86,199,61,255,316,105,630,735,619,377,996,657,358,1015,610,345,955,727,341,1068,726,277,1003,1263,350,1613,1092,98,1190,841,160,1001,466,46,512,234,19,253,315,30,345,983,195,1178,156,165,321,9074,3851,12925
POA6108,47,41,88,50,35,85,37,99,136,53,293,346,432,201,633,430,208,638,423,158,581,414,173,587,501,114,615,875,160,1035,884,38,922,535,74,609,345,13,358,158,4,162,168,11,179,772,54,826,117,69,186,6241,1745,7986
POA6109,22,14,36,43,36,79,29,68,97,40,248,288,243,129,372,227,128,355,216,117,333,249,121,370,270,77,347,341,84,425,289,23,312,142,36,178,89,3,92,36,6,42,62,3,65,295,32,327,63,65,128,2656,1190,3846
POA6110,62,73,135,82,68,150,54,208,262,124,594,718,660,392,1052,636,291,927,610,322,932,713,335,1048,716,218,934,1311,209,1520,1125,52,1177,803,97,900,477,10,487,211,12,223,243,13,256,1064,84,1148,183,143,326,9074,3121,12195
POA6111,37,50,87,56,43,99,37,125,162,88,380,468,453,229,682,452,194,646,407,187,594,473,193,666,448,115,563,797,140,937,658,31,689,568,64,632,378,4,382,148,4,152,198,4,202,718,40,758,111,86,197,6027,1889,7916
POA6112,65,73,138,102,74,176,62,230,292,136,631,767,787,368,1155,733,364,1097,727,333,1060,828,354,1182,842,241,1083,1501,246,1747,1281,46,1327,956,135,1091,603,13,616,265,6,271,336,16,352,1233,89,1322,187,191,378,10644,3410,14054
POA6121,11,7,18,9,3,12,6,5,11,5,9,14,29,11,40,20,6,26,34,5,39,39,14,53,43,3,46,91,15,106,81,3,84,83,6,89,57,0,57,35,0,35,52,3,55,127,6,133,14,5,19,736,101,837
POA6122,14,8,22,21,9,30,9,19,28,26,46,72,141,34,175,120,42,162,113,40,153,157,48,205,185,40,225,397,48,445,356,10,366,285,28,313,168,0,168,77,3,80,89,0,89,362,19,381,40,12,52,2560,406,2966
POA6123,5,3,8,4,9,13,0,0,0,4,15,19,27,9,36,27,5,32,27,7,34,24,5,29,29,4,33,60,6,66,45,0,45,22,3,25,31,0,31,15,0,15,11,0,11,66,3,69,5,3,8,402,72,474
POA6124,5,3,8,4,3,7,0,11,11,7,12,19,18,9,27,15,10,25,18,5,23,12,8,20,12,6,18,39,3,42,31,0,31,38,3,41,22,0,22,12,0,12,3,0,3,55,0,55,6,3,9,297,76,373
POA6125,7,4,11,17,3,20,6,13,19,7,24,31,54,27,81,68,18,86,45,13,58,43,18,61,56,12,68,80,4,84,69,3,72,85,3,88,49,4,53,16,0,16,27,3,30,123,0,123,14,3,17,766,152,918
POA6126,3,0,3,3,0,3,0,5,5,0,4,4,5,4,9,3,0,3,3,0,3,6,3,9,7,0,7,13,0,13,10,0,10,6,0,6,3,0,3,0,0,0,3,0,3,8,3,11,0,0,0,73,19,92
POA6147,29,47,76,53,24,77,25,91,116,50,249,299,304,173,477,288,139,427,300,177,477,352,171,523,333,117,450,548,123,671,471,28,499,341,57,398,181,6,187,89,11,100,112,6,118,416,48,464,71,40,111,3963,1507,5470
POA6148,35,35,70,51,32,83,21,89,110,33,315,348,246,232,478,303,152,455,312,152,464,291,154,445,296,109,405,562,129,691,446,21,467,532,98,630,383,5,388,182,7,189,335,9,344,557,34,591,38,66,104,4623,1639,6262
POA6149,34,34,68,51,24,75,13,59,72,23,236,259,218,183,401,249,131,380,260,85,345,266,102,368,282,81,363,567,103,670,541,23,564,754,78,832,510,12,522,304,0,304,459,14,473,638,33,671,43,32,75,5212,1230,6442
