region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6016,4,14,46,31,31,22,6,0,0,154,0,12,35,25,11,8,3,0,0,94,175,550,1449,1391,992,498,83,3,0,5141
POA6017,3,7,26,18,14,6,0,0,0,74,0,10,17,6,7,6,0,0,0,46,44,293,921,392,258,192,39,0,6,2145
POA6018,20,79,122,133,102,87,18,3,0,564,15,31,80,81,60,35,20,7,0,329,902,1732,4083,4220,3576,2311,537,55,3,17419
POA6019,23,60,103,69,63,42,20,0,0,380,9,28,70,42,33,26,6,3,0,217,460,1226,3323,2402,2024,1355,321,36,0,11147
POA6020,24,55,55,50,70,73,19,0,0,346,9,18,36,30,44,33,11,0,0,181,723,1042,1417,2076,2671,2398,491,39,0,10857
POA6021,26,40,83,92,87,71,18,0,0,417,8,24,48,44,41,31,19,0,3,218,459,988,2337,2249,1869,1388,322,24,6,9642
POA6022,0,14,25,36,20,26,10,0,0,131,0,7,18,15,9,10,0,0,0,59,136,245,547,593,494,500,114,3,0,2632
POA6023,18,25,35,67,63,62,11,3,0,284,12,13,15,26,22,28,10,0,0,126,570,726,1061,1857,1887,1656,303,12,3,8075
POA6024,14,27,53,51,50,53,16,0,0,264,16,11,22,19,34,22,6,0,0,130,438,650,1441,1630,1405,1416,278,12,0,7270
POA6025,54,83,118,132,117,98,27,0,0,629,23,23,57,52,69,51,21,0,0,296,1125,1617,2942,3390,3832,2759,441,30,3,16139
POA6026,56,47,60,85,128,115,9,0,0,500,9,17,29,36,50,35,3,3,5,187,1092,1178,1498,2371,3469,2383,275,21,5,12292
POA6027,82,135,168,184,214,137,11,6,0,937,41,54,88,96,78,59,17,3,0,436,1830,2755,3926,4708,5697,3601,499,32,0,23048
POA6028,53,53,55,111,105,45,9,0,0,431,24,21,24,49,50,16,0,3,0,187,1112,1077,1430,2963,3181,1210,162,3,0,11138
POA6029,3,3,11,6,10,3,3,0,0,39,0,0,3,10,3,3,3,0,0,22,62,122,201,333,362,217,55,6,0,1358
POA6030,72,110,151,176,129,60,12,0,0,710,24,53,73,78,85,41,8,0,3,365,1372,1774,3625,4648,3851,1648,302,18,6,17244
POA6031,19,36,77,80,63,15,6,0,0,296,14,11,39,27,18,6,6,0,0,121,428,640,1495,1577,1101,452,58,3,0,5754
POA6032,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,6,6,18,18,27,32,17,6,3,0,127
POA6033,0,3,0,3,6,3,0,0,0,15,0,3,3,0,3,0,0,0,0,9,28,47,71,86,69,48,11,6,0,366
POA6035,10,6,14,15,14,6,3,0,0,68,4,6,14,19,12,0,0,0,0,55,121,130,347,508,459,219,54,3,0,1841
POA6036,31,31,60,57,39,14,6,0,0,238,11,9,29,35,20,10,0,6,0,120,376,528,1363,1691,877,335,40,12,0,5222
POA6037,3,0,9,7,7,3,0,0,0,29,3,0,10,11,8,3,0,0,0,35,52,69,141,215,215,146,31,0,0,869
POA6041,5,0,0,3,6,4,0,0,0,18,0,0,6,7,5,0,0,0,0,18,23,15,54,121,118,118,24,0,0,473
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,19,4,0,0,32
POA6043,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,3,0,12,24,15,12,6,0,0,72
POA6044,0,0,3,4,0,0,0,0,0,7,0,3,4,3,4,3,0,0,0,17,25,41,98,136,128,128,40,3,3,602
