POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA6012,1465,1061,1100,1003,1224,961,840,428,171,8248,0,7,0,0,0,3,0,0,0,18,0,0,3,0,4,0,3,0,0,14,0,3,11,4,0,6,0,0,0,23,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,52,35,29,26,22,11,18,26,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,54,33,34,26,20,26,26,300,32,68,53,33,34,32,20,26,30,314,1491,1123,1157,1029,1258,1000,857,453,193,8566
POA6014,4241,2246,2678,2919,2657,2075,1303,948,615,19682,0,5,3,0,3,0,0,3,0,10,0,3,0,5,0,0,7,0,4,21,0,0,4,0,3,0,0,3,0,14,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,36,67,101,50,37,39,40,16,12,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,72,107,58,38,41,52,21,13,437,37,73,111,54,42,41,52,23,13,453,4281,2318,2784,2976,2699,2120,1357,970,629,20138
POA6015,1297,964,277,582,1096,780,526,533,254,6299,3,0,0,0,0,0,0,0,3,8,0,0,0,3,4,0,0,4,0,11,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,27,19,17,14,4,7,4,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,19,16,20,8,18,5,3,140,21,28,19,16,20,11,18,8,4,145,1316,992,299,600,1109,786,537,538,255,6443
POA6016,1970,995,1857,1640,1287,908,525,264,164,9604,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,26,15,41,29,15,23,5,6,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,40,27,15,23,17,8,0,168,26,15,40,28,15,23,17,6,0,171,1995,1011,1898,1664,1303,924,535,272,165,9778
POA6017,458,432,1249,592,357,343,242,139,72,3886,0,0,6,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,29,8,4,5,4,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,29,8,11,5,4,3,0,94,10,23,39,8,11,8,4,3,0,98,465,452,1280,599,371,350,242,147,69,3984
POA6018,6970,3942,5669,5278,4799,3711,2767,2051,1015,36196,0,0,7,0,0,0,11,3,3,24,4,3,3,6,4,9,30,10,0,68,6,0,0,4,0,12,26,0,3,60,0,3,3,0,3,7,11,3,0,27,0,3,0,0,0,0,4,0,0,7,76,124,144,79,76,89,83,37,24,724,0,0,0,0,3,5,6,0,0,13,0,3,3,0,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,85,138,151,89,92,128,156,48,28,919,85,134,158,95,93,129,166,53,28,944,7058,4078,5829,5367,4892,3841,2927,2100,1044,37136
POA6019,3413,2245,4185,3207,2656,2046,1468,925,327,20476,9,6,4,6,0,0,3,0,0,35,0,8,13,16,16,14,13,3,0,95,0,0,16,25,22,30,19,7,0,126,0,3,8,6,4,19,11,0,0,54,3,4,5,9,11,8,4,0,0,52,59,88,140,66,95,52,41,21,4,563,0,0,3,0,0,3,4,0,0,10,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,68,106,191,126,159,129,92,35,4,909,72,111,201,128,157,133,91,32,4,938,3489,2359,4388,3333,2816,2174,1562,955,337,21417
POA6020,3844,2253,1617,2470,2899,3025,2417,877,326,19733,4,0,7,4,0,3,9,3,3,26,5,3,5,3,4,13,3,3,0,36,0,3,3,3,3,3,4,3,0,29,0,0,3,3,3,0,3,3,0,16,0,4,3,0,0,0,0,0,0,6,61,47,79,62,32,31,37,23,12,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,61,94,70,45,50,52,31,12,477,64,61,98,74,47,55,58,31,10,506,3905,2314,1715,2549,2952,3077,2476,911,339,20240
POA6021,3230,2125,3100,2659,2479,2094,1811,1250,482,19239,4,0,0,3,0,0,3,4,0,19,0,0,0,0,3,0,0,4,0,11,3,3,3,3,0,0,0,0,0,16,3,0,4,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,5,45,70,93,47,56,52,40,59,49,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,3,0,0,0,18,54,78,102,56,56,57,52,67,48,564,60,75,102,61,61,55,53,71,50,587,3291,2201,3202,2719,2534,2145,1864,1324,535,19819
POA6022,904,475,650,683,568,548,608,249,47,4734,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,15,21,14,7,11,8,7,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,16,21,20,6,18,15,10,0,119,17,16,21,18,6,18,13,10,0,125,929,493,670,707,577,563,622,262,50,4866
POA6023,3195,1672,1184,2087,2095,1924,1560,595,308,14616,0,0,3,3,0,0,7,0,3,12,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,5,0,0,10,0,0,0,4,3,4,3,0,0,12,0,0,0,0,0,0,0,3,0,4,61,45,59,38,22,16,32,20,18,309,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,48,63,42,31,30,45,22,18,351,57,48,59,43,31,30,50,27,22,362,3254,1721,1245,2129,2122,1947,1607,622,327,14976
POA6024,2469,1281,1663,1831,1612,1532,1584,545,208,12726,0,3,0,0,0,0,4,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,4,0,3,12,3,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,44,48,50,38,24,26,17,7,9,248,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,57,42,24,25,27,5,9,284,43,55,56,42,28,25,28,5,9,289,2511,1333,1716,1867,1637,1563,1615,552,223,13021
POA6025,5656,3575,3542,3953,4073,3787,2725,986,376,28672,0,3,0,0,4,0,0,0,0,11,9,0,10,3,9,3,0,0,0,28,3,6,0,0,3,9,3,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,3,0,4,0,0,0,0,13,92,90,105,79,49,46,38,30,13,541,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,105,95,118,91,56,64,44,37,10,626,105,96,118,91,60,64,44,37,17,634,5765,3675,3659,4044,4133,3847,2777,1020,393,29306
POA6026,4066,2794,1848,2652,3220,3380,1874,973,623,21427,0,3,4,0,3,4,6,3,5,27,0,3,0,0,0,3,0,0,0,7,0,0,0,0,3,3,3,3,0,12,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,69,69,75,44,43,27,28,47,30,431,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,80,74,43,45,34,39,47,34,470,70,77,81,48,44,41,53,53,33,501,4134,2868,1927,2699,3262,3421,1921,1029,656,21926
POA6027,7325,5799,5300,5223,5937,5236,3068,1369,514,39770,0,6,8,0,0,6,9,3,0,36,0,3,3,3,6,12,16,3,0,39,0,3,4,14,4,12,5,4,0,49,0,0,3,0,10,3,0,4,3,23,3,0,3,0,4,4,0,3,3,15,151,224,223,112,96,122,107,92,55,1186,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,153,234,244,135,124,148,126,103,62,1329,154,243,254,134,124,158,135,101,65,1361,7477,6036,5554,5352,6062,5397,3202,1474,578,41138
POA6028,4634,3567,1970,3035,4145,2478,1110,492,125,21562,0,0,3,0,0,0,3,0,0,7,3,3,7,0,0,4,4,4,0,28,0,3,0,0,0,9,0,3,0,14,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,3,68,79,78,28,20,17,14,17,3,325,0,0,0,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,92,87,27,23,27,30,21,6,383,69,92,93,27,23,27,32,21,6,392,4699,3658,2065,3063,4164,2507,1150,514,131,21951
POA6029,501,330,269,340,401,313,259,150,64,2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,5,8,3,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,7,4,3,3,3,0,38,3,4,12,7,4,3,3,3,0,38,508,331,284,342,408,317,256,147,65,2664
POA6030,8409,5685,5040,5327,5651,3275,2142,1395,535,37453,3,3,3,0,3,5,7,10,9,39,3,0,0,6,0,4,5,4,0,24,0,3,3,3,0,3,6,0,0,21,0,3,3,0,4,3,4,0,0,19,0,0,0,0,0,0,0,0,0,8,114,150,120,72,67,51,35,15,9,633,0,0,0,0,0,3,7,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,156,135,84,83,62,55,19,11,715,118,158,140,82,88,68,60,30,14,760,8530,5846,5177,5415,5735,3335,2198,1424,553,38212
POA6031,4231,2324,3030,2514,2026,1110,528,183,41,15985,0,3,3,0,0,0,0,0,0,11,0,0,0,3,0,7,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,0,3,0,0,3,41,66,65,28,25,19,9,5,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,72,64,37,25,21,15,7,0,294,46,73,68,37,25,22,16,7,0,306,4277,2400,3099,2552,2054,1130,546,193,38,16289
