POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA6365,3,4,13,90,113,49,54,72,50,434
POA6367,4,0,5,60,61,34,39,70,28,286
POA6368,0,0,0,17,8,10,13,11,3,62
POA6369,9,4,30,122,117,62,74,124,60,559
POA6370,3,0,8,69,81,53,59,64,30,357
POA6372,4,0,7,12,24,16,17,14,25,101
POA6373,0,0,0,12,22,6,8,10,4,66
POA6375,10,9,30,143,208,96,102,144,108,806
POA6383,11,5,27,123,172,104,115,182,128,818
POA6384,0,0,0,3,10,0,3,6,4,27
POA6385,0,0,0,3,3,3,3,3,3,21
POA6386,0,0,5,12,22,12,8,17,11,80
POA6390,3,3,14,252,360,184,201,261,153,1407
POA6391,5,0,13,165,201,111,105,107,105,801
POA6392,3,0,15,83,101,58,46,54,30,367
POA6393,0,0,0,13,21,13,20,20,14,98
POA6394,0,0,5,86,79,49,66,48,37,364
POA6395,12,16,52,243,331,154,169,215,184,1295
POA6396,0,0,7,56,83,36,38,43,45,299
POA6397,0,0,0,14,24,10,4,14,12,72
POA6398,0,3,6,76,133,52,69,94,55,475
POA6401,87,29,174,1065,1468,733,748,1335,1261,6613
POA6403,0,0,0,22,35,18,27,20,19,147
POA6405,0,0,3,53,74,37,26,38,17,244
POA6407,7,7,22,204,198,82,109,223,116,935
POA6409,0,0,3,65,60,39,38,59,54,308
POA6410,21,13,44,136,194,98,119,194,112,856
POA6411,3,0,3,15,26,20,12,19,17,108
POA6412,0,0,0,9,6,6,4,8,10,41
POA6413,0,0,0,3,18,8,6,3,5,45
POA6414,0,0,0,5,15,7,12,8,9,51
POA6415,24,15,66,468,652,263,258,512,271,2421
POA6418,12,3,18,99,98,81,73,144,61,557
POA6419,0,0,0,9,13,9,9,7,0,40
POA6420,0,0,3,11,19,6,16,16,19,91
POA6421,0,0,0,10,22,22,17,22,24,112
POA6422,0,0,0,13,7,3,6,0,8,42
POA6423,0,0,0,42,37,18,19,42,29,185
POA6424,0,0,3,9,20,10,6,12,10,68
POA6425,0,0,0,10,15,13,7,16,17,80
POA6426,0,12,19,147,148,65,85,160,99,711
POA6427,0,0,0,7,15,3,3,38,27,94
POA6428,0,0,0,10,8,4,3,10,3,42
POA6429,4,0,3,147,169,78,83,193,115,790
POA6430,70,31,122,3880,4547,1777,1559,3673,1989,17423
POA6431,0,0,4,220,164,68,49,198,135,833
POA6432,10,10,28,1072,1281,526,506,1253,901,5534
POA6434,0,0,0,31,19,6,6,69,18,157
POA6436,0,0,0,10,25,6,4,32,18,91
POA6437,0,0,0,78,78,27,30,105,145,465
POA6438,3,3,5,130,121,45,21,221,173,714
POA6440,3,0,3,152,201,83,41,309,216,1009
POA6442,0,0,3,361,459,174,228,398,303,1913
POA6443,3,0,6,85,131,62,71,238,152,734
POA6445,0,0,0,29,35,18,25,22,29,152
POA6446,0,0,0,27,25,11,7,16,13,99
POA6447,0,0,0,34,29,14,14,25,32,148
POA6448,0,0,4,87,64,47,43,83,43,365
POA6450,124,44,251,2099,2590,1290,1117,1971,1564,10633
POA6452,0,0,0,0,0,0,0,0,3,5
POA6460,17,6,32,102,139,68,89,117,80,599
POA6461,3,0,10,76,104,50,71,86,35,412
POA6462,0,0,0,17,23,13,15,14,10,94
POA6463,0,0,0,6,6,4,0,3,0,20
POA6465,0,0,0,10,7,0,7,0,0,25
POA6466,0,0,3,12,12,10,14,3,5,56
POA6467,0,0,0,4,3,9,3,0,0,26
POA6468,0,0,0,47,51,17,27,34,25,198
POA6470,0,0,0,3,0,0,6,0,0,13
POA6472,0,0,3,28,40,23,18,16,10,133
POA6473,0,0,0,5,7,11,3,3,3,35
POA6475,0,0,7,54,79,37,50,63,33,321
POA6476,0,0,0,16,8,3,10,15,0,45
POA6477,3,0,8,41,60,27,25,35,26,222
POA6479,0,0,13,93,111,65,57,67,54,430
POA6480,0,0,0,12,19,5,0,0,3,40
POA6484,0,0,0,5,18,5,5,39,23,96
POA6485,10,3,23,64,96,60,48,97,67,421
POA6487,0,0,0,8,10,3,6,3,15,44
POA6488,0,3,3,30,34,20,17,23,30,159
POA6489,5,0,8,10,20,10,9,25,22,92
POA6490,0,0,8,26,57,26,32,38,25,206
POA6501,3,0,9,136,191,118,109,157,95,800
POA6502,0,0,15,138,240,125,147,190,113,956
POA6503,7,14,36,287,460,220,216,359,230,1773
POA6504,0,0,0,26,45,8,24,25,16,143
POA6505,0,0,0,20,24,19,10,19,11,103
POA6506,0,0,0,15,11,4,5,17,8,52
POA6507,0,3,12,82,126,58,51,88,43,447
POA6509,0,0,0,26,39,13,16,31,44,162
POA6510,24,7,41,298,388,179,167,347,207,1578
POA6511,3,0,6,76,120,60,56,82,64,460
POA6512,0,0,0,19,23,13,3,3,9,72
POA6513,0,0,3,33,43,25,19,29,17,169
POA6514,4,0,5,82,130,72,95,111,67,556
POA6515,3,0,3,48,56,41,36,50,19,245
POA6516,6,6,28,233,427,202,191,262,168,1478
POA6517,0,3,3,72,83,37,36,69,41,327
POA6518,0,0,0,32,54,23,24,38,17,179
POA6519,7,0,17,74,82,59,80,98,51,452
POA6521,0,0,3,70,89,40,33,63,17,303
POA6522,0,0,7,67,79,43,35,84,60,368
POA6525,34,16,85,472,696,441,469,555,327,2958
POA6528,0,0,3,68,75,36,41,72,45,333
POA6530,258,133,582,5015,6670,3107,2767,5385,2780,25724
POA6532,16,11,48,966,1312,677,676,785,880,5293
POA6535,12,16,41,207,320,174,210,242,195,1348
POA6536,5,5,19,228,342,182,187,225,186,1344
POA6537,3,3,14,137,202,93,85,125,106,744
POA6556,9,7,23,356,449,212,215,270,148,1649
POA6558,0,0,0,99,166,87,88,108,1934,2484
POA6560,6,0,8,184,260,131,147,275,108,1106
POA6562,3,0,10,181,276,153,129,181,93,1008
POA6564,0,0,5,52,72,44,41,48,21,268
POA6566,9,3,27,449,676,417,429,460,347,2778
POA6567,0,0,3,67,80,51,62,62,38,364
POA6568,0,0,0,47,42,26,25,48,9,199
POA6569,0,0,0,42,46,27,28,50,19,214
POA6571,0,0,0,11,14,12,11,10,3,58
POA6572,0,0,0,12,8,3,8,13,0,47
POA6574,0,0,0,16,13,9,9,13,11,60
POA6575,0,0,0,16,24,13,16,16,16,105
POA6603,6,5,26,171,215,119,122,175,70,867
POA6605,0,0,0,5,8,0,8,3,0,27
POA6606,0,0,0,23,31,16,22,34,10,136
POA6608,0,0,0,12,21,16,18,21,9,101
POA6609,12,0,18,164,159,80,72,132,64,668
POA6612,3,3,10,35,32,14,26,41,26,171
POA6613,0,0,5,10,10,3,7,8,6,44
POA6614,0,0,0,6,0,4,0,0,4,17
POA6616,0,0,0,8,5,9,10,15,0,43
POA6620,0,3,3,79,95,34,24,119,73,429
POA6623,8,5,15,93,114,70,53,142,69,532
POA6625,0,0,3,11,17,4,3,5,8,42
POA6627,0,0,0,9,15,9,10,3,0,49
POA6628,0,0,0,8,5,0,5,5,4,26
POA6630,3,0,7,83,102,46,41,107,92,475
POA6631,0,0,0,9,6,4,0,8,0,26
POA6632,0,0,0,5,7,9,10,13,3,45
POA6635,0,0,0,41,45,26,15,113,68,303
POA6638,0,0,3,55,76,34,30,77,118,394
POA6639,0,0,0,13,15,9,9,21,22,86
POA6640,0,0,0,22,35,18,11,45,38,170
POA6642,0,5,10,124,164,56,61,246,238,876
POA6646,0,0,0,122,117,26,11,240,135,660
POA6701,22,17,69,772,1028,475,323,993,822,4415
POA6705,0,0,0,31,34,27,28,28,46,200
POA6707,0,5,11,463,618,273,210,334,250,2147
POA6710,0,0,3,394,307,101,89,2031,927,3859
POA6711,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,150,135,31,40,1192,412,1961
POA6713,3,0,5,168,249,100,94,105,71,783
POA6714,3,0,9,2863,3169,1173,1067,2447,1965,12689
POA6716,0,0,0,107,132,75,69,121,49,553
POA6718,4,3,7,104,162,49,50,166,290,825
POA6720,0,0,0,360,493,177,217,308,313,1867
POA6721,3,0,4,834,929,258,257,719,571,3577
POA6722,10,11,31,1486,1698,614,540,1672,1400,7399
POA6725,22,8,45,1856,2112,810,502,1635,1316,8229
POA6726,5,3,9,934,1166,402,288,730,601,4125
POA6728,19,3,29,920,909,380,529,899,772,4405
POA6731,0,0,0,0,0,0,0,0,3,3
POA6733,0,0,0,0,0,0,0,0,0,0
POA6740,3,0,4,307,163,51,43,218,166,954
POA6743,5,5,16,1258,1213,415,280,950,712,4830
POA6751,3,0,0,731,853,276,299,1135,674,3961
POA6753,0,0,4,1010,1269,391,297,1481,1472,5921
POA6754,0,0,0,204,258,91,112,150,161,975
POA6758,0,0,0,244,234,42,40,846,255,1662
POA6760,0,0,3,102,77,28,52,138,100,495
POA6762,0,0,0,117,164,51,17,253,189,785
POA6765,8,0,9,276,350,219,55,207,199,1316
POA6770,3,3,4,602,333,118,71,448,564,2126
