region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6221,0,0,0,0,3,7,4,0,0,14,0,0,3,0,0,0,3,0,0,6,0,3,6,0,11,5,3,0,0,28,13,18,61,77,62,54,38,3,0,326
POA6224,0,0,3,3,9,13,24,15,10,77,0,0,0,0,0,0,3,4,0,7,3,3,12,13,12,15,11,13,0,82,44,53,121,163,182,141,117,55,13,889
POA6225,0,0,13,15,31,93,109,122,37,420,0,0,0,3,7,11,6,6,3,36,26,43,112,109,120,130,79,93,56,768,396,495,1080,1288,1378,1255,666,405,144,7107
POA6226,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,3,13,30,31,52,98,125,85,25,6,3,455
POA6227,0,0,0,0,0,0,3,9,0,12,0,0,0,0,0,0,0,3,0,3,6,4,0,10,4,0,0,0,0,24,22,27,83,93,43,45,21,17,4,355
POA6229,0,0,0,0,0,3,4,3,0,10,0,0,0,0,0,0,0,0,0,0,6,3,4,6,6,6,8,3,3,45,21,19,63,81,76,74,45,12,3,394
POA6230,21,13,42,54,84,221,445,442,176,1498,0,3,9,8,17,16,15,31,9,108,208,248,503,537,475,390,327,346,190,3224,1635,2640,5421,5812,5707,4635,2784,1776,698,31108
POA6232,3,0,6,8,18,53,98,96,27,309,0,0,3,0,0,0,0,0,0,3,36,40,66,65,72,51,79,98,89,596,374,638,1366,1297,1219,918,613,414,177,7016
POA6233,0,0,13,13,24,68,108,97,29,352,0,4,10,3,10,10,0,0,0,37,55,48,155,155,164,118,91,61,17,864,566,803,2033,2347,2348,1851,965,409,100,11422
POA6236,0,0,0,3,6,7,12,15,0,43,0,0,0,0,0,0,0,0,0,0,6,3,6,11,20,20,7,6,3,82,73,73,129,309,368,276,133,46,15,1422
POA6237,0,4,0,0,6,12,29,18,3,72,0,0,0,0,0,0,0,3,3,6,6,7,15,19,22,16,25,14,6,130,96,95,208,332,455,404,246,78,21,1935
POA6239,0,0,0,6,9,37,61,49,18,180,0,0,5,4,4,0,3,6,0,22,13,0,27,35,37,43,30,23,12,220,139,148,356,571,654,629,393,180,58,3128
POA6240,0,0,0,3,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,12,6,10,21,30,47,59,35,3,0,211
POA6244,0,0,3,0,3,12,23,15,7,63,0,0,0,0,0,0,3,0,0,3,0,3,6,9,19,6,9,13,12,77,25,43,149,216,244,243,180,80,36,1216
POA6251,0,0,0,0,3,4,6,6,3,22,0,0,0,0,0,0,3,0,0,3,3,0,3,7,5,10,3,10,0,41,18,10,34,58,85,72,45,16,3,341
POA6253,0,0,0,0,5,3,4,0,3,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,16,13,0,4,41,9,9,22,65,85,157,92,20,16,475
POA6254,0,0,0,0,3,13,11,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,8,5,0,29,18,19,53,76,107,108,77,22,8,488
POA6255,0,0,0,0,6,23,28,34,18,109,0,0,0,3,0,0,0,3,3,9,4,5,14,19,17,34,34,12,6,145,80,86,281,419,528,627,432,155,55,2663
POA6256,0,0,0,0,3,6,7,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,15,0,3,4,30,39,40,27,13,0,156
POA6258,0,3,8,8,25,58,105,100,44,351,0,0,0,6,3,4,6,11,4,34,17,18,29,48,68,63,59,39,16,357,214,335,585,809,1001,820,534,299,123,4720
POA6260,0,0,0,4,3,4,15,20,8,54,0,0,0,0,0,0,0,3,0,3,6,4,5,9,12,13,10,17,9,85,33,40,132,222,236,247,121,81,25,1137
POA6262,0,0,4,0,0,6,13,13,0,36,0,0,0,0,0,0,0,0,4,4,0,0,3,13,13,9,11,7,0,56,19,13,42,105,157,149,81,41,4,611
POA6271,3,3,4,0,9,14,30,16,4,83,0,0,3,3,0,0,3,0,0,9,19,8,40,48,36,44,21,19,6,241,97,116,306,441,415,382,223,83,19,2082
POA6275,0,0,0,0,3,8,20,10,4,45,0,0,0,0,3,0,0,0,0,3,0,3,12,7,17,11,15,7,3,75,35,29,100,152,201,283,169,50,14,1033
POA6280,5,4,23,29,44,114,259,321,147,946,5,3,3,6,10,4,6,6,6,49,65,73,144,192,200,180,192,239,115,1400,781,1078,2453,3200,3224,2891,2099,1455,526,17707
POA6281,0,0,0,3,4,7,29,27,10,80,0,0,0,3,0,0,0,0,3,6,9,20,45,59,29,46,23,15,5,251,124,204,718,978,728,671,459,184,54,4120
POA6282,0,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,4,0,7,12,6,10,0,4,3,46,33,30,102,236,199,212,98,22,6,938
POA6284,0,0,0,0,6,3,3,12,6,30,0,0,0,0,0,0,0,0,0,0,14,6,16,27,15,12,14,10,3,117,42,38,215,312,219,180,102,36,12,1156
POA6285,0,3,6,0,13,12,29,29,17,109,0,0,3,3,3,0,0,0,0,9,30,24,117,109,93,71,35,45,27,551,209,312,1119,1332,1107,818,364,221,89,5571
POA6286,0,0,0,0,6,0,7,3,6,22,0,0,0,0,0,0,0,0,0,0,7,4,7,12,13,11,0,6,3,63,17,22,44,85,106,132,48,25,12,491
POA6288,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,6,13,6,7,6,0,41,14,12,32,58,82,80,39,18,6,341
POA6290,0,0,3,6,4,8,26,22,19,88,0,0,0,0,0,0,0,3,6,9,4,3,5,13,20,19,14,28,15,121,39,42,101,160,251,319,263,164,76,1415
POA6302,0,4,4,0,11,34,45,38,9,145,0,0,0,0,3,0,0,0,3,6,14,8,14,27,52,42,34,27,10,228,108,109,272,393,546,612,401,205,47,2693
POA6304,0,3,0,6,4,14,37,20,10,94,0,0,0,0,0,0,0,0,0,0,4,4,8,18,10,15,35,15,3,112,34,45,97,173,223,308,254,97,36,1267
POA6306,0,3,0,0,3,9,15,14,14,58,0,3,0,0,0,0,0,3,0,6,3,0,6,13,4,10,18,11,7,72,12,36,80,129,118,139,120,63,36,733
POA6308,0,0,0,0,6,28,24,27,10,95,0,0,0,0,0,0,3,0,0,3,3,4,5,10,20,13,15,8,3,81,36,63,138,217,242,233,186,86,31,1232
POA6309,0,0,0,0,0,10,3,3,0,16,0,0,0,0,3,0,0,6,0,9,3,0,0,0,6,0,8,0,3,20,6,6,23,36,42,51,30,12,6,212
POA6311,0,0,0,0,0,7,15,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,7,3,0,20,15,14,43,88,98,94,64,26,6,448
POA6312,0,3,11,12,19,32,64,55,52,248,0,0,0,0,0,7,6,3,3,19,22,15,25,36,38,47,38,62,28,311,169,258,491,647,670,561,360,246,114,3516
POA6313,0,0,0,0,0,3,7,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,6,3,3,3,0,0,15,10,15,32,58,61,63,36,8,0,283
POA6315,0,3,3,5,6,14,33,25,17,106,0,0,0,0,0,3,0,0,0,3,0,8,8,0,27,15,20,21,10,109,44,69,193,196,251,309,206,102,52,1422
POA6316,0,0,0,0,0,5,0,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,12,12,11,49,55,77,50,34,13,3,304
POA6317,3,6,28,36,39,42,76,63,15,308,0,3,5,18,19,24,18,9,4,100,10,24,41,40,37,53,45,25,25,300,137,230,481,559,580,482,328,182,65,3044
POA6318,0,0,0,3,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,12,6,8,20,39,37,35,19,7,0,171
POA6320,0,0,0,0,0,0,15,11,6,32,0,0,0,0,0,0,0,3,0,3,6,3,8,9,14,9,6,3,3,61,26,30,109,118,155,99,56,30,18,641
POA6321,0,0,0,0,0,0,12,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,0,3,21,0,15,26,30,34,25,33,23,6,192
POA6322,0,0,0,0,3,6,8,8,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,7,3,0,0,28,12,19,32,62,70,86,53,17,6,357
POA6323,3,0,0,3,4,3,12,9,3,37,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,11,11,3,0,50,24,19,65,126,165,173,137,28,9,746
POA6324,0,4,0,5,7,23,27,45,23,134,7,7,3,6,0,0,0,3,0,26,17,7,16,23,34,33,22,25,10,187,123,152,277,374,460,436,273,169,74,2338
POA6326,0,0,0,0,3,5,8,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,13,4,0,0,34,18,16,50,54,83,100,53,19,3,396
POA6327,0,0,0,0,0,3,7,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,8,15,12,18,56,48,45,13,18,3,228
POA6328,0,0,0,0,5,0,3,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,7,0,0,24,13,17,40,61,86,53,50,11,3,334
POA6330,4,10,37,43,95,197,409,414,175,1384,0,4,7,10,4,13,17,17,12,84,118,153,264,328,265,259,253,325,158,2123,1243,1714,3340,4305,4616,4302,2996,2011,748,25275
POA6333,0,0,3,5,15,28,43,42,23,159,0,0,0,0,0,3,0,0,0,3,12,9,26,35,54,43,27,33,17,256,121,154,382,636,866,837,632,296,105,4029
POA6335,0,0,0,0,4,0,11,7,6,28,0,0,0,0,0,0,0,3,0,3,0,9,0,9,15,0,4,5,0,42,19,52,94,109,116,113,51,29,12,595
POA6336,0,0,3,0,3,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,3,0,0,17,9,5,37,30,40,47,20,4,0,192
POA6337,0,0,0,0,0,8,8,0,3,19,0,0,4,0,0,0,0,0,0,4,0,0,0,6,4,3,0,0,0,13,13,24,81,63,96,63,23,0,6,369
POA6338,0,0,0,0,3,11,7,7,0,28,0,0,0,0,0,0,0,0,0,0,3,0,6,6,11,4,5,8,0,43,15,32,87,109,135,112,56,29,0,575
POA6341,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,12,47,50,38,46,13,3,0,212
POA6343,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,36,36,41,29,17,6,0,171
POA6346,0,0,3,3,6,7,7,7,6,39,0,0,0,3,0,0,0,0,0,3,0,0,12,5,0,3,6,0,0,26,18,43,131,122,129,78,41,16,6,584
POA6348,0,0,0,7,6,9,21,9,3,55,0,0,0,0,0,0,0,0,0,0,4,6,10,13,12,20,21,14,6,106,15,50,194,202,199,179,147,60,12,1058
POA6350,0,0,0,3,0,3,6,0,3,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,3,3,6,0,18,6,6,20,26,33,34,31,13,3,172
POA6352,0,0,0,0,0,3,10,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,3,0,18,12,11,65,55,68,51,32,10,0,304
POA6353,0,0,0,3,3,0,9,6,3,24,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,6,3,6,0,34,23,33,77,114,117,100,52,35,10,561
POA6355,3,0,0,0,7,13,8,11,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,3,4,4,34,9,22,124,134,155,130,50,24,4,652
POA6358,0,0,0,0,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,15,7,9,27,26,53,41,18,6,3,190
POA6359,0,0,3,0,4,3,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,9,24,14,12,6,0,0,0,65,11,40,114,99,73,53,35,7,4,436
POA6365,0,0,3,0,3,6,10,6,6,34,0,0,0,0,0,0,3,0,3,6,0,0,0,7,4,5,0,3,0,19,12,10,72,100,84,95,48,25,15,461
POA6367,0,0,0,0,7,6,6,6,3,28,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,0,6,3,3,21,7,9,34,37,39,38,22,18,6,210
POA6368,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,10,23,22,43,34,9,6,0,147
POA6369,0,0,0,0,0,8,15,14,5,42,0,0,3,3,0,0,0,0,0,6,0,3,0,3,4,3,6,12,13,44,15,35,55,76,97,67,71,54,30,500
POA6370,0,0,0,0,0,5,6,10,3,24,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,8,6,6,41,11,19,52,68,92,76,63,32,9,422
POA6373,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,6,13,34,31,45,36,12,10,0,187
POA6375,0,3,0,0,5,8,16,16,7,55,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,13,16,7,0,49,15,27,84,97,116,135,117,59,34,684
POA6383,3,0,0,3,7,16,15,15,5,64,0,0,0,0,0,0,0,0,0,0,3,3,6,6,10,13,9,6,6,62,18,24,87,125,174,173,125,72,29,827
POA6386,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,7,3,5,19,38,47,40,12,10,0,174
POA6390,0,0,0,0,6,9,21,13,5,54,0,0,0,3,0,0,0,0,0,3,16,25,105,95,73,42,15,12,3,386,68,101,388,435,373,264,119,49,20,1817
POA6391,0,3,0,0,7,6,6,8,0,30,0,3,0,0,0,0,0,0,0,3,0,0,3,9,4,8,10,6,4,44,17,42,108,131,149,128,83,46,7,711
POA6392,0,0,0,0,3,6,5,4,3,21,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,12,3,0,29,7,14,49,71,78,71,50,28,9,377
POA6393,0,0,0,0,0,6,4,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,15,6,6,28,59,74,63,30,26,3,295
POA6394,0,0,0,0,0,4,7,15,0,26,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,3,0,0,16,10,19,29,68,80,45,42,21,0,314
POA6395,0,0,3,3,6,8,13,31,12,76,0,0,0,0,0,0,0,0,0,0,12,3,8,6,12,12,7,13,6,79,46,79,185,182,236,215,132,104,32,1211
POA6396,3,0,0,0,3,3,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,6,10,6,3,0,0,0,28,3,15,55,66,57,47,17,11,0,271
POA6397,0,0,0,0,0,0,6,0,0,6,3,3,0,0,0,0,0,0,0,6,0,12,33,32,10,11,4,0,0,102,10,24,57,74,62,41,28,4,7,307
POA6398,0,0,0,0,4,3,14,14,5,40,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,11,11,0,35,8,7,48,68,76,88,108,34,5,442
POA6401,6,6,9,12,19,70,89,120,45,376,0,0,0,0,7,6,0,3,3,19,60,49,87,98,113,132,90,88,53,770,328,409,817,904,1030,1070,611,409,167,5745
POA6403,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,18,26,32,28,24,9,0,152
POA6405,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,9,3,9,35,31,51,45,18,12,3,207
POA6407,0,0,0,6,3,6,7,10,6,38,0,0,0,0,0,3,0,0,0,3,4,0,9,9,6,7,8,18,7,68,47,48,118,118,128,131,83,55,31,759
POA6409,3,0,0,0,3,3,9,5,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,3,8,0,27,9,14,38,47,77,48,31,21,4,289
POA6410,3,0,0,3,12,11,35,28,7,99,0,0,0,0,0,0,0,3,0,3,7,7,8,9,8,16,14,6,4,79,29,49,110,129,175,150,134,87,33,896
POA6413,0,0,0,0,3,0,6,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,20,28,34,20,0,3,120
POA6415,6,7,3,10,10,17,48,36,8,145,0,0,3,0,0,0,0,3,3,9,9,13,19,34,40,16,18,22,11,182,108,255,365,393,395,306,192,137,40,2191
POA6418,0,0,0,4,3,5,8,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,9,10,10,5,51,19,28,72,85,77,121,72,48,24,546
POA6421,0,0,0,0,0,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,13,43,35,36,27,9,0,169
POA6423,0,0,0,0,0,5,0,3,0,8,0,0,3,0,0,0,0,0,3,6,0,0,0,3,3,3,3,3,0,15,7,9,46,43,53,38,17,10,3,226
POA6425,0,3,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,14,45,30,10,0,3,129
POA6426,0,0,0,4,6,22,14,16,6,68,0,0,0,0,0,0,0,5,0,5,0,6,15,25,13,15,12,4,0,90,23,69,131,195,148,145,68,39,10,828
POA6429,0,6,3,7,7,29,20,10,0,82,0,0,3,0,0,0,0,3,0,6,16,15,50,52,37,41,17,0,0,228,73,101,229,231,255,222,84,23,3,1221
POA6430,4,7,34,37,67,115,119,94,50,527,0,0,13,8,8,11,5,6,5,56,196,213,523,476,430,239,131,86,40,2334,1002,1804,4094,3791,3243,1872,736,342,136,17020
POA6431,10,8,14,13,22,15,6,4,0,92,4,5,3,0,3,6,7,3,0,31,10,0,10,7,7,6,0,0,0,40,55,58,128,80,80,61,25,10,0,497
POA6432,6,3,11,20,26,82,57,26,5,236,0,6,0,5,0,0,0,5,0,16,65,130,232,188,210,136,64,26,15,1066,360,685,1328,1155,1085,746,298,103,23,5783
POA6434,3,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,6,14,24,28,21,6,9,0,0,108
POA6436,0,0,0,0,3,6,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,3,0,0,20,6,7,18,22,34,37,11,6,0,141
POA6437,0,4,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,21,63,45,40,10,10,0,0,192,9,125,357,255,201,84,19,0,3,1053
POA6438,3,3,3,3,6,13,0,0,0,31,0,0,0,4,4,0,3,0,0,11,29,57,128,77,66,32,6,6,0,401,58,134,283,193,197,117,30,12,4,1028
POA6440,3,7,6,5,6,17,8,0,0,52,0,0,0,0,3,0,0,0,0,3,6,13,23,33,29,18,6,0,0,128,33,110,207,226,192,129,50,11,0,958
POA6442,3,3,0,5,4,9,12,7,0,43,0,0,0,3,6,0,3,0,0,12,25,23,46,41,37,33,18,3,0,226,134,213,461,450,306,215,83,19,4,1885
POA6443,3,0,0,6,0,12,15,6,0,42,0,0,0,6,0,0,0,0,0,6,6,18,35,30,28,26,22,7,5,177,23,89,191,174,169,135,103,20,5,909
POA6445,0,0,0,0,0,7,3,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,22,26,27,16,19,0,0,118
POA6447,0,0,0,3,3,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0,4,11,7,0,0,0,0,29,21,14,52,96,73,33,23,6,3,321
POA6448,0,0,0,3,0,3,6,6,3,21,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,3,0,3,0,23,25,21,36,58,72,50,28,12,3,305
POA6450,0,3,19,27,47,92,162,135,38,523,0,3,0,6,3,3,4,6,3,28,63,59,112,119,150,119,145,142,71,980,456,627,1338,1735,1837,1436,1037,579,181,9226
POA6460,0,0,0,3,9,11,12,14,6,55,0,0,0,0,0,0,0,0,0,0,3,0,5,11,8,9,10,8,3,57,30,27,98,134,139,141,101,50,21,741
POA6461,0,0,3,0,0,6,5,4,10,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,6,0,0,19,0,15,50,45,31,64,42,22,13,282
POA6462,0,0,0,0,0,3,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,6,6,34,43,42,51,27,13,9,231
POA6468,0,0,3,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,4,16,37,30,40,16,13,0,6,162
POA6472,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,8,0,6,27,34,33,24,6,10,0,140
POA6475,0,0,0,0,0,7,7,8,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,12,9,18,59,46,62,62,45,26,3,330
POA6477,0,0,0,0,3,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,10,6,21,31,41,54,41,23,12,3,232
POA6479,0,0,0,3,0,6,12,6,0,27,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,6,3,0,24,15,24,51,64,79,71,54,31,0,389
POA6484,0,0,0,0,0,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,26,24,19,5,0,0,0,88,0,51,96,87,82,42,9,0,0,367
POA6485,0,0,0,6,3,9,12,11,8,49,0,0,0,0,0,3,0,0,0,3,0,4,0,4,3,7,16,8,4,46,9,33,30,64,70,70,85,38,16,415
POA6488,0,3,0,0,0,3,9,4,5,24,0,0,0,0,0,0,4,0,0,4,0,0,3,6,0,3,6,3,0,21,10,9,32,45,60,52,53,10,5,276
POA6490,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,11,6,11,16,24,42,37,14,18,3,171
POA6501,0,0,0,0,7,8,17,0,0,32,0,0,0,0,0,0,0,0,0,0,3,5,3,9,14,3,4,4,0,45,48,47,81,163,187,149,62,23,6,766
POA6502,0,3,0,6,0,6,10,4,6,35,0,0,0,0,0,0,0,0,0,0,7,3,6,8,14,9,8,9,6,70,44,33,61,120,173,160,147,51,15,804
POA6503,0,0,3,3,14,21,30,13,9,93,0,0,0,0,0,0,0,0,3,3,9,6,11,27,22,24,23,13,5,140,55,89,194,284,312,291,213,72,24,1534
POA6505,0,0,0,0,0,0,10,4,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,7,12,0,3,4,0,30,10,4,20,23,66,45,39,15,0,222
POA6507,0,3,3,0,6,6,0,3,0,21,0,3,0,0,3,0,0,0,0,6,0,3,4,0,0,0,0,0,0,7,0,25,61,56,69,57,44,14,3,329
POA6509,0,0,0,0,4,3,3,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9,3,16,42,51,62,43,28,8,3,256
POA6510,0,0,0,7,7,20,33,21,11,99,0,0,0,0,3,0,6,0,0,9,9,8,13,26,26,14,8,8,3,115,76,107,252,255,301,268,154,76,41,1530
POA6511,0,0,0,4,3,3,17,3,0,30,0,0,0,0,0,0,0,0,0,0,4,3,3,3,6,9,6,11,0,45,11,14,31,59,59,98,66,42,6,386
POA6513,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,9,6,4,21,38,23,27,9,9,0,137
POA6514,0,0,0,0,4,6,12,9,0,31,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,10,14,6,0,51,15,26,45,72,90,133,90,43,0,514
POA6515,0,0,0,3,0,4,5,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,12,4,23,48,71,82,55,51,21,0,355
POA6516,0,0,3,0,5,15,20,22,12,77,0,0,0,0,0,0,0,4,0,4,7,8,8,18,22,30,16,21,3,133,30,42,172,206,205,229,166,92,19,1161
POA6517,0,0,0,0,7,4,3,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,12,11,0,4,40,16,18,58,45,71,74,39,16,4,341
POA6518,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,13,0,3,12,9,20,24,19,0,0,87
POA6519,0,0,3,0,6,6,14,7,6,42,0,0,0,0,0,0,0,0,0,0,0,4,6,0,10,7,0,6,8,41,7,26,76,79,91,99,42,28,14,462
POA6521,0,0,0,0,3,3,7,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,9,8,13,24,46,73,55,35,12,3,269
POA6522,0,6,0,0,3,6,8,6,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,5,7,0,29,10,25,54,68,67,76,37,21,0,358
POA6525,3,3,7,3,11,20,66,41,18,172,0,5,0,0,0,0,0,0,0,5,6,3,22,30,32,38,37,42,10,220,94,126,289,465,531,544,419,206,48,2722
POA6528,0,0,0,0,0,3,6,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,3,0,24,5,15,19,40,65,41,24,15,3,227
POA6530,15,16,24,66,125,264,453,339,143,1445,4,0,4,11,18,19,24,19,16,115,144,150,284,279,327,275,260,263,99,2081,1377,1984,3699,4479,4475,3597,2225,1354,459,23649
POA6532,0,0,0,10,12,55,85,50,9,221,0,0,0,3,4,0,0,3,3,13,21,69,144,106,73,70,45,25,7,560,218,281,729,918,892,791,389,157,28,4403
POA6535,0,0,0,7,0,25,47,33,6,118,0,0,0,0,0,0,0,3,0,3,3,4,6,14,14,17,20,11,10,99,40,39,116,174,226,267,204,103,35,1204
POA6536,0,0,0,0,5,15,22,15,0,57,0,0,0,0,0,0,0,0,0,0,6,5,0,13,26,24,16,18,3,111,38,35,107,232,244,253,170,76,15,1170
POA6537,0,0,0,0,0,7,7,12,3,29,0,0,0,3,3,0,0,0,0,6,3,3,10,6,5,9,6,6,0,48,13,21,77,91,84,129,74,40,9,538
POA6556,0,0,6,3,0,6,12,11,4,42,0,0,0,3,8,0,0,0,0,11,6,3,9,15,28,16,11,6,0,94,85,95,152,267,375,232,123,64,13,1406
POA6558,0,0,0,0,4,8,7,0,3,22,0,0,0,0,0,0,0,0,0,0,39,238,540,370,139,70,29,9,0,1434,62,263,593,491,276,173,86,26,6,1976
POA6560,0,0,8,0,9,9,25,6,0,57,0,0,0,0,0,0,0,0,0,0,15,9,13,20,17,14,19,13,0,120,78,64,117,191,219,138,105,42,7,961
POA6562,0,0,0,0,3,16,13,9,3,44,0,0,0,3,0,0,0,0,0,3,3,4,6,8,13,19,13,6,0,72,24,24,109,165,153,224,138,39,6,882
POA6564,0,0,0,0,4,0,0,5,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,0,4,0,21,9,14,29,35,64,59,32,26,3,271
