region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6082,0,0,0,6,9,14,22,9,0,60,0,0,3,3,6,4,0,3,0,19,28,15,12,29,37,33,23,15,3,195,148,163,260,468,548,429,225,95,13,2349
POA6083,0,0,0,8,3,12,19,21,6,69,0,0,0,0,0,0,0,0,0,0,21,8,12,36,68,45,34,9,3,236,154,127,202,558,702,502,297,94,15,2651
POA6084,0,3,5,6,16,37,47,28,10,152,0,0,0,0,0,0,0,0,4,4,29,25,47,76,86,68,58,24,5,418,289,283,579,1048,1082,809,469,136,31,4726
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,6,0,0,0,15
POA6100,0,6,14,8,28,42,81,105,47,331,0,6,21,3,7,6,8,18,6,75,50,176,396,206,189,159,101,71,29,1377,392,1485,3464,2058,1727,1406,658,414,155,11759
POA6101,3,8,22,33,36,67,117,132,71,489,0,15,21,28,22,12,6,16,8,128,45,164,251,173,136,109,114,93,59,1144,474,1505,3294,2473,1730,1380,757,508,288,12409
POA6102,9,15,30,39,59,57,99,168,126,602,4,11,20,14,26,13,16,19,6,129,87,325,321,174,130,113,120,237,356,1863,723,2618,2831,1478,1094,880,686,929,804,12043
POA6103,0,0,16,22,36,50,95,67,40,326,0,0,5,4,5,10,15,12,4,55,47,106,209,137,113,87,84,79,37,899,264,818,1948,1236,1001,771,537,336,139,7050
POA6104,0,6,27,23,44,94,135,132,56,517,0,5,4,10,17,12,15,6,0,69,71,113,262,246,196,170,118,128,80,1384,457,1029,2435,2015,1688,1447,881,629,265,10846
POA6105,6,10,24,34,43,96,204,180,69,666,0,12,25,23,24,20,16,12,8,140,46,92,178,155,137,109,142,136,50,1045,459,1043,2293,1957,1652,1299,1007,783,271,10764
POA6106,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,6,3,6,6,0,0,21
POA6107,11,31,87,125,146,242,315,304,108,1369,5,25,72,57,61,60,34,33,16,363,163,373,688,455,373,353,265,210,106,2986,1377,3803,7448,5158,4118,3474,2109,1193,397,29077
POA6108,0,11,40,65,97,186,189,135,46,769,0,3,20,33,30,26,29,30,4,175,97,112,179,225,174,167,179,131,34,1298,997,1689,3124,3215,3101,2892,1676,764,172,17630
POA6109,12,7,31,41,42,117,102,91,26,469,0,3,14,25,25,18,20,15,7,127,80,62,162,153,142,145,109,121,41,1015,481,739,1751,1379,1318,1256,756,482,157,8319
POA6110,16,22,49,79,124,218,281,217,113,1119,4,9,22,26,36,20,28,28,8,181,177,187,424,377,377,319,218,274,178,2531,1518,2458,5475,4927,4376,3625,2190,1254,511,26334
POA6111,10,8,28,39,49,131,179,126,77,647,0,5,3,16,9,11,10,10,0,64,114,83,180,250,242,230,183,150,45,1477,1001,1437,2657,2919,3216,3124,1698,806,264,17122
POA6112,15,19,51,77,129,237,270,196,79,1073,0,6,15,19,27,20,18,19,6,130,195,241,447,418,419,360,288,307,121,2796,1769,3173,6658,5398,5072,3990,2335,1305,394,30094
POA6121,0,0,0,0,13,16,20,13,6,68,0,0,0,0,0,3,3,0,0,6,14,12,10,20,25,33,8,12,0,134,145,161,197,453,504,361,153,50,11,2035
POA6122,3,0,4,12,18,55,48,49,12,201,0,0,0,6,0,0,0,3,0,9,26,31,44,77,75,56,36,45,42,432,419,678,1335,1438,1224,941,445,189,77,6746
POA6123,0,0,0,3,0,12,13,14,3,45,0,0,0,0,0,0,0,0,0,0,5,6,5,15,5,11,4,0,3,54,75,86,139,228,215,165,71,41,6,1026
POA6124,0,0,0,3,3,3,6,7,3,25,0,0,0,3,0,0,3,0,0,6,3,3,8,14,14,12,6,0,0,60,35,42,104,184,171,137,106,24,3,806
POA6125,0,0,3,5,8,17,34,15,4,86,0,0,0,0,0,0,3,0,0,3,9,13,14,19,27,26,20,19,3,150,104,134,199,424,433,365,260,98,18,2035
POA6126,0,0,0,0,0,3,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,16,60,79,51,28,11,3,0,248,6,24,88,111,89,80,35,12,3,448
POA6147,14,11,40,62,66,129,138,85,29,574,0,6,28,48,30,33,27,31,7,210,44,55,101,114,107,99,96,78,30,724,550,1231,2401,2047,1869,1776,1043,497,154,11568
POA6148,0,5,15,21,28,66,123,121,77,456,0,10,0,8,3,4,7,6,10,48,62,79,117,124,113,160,114,161,125,1055,717,1345,1889,2198,2429,2203,1487,959,489,13716
