POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA6012,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,4,0,0,0,3,0,0,0,15,0,0,9,22,15,15,10,3,0,82,0,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,9,0,3,3,14,3,3,3,0,0,27,0,0,0,4,0,7,0,3,0,19,0,0,3,15,10,15,4,3,3,51,0,6,3,8,3,10,0,3,0,38,0,9,14,27,15,4,8,4,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,8,12,12,9,7,3,0,0,48
POA6014,0,3,0,14,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,15,0,3,0,6,4,4,3,9,10,40,3,8,3,53,38,34,16,8,0,163,0,0,0,5,9,3,4,0,0,18,0,0,0,13,0,0,0,0,0,13,0,0,0,3,10,0,0,0,0,8,0,3,8,39,7,5,4,4,0,68,0,0,0,11,5,9,0,3,0,33,0,4,3,20,27,7,9,4,0,83,3,7,3,30,16,14,3,7,0,86,0,19,28,65,39,17,16,3,4,194,0,0,0,0,0,3,0,0,0,3,0,3,3,17,3,4,3,5,0,37,0,0,3,9,7,0,0,0,0,16,0,0,0,8,9,5,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,7,21,14,29,15,8,4,0,3,102
POA6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,0,3,3,0,23,0,3,9,15,10,16,4,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,4,0,3,0,16,0,4,0,3,9,10,5,9,0,38,0,3,5,3,7,3,3,0,0,19,0,6,13,9,21,12,7,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,7,13,16,13,3,4,0,68
POA6016,0,3,0,3,0,4,0,3,3,18,0,0,0,0,0,0,3,0,0,10,0,0,11,10,0,0,0,0,0,22,0,0,3,3,3,0,4,0,0,12,0,0,3,35,12,17,6,3,0,75,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,21,7,0,0,0,0,39,0,0,0,3,0,3,0,0,0,14,0,0,0,24,10,6,3,9,0,45,3,0,8,17,5,4,0,0,0,35,0,0,5,26,3,9,3,0,0,53,0,0,0,3,0,3,3,0,0,10,0,0,0,9,0,0,0,0,0,14,0,0,0,18,0,0,0,0,0,24,0,0,0,12,3,3,0,0,0,20,0,0,0,5,3,8,4,7,0,24,0,0,0,0,0,0,0,0,3,3,0,0,0,9,8,0,3,0,0,26
POA6017,0,0,5,6,0,0,0,0,0,16,0,0,0,7,3,0,0,3,0,17,0,0,6,11,3,0,0,0,0,19,0,0,0,0,0,0,3,0,0,4,0,0,11,23,12,12,3,0,0,53,0,0,0,3,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,17,0,6,3,3,0,34,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,8,0,0,3,12,3,0,0,0,0,19,0,0,3,3,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,15,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,5,0,3,0,0,0,0,8
POA6018,0,0,5,9,4,0,4,0,0,23,0,0,0,4,5,3,6,3,4,29,0,0,0,10,0,0,0,0,0,10,0,0,5,14,9,7,25,13,7,81,8,18,39,218,64,69,23,17,3,464,0,4,0,7,7,3,4,0,0,27,0,0,0,10,0,0,0,0,0,12,0,0,0,10,7,3,0,0,0,23,0,4,3,43,20,15,5,0,0,95,0,0,0,29,6,20,11,10,0,68,3,9,20,44,45,33,25,23,15,209,0,8,15,52,26,21,17,10,0,156,5,36,60,157,77,43,22,18,6,423,0,0,0,8,3,7,7,6,0,25,0,0,3,12,8,7,10,3,5,54,0,0,3,24,4,3,3,0,0,30,0,4,10,23,15,0,5,0,0,63,0,0,0,6,3,3,0,0,0,14,0,0,3,3,0,0,0,0,0,10,8,15,12,34,16,13,4,3,0,111
POA6019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,0,10,8,3,41,0,12,34,184,36,55,28,6,0,360,0,0,4,16,0,0,3,3,0,30,0,0,0,3,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,13,0,0,0,14,3,5,0,0,0,29,0,0,0,19,3,4,4,0,0,34,0,5,11,36,15,20,13,3,3,110,0,0,5,24,8,14,3,7,0,65,4,19,36,112,38,26,15,11,0,270,0,0,0,0,4,0,0,0,0,5,0,3,0,3,4,3,3,0,0,21,0,0,0,9,3,0,0,0,0,11,0,3,5,11,3,0,0,0,0,29,0,0,0,4,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,6,0,8,9,44,12,10,7,0,0,91
POA6020,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,9,6,0,27,0,0,0,0,0,0,0,0,0,0,3,6,3,10,5,8,16,7,3,54,0,19,5,78,45,64,20,3,4,240,3,3,0,7,3,4,6,0,3,24,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,5,12,5,8,5,0,0,39,0,0,3,13,4,17,8,0,3,44,0,7,13,23,33,28,25,10,3,146,0,8,12,6,6,16,11,0,0,57,0,23,45,85,73,59,15,16,8,325,0,0,0,4,0,3,3,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,6,0,0,0,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,17,4,17,8,8,4,0,0,60
POA6021,0,0,0,10,0,6,9,3,0,28,0,0,0,3,4,0,4,3,0,14,0,0,7,12,0,0,0,0,0,15,0,0,0,3,0,0,9,3,3,22,0,9,24,73,26,30,7,0,0,173,0,0,0,6,0,3,0,3,0,16,0,0,3,11,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,9,10,39,9,4,4,0,0,87,0,0,3,16,9,23,5,4,6,62,0,3,3,13,15,10,5,3,4,56,0,3,6,21,14,9,0,0,0,50,0,3,17,45,20,9,12,4,0,113,0,0,0,3,10,5,6,3,4,33,0,0,0,6,3,0,0,4,0,16,0,0,0,34,7,7,0,0,0,47,0,6,3,26,3,5,4,0,0,41,0,0,0,22,25,45,35,30,4,161,0,3,0,3,0,0,0,0,0,8,0,3,5,13,3,4,0,0,0,27
POA6022,0,0,0,4,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,31,24,9,4,3,0,88,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,3,3,3,0,0,22,0,0,0,3,0,0,0,0,0,9,0,0,3,6,0,8,8,3,0,21,0,0,0,6,0,3,0,0,0,8,0,3,0,13,6,3,0,0,0,28,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,4,0,3,0,14,0,0,0,0,0,17,0,0,0,3,7,6,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
POA6023,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,3,5,23,0,12,15,51,46,35,10,0,3,170,0,0,0,10,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,6,5,12,7,3,0,29,0,0,0,9,0,9,9,0,3,37,0,16,8,26,21,21,28,7,3,128,0,0,4,10,12,7,6,0,0,35,0,31,46,78,69,46,20,8,4,298,0,0,0,7,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,7,0,0,3,9,6,4,0,0,0,20,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,7,14,6,8,7,4,3,46
POA6024,0,0,0,3,0,3,0,0,0,8,0,0,0,0,3,3,3,0,0,14,0,0,0,4,0,0,0,0,0,4,0,3,0,3,3,0,12,4,3,20,3,15,17,61,35,37,19,6,4,202,0,0,0,3,0,3,8,0,0,14,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,3,4,13,3,12,5,0,0,36,0,0,0,3,3,9,3,0,3,16,0,0,17,17,15,13,16,7,0,81,0,0,9,7,9,9,6,0,3,48,0,8,14,40,19,12,6,4,0,106,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,4,0,0,11,0,0,0,4,0,0,0,0,0,14,0,4,0,15,5,4,0,0,0,32,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,0,16
