region_id,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005
POA6012,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,3,0,0,0,3,9,0,0,35,0,0,0,0,3,9,11,10,0,0,5,4,3,7,0,52,3,3,3,3,0,0,4,0,0,0,0,0,0,0,0,16,0,3,0,3,3,3,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,9,5,3,4,0,0,4,3,3,3,0,52,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,8,4,9,6,0,5,0,0,0,3,0,35,0,5,0,5,5,3,14,11,3,3,3,13,11,3,3,82,0,0,4,0,0,4,11,5
POA6014,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,5,14,11,16,10,8,5,6,9,5,6,6,104,0,0,0,3,8,10,20,41,12,8,11,24,19,13,11,180,6,4,8,4,3,0,7,0,0,0,0,0,0,0,0,32,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,9,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,9,0,7,11,4,9,11,21,9,3,3,0,3,5,0,3,89,9,0,12,12,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,10,10,9,9,3,3,0,5,3,0,4,56,3,7,3,24,13,18,12,52,60,28,76,102,61,29,12,500,0,0,3,3,0,9,13,3
POA6015,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,4,0,3,3,3,9,3,3,44,0,0,0,3,0,7,0,9,0,3,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,7,11,0,0,4,4,4,0,0,0,38,3,7,10,7,4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,3,9,5,0,0,3,0,0,0,0,23,0,5,4,8,7,8,9,0,0,4,0,0,4,0,7,56,0,0,4,0,0,3,10,0
POA6016,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,10,0,0,0,0,0,0,0,35,0,0,0,3,0,12,6,13,13,16,8,6,11,0,5,93,0,0,0,7,3,3,4,0,0,0,0,0,0,0,0,17,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,18,0,0,0,0,0,0,0,0,0,0,35,0,0,5,3,6,13,11,7,5,0,0,0,0,0,0,50,3,4,32,17,11,0,0,0,0,0,0,0,0,0,0,67,0,0,0,4,4,3,7,3,0,3,0,3,5,0,3,35,0,3,0,11,5,12,5,24,22,23,81,114,39,32,21,392,0,0,0,0,0,0,4,3
POA6017,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,9,17,5,7,6,8,5,0,5,66,0,3,7,11,3,3,7,0,0,0,0,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0,0,18,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,10,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,4,0,0,3,0,3,0,0,17,0,4,3,0,0,3,8,27,29,31,76,82,26,16,10,315,0,0,3,0,3,3,3,6
POA6018,0,3,0,3,3,0,20,0,0,0,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,3,11,12,22,23,20,4,12,4,7,16,0,8,142,0,0,3,7,5,49,69,62,9,16,19,35,21,17,12,324,5,0,24,19,10,0,10,0,0,0,3,0,0,0,0,71,0,3,3,6,3,5,5,3,0,6,0,0,0,0,0,34,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,12,3,0,3,8,3,3,0,0,0,0,0,0,0,0,4,24,0,22,17,21,18,31,16,28,6,8,9,11,7,3,11,208,3,8,31,13,4,3,0,0,0,0,0,0,0,0,5,67,0,0,0,3,13,20,45,15,0,3,0,4,5,3,3,114,3,19,14,43,21,18,56,51,40,41,49,49,25,7,14,450,0,3,7,0,8,12,51,22
POA6019,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,21,13,7,7,11,7,17,4,9,126,0,3,0,4,0,9,13,18,4,6,9,11,5,7,8,97,0,0,4,8,0,6,4,6,0,3,0,0,0,0,0,31,0,0,3,3,0,0,3,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,7,4,3,0,0,0,0,0,3,0,0,17,0,10,18,5,8,27,23,18,9,7,19,6,11,5,3,169,3,0,3,9,0,0,3,0,0,0,0,0,0,0,0,18,0,5,0,3,0,9,3,3,3,3,3,0,0,0,0,32,0,3,4,12,5,3,23,25,0,21,21,7,3,4,4,135,0,3,5,0,3,5,18,8
POA6020,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,14,15,12,3,3,3,0,3,0,3,75,0,0,0,0,0,10,13,4,0,3,5,0,4,4,0,43,0,3,4,11,7,3,3,0,0,0,0,0,0,0,3,34,0,4,0,3,3,5,8,0,0,0,4,0,0,0,0,27,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,5,7,5,3,6,0,0,0,0,0,0,0,0,26,0,18,24,11,16,20,15,17,4,3,0,0,4,0,3,135,0,3,16,10,4,0,3,0,0,0,0,0,0,0,0,36,0,0,0,4,8,7,7,6,3,0,0,0,0,0,0,35,3,4,8,26,15,12,25,8,4,3,3,5,0,0,3,119,0,0,0,0,4,3,13,0
POA6021,0,0,0,7,0,4,51,10,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,10,4,3,3,0,0,0,0,0,44,0,0,0,0,3,30,43,37,20,13,12,16,8,6,14,202,8,3,50,81,21,10,26,3,0,0,0,0,3,0,16,221,0,3,7,11,3,8,4,3,3,0,3,3,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,32,80,86,35,29,3,0,3,3,4,0,3,19,315,4,7,11,6,3,14,12,9,0,3,5,0,0,3,3,80,3,26,127,110,26,6,0,0,0,0,0,0,0,0,15,313,0,0,0,3,13,21,16,8,4,3,0,0,8,4,3,83,0,7,5,32,27,24,53,45,40,49,97,55,17,10,11,472,0,0,0,0,3,5,42,11
POA6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,7,4,3,0,0,0,0,3,0,0,0,20,0,3,0,0,0,3,3,5,0,0,5,3,3,0,0,25,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,15,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,13,3,3,0,0,0,0,4,0,3,0,47,0,3,5,0,3,6,0,0,0,0,0,0,0,0,0,17,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,10,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,7,0,4,4,12,4,8,9,4,3,10,0,3,3,0,0,64,0,0,0,3,0,0,5,0
POA6023,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,9,13,11,0,0,3,0,0,0,0,48,0,0,0,0,0,9,6,7,3,0,6,3,3,0,0,37,0,3,8,5,3,0,3,0,0,0,0,0,0,0,0,22,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7,5,23,11,11,4,4,0,0,4,0,0,96,0,3,3,9,3,3,3,0,0,0,0,0,3,0,0,27,0,0,0,3,3,7,4,0,3,0,0,0,0,0,3,23,0,8,6,20,11,7,19,13,3,6,9,0,0,0,4,106,0,0,5,0,0,0,10,0
