POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6397,0,0,0,10,3,11,0,0,0,0,0,0,10,3,11,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14,20,9,24
POA6398,0,0,0,7,20,31,0,0,0,0,0,3,14,23,32,13,17,26,0,0,0,4,0,0,15,14,34,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,51,58,73,130
POA6401,52,53,107,192,194,386,103,113,211,8,8,13,308,307,618,168,166,331,45,69,116,22,26,49,238,261,496,7,3,7,5,4,10,22,17,40,25,52,79,0,0,3,51,81,137,17,15,29,3,12,13,3,0,3,18,23,39,3,0,3,42,48,96,3,8,16,10,28,38,0,0,0,18,32,50,892,412,1308,1601,1196,2803
POA6403,0,0,0,0,9,6,0,0,0,0,0,0,4,4,10,4,7,8,0,3,5,0,0,0,8,9,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,16,24,28,49
POA6405,0,3,7,18,8,32,6,7,9,0,0,0,21,12,38,0,4,7,4,0,5,0,0,3,10,10,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14,43,34,80
POA6407,4,8,11,46,50,88,0,0,0,7,0,7,47,46,99,100,36,140,7,0,10,4,8,12,107,50,153,3,0,3,0,0,0,0,0,0,3,8,10,0,0,0,3,11,18,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,77,56,137,252,179,428
POA6409,0,0,3,33,16,51,0,0,0,0,0,0,33,16,51,0,5,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,7,0,0,3,0,0,0,0,3,3,3,3,9,0,0,0,3,9,13,3,3,4,0,0,0,0,0,0,3,3,4,31,31,61,79,63,140
POA6410,9,3,12,47,46,91,0,0,3,3,8,12,52,51,104,25,23,47,0,0,0,4,0,7,27,25,50,0,0,3,0,0,0,0,0,3,0,10,9,0,0,0,3,12,17,0,4,4,3,4,4,0,3,0,0,0,0,0,0,0,6,8,11,0,0,0,0,0,5,0,0,0,0,0,5,58,61,116,149,157,306
POA6411,0,0,0,3,0,7,0,0,0,0,0,0,3,0,7,3,6,7,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,17,17,13,34
POA6412,0,0,0,0,0,3,0,0,3,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,12,9,17
POA6413,0,0,0,0,0,3,6,0,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,5
POA6414,0,0,0,0,0,0,6,0,7,0,0,0,5,0,8,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,11,12,21
POA6415,14,20,26,78,72,151,60,44,105,0,3,3,143,112,255,100,105,205,0,0,3,0,0,0,107,102,213,13,0,13,0,0,0,5,9,14,10,19,22,0,0,0,27,28,51,0,10,11,0,4,4,0,0,0,0,5,11,0,0,0,5,20,22,70,5,75,3,0,3,0,0,0,69,6,77,120,118,239,481,406,884
POA6418,3,3,11,31,33,62,0,0,0,0,0,0,28,33,65,16,14,25,0,0,0,0,0,0,16,14,25,0,0,0,0,0,0,3,0,4,4,3,8,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,0,0,3,3,7,33,30,62,91,97,185
POA6419,0,0,3,5,3,5,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16
POA6420,0,0,0,3,0,7,0,0,0,0,0,0,3,4,7,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,12,21,18,18,34
POA6421,3,0,4,0,3,3,9,11,16,0,0,0,9,15,22,0,4,7,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,26,28,31,57
POA6422,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,17
POA6423,0,3,0,0,0,4,3,4,5,0,0,0,6,8,10,0,3,8,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,14,7,25,33,22,51
POA6424,0,0,0,3,8,6,0,0,0,0,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,13,13,20
POA6425,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,15,12,26
POA6426,4,3,8,25,21,44,5,12,14,0,0,0,28,33,64,16,11,24,0,0,0,0,0,0,16,8,26,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,69,47,112,118,99,219
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,27,24,3,29
POA6428,3,0,3,3,3,7,0,0,0,0,0,0,3,3,7,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18
POA6429,4,0,6,17,11,35,3,4,12,21,17,34,36,35,77,5,9,19,8,5,19,23,17,37,37,36,76,0,3,3,0,3,3,0,0,0,4,9,10,0,0,0,4,13,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,5,3,0,0,3,0,3,0,0,0,3,0,5,57,63,123,148,151,303
POA6430,171,151,315,828,817,1649,221,235,454,63,63,125,1118,1106,2226,412,395,805,261,291,557,46,63,107,727,744,1473,24,32,61,7,25,37,64,83,141,76,186,261,0,4,3,176,329,501,102,41,138,79,45,119,11,23,38,92,154,250,0,0,0,282,263,543,11,19,25,27,69,97,4,0,4,42,87,128,1185,1032,2217,3695,3707,7405
POA6431,4,9,13,33,22,56,0,0,0,3,0,4,42,26,65,18,15,29,0,0,0,3,4,6,23,17,36,0,0,0,0,0,0,3,3,4,3,0,8,0,0,0,11,7,16,0,3,3,0,3,4,0,0,0,4,4,5,0,0,0,5,10,10,0,0,0,3,0,4,0,0,0,3,0,4,85,62,150,163,125,288
POA6432,49,56,104,275,265,537,45,47,89,27,13,42,337,328,664,124,123,246,37,40,78,12,5,19,171,168,343,6,7,16,0,8,8,23,28,53,9,55,68,0,0,0,43,97,146,3,11,8,0,15,15,3,5,3,6,31,35,0,0,0,13,50,65,5,6,12,12,9,20,0,0,0,14,24,39,564,441,1009,1200,1163,2366
