POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6575,0,0,0,12,4,21,0,0,0,0,0,0,12,4,25,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,28,15,46
POA6603,13,6,21,62,57,114,3,0,3,3,3,5,66,60,121,20,20,41,0,0,0,0,3,3,22,22,42,0,0,0,0,0,0,0,3,7,3,6,9,0,0,0,5,7,14,0,0,4,0,0,3,0,0,0,0,8,8,0,0,0,3,12,19,0,0,3,0,8,9,0,0,0,0,8,12,32,19,55,143,137,277
POA6605,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
POA6606,0,0,0,4,4,15,0,0,0,0,0,0,4,4,15,3,0,8,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,6,4,6,15,14,34
POA6608,3,3,3,5,6,14,0,0,0,0,0,0,5,6,14,3,0,8,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,19,14,36
POA6609,3,6,14,29,33,62,0,0,0,0,0,0,29,36,62,13,11,22,0,0,0,3,0,9,21,10,31,4,0,4,0,0,0,0,4,7,0,4,3,0,0,0,10,4,14,3,0,3,4,3,6,0,0,0,0,0,4,0,0,0,7,6,10,0,0,3,0,4,7,0,0,0,3,3,9,38,32,70,110,96,208
POA6612,0,3,3,8,9,23,0,0,0,0,0,0,8,9,23,4,0,6,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,28,29,29,61
POA6613,0,0,0,3,0,10,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,11,6,20
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
POA6616,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6
POA6620,0,7,7,20,17,34,0,0,0,0,0,0,20,17,34,4,6,3,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,3,0,5,0,3,4,0,0,0,7,9,9,0,0,0,0,0,0,3,0,3,3,0,8,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,47,18,65,75,46,125
POA6623,7,4,9,39,20,61,0,0,0,0,0,3,41,24,57,36,28,68,0,0,0,3,0,3,42,28,71,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,33,64,121,95,219
POA6625,0,0,0,3,3,8,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,11,7,17
POA6627,0,0,0,9,0,14,0,0,0,0,0,0,9,0,14,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,22
POA6628,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,9,14
POA6630,7,7,12,12,23,30,18,9,28,0,0,0,27,31,57,4,6,10,3,0,7,0,0,0,9,12,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,3,5,0,0,0,0,3,5,60,41,106,104,98,208
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,5
POA6632,0,0,0,3,0,3,5,3,10,0,0,0,5,3,8,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,15,9,21
POA6635,0,3,3,13,11,19,0,0,0,0,0,0,13,11,19,5,5,6,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,55,26,83,73,45,123
POA6638,0,7,6,19,14,34,0,0,0,0,0,0,21,14,35,5,6,14,0,0,0,0,0,3,13,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,69,51,118,98,78,180
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,19,14,6,21
POA6640,0,0,0,11,0,9,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,20,57,40,26,65
POA6642,7,3,7,28,27,56,0,0,0,4,0,4,33,27,57,8,9,24,0,0,0,0,5,5,8,18,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,3,0,3,6,7,7,0,0,0,6,7,13,0,0,0,0,0,0,0,0,0,0,0,3,153,112,259,214,164,374
POA6646,4,0,8,16,22,36,0,0,0,0,0,0,16,23,39,3,3,8,0,0,3,0,0,3,5,4,14,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,5,4,13,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,4,3,4,0,4,4,3,3,5,0,0,0,3,3,6,108,31,140,147,68,221
POA6701,37,28,70,83,73,161,87,84,172,54,51,102,225,212,435,77,65,138,55,48,99,3,4,9,132,115,243,3,0,7,0,8,9,4,13,19,7,25,32,0,0,0,19,40,59,0,4,7,5,12,9,0,4,4,5,16,25,0,0,0,10,32,45,4,3,8,3,7,12,0,0,0,11,11,18,508,444,953,951,881,1828
POA6705,4,4,8,12,11,25,0,0,0,0,0,0,12,11,25,10,16,21,0,0,0,0,0,0,10,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,27,16,43,56,51,109
POA6707,25,23,42,116,102,216,0,0,0,9,3,13,125,104,227,67,65,133,0,0,0,3,4,6,70,69,142,3,0,6,0,0,0,5,4,12,12,27,30,0,0,0,20,32,51,0,3,3,0,10,5,0,0,0,3,12,12,0,0,0,4,16,24,0,0,0,0,0,0,0,0,0,0,0,0,144,137,280,384,379,770
POA6710,5,3,13,29,30,62,0,0,0,0,0,0,29,30,62,19,16,28,0,0,0,3,0,4,23,17,40,0,0,0,3,0,10,3,5,9,35,13,54,0,0,0,42,24,69,0,0,0,7,3,12,0,0,0,20,15,38,0,0,0,32,23,48,0,0,0,5,5,12,0,0,0,7,6,19,754,135,884,892,232,1125
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,4,0,0,0,25,0,25,0,0,0,29,0,29,0,0,0,7,0,7,0,0,0,11,0,14,0,0,0,18,0,24,3,0,3,3,0,0,0,0,0,3,0,8,374,26,394,427,23,458
POA6713,8,5,18,79,82,165,4,0,4,0,0,0,85,82,165,27,16,43,28,14,39,0,0,0,52,31,80,0,0,0,0,0,0,0,3,3,6,7,7,0,0,0,6,11,11,0,0,0,0,5,5,0,0,0,3,7,5,0,0,0,3,10,13,0,0,0,0,4,3,0,0,0,0,4,4,50,41,87,199,175,382
POA6714,156,133,290,740,635,1379,126,142,271,27,30,56,896,813,1710,369,278,652,126,123,243,0,0,3,491,408,899,10,9,17,8,12,23,38,42,74,79,107,185,0,3,4,124,178,301,7,18,27,19,30,44,0,8,16,58,106,161,0,0,0,82,165,244,0,5,9,19,45,71,0,0,0,27,55,74,1379,874,2255,3154,2620,5774
POA6716,11,6,16,47,52,106,0,0,0,0,3,4,51,56,108,3,3,4,0,0,0,0,0,0,3,8,7,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,3,7,12,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,12,12,0,4,4,0,4,4,0,0,0,0,7,7,39,28,67,105,118,217
POA6718,5,12,16,41,39,75,3,3,8,0,0,0,45,36,80,32,25,58,3,0,3,3,4,3,34,34,62,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,3,217,61,281,306,148,454
POA6720,37,21,57,104,83,189,45,33,81,0,0,0,153,121,270,61,46,103,21,28,49,4,0,7,79,73,159,0,0,0,0,0,0,3,3,8,8,15,25,0,0,0,12,20,30,0,8,8,0,3,3,0,0,0,7,13,18,0,0,0,7,22,28,0,0,0,5,9,15,0,0,0,3,13,13,244,87,334,533,361,895
POA6721,26,30,52,156,168,328,41,32,74,6,7,12,209,210,414,69,83,152,0,0,0,5,0,5,76,79,153,4,0,4,0,5,5,6,12,23,20,35,54,0,0,3,27,62,92,0,6,6,3,13,19,3,7,6,30,35,70,0,0,0,37,65,100,0,0,3,4,11,12,0,3,3,5,13,21,386,273,662,759,733,1494
POA6722,79,73,151,419,340,762,32,50,87,12,18,23,458,405,865,231,234,467,3,3,4,7,6,20,245,250,489,11,6,17,11,12,25,23,26,45,27,77,110,0,0,0,69,131,198,3,4,7,0,8,9,3,10,10,39,63,104,0,0,0,46,92,136,3,11,18,15,35,51,0,0,0,14,53,69,892,778,1675,1808,1781,3590
POA6725,80,75,151,425,388,812,98,115,212,4,7,12,531,511,1043,225,212,441,60,75,142,7,9,22,294,301,598,9,0,7,3,10,13,20,16,35,30,80,109,0,3,3,66,105,175,6,25,36,14,23,39,0,12,12,24,104,126,0,0,0,49,160,209,10,9,16,10,19,28,3,0,3,19,33,51,848,707,1556,1891,1892,3787
POA6726,39,36,74,184,186,373,91,80,171,7,3,13,288,264,555,143,120,259,36,33,66,3,5,7,179,158,344,7,3,9,5,4,8,11,8,21,26,58,85,0,0,0,48,74,122,3,4,11,5,14,19,0,0,0,24,41,67,3,0,3,37,65,103,0,6,5,4,16,14,0,0,0,3,18,26,345,371,716,940,994,1934
POA6728,42,48,93,270,240,514,47,47,93,28,33,62,342,320,667,114,136,251,7,11,18,25,23,41,142,166,310,3,3,6,3,0,3,14,7,18,27,20,47,0,0,0,46,37,76,3,3,3,3,11,18,0,0,0,8,21,33,0,0,0,10,44,59,0,0,3,5,6,11,0,0,0,9,7,20,496,369,870,1090,997,2093
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,5,9,19,38,56,92,14,12,26,3,3,5,58,65,124,29,37,62,3,4,5,0,9,6,28,45,77,0,0,0,0,0,0,0,0,3,5,4,5,0,0,0,6,10,12,0,0,0,4,0,3,0,0,0,0,6,10,0,0,0,4,8,15,3,0,3,0,0,0,0,0,0,3,0,3,90,118,209,204,258,458
POA6743,43,34,82,177,223,401,66,66,133,6,3,7,256,294,547,134,107,239,14,16,30,8,8,10,152,126,278,6,6,10,3,7,9,14,10,27,20,40,62,0,0,3,43,69,109,8,8,10,6,12,14,0,6,11,13,40,56,0,0,0,24,63,86,10,3,12,8,31,35,0,0,3,14,32,47,433,421,852,969,1042,2011
POA6751,50,34,79,179,192,371,0,0,0,8,3,4,181,197,375,106,72,175,0,0,0,3,3,4,108,69,178,3,0,4,3,3,8,9,5,20,18,23,38,0,0,3,36,32,72,5,0,4,6,4,10,0,0,3,32,32,62,0,0,0,47,35,84,0,0,0,10,7,25,0,0,0,10,7,24,509,203,713,945,583,1530
POA6753,47,48,93,228,257,483,0,0,0,14,7,15,240,258,503,126,135,261,5,0,5,7,4,7,134,137,274,8,3,14,7,7,10,10,10,22,38,31,70,0,0,0,64,60,125,0,4,4,3,9,15,0,5,10,45,40,82,0,0,3,48,54,108,0,0,3,17,15,36,3,0,3,21,17,41,1160,425,1591,1728,1003,2726
POA6754,14,16,30,82,82,162,0,0,0,10,6,15,94,87,185,47,20,67,0,0,0,3,0,3,51,19,76,0,0,0,0,0,0,3,4,8,7,11,21,0,0,0,9,18,30,0,0,5,0,0,0,0,0,0,4,6,11,0,0,0,7,8,19,0,0,0,0,3,3,0,0,0,3,3,6,120,55,180,298,214,513
POA6758,3,0,3,4,9,11,0,0,0,0,0,0,4,9,11,7,3,12,0,0,0,0,0,0,7,3,12,4,0,4,0,0,0,3,0,3,17,6,19,0,0,0,24,6,28,0,0,0,4,0,4,0,0,0,16,6,27,0,0,0,19,11,24,0,0,0,7,0,7,0,0,0,7,0,4,191,53,244,249,84,330
POA6760,4,3,4,30,27,53,0,0,0,6,3,9,35,30,65,15,9,27,0,0,0,3,0,4,17,16,31,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,65,42,106,120,88,211
POA6762,3,0,3,20,15,37,0,0,0,0,0,3,21,19,35,21,9,31,0,0,0,0,0,3,20,15,33,0,0,0,0,0,0,0,0,0,4,9,13,0,0,0,7,9,13,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,135,18,148,197,52,249
POA6765,8,11,15,46,45,96,0,0,0,23,49,66,70,93,160,30,18,41,0,3,3,13,11,29,43,32,76,0,0,0,0,0,0,3,0,5,6,5,13,0,0,0,6,7,18,3,0,4,0,6,8,0,0,0,3,5,9,0,0,0,6,15,17,0,0,0,0,0,3,0,0,0,5,0,4,102,124,225,239,277,523
POA6770,21,9,32,66,57,126,55,51,98,22,14,34,143,123,264,57,36,93,10,16,23,3,12,14,69,67,133,0,0,0,0,0,0,0,3,4,7,7,15,0,0,0,12,9,21,0,0,3,0,0,0,0,0,0,0,8,10,0,0,0,3,11,14,0,0,6,3,3,10,0,0,0,5,5,10,368,388,753,618,606,1223
