region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6123,0,67,67,152,4,156,84,0,84,90,0,90,51,0,51,26,0,26,403,71,474
POA6124,0,72,72,134,3,137,58,0,58,63,0,63,28,0,28,15,0,15,298,75,373
POA6125,0,141,141,354,9,363,133,3,136,175,0,175,61,0,61,43,0,43,766,153,919
POA6126,0,16,16,41,3,44,12,0,12,15,0,15,4,0,4,0,0,0,72,19,91
POA6147,0,1302,1302,1621,138,1759,927,30,957,821,23,844,369,9,378,225,3,228,3963,1505,5468
POA6148,0,1441,1441,1946,135,2081,944,35,979,1106,21,1127,471,6,477,157,0,157,4624,1638,6262
POA6149,0,1062,1062,1946,93,2039,1203,38,1241,1387,27,1414,503,7,510,173,4,177,5212,1231,6443
POA6150,0,617,617,1216,83,1299,682,68,750,941,69,1010,409,38,447,180,13,193,3428,888,4316
POA6151,0,2104,2104,2125,311,2436,832,97,929,810,24,834,275,3,278,52,3,55,4094,2542,6636
POA6152,0,3063,3063,3025,444,3469,1188,165,1353,1119,48,1167,399,11,410,151,7,158,5882,3738,9620
POA6153,0,1729,1729,2399,175,2574,1072,55,1127,1174,20,1194,436,4,440,107,3,110,5188,1986,7174
POA6154,0,1050,1050,1136,71,1207,562,29,591,571,9,580,232,3,235,68,0,68,2569,1162,3731
POA6155,0,1811,1811,4047,235,4282,2811,77,2888,3740,26,3766,1509,9,1518,663,8,671,12770,2166,14936
POA6156,0,1596,1596,1853,179,2032,831,54,885,1003,15,1018,388,6,394,135,0,135,4210,1850,6060
POA6157,0,1879,1879,1741,157,1898,717,37,754,673,7,680,236,0,236,46,0,46,3413,2080,5493
POA6158,0,697,697,788,88,876,356,23,379,434,3,437,188,3,191,31,0,31,1797,814,2611
POA6159,0,369,369,390,53,443,158,22,180,87,3,90,28,0,28,4,0,4,667,447,1114
POA6160,0,1292,1292,1088,194,1282,345,71,416,255,24,279,87,4,91,18,0,18,1793,1585,3378
POA6161,0,18,18,12,0,12,0,4,4,4,0,4,0,0,0,0,0,0,16,22,38
POA6162,0,1337,1337,1318,148,1466,598,49,647,524,11,535,205,6,211,61,3,64,2706,1554,4260
POA6163,0,4783,4783,5694,552,6246,2775,164,2939,2583,60,2643,960,23,983,412,4,416,12424,5586,18010
POA6164,0,2299,2299,4629,366,4995,2975,95,3070,3428,29,3457,1318,9,1327,549,4,553,12899,2802,15701
POA6165,0,6,6,12,0,12,3,0,3,4,0,4,4,0,4,3,0,3,26,6,32
POA6166,0,542,542,954,45,999,454,11,465,572,0,572,238,3,241,75,3,78,2293,604,2897
