POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6240,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,9,0,0,0,3,5,3,3,0,12,0,0,0,3,8,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,11,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,3,13,17,10,6,0,58
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,3,6,0,0,17
POA6244,4,0,0,4,0,0,9,0,0,3,0,3,3,0,0,9,0,21,31,14,15,13,6,0,102,3,9,17,16,18,31,5,0,91,18,24,42,40,40,17,7,0,191,0,3,6,4,3,0,0,0,16,0,0,6,3,7,5,0,0,25,22,28,51,46,56,26,7,4,237,0,0,0,3,3,0,3,0,11,9,3,8,21,36,34,19,9,143,32,64,105,110,125,101,45,14,600
POA6251,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,3,3,4,7,0,0,19,0,3,8,5,3,7,0,0,25,3,11,13,13,16,3,0,0,59,3,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,0,5,6,8,14,15,15,6,0,0,69,0,0,0,0,0,0,0,0,0,10,9,6,8,13,10,0,0,48,12,29,36,29,42,21,0,0,173
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,12,4,0,4,12,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,9,9,9,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,0,9,3,4,3,0,24,5,4,9,23,17,11,4,0,71
POA6253,0,0,0,9,3,0,15,0,0,0,5,4,3,0,0,11,0,9,11,4,24,19,4,0,73,3,7,3,10,28,12,4,0,68,3,10,19,10,23,19,3,0,87,0,0,0,0,6,0,0,0,11,0,4,0,0,8,5,0,0,18,0,18,19,16,33,20,3,0,115,0,0,0,0,4,3,0,0,7,4,3,3,10,19,17,10,0,63,8,36,39,46,109,83,23,3,352
POA6254,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,5,3,9,4,0,0,20,0,0,3,9,9,3,0,0,28,6,10,13,21,20,6,5,0,77,0,0,0,3,0,0,0,0,3,5,0,0,0,3,4,0,0,13,7,16,14,19,20,14,8,0,98,0,0,0,3,0,0,0,0,7,8,6,3,8,16,0,8,0,48,19,23,22,46,51,22,20,0,205
POA6255,9,10,10,10,0,0,42,0,0,4,19,14,10,0,0,49,3,29,82,55,74,61,16,0,331,7,17,46,54,67,69,10,4,277,58,77,106,136,143,119,27,5,680,20,5,5,6,8,6,3,0,51,3,4,12,13,22,21,3,0,79,82,84,127,153,168,150,31,5,810,0,4,8,3,6,7,5,0,36,31,28,40,83,81,73,60,14,403,125,171,313,375,422,386,124,35,1944
POA6256,0,0,0,3,0,0,5,0,0,0,4,0,0,0,0,3,0,0,5,4,13,6,0,0,29,3,0,4,3,9,0,0,0,24,5,8,20,15,18,4,0,0,69,4,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,0,9,7,8,24,20,16,3,0,0,80,0,0,0,0,0,0,0,0,0,3,3,7,9,7,11,7,0,49,12,16,38,43,44,24,10,0,193
POA6258,24,14,11,4,0,0,60,0,7,18,16,17,0,0,0,56,10,83,71,60,70,34,14,0,341,15,32,43,73,78,48,14,3,306,125,181,171,211,172,95,42,10,999,36,16,17,12,14,3,0,0,93,11,16,17,22,22,19,7,0,105,171,214,202,243,200,116,42,6,1201,0,3,4,4,6,4,3,0,27,88,62,72,96,102,88,82,46,638,286,405,431,504,485,300,163,58,2641
POA6260,0,3,4,0,0,0,16,0,3,3,3,6,3,0,0,21,7,21,19,22,22,11,6,0,108,3,7,9,23,18,14,0,6,88,13,21,29,42,26,23,8,3,166,3,3,4,4,3,3,0,0,20,0,3,4,7,6,3,3,0,28,17,25,39,50,34,32,7,3,204,0,0,0,0,3,4,0,0,7,20,17,20,21,34,22,17,8,165,51,79,94,127,118,93,33,8,606
POA6262,0,4,3,3,0,0,13,0,0,0,3,3,3,0,0,9,0,6,10,19,10,11,3,0,60,3,3,4,12,17,0,6,0,44,5,19,16,34,23,12,4,0,111,0,3,0,3,0,0,0,0,7,0,0,0,5,7,4,0,0,16,5,19,14,38,27,16,4,0,131,0,0,0,0,0,3,0,0,8,8,9,11,6,18,19,13,0,79,16,29,46,81,79,58,29,0,340
POA6271,10,6,5,7,0,0,31,4,6,8,4,4,3,0,0,38,4,45,62,58,31,27,7,3,233,3,24,41,53,34,31,10,0,197,53,104,108,126,76,53,11,0,528,20,13,6,7,0,3,0,0,51,5,5,10,11,17,6,3,0,54,82,119,120,151,93,58,9,0,632,0,0,0,0,6,3,0,0,11,42,25,31,59,49,51,27,7,291,128,225,283,327,216,178,61,14,1430
POA6275,3,3,5,10,3,0,20,0,3,3,3,12,4,0,0,25,3,4,15,19,38,21,3,0,103,0,9,11,22,29,32,4,0,111,5,23,28,46,52,28,14,3,195,11,0,0,0,3,0,0,0,16,0,0,4,3,0,13,4,0,22,18,22,36,52,57,41,11,3,235,0,0,0,0,0,0,0,0,10,12,9,10,27,23,40,20,3,139,31,44,86,119,161,142,44,8,632
POA6280,71,71,57,54,15,0,300,8,52,83,83,58,31,7,0,317,62,357,545,419,337,217,89,33,2059,58,241,351,392,390,308,119,32,1891,452,832,1002,925,757,510,231,57,4777,114,48,62,51,40,24,12,0,350,28,62,94,109,99,94,32,8,531,596,945,1162,1088,896,625,280,67,5664,7,10,22,30,29,45,34,8,182,262,245,286,341,379,416,359,251,2540,990,1880,2513,2418,2150,1700,901,393,12940
POA6281,34,19,23,28,6,0,140,0,21,37,20,26,16,5,0,128,17,199,271,166,149,126,50,10,979,20,102,137,129,100,92,43,6,628,66,236,300,229,136,97,40,15,1117,15,19,16,7,10,8,3,0,87,6,13,32,29,25,24,6,3,141,86,277,349,272,173,129,51,18,1350,0,7,9,3,9,6,3,3,44,62,92,110,87,103,78,34,10,570,182,716,948,695,582,476,189,42,3831
POA6282,10,16,3,4,3,0,40,0,0,4,9,10,3,0,0,27,0,30,52,52,43,26,10,0,219,4,6,17,25,28,20,10,0,112,11,29,33,50,34,15,11,0,189,0,0,4,4,3,0,0,0,12,0,4,10,9,7,4,0,0,33,11,37,47,59,49,24,12,0,239,0,0,0,0,3,3,0,0,9,14,8,15,21,19,14,4,0,94,33,89,140,188,158,100,32,3,748
POA6284,8,3,3,0,0,0,16,0,6,19,13,7,0,4,0,49,0,64,92,57,37,15,5,4,277,0,24,44,26,37,14,13,0,154,11,75,107,75,45,28,6,4,348,3,7,9,6,3,3,0,0,34,4,4,10,3,7,4,0,0,35,15,84,129,87,56,35,9,4,422,0,0,0,3,0,0,0,0,8,20,30,64,34,36,24,5,10,216,39,206,356,222,179,87,36,19,1142
POA6285,44,36,24,31,3,0,177,0,22,49,35,34,13,5,0,161,24,293,361,210,161,96,33,3,1187,24,126,178,136,139,62,38,11,710,102,293,394,299,225,81,25,5,1427,24,20,25,16,16,6,0,0,97,11,35,34,33,29,17,4,3,159,134,347,448,350,265,108,26,14,1687,8,13,6,13,13,5,0,0,52,118,113,136,122,128,66,50,15,760,307,950,1222,907,767,389,155,46,4735
POA6286,3,0,3,7,3,0,16,0,0,0,0,3,0,0,0,13,3,20,13,10,24,14,4,0,95,0,3,7,13,10,12,4,0,50,7,20,18,17,22,8,0,0,89,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,6,7,22,19,24,23,12,0,0,98,0,0,0,0,3,0,0,0,3,7,6,10,13,3,14,3,0,52,16,49,57,53,73,49,19,0,330
POA6288,3,0,0,0,0,0,9,0,4,0,0,3,0,0,0,6,0,16,12,9,8,11,0,0,57,0,0,6,5,9,3,0,0,33,5,4,21,18,8,0,3,0,61,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,8,10,4,23,25,11,0,3,0,73,0,0,0,4,0,0,0,0,3,11,3,12,13,11,5,0,0,58,19,31,48,62,51,27,3,3,240
POA6290,3,7,4,7,0,3,25,0,0,0,0,3,3,3,0,11,0,8,19,19,35,26,15,3,130,3,12,7,15,29,45,12,6,128,23,35,42,58,72,60,24,9,324,4,3,0,4,4,0,0,0,28,3,0,0,7,10,12,9,0,42,30,38,46,71,92,77,31,9,392,3,0,0,0,0,0,0,0,6,19,16,13,19,27,49,30,18,190,47,73,84,133,197,206,100,44,887
POA6302,5,3,11,11,0,0,34,0,7,3,6,6,13,3,0,34,7,50,51,40,52,51,15,3,268,0,18,24,54,76,59,21,3,256,48,67,66,108,113,85,32,7,519,9,6,7,0,7,0,0,0,38,4,8,10,12,21,8,4,0,70,59,81,82,122,145,97,36,7,625,3,0,0,3,0,9,0,0,22,35,36,41,56,89,118,69,26,468,107,186,215,295,383,352,148,36,1710
POA6304,4,7,3,4,0,0,16,0,0,3,3,3,0,0,0,17,3,27,12,21,16,18,4,0,102,0,8,11,24,35,17,9,0,104,10,34,37,38,57,40,24,3,247,0,0,3,3,0,0,0,0,12,0,4,3,7,11,5,3,0,35,15,39,52,46,64,48,25,3,288,0,0,0,0,0,3,0,0,8,12,23,26,39,47,43,40,12,248,29,94,105,139,177,133,86,14,779
POA6306,0,3,3,3,0,0,11,0,5,4,4,3,0,0,0,13,3,10,20,10,9,3,0,0,47,4,8,3,9,3,13,5,0,49,16,19,20,24,20,15,4,0,113,8,0,0,0,0,0,0,0,9,0,0,4,7,3,3,3,0,12,20,21,24,31,24,13,7,0,140,0,0,0,0,3,0,0,0,10,12,12,14,20,15,28,18,21,142,40,51,65,76,61,60,35,25,406
POA6308,3,5,0,0,0,0,10,0,0,4,3,0,0,0,0,8,6,9,7,6,12,7,0,0,59,0,8,15,16,28,12,5,0,85,15,35,24,43,50,33,4,0,207,10,6,5,7,4,0,0,0,26,0,0,7,9,5,0,0,0,25,23,38,39,54,61,39,4,3,258,0,0,0,0,3,3,0,0,12,21,21,22,30,46,36,25,3,200,48,80,93,117,149,93,39,12,634
POA6309,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,4,4,0,0,0,11,0,0,4,0,4,0,0,0,20,0,5,9,6,8,9,0,0,38,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,3,6,10,6,10,13,0,0,54,0,0,0,0,0,0,0,3,3,8,0,4,8,5,5,3,0,40,8,5,20,25,27,27,6,4,132
POA6311,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,13,3,6,8,6,3,0,0,0,28,0,3,4,8,7,9,4,0,31,4,24,15,11,14,12,5,0,79,0,3,0,0,0,0,0,0,6,3,0,0,0,0,3,0,0,11,7,24,21,14,14,13,5,0,96,0,0,0,0,0,0,0,0,4,9,20,6,10,10,17,5,3,79,18,53,42,46,33,42,16,3,256
POA6312,10,15,5,8,0,0,40,0,6,17,10,17,6,5,0,63,19,69,74,73,64,18,12,0,321,11,36,43,58,54,35,10,7,262,84,126,117,108,116,59,30,8,651,42,24,11,3,3,6,0,0,86,15,10,11,17,12,14,5,0,88,140,161,140,129,137,77,35,9,827,3,4,3,3,8,4,4,0,31,99,74,58,80,97,93,67,28,595,273,347,346,367,381,242,127,47,2132
POA6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,3,0,0,0,14,0,3,0,3,6,3,0,0,19,4,10,5,4,14,0,0,0,40,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,11,9,8,14,0,0,0,46,0,0,0,0,0,0,0,0,0,3,5,10,5,13,10,3,0,50,11,26,18,27,38,13,6,0,137
POA6315,0,3,0,3,0,0,5,0,3,0,3,10,0,0,0,20,0,20,24,17,21,8,0,3,98,0,14,12,15,16,20,6,3,87,17,53,41,42,54,36,10,7,262,10,3,3,7,5,3,0,0,27,5,4,9,5,9,9,0,0,40,30,59,53,56,72,42,12,7,324,0,0,0,0,0,0,0,0,5,23,15,21,44,52,40,29,16,243,57,105,112,136,174,113,53,27,777
POA6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,6,4,6,0,0,33,4,0,3,6,5,0,0,0,16,3,6,5,14,7,6,3,0,42,0,0,0,3,0,0,0,0,6,0,3,3,0,0,0,0,0,8,7,13,8,14,6,7,3,0,56,0,0,0,0,0,0,0,0,0,3,3,6,9,3,0,3,0,28,12,22,25,35,23,14,7,0,137
POA6317,11,4,3,0,0,0,20,3,5,7,3,5,3,0,0,35,12,67,62,35,25,16,3,4,223,6,25,21,38,24,22,9,3,147,72,113,89,112,82,39,13,3,525,16,14,5,12,9,0,0,0,59,8,6,15,4,9,9,0,0,54,96,131,117,128,102,48,14,4,636,0,3,0,0,0,0,3,0,7,60,77,66,106,101,81,63,37,595,186,316,281,315,265,161,105,47,1664
POA6318,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,11,15,8,6,3,0,0,37,0,0,6,10,5,3,0,0,29,14,14,19,12,16,6,3,0,79,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,3,15,11,16,19,18,6,3,0,89,0,0,0,0,0,0,0,0,9,10,17,3,9,19,9,4,3,65,24,41,46,43,51,22,9,3,235
POA6320,0,0,0,0,0,0,7,0,3,3,0,3,0,0,0,6,0,6,5,9,3,0,3,0,29,0,4,0,9,3,6,0,0,22,3,12,5,13,15,6,6,0,62,7,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,8,13,12,16,20,6,3,0,77,0,0,0,0,0,0,0,0,3,7,14,10,11,15,13,11,3,80,19,43,29,39,44,21,24,3,224
POA6321,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,8,7,0,0,0,0,27,0,0,3,4,8,3,0,0,19,5,17,8,14,8,6,6,0,62,5,0,0,0,0,0,0,0,9,0,3,0,4,3,3,0,0,9,11,15,8,17,12,10,7,0,78,0,0,0,0,0,0,0,0,0,3,5,3,6,13,6,5,0,51,17,31,29,32,36,20,14,0,185
POA6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,10,0,13,0,10,11,10,3,0,40,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,6,0,13,0,10,8,12,8,0,48,0,0,0,0,0,0,0,0,0,0,3,3,5,7,4,3,0,29,3,21,12,12,25,21,11,0,104
POA6323,0,6,3,0,0,0,15,0,0,0,3,3,3,0,0,12,3,6,11,12,14,9,0,0,59,5,5,9,10,22,10,10,0,68,8,12,21,42,36,31,14,0,164,5,0,0,4,4,0,0,0,18,0,0,4,3,5,8,0,0,22,15,18,25,49,50,42,14,0,201,0,0,0,0,0,3,3,0,11,11,7,12,13,19,25,16,0,104,32,32,54,92,109,98,37,0,464
POA6324,11,7,5,10,0,0,35,0,5,9,11,8,7,0,0,38,5,21,42,48,56,31,14,3,219,11,16,38,51,61,43,12,4,239,65,82,100,102,103,42,24,3,515,18,8,12,14,7,0,0,0,51,9,3,9,12,18,16,4,4,67,86,98,118,122,126,53,23,7,632,3,3,3,3,3,3,0,0,19,37,52,69,83,64,64,37,27,439,135,196,286,326,321,213,95,42,1628
POA6326,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,3,10,8,10,3,0,0,32,3,0,3,3,5,8,0,0,28,4,14,16,15,16,5,0,0,68,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,10,4,14,13,16,19,8,3,0,76,0,0,0,0,0,0,0,0,3,4,4,6,6,8,15,3,0,51,17,25,39,35,38,31,7,0,199
POA6327,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,9,3,3,4,0,0,12,0,0,5,6,7,0,0,0,19,3,9,8,4,12,8,0,0,46,3,3,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,4,8,7,10,8,12,6,0,0,54,0,0,0,0,0,0,0,0,0,5,5,3,3,10,0,0,0,31,8,18,23,24,29,13,3,3,119
POA6328,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,4,7,0,6,5,0,0,26,0,4,4,9,4,6,0,0,28,9,18,9,15,11,8,0,0,69,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,18,12,17,12,7,0,0,83,0,0,0,0,0,0,0,0,0,0,7,6,0,11,6,0,0,38,14,40,26,24,39,24,3,3,178
POA6330,108,110,126,81,20,0,508,3,53,98,122,147,62,16,3,501,87,480,608,583,531,352,133,35,2812,117,310,438,561,621,353,149,48,2592,678,1121,1022,1070,940,589,237,75,5726,192,101,68,58,47,47,12,0,529,66,63,105,124,136,101,48,14,654,937,1287,1194,1249,1121,737,300,85,6915,16,18,31,34,32,49,30,17,236,415,435,389,420,495,493,415,260,3316,1573,2642,2874,3083,3073,2123,1053,454,16876
POA6333,22,33,41,42,12,4,174,0,10,26,28,41,20,4,0,127,5,45,127,153,145,126,48,10,661,4,38,56,97,111,109,40,12,481,62,105,142,183,164,113,46,11,818,20,12,10,3,16,3,0,3,70,3,9,18,26,36,31,13,3,137,84,123,173,212,210,151,58,12,1027,3,4,3,9,12,16,0,0,53,57,45,79,107,109,126,77,20,621,155,272,490,643,672,595,244,61,3134
POA6335,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,4,13,11,11,9,0,0,0,39,0,3,5,12,10,5,3,0,37,15,22,20,18,18,3,0,0,101,0,3,0,0,4,0,0,0,12,0,3,4,3,3,3,0,0,15,17,34,25,25,27,8,0,3,128,0,0,0,3,0,0,0,0,6,9,16,13,18,14,8,3,3,88,33,62,52,66,58,29,6,8,310
POA6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,24,0,0,3,8,0,3,0,0,16,4,8,4,7,4,3,0,0,32,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,9,4,12,5,6,0,0,43,0,0,0,0,0,0,0,0,0,3,5,3,9,8,6,0,0,40,9,30,18,28,21,13,0,0,123
POA6337,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,6,4,0,0,0,0,22,5,6,8,3,7,0,0,0,28,6,19,17,7,19,4,0,3,70,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,11,10,24,15,10,23,5,0,3,86,0,0,0,3,0,0,0,0,3,5,16,14,9,14,5,6,0,67,19,56,47,29,40,11,9,3,220
POA6338,0,3,0,0,0,0,6,0,3,3,0,0,0,0,0,7,0,13,17,16,10,4,4,0,65,3,4,3,12,13,8,0,0,37,11,14,19,21,24,12,7,0,109,0,0,0,3,0,3,0,0,10,0,4,0,0,0,4,3,0,16,11,24,28,27,22,17,9,0,129,0,0,0,0,0,0,0,0,4,0,8,7,21,20,6,12,0,68,14,59,55,72,60,37,21,0,324
POA6341,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,4,3,0,0,0,0,19,0,4,3,7,3,3,0,0,18,0,6,4,11,4,3,0,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,4,0,6,3,9,8,7,0,0,41,0,0,0,0,0,0,0,0,0,0,12,3,0,8,12,0,0,33,4,24,22,22,17,22,4,0,116
POA6343,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,12,0,4,0,0,0,27,0,3,3,3,0,0,0,0,12,0,5,12,6,5,3,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,6,5,3,3,0,37,0,0,0,4,0,0,0,0,4,0,5,10,5,7,3,0,0,35,0,19,43,19,15,8,3,0,114
POA6346,0,0,0,3,0,0,8,0,0,0,0,3,0,0,0,6,3,18,11,12,12,4,0,0,58,3,5,4,12,14,5,3,0,52,10,18,20,13,15,8,3,0,81,7,7,0,0,0,0,0,0,12,0,0,6,7,3,0,0,0,15,11,24,25,15,21,8,3,0,107,0,0,0,0,0,0,0,0,0,4,20,20,9,20,15,7,0,102,20,68,61,48,59,42,16,3,333
POA6348,0,4,0,4,0,0,7,0,0,3,0,0,0,0,0,6,0,10,9,8,10,11,3,0,41,0,5,16,8,9,17,6,0,66,4,30,19,26,35,18,6,0,147,3,3,0,0,0,0,0,0,9,0,5,4,0,3,6,0,0,14,8,40,26,28,37,23,5,0,166,0,0,0,0,3,3,3,0,10,4,14,19,18,26,25,8,0,107,13,71,70,66,87,77,20,7,406
POA6350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,0,14,0,3,0,0,6,3,0,0,13,4,12,0,4,11,6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,10,4,12,4,10,16,9,0,0,47,0,0,0,0,0,0,0,0,0,3,0,6,3,10,7,5,0,28,4,25,12,15,27,19,8,0,105
POA6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,0,0,13,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,8,7,3,4,0,0,0,33
POA6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,3,0,0,0,0,17,0,3,3,0,3,0,0,0,13,3,4,0,4,3,3,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,7,4,3,3,0,0,29,0,0,0,0,0,0,0,0,0,6,3,8,4,5,0,3,0,32,8,21,21,17,14,6,3,0,88
POA6353,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,22,15,12,11,0,0,0,61,4,11,4,10,8,3,3,0,38,16,31,23,16,17,14,3,0,117,0,0,0,0,0,0,0,0,7,3,3,4,0,0,0,0,0,10,14,33,27,16,19,14,3,0,135,0,0,0,0,0,0,0,0,0,7,13,13,14,15,14,8,4,84,26,84,70,50,52,28,15,3,330
POA6355,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,15,16,7,3,0,0,0,44,0,3,5,4,6,3,0,0,22,3,12,4,8,11,10,0,0,44,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,4,11,12,8,11,10,0,0,51,0,0,0,0,0,0,0,0,3,0,10,3,3,12,0,0,0,31,6,39,35,20,32,12,5,0,157
POA6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,10,14,8,7,0,0,0,46
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,4,3,0,0,0,0,25
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,7,0,0,4,0,0,0,0,0,5,0,4,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,3,4,11,3,12,3,0,0,34
POA6359,0,0,0,0,0,0,7,0,3,0,0,3,0,0,0,8,0,13,5,5,3,0,0,0,31,0,0,6,3,9,6,0,0,27,4,17,10,10,3,6,0,0,58,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,10,19,15,12,6,6,0,0,69,0,0,0,0,0,0,0,0,3,0,8,3,8,8,3,3,0,41,7,47,40,34,24,15,5,0,172
POA6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,11,0,4,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,5,0,0,4,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,3,7,9,10,9,8,0,0,46
