POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,8,0,4,5,0,4,4,0,0,15
POA6107,606,194,113,45,17,0,2028,25,195,138,77,70,32,3,0,534,595,2823,1483,726,380,196,58,15,6286,402,1070,700,457,337,172,67,21,3224,646,1303,1003,821,634,385,186,52,5018,134,81,60,35,33,16,0,3,371,57,122,148,119,93,62,20,10,633,838,1513,1207,979,763,459,208,64,6022,44,94,77,39,29,36,13,3,343,494,741,456,344,293,258,223,130,2944,2446,7446,4670,2809,1976,1201,587,240,21370
POA6108,161,85,57,20,10,0,504,9,66,68,56,49,16,3,0,269,163,729,557,330,231,127,47,3,2188,128,344,360,320,280,162,54,18,1669,359,638,617,617,583,378,161,35,3387,101,47,42,30,29,16,0,0,265,34,56,82,77,85,56,21,0,396,488,746,742,727,690,445,176,33,4049,14,37,30,40,22,25,10,5,179,168,197,178,202,187,185,157,55,1334,982,2279,2090,1761,1526,988,455,109,10197
POA6109,63,27,14,4,3,0,226,0,15,16,9,19,7,3,0,71,62,314,205,110,85,42,25,3,838,76,221,161,118,84,59,17,3,746,195,372,329,272,241,136,76,17,1646,43,45,24,19,10,4,5,0,159,20,38,42,42,26,19,15,0,196,255,452,405,331,277,160,94,14,2001,4,12,24,11,9,15,6,3,73,141,137,146,126,141,113,102,51,960,542,1268,1021,735,631,402,243,80,4920
POA6110,328,158,61,23,11,0,936,13,83,91,59,50,24,4,0,328,243,1164,985,474,278,155,69,15,3376,209,651,685,479,352,189,64,22,2649,677,1362,1168,1056,841,487,244,56,5891,156,127,80,78,41,12,5,0,501,48,107,122,125,85,64,24,13,595,886,1594,1368,1248,972,566,277,76,6992,25,48,49,32,31,27,20,6,243,371,469,457,373,364,324,295,170,2823,1763,4350,3967,2818,2109,1318,736,286,17342
POA6111,139,85,56,48,17,3,424,3,46,55,74,67,32,7,0,280,123,432,431,389,296,190,59,12,1942,100,306,311,348,329,210,53,21,1670,402,775,651,671,672,436,138,29,3776,92,57,41,24,24,17,3,0,249,32,54,83,80,98,67,13,0,426,523,882,771,783,785,525,153,37,4455,12,19,19,31,35,28,16,6,159,195,255,269,244,258,238,164,116,1738,964,2020,1983,1948,1822,1268,469,192,10673
POA6112,495,199,103,40,14,0,1436,17,181,153,99,65,19,9,0,554,312,2158,1484,636,389,173,73,18,5254,298,1179,1025,691,449,213,97,19,3969,1101,2475,1658,1400,1051,573,238,50,8543,251,158,108,69,60,28,11,3,683,82,163,217,182,133,83,38,5,914,1439,2795,1989,1651,1246,684,290,56,10143,25,90,64,55,46,41,20,3,338,506,680,590,539,466,463,327,157,3718,2604,7658,5806,3863,2767,1629,824,259,25406
POA6121,12,12,10,0,0,0,42,0,3,8,13,5,0,0,0,30,15,35,62,65,22,15,5,0,213,11,22,45,56,32,13,7,0,184,70,72,98,146,96,51,6,0,544,17,3,6,7,6,3,0,0,36,3,4,14,11,16,3,0,0,57,90,84,112,161,116,58,8,0,629,4,0,3,3,0,0,0,0,19,21,18,17,31,34,22,10,3,156,146,161,259,340,226,113,30,5,1273
POA6122,70,33,25,8,0,0,239,0,51,56,26,18,7,0,0,150,65,423,304,161,86,47,13,3,1119,96,415,279,212,149,50,26,3,1225,474,1090,650,513,321,163,30,12,3245,63,77,27,25,11,4,0,0,212,30,72,60,51,29,21,4,3,269,568,1233,739,589,366,190,37,10,3728,8,18,17,19,11,4,0,0,87,155,250,169,146,93,70,35,14,935,895,2486,1642,1184,745,381,117,37,7488
POA6123,4,3,0,0,0,0,7,0,0,0,5,4,0,0,0,15,6,17,14,9,16,8,0,0,71,6,18,21,13,17,7,0,0,80,43,57,48,58,48,19,8,7,288,8,6,3,4,0,0,0,0,22,4,3,0,10,4,0,0,0,23,55,67,53,76,53,21,12,7,332,0,0,0,0,4,0,0,0,9,24,19,26,26,14,14,5,8,124,93,121,110,134,106,44,16,15,633
