region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6072,45,90,84,39,66,27,28,32,8,419
POA6073,157,271,240,141,240,144,109,105,21,1428
POA6074,76,103,81,38,73,38,43,44,0,496
POA6076,1523,2501,1647,931,1643,893,516,723,144,10521
POA6077,122,90,141,66,153,61,68,51,3,755
POA6078,80,66,90,28,75,40,38,49,3,469
POA6079,0,0,0,0,0,0,4,0,0,4
POA6081,309,470,461,212,388,192,179,177,33,2421
POA6082,167,256,292,172,224,132,140,152,18,1553
POA6083,284,284,360,147,271,113,150,150,26,1785
POA6084,396,348,664,273,473,252,340,362,60,3168
POA6090,0,0,3,3,0,3,0,0,0,9
POA6100,1009,2213,1050,737,1168,555,351,603,79,7765
POA6101,872,2250,1129,703,1200,598,436,675,129,7992
POA6102,366,1317,749,710,737,514,335,674,96,5498
POA6103,485,1020,663,422,606,316,351,418,56,4337
POA6104,700,1191,1102,631,1086,555,618,612,138,6633
POA6105,506,993,1196,626,1058,550,632,677,109,6347
POA6106,3,0,3,0,3,0,0,3,0,12
POA6107,1472,3149,3141,1772,2794,1506,1724,2105,339,18002
POA6108,926,1606,2141,1069,1941,1161,1154,1333,160,11491
POA6109,299,438,921,467,666,379,706,665,86,4627
POA6110,1413,1978,3107,1608,2799,1551,1829,1935,282,16502
POA6111,1076,1565,1950,1136,1683,957,1089,1121,159,10736
POA6112,1665,2473,3680,1852,2982,1837,2066,2155,308,19018
POA6121,221,157,303,133,243,112,133,124,15,1441
POA6122,469,557,1078,417,778,411,528,433,69,4740
POA6123,61,64,144,56,118,51,107,82,19,702
POA6124,53,85,87,50,64,34,55,65,15,508
POA6125,210,157,274,116,172,79,147,144,17,1316
POA6126,31,18,21,3,15,5,9,20,3,125
POA6147,543,1309,1186,833,1162,593,727,875,122,7350
POA6148,1066,2323,1062,756,1348,730,437,608,110,8440
POA6149,1339,2901,1257,885,1755,907,371,638,106,10159
POA6150,834,2060,657,590,1081,721,168,388,92,6591
POA6151,1466,3164,822,676,1294,696,221,409,113,8861
POA6152,1677,4127,1314,1113,1916,1074,378,723,149,12471
POA6153,1682,3232,853,756,1477,820,211,344,152,9527
POA6154,695,1363,559,400,695,382,144,279,66,4583
POA6155,2989,5965,3708,2227,4312,2430,1367,1842,330,25170
POA6156,1099,2122,968,729,1208,662,271,502,116,7677
POA6157,915,2062,904,632,1044,501,193,384,90,6725
POA6158,598,1322,331,280,468,262,78,165,59,3563
POA6159,244,577,108,107,154,91,39,46,20,1386
POA6160,525,1583,451,362,485,294,128,285,43,4156
POA6161,15,10,18,21,7,3,0,10,0,84
POA6162,636,1665,679,497,588,359,197,363,55,5039
POA6163,2273,4533,3912,2324,3279,2089,1536,2320,359,22625
POA6164,2845,4684,4795,2202,4235,2246,1867,2228,377,25479
POA6165,6,4,10,3,0,7,14,10,0,54
POA6166,537,598,822,373,702,430,308,390,75,4235
POA6167,714,946,1992,1041,1345,864,1166,1262,151,9481
POA6168,799,1080,2132,1351,1305,882,1036,1285,152,10022
POA6169,1343,1936,3294,1792,2066,1535,1493,1833,265,15557
POA6170,271,418,654,317,484,298,344,367,46,3199
POA6171,901,1172,1735,889,1263,672,663,686,126,8107
POA6172,589,744,1345,756,845,685,591,703,98,6356
POA6173,593,827,1099,642,783,474,361,397,55,5231
POA6174,99,152,240,101,122,79,89,112,21,1015
POA6175,146,231,306,149,186,140,123,153,22,1456
POA6176,45,56,80,31,44,36,23,34,3,352
POA6180,149,225,331,184,213,162,178,166,22,1630
POA6181,25,33,62,28,34,29,28,29,4,272
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,80,46,119,50,53,35,63,70,14,530
POA6208,375,399,813,361,388,339,553,469,56,3753
POA6209,89,76,172,62,83,57,104,97,15,755
POA6210,2213,3136,4786,2628,2914,2567,2347,2847,367,23805
POA6211,214,325,513,199,292,226,240,249,33,2291
POA6213,52,52,51,33,24,16,57,53,9,347
POA6214,27,9,33,16,16,11,24,22,5,163
POA6215,163,118,352,131,151,85,267,235,23,1525
POA6218,6,3,29,13,12,14,25,39,6,147
