POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA6014,3,0,5,3,4,0,18,103,13,189,18,30,10,366,33,3,66,23,52,3,175,13,3,25,3,7,0,56,31,10,114,61,180,8,398,12,4,33,19,23,0,94,33,7,119,41,39,12,241,15,3,60,23,51,10,167,19,3,48,19,22,0,106,10,0,42,10,9,0,72,34,18,99,22,5,4,180,7,5,66,29,14,0,115,162,48,465,54,29,18,768,14,3,48,21,23,0,110,49,11,118,38,41,3,253,97,39,116,15,19,6,290,117,31,244,32,34,12,473,17,6,32,8,11,3,70,14,4,25,5,47,3,99,33,5,68,23,32,11,168,810,210,1966,470,656,103,4214,3,0,7,0,3,0,11,22,8,83,11,11,0,132,7,0,30,8,6,3,66,3,0,18,4,7,0,34,10,3,29,25,10,3,82,8,0,23,10,0,3,48,25,4,119,38,40,11,226,9,5,54,28
POA6015,0,0,4,3,0,0,17,46,3,65,5,7,0,132,12,0,14,11,9,0,47,3,0,3,0,0,0,13,5,3,38,19,48,9,121,0,0,9,5,5,0,26,8,0,26,6,4,3,58,3,0,16,7,5,4,39,4,0,11,9,7,0,36,0,3,3,0,0,0,16,8,5,51,15,3,0,72,3,0,20,11,7,0,46,46,14,161,19,8,5,250,6,0,8,0,4,3,24,4,0,16,4,3,3,32,27,8,36,6,0,3,71,61,6,83,3,0,8,163,3,0,7,5,0,0,20,0,0,9,3,10,0,25,10,3,33,4,8,4,63,250,50,615,140,146,46,1250,0,0,3,3,0,0,3,12,0,19,0,0,0,30,0,0,10,0,0,0,15,0,0,5,0,0,0,3,8,0,14,0,0,0,21,0,3,11,0,0,0,17,4,0,36,9,14,4,64,0,0,22,5
POA6016,0,0,6,0,5,0,12,39,15,83,14,32,3,182,14,3,33,14,36,0,103,5,0,12,5,4,0,32,10,9,60,37,129,8,252,0,0,12,5,14,0,28,19,4,56,12,28,4,127,14,0,37,38,31,6,128,10,0,24,19,32,3,81,0,0,12,8,8,3,36,15,9,42,18,3,0,85,3,3,20,9,7,0,40,62,23,203,31,15,4,339,4,3,33,20,24,5,89,17,13,45,24,17,0,124,36,25,63,4,13,3,146,31,10,68,16,16,3,151,5,0,19,5,3,0,33,9,0,18,7,22,3,65,7,0,28,14,26,3,79,298,112,876,310,476,50,2126,0,0,5,0,0,0,3,20,6,48,11,10,0,92,3,3,15,10,5,0,36,9,0,11,3,3,3,26,9,3,28,10,4,0,45,4,0,9,0,4,0,21,15,3,55,21,32,9,126,4,3,47,23
POA6017,0,0,0,0,3,0,3,8,3,18,0,9,0,39,3,0,18,7,14,0,41,3,0,4,0,7,0,9,8,0,13,14,82,8,126,3,0,6,7,6,0,25,12,0,34,8,17,3,77,3,0,31,24,12,7,76,4,0,16,13,13,4,43,3,0,6,3,0,0,15,0,0,18,3,3,0,25,0,0,4,4,6,3,19,17,3,45,8,6,6,86,9,0,20,11,10,0,46,5,0,20,10,8,3,52,8,12,19,4,9,3,48,3,0,33,10,10,3,55,3,0,7,4,0,0,16,0,0,4,6,24,0,35,4,3,10,6,18,3,41,98,21,311,138,265,40,877,0,0,0,0,0,0,0,4,0,3,0,5,0,16,0,0,4,4,4,4,16,0,0,3,0,0,0,6,3,0,11,7,3,0,25,0,0,3,0,0,0,11,5,3,16,17,19,4,61,7,0,29,24
POA6018,3,0,11,6,6,3,25,116,32,276,58,168,13,663,33,6,108,38,148,3,336,24,3,47,12,36,6,132,54,12,224,174,771,33,1268,17,3,62,28,67,3,184,20,6,130,46,104,8,311,13,3,60,44,76,11,203,18,4,72,46,71,6,227,11,6,49,33,30,0,130,33,31,132,76,24,3,312,14,8,60,32,43,6,160,175,53,556,132,85,23,1024,9,6,57,31,53,9,168,60,39,165,88,92,13,456,116,69,205,27,46,8,472,106,33,231,33,42,11,443,15,3,49,27,29,4,124,18,7,47,20,156,8,253,25,5,91,56,110,27,316,883,328,2644,1010,2145,199,7214,3,0,11,0,0,0,12,43,14,96,13,28,4,198,18,10,48,26,24,3,121,11,4,22,3,8,3,48,11,9,84,41,63,4,204,3,3,42,13,19,8,85,24,5,174,67,117,30,409,21,3,103,45
POA6019,0,3,8,5,6,0,21,83,23,171,43,153,9,477,13,3,63,21,99,4,204,10,6,21,13,16,0,73,20,4,155,104,575,21,881,21,0,37,17,38,6,119,11,3,79,30,63,13,211,15,9,73,53,68,7,221,8,0,45,28,54,9,140,9,3,21,20,24,0,75,20,7,112,36,9,3,190,0,3,42,29,29,3,113,104,29,303,74,47,14,574,10,0,46,17,29,6,117,31,17,109,63,62,10,300,86,41,142,27,29,10,327,59,23,134,22,18,3,256,3,5,46,11,22,7,99,5,7,28,16,83,3,148,23,11,78,21,80,15,227,529,193,1717,651,1512,145,4745,0,0,6,0,0,0,6,28,8,69,29,29,3,166,3,0,33,18,18,9,81,4,3,19,3,0,0,35,19,6,55,29,32,7,147,3,0,32,12,7,9,53,12,10,97,51,75,26,273,15,3,89,52
POA6020,0,0,8,3,5,0,22,58,15,142,36,79,9,339,16,3,52,26,95,0,190,9,3,29,14,19,0,83,5,13,103,88,468,23,695,12,3,29,22,41,3,108,4,4,70,19,65,12,177,3,3,30,17,33,3,90,9,8,38,28,43,10,130,3,3,18,10,19,0,51,11,19,87,59,14,9,199,6,5,31,27,32,4,103,103,22,313,74,44,20,581,5,0,21,16,34,0,76,36,18,95,53,54,10,265,88,24,134,20,37,3,307,44,15,103,22,20,13,207,0,0,22,9,22,5,60,5,0,21,20,66,0,104,13,4,41,19,64,17,154,442,152,1388,584,1250,130,3947,0,0,3,0,4,3,8,19,8,42,12,7,3,89,4,3,25,14,9,0,49,5,3,9,4,3,0,28,5,6,44,29,29,0,107,4,4,20,12,11,3,43,10,3,77,50,70,12,220,0,3,23,20
POA6021,0,0,4,3,4,4,18,31,3,85,14,74,9,214,7,3,32,27,121,4,197,11,3,32,6,19,3,72,18,0,92,104,474,23,712,7,3,26,10,46,3,103,12,7,79,37,74,10,218,17,0,45,44,52,0,152,8,5,35,34,64,5,158,4,0,14,13,20,0,56,13,9,56,31,15,3,121,3,7,17,16,16,3,57,59,13,248,62,37,3,419,3,0,21,15,36,4,79,24,13,78,36,49,11,209,33,24,85,16,30,11,193,42,12,86,28,21,5,189,5,0,26,12,17,3,57,3,5,18,17,95,0,142,16,0,34,34,75,12,176,315,99,1108,550,1341,129,3546,0,0,0,0,0,0,0,13,3,36,9,8,3,60,12,3,26,12,21,0,76,0,0,16,3,3,3,28,4,0,33,21,24,9,97,3,0,15,10,11,3,51,13,3,84,58,85,13,255,9,0,56,42
POA6022,0,0,0,0,0,0,3,4,0,11,9,26,0,49,0,0,10,10,33,3,53,0,0,7,0,4,0,11,4,0,19,16,144,3,186,0,0,3,3,11,0,19,0,0,11,10,27,0,49,0,0,5,8,21,4,35,0,0,10,6,19,3,36,0,0,3,9,8,0,11,0,0,10,6,0,0,18,0,0,3,3,9,0,9,11,3,43,20,18,0,95,3,0,4,3,7,0,20,3,4,34,12,22,0,80,3,9,30,9,14,0,70,3,0,26,7,8,5,50,0,0,6,3,4,0,14,0,0,14,3,26,3,42,3,0,5,0,10,6,28,45,36,253,126,409,27,897,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,3,3,8,0,16,0,0,0,0,0,0,4,0,3,8,3,11,0,21,0,0,3,0,3,0,8,0,3,7,12,17,3,48,3,0,6,10
POA6023,0,0,3,3,4,0,13,36,13,97,38,79,8,258,10,3,36,24,85,4,172,10,0,12,9,16,0,46,14,4,84,49,302,14,465,0,0,23,11,28,3,58,8,0,44,33,44,3,133,0,0,18,15,25,0,62,12,3,26,22,46,6,106,3,0,20,8,17,0,46,11,0,59,23,15,3,110,4,3,11,19,17,0,57,96,25,232,49,49,6,461,3,0,17,11,29,6,66,19,19,73,47,48,0,211,57,36,117,11,13,8,233,28,8,63,28,22,8,151,7,0,11,14,17,3,51,9,0,15,6,61,3,94,8,3,31,26,53,3,127,325,129,1001,441,974,73,2932,0,0,4,0,0,0,6,9,8,35,4,7,0,63,7,3,15,10,14,6,42,4,0,7,3,3,0,25,0,0,23,17,23,4,70,3,0,9,3,3,4,16,10,3,42,44,47,5,150,0,3,15,14
