region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6721,742,2198,72,137,74,207,146,344,120,201,0,0,0,0,0,0,120,201,91,192,6,10,52,132,149,334,13,29,1170,3106,335,0,1505,3106
POA6722,1812,5720,255,677,148,392,403,1069,121,252,0,0,62,127,0,0,183,379,108,234,37,72,0,0,145,306,8,21,2551,7495,506,0,3057,7495
POA6725,1975,6614,222,455,69,152,291,607,288,584,3,7,0,0,0,0,291,591,223,422,39,82,49,120,311,624,48,93,2916,8529,420,0,3336,8529
POA6726,1270,3913,157,345,15,32,172,377,55,96,0,0,0,0,0,0,55,96,178,341,0,6,0,3,178,350,0,0,1675,4736,161,0,1836,4736
POA6728,1130,4086,42,82,10,20,52,102,17,24,0,0,0,0,0,0,17,24,77,136,6,15,6,24,89,175,10,23,1298,4410,229,0,1527,4410
POA6740,373,1307,14,26,0,0,14,26,4,3,0,0,0,0,0,0,4,3,31,50,8,15,3,6,42,71,4,23,437,1430,161,0,598,1430
POA6743,1276,4020,121,269,19,44,140,313,97,203,0,0,0,0,3,0,100,203,276,514,26,48,45,97,347,659,10,32,1873,5227,281,0,2154,5227
POA6751,893,2728,58,103,19,37,77,140,9,7,0,0,0,0,0,0,9,7,45,97,0,4,3,8,48,109,0,4,1027,2988,237,0,1264,2988
POA6753,1222,3983,71,128,0,0,71,128,86,134,0,3,12,16,10,17,108,170,0,3,0,0,4,3,4,6,6,6,1411,4293,506,0,1917,4293
POA6754,398,1157,3,0,0,0,3,0,29,39,0,0,0,0,0,0,29,39,3,4,0,0,0,0,3,4,0,0,433,1200,168,0,601,1200
POA6758,41,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,7,6,0,3,48,165,4,0,52,165
POA6760,109,442,0,4,0,0,0,4,11,18,0,0,0,0,0,0,11,18,7,9,0,6,0,3,7,18,0,3,127,485,47,0,174,485
POA6762,51,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,275,9,0,60,275
POA6765,281,1138,0,0,0,0,0,0,47,91,0,0,0,0,0,0,47,91,23,44,3,0,0,5,26,49,3,9,357,1287,67,0,424,1287
POA6770,554,2545,26,46,6,9,32,55,5,6,0,0,0,0,0,0,5,6,55,139,4,3,9,23,68,165,29,74,688,2845,255,0,943,2845
POA6907,0,4,0,0,25,53,25,53,0,0,30,36,0,0,0,0,30,36,0,0,0,0,0,0,0,0,13,29,68,122,10,0,78,122
