POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6398,49,25,28,21,19,18,13,31,3,206
POA6401,422,423,468,360,397,268,279,389,44,3050
POA6403,12,11,6,4,15,6,6,12,0,80
POA6405,49,11,16,18,13,6,18,25,3,154
POA6407,125,52,72,33,48,36,35,60,3,471
POA6409,57,12,14,12,18,9,18,39,0,169
POA6410,81,31,64,60,28,17,39,62,5,393
POA6411,26,11,11,0,9,3,5,4,0,61
POA6412,13,4,0,7,0,3,0,0,0,28
POA6413,10,8,0,3,0,0,0,3,0,27
POA6414,12,3,0,0,5,3,3,0,0,35
POA6415,198,173,230,123,153,126,177,136,22,1330
POA6418,88,31,39,28,23,16,27,34,0,296
POA6419,15,3,0,4,0,0,0,6,0,30
POA6420,40,0,3,0,4,0,4,5,0,57
POA6421,35,4,3,3,11,0,3,6,0,63
POA6422,13,3,0,5,0,0,0,3,0,31
POA6423,28,10,33,4,12,4,25,11,0,133
POA6424,20,0,5,0,3,0,8,10,0,44
POA6425,26,5,3,5,4,0,3,3,0,45
POA6426,92,20,76,19,32,15,77,45,7,395
POA6427,0,3,19,0,0,0,29,4,3,59
POA6428,19,4,3,0,3,0,5,6,0,34
POA6429,32,28,62,40,35,21,79,45,6,348
POA6430,1081,1884,2437,1070,1258,882,1813,943,182,11554
POA6431,36,59,64,43,29,12,51,40,9,338
POA6432,214,236,698,297,335,276,737,338,86,3219
POA6434,17,9,15,0,3,0,34,19,3,103
POA6436,3,7,3,0,7,0,7,6,0,35
POA6437,18,24,62,15,19,3,92,33,0,274
POA6438,45,55,77,34,26,15,96,41,10,394
POA6440,39,67,155,46,32,8,196,55,7,598
POA6442,39,92,254,77,92,69,315,109,19,1060
POA6443,49,34,84,28,26,16,67,48,12,366
POA6445,61,3,4,0,4,4,6,13,0,98
POA6446,42,0,3,6,3,0,3,12,0,68
POA6447,67,7,0,0,6,0,6,13,0,104
POA6448,42,16,28,15,26,8,15,23,3,175
POA6450,944,800,946,510,697,565,640,791,94,5993
POA6452,0,0,0,0,0,0,0,0,0,0
POA6460,78,33,33,20,42,14,29,34,3,297
POA6461,77,23,27,16,23,13,19,27,4,232
POA6462,30,3,5,3,3,0,5,6,0,63
POA6463,7,0,0,0,0,0,0,0,0,8
POA6465,14,0,0,0,0,0,0,0,3,14
POA6466,21,4,0,0,0,3,4,6,0,38
POA6467,9,0,0,0,0,0,0,0,0,11
POA6468,60,5,16,3,9,3,10,16,0,123
POA6470,3,0,0,0,0,0,0,0,0,10
POA6472,54,11,7,3,3,3,11,10,4,105
POA6473,13,0,0,3,0,0,3,0,0,24
POA6475,66,8,24,13,19,8,12,27,0,185
POA6476,20,0,0,0,0,0,7,4,0,25
POA6477,60,9,18,7,11,0,11,12,3,129
POA6479,110,23,30,17,20,15,22,32,3,271
POA6480,9,4,4,0,3,3,3,0,0,23
POA6484,12,3,16,0,5,0,21,3,0,57
POA6485,58,16,13,17,26,5,23,22,3,180
POA6487,21,0,0,0,0,0,0,3,0,30
POA6488,27,4,7,4,3,5,11,10,0,78
POA6489,9,0,4,3,0,0,4,6,4,35
POA6490,29,10,12,9,14,4,19,15,0,110
POA6501,68,35,100,38,76,14,46,69,14,460
POA6502,80,40,80,43,44,38,66,72,17,474
POA6503,271,61,144,53,99,54,103,230,18,1037
POA6504,21,7,3,3,7,3,13,15,0,74
POA6505,36,3,7,4,7,0,9,6,0,70
POA6506,12,0,3,0,0,3,3,9,0,33
POA6507,123,27,31,10,35,12,31,53,4,311
POA6509,40,5,6,10,10,0,10,8,0,87
POA6510,178,83,140,85,111,83,90,126,7,898
POA6511,29,22,21,19,34,7,16,61,10,213
POA6512,29,9,0,4,4,0,0,8,0,58
POA6513,61,9,10,3,8,0,17,12,0,112
POA6514,24,16,31,16,23,10,24,38,3,184
POA6515,75,9,14,9,19,7,22,20,3,176
POA6516,99,68,137,64,84,55,58,111,7,675
POA6517,52,21,35,10,24,13,29,24,0,197
POA6518,45,12,7,3,5,3,4,19,3,101
POA6519,84,22,30,34,13,12,29,30,3,264
POA6521,111,12,24,9,16,3,19,40,0,235
POA6522,96,13,25,16,15,11,32,18,4,232
POA6525,209,155,270,125,173,89,123,207,40,1389
POA6528,37,24,25,12,24,7,30,25,0,181
POA6530,1378,2279,2376,1629,1728,1401,1196,1660,265,13907
POA6532,543,453,523,292,388,247,313,283,50,3096
POA6535,174,67,57,62,46,33,91,86,12,618
POA6536,99,73,85,81,63,64,41,155,18,671
POA6537,65,49,71,49,40,31,25,64,5,402
POA6556,104,160,201,122,108,89,98,104,20,999
POA6558,51,47,85,35,50,20,23,41,13,362
POA6560,34,52,112,72,77,52,66,108,12,590
POA6562,70,65,95,77,76,45,73,68,8,571
POA6564,8,12,31,11,11,6,19,18,3,130
POA6566,183,190,209,137,167,93,161,129,36,1300
POA6567,31,19,37,19,18,12,20,17,3,180
POA6568,51,11,8,0,3,12,11,21,3,121
POA6569,39,3,14,9,16,7,15,21,0,121
POA6571,17,3,3,3,3,0,5,4,0,44
POA6572,18,0,0,0,4,0,3,0,0,31
POA6574,24,6,6,0,3,0,0,3,0,43
POA6575,37,11,3,0,6,0,3,8,0,76
POA6603,135,63,90,45,69,39,60,56,7,561
POA6605,14,3,4,0,3,3,0,0,0,26
POA6606,40,7,11,4,3,5,7,7,6,85
POA6608,34,5,5,3,3,0,3,9,0,66
POA6609,119,35,76,29,54,35,30,58,0,440
POA6612,45,9,11,0,6,0,15,13,0,98
POA6613,9,0,0,0,0,0,0,6,0,23
POA6614,13,0,0,0,0,0,0,0,0,13
POA6616,17,0,0,0,3,0,4,3,0,27
POA6620,83,23,68,15,23,4,73,36,3,314
POA6623,77,34,24,25,20,19,26,30,6,266
POA6625,15,0,0,0,0,0,0,6,0,29
POA6627,18,3,6,0,0,3,0,3,0,33
POA6628,7,0,0,0,3,0,3,0,0,8
POA6630,72,34,21,30,20,3,23,32,7,242
POA6631,13,0,0,0,0,0,0,0,0,16
POA6632,16,0,0,0,0,0,3,4,0,29
POA6635,25,25,34,14,12,0,53,14,0,176
POA6638,21,21,23,9,15,7,10,25,11,150
POA6639,13,0,6,0,3,0,4,7,0,40
POA6640,19,13,6,8,5,3,6,8,0,73
POA6642,66,85,71,40,35,10,84,59,14,463
POA6646,27,48,88,21,17,5,107,51,6,371
POA6701,466,292,314,240,298,165,159,360,50,2351
POA6705,23,5,13,15,5,0,5,16,0,72
POA6707,194,203,281,168,159,123,70,176,29,1402
POA6710,167,297,1073,72,139,9,386,612,31,2788
POA6711,0,0,0,0,0,0,0,0,0,0
POA6712,63,134,665,28,54,4,177,392,27,1547
POA6713,63,92,131,44,83,18,76,45,10,577
POA6714,897,1296,2104,707,1044,557,1040,886,193,8727
POA6716,35,36,100,22,29,11,138,23,9,411
POA6718,14,23,37,43,15,0,19,30,13,191
POA6720,77,107,358,105,122,45,257,106,26,1204
POA6721,343,380,596,153,302,124,312,217,56,2488
POA6722,309,526,1173,398,489,315,664,533,107,4513
POA6725,603,939,721,687,650,322,226,444,107,4701
POA6726,397,579,368,361,359,238,119,207,49,2683
POA6728,192,378,217,351,199,88,80,248,60,1809
POA6731,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0
POA6740,46,64,36,94,34,10,19,41,6,341
POA6743,419,568,455,371,383,188,215,312,74,2984
POA6751,222,325,822,125,185,62,815,264,48,2866
POA6753,270,425,1048,186,241,111,1052,373,73,3784
POA6754,48,61,173,45,52,25,220,52,14,698
POA6758,72,92,428,21,38,3,536,110,27,1323
POA6760,26,27,51,31,12,0,47,52,11,257
POA6762,28,93,150,12,17,0,152,42,12,498
POA6765,60,118,49,108,51,21,11,72,15,506
POA6770,74,150,59,125,51,13,20,87,25,611
