region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6440,29,3,3,3,0,0,3,41
POA6442,294,31,23,5,0,0,4,357
POA6443,58,12,3,0,0,0,0,73
POA6445,23,0,0,0,0,0,0,23
POA6447,64,3,3,0,0,0,3,73
POA6448,34,3,3,0,0,0,0,40
POA6450,1185,110,73,9,0,0,12,1389
POA6460,92,8,6,0,0,0,0,106
POA6461,31,3,3,0,0,0,0,37
POA6462,39,3,0,0,0,0,0,42
POA6468,30,3,0,0,0,0,0,33
POA6472,22,0,3,0,0,0,0,25
POA6475,37,3,4,0,0,0,4,48
POA6477,31,0,5,0,0,0,0,36
POA6479,52,3,0,0,0,0,0,55
POA6484,3,0,0,0,0,0,0,3
POA6485,45,0,0,0,0,0,0,45
POA6488,28,0,0,0,0,0,0,28
POA6490,23,0,0,0,0,0,0,23
POA6501,111,16,11,0,0,0,3,141
POA6502,86,8,7,0,0,0,0,101
POA6503,215,19,8,0,0,0,3,245
POA6505,28,3,0,0,0,0,0,31
POA6507,42,3,0,0,0,0,0,45
POA6509,34,4,3,0,0,0,0,41
POA6510,191,23,11,0,0,3,4,232
POA6511,26,3,3,0,0,0,0,32
POA6513,27,0,0,0,0,0,0,27
POA6514,32,3,4,3,0,0,0,42
POA6515,47,8,0,0,0,0,0,55
POA6516,130,4,12,0,0,0,3,149
POA6517,42,4,0,0,0,0,0,46
POA6518,14,0,0,0,0,0,0,14
POA6519,50,5,0,0,0,0,5,60
POA6521,38,3,4,0,0,0,0,45
POA6522,50,0,0,3,0,0,0,53
POA6525,345,30,16,0,0,0,3,394
POA6528,22,5,3,0,0,0,0,30
POA6530,3000,281,201,42,3,4,33,3564
POA6532,619,52,31,6,0,0,6,714
POA6535,113,5,6,0,0,0,0,124
POA6536,138,5,3,0,0,0,3,149
POA6537,39,4,3,0,0,0,0,46
POA6556,211,25,14,0,0,0,0,250
POA6558,79,7,7,3,0,0,0,96
POA6560,102,17,18,3,0,0,0,140
POA6562,97,13,5,0,0,0,0,115
POA6564,28,0,0,0,0,0,0,28
POA6566,244,21,18,3,0,0,6,292
POA6567,33,0,0,0,0,0,3,36
POA6568,32,3,0,0,0,0,0,35
POA6569,33,0,0,0,0,0,0,33
POA6575,28,3,0,0,0,0,0,31
POA6603,105,9,9,3,0,0,0,126
POA6606,33,0,3,0,0,0,0,36
POA6608,30,0,4,0,0,0,0,34
POA6609,56,4,6,3,0,0,0,69
POA6612,26,0,0,0,3,0,0,29
POA6620,20,4,0,0,0,0,0,24
POA6623,120,11,7,0,0,0,4,142
POA6628,31,0,0,0,0,0,0,31
POA6630,23,0,0,4,0,0,3,30
POA6635,19,0,0,4,0,0,4,27
POA6638,34,6,0,0,3,3,5,51
POA6639,5,3,0,0,0,0,0,8
POA6640,7,3,4,3,0,0,0,17
POA6642,58,0,0,0,0,0,10,68
POA6646,20,3,4,0,0,0,4,31
POA6701,458,30,31,15,0,0,13,547
POA6705,14,5,0,0,0,0,0,19
POA6707,216,17,9,3,0,0,0,245
POA6710,44,14,4,0,0,3,0,65
POA6713,132,14,0,0,0,3,4,153
POA6714,1544,121,102,23,4,0,6,1800
POA6716,75,0,9,0,0,0,0,84
POA6718,43,3,8,7,0,0,0,61
POA6720,205,30,14,4,0,3,5,261
POA6721,364,44,19,5,0,0,0,432
POA6722,823,83,59,12,0,8,6,991
POA6725,761,71,56,27,6,3,24,948
POA6726,429,35,30,15,0,3,4,516
POA6728,306,19,35,38,5,9,26,438
POA6740,83,5,6,11,0,3,5,113
POA6743,441,37,24,24,3,4,11,544
POA6751,419,30,26,7,0,0,3,485
POA6753,542,41,51,21,6,0,5,666
POA6754,153,7,15,4,0,0,0,179
POA6758,5,3,3,4,0,0,0,15
POA6760,29,0,0,8,3,0,0,40
POA6762,12,0,3,4,0,3,3,25
POA6765,67,9,8,9,7,0,7,107
POA6770,152,13,17,38,8,10,16,254
POA6907,4,0,0,0,0,0,0,4
