POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6158,21,3,29,10,9,8,3,3,0,95,0,0,0,0,0,0,0,0,0,0,3,17,6,9,4,0,0,0,0,41,4,5,0,6,0,3,4,3,7,40,559,1294,289,216,274,138,42,60,37,2909
POA6159,4,8,18,0,0,3,0,3,0,36,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,12,6,4,0,0,0,0,0,3,3,15,263,669,92,83,109,57,15,21,25,1333
POA6160,14,6,52,25,8,9,7,17,0,134,0,3,0,0,0,0,0,0,0,3,11,22,3,3,0,6,3,3,0,51,8,10,5,7,5,3,3,3,8,53,451,1474,321,280,260,136,79,113,35,3160
POA6161,3,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,17,10,0,0,0,3,0,50
POA6162,23,3,54,20,15,11,0,12,0,146,0,0,0,3,0,0,0,0,0,5,14,24,4,4,8,3,0,3,5,69,6,14,10,8,3,3,4,11,19,78,604,1717,516,339,361,174,86,142,67,4004
POA6163,95,33,363,134,76,92,39,70,10,905,0,0,10,3,5,6,4,11,0,37,23,33,34,27,16,8,6,14,4,170,36,42,86,51,40,36,22,51,65,439,1851,5038,3164,1793,1763,872,610,956,252,16288
POA6164,122,43,386,168,180,138,71,101,13,1214,0,0,6,3,0,4,0,6,0,22,22,32,40,34,25,6,14,13,13,205,41,28,85,30,51,33,47,57,64,437,2272,5514,4010,2031,2575,1023,914,991,294,19615
POA6165,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,3,0,0,23
POA6166,23,0,63,29,24,21,6,20,3,199,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,4,9,0,3,34,6,11,19,9,12,4,7,14,12,78,412,747,720,296,364,171,132,154,58,3042
POA6167,44,11,158,67,63,53,41,46,9,491,3,0,0,0,0,0,0,3,0,7,6,13,9,8,4,6,11,9,8,76,11,12,45,23,15,29,49,40,24,238,530,1224,1478,919,752,393,485,497,126,6399
