POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6152,0,40,491,1932,2007,427,114,85,5101,0,122,1040,781,118,10,0,44,2117,3,14,288,982,238,20,0,30,1584,3,131,1327,1765,359,31,3,71,3700,3,70,343,106,28,0,0,9,566,0,61,154,10,0,0,0,3,235,0,19,73,32,0,0,0,3,132,0,0,0,0,0,0,0,0,0,3,150,575,154,30,0,0,16,932,0,0,0,3,0,0,0,0,6,0,3,19,10,13,0,0,4,45,10,320,2416,3865,2401,460,119,175,9776
POA6153,0,29,306,2030,2118,556,102,78,5226,0,41,275,525,74,16,0,22,949,0,0,69,324,284,47,6,4,736,0,41,339,857,358,61,6,23,1689,5,8,134,29,0,0,0,0,186,0,30,58,5,0,0,0,4,100,0,20,62,72,0,0,0,5,162,0,0,0,0,0,0,0,0,0,5,62,253,116,3,0,0,8,449,0,0,0,0,0,0,0,0,3,0,0,0,8,14,0,0,8,25,4,134,904,3010,2495,622,108,114,7393
POA6154,3,31,196,929,1262,242,37,39,2740,0,9,356,361,36,3,0,27,792,0,4,27,75,44,8,0,3,164,0,20,388,435,83,5,0,28,956,0,15,15,3,0,0,0,7,40,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,3,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,64,597,1375,1346,249,37,69,3740
POA6155,8,38,137,2761,9472,1288,225,159,14095,0,34,88,623,264,25,3,25,1055,0,0,13,16,48,13,0,0,93,0,34,102,638,311,34,3,23,1149,0,12,95,243,9,3,0,4,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,95,243,9,3,0,4,364,0,0,0,4,6,0,0,0,7,0,0,0,5,4,0,0,0,13,9,84,337,3650,9797,1328,228,188,15624
POA6156,3,45,460,2051,1694,338,70,67,4740,0,39,346,409,74,0,0,22,899,0,0,43,203,90,25,4,4,371,0,42,390,616,163,26,7,31,1270,7,16,84,4,0,0,0,6,111,0,20,30,5,0,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,119,8,0,0,0,6,176,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,17,5,121,969,2682,1872,366,75,106,6198
POA6157,0,26,300,1620,1144,142,25,47,3308,6,37,858,785,65,0,3,40,1794,0,5,35,151,36,11,0,3,248,6,44,896,934,106,12,3,50,2045,3,65,91,12,0,0,0,11,181,0,14,12,0,0,0,0,0,30,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,80,103,13,0,0,0,11,215,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,18,7,155,1305,2571,1251,154,31,106,5581
POA6158,0,19,181,783,634,140,26,35,1809,0,10,86,94,7,0,0,6,203,0,5,98,179,34,3,0,6,320,0,15,184,268,39,6,0,14,528,0,19,26,16,0,0,0,0,64,0,32,75,16,0,0,0,8,132,3,27,102,31,0,0,0,0,168,0,0,0,0,0,0,0,0,0,3,86,202,61,0,0,0,6,361,0,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,3,123,571,1117,671,141,26,55,2712
POA6159,0,11,80,203,116,22,3,5,438,0,8,55,29,11,0,0,0,108,8,73,126,221,25,9,0,5,459,8,79,176,252,39,6,0,9,563,3,9,15,3,0,0,0,0,35,0,8,25,29,5,0,0,3,65,3,20,118,87,15,0,0,3,245,0,0,0,0,0,0,0,0,0,9,40,155,124,19,0,0,7,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,129,419,578,172,26,3,18,1357
POA6160,0,43,295,705,282,53,24,22,1415,0,46,328,184,22,3,0,12,599,3,71,242,264,40,0,0,13,633,3,120,566,448,60,9,3,31,1234,4,69,76,6,0,0,0,10,164,0,53,152,23,0,0,0,13,243,13,148,93,25,0,0,0,16,290,0,0,0,0,0,0,0,0,0,20,264,324,52,0,0,0,34,700,0,0,0,0,4,0,0,0,10,0,3,8,5,0,0,0,3,24,25,429,1194,1214,344,62,21,90,3380
POA6161,0,0,3,10,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,4,3,10,0,0,3,15,37
