region_id,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA6522,8,39,63,33,31,174,9,183
POA6525,56,430,504,187,112,1289,36,1325
POA6528,0,29,21,28,24,102,0,102
POA6530,814,3841,4202,1525,752,11134,429,11563
POA6532,39,435,782,373,275,1904,41,1945
POA6535,22,167,233,102,57,581,26,607
POA6536,40,221,220,73,22,576,17,593
POA6537,29,97,97,28,19,270,7,277
POA6556,15,135,241,146,117,654,16,670
POA6558,7,50,109,55,48,269,13,282
POA6560,23,125,153,76,48,425,14,439
POA6562,9,90,184,69,54,406,15,421
POA6564,0,30,49,20,21,120,4,124
POA6566,37,352,416,179,141,1125,30,1155
POA6567,0,30,68,25,22,145,0,145
POA6568,3,18,41,7,16,85,0,85
POA6569,0,37,43,31,13,124,8,132
POA6575,3,14,33,25,13,88,0,88
POA6603,41,139,167,45,29,421,14,435
POA6606,3,26,49,28,18,124,4,128
POA6608,0,10,37,22,19,88,0,88
POA6609,14,84,80,26,9,213,7,220
POA6612,3,21,28,13,21,86,3,89
POA6620,0,28,24,6,6,64,3,67
POA6623,24,111,130,77,60,402,20,422
POA6628,0,11,30,11,13,65,0,65
POA6630,13,57,63,16,9,158,8,166
POA6635,10,24,19,8,26,87,7,94
POA6638,26,70,45,23,20,184,10,194
POA6639,3,12,18,6,0,39,5,44
POA6640,7,42,25,12,8,94,7,101
POA6642,30,125,62,21,16,254,45,299
POA6646,31,46,17,7,7,108,4,112
POA6701,177,631,620,255,130,1813,138,1951
POA6705,17,27,12,5,9,70,3,73
POA6707,26,290,343,131,61,851,21,872
POA6710,30,95,82,36,20,263,28,291
POA6713,6,63,139,78,37,323,3,326
POA6714,134,991,1758,732,443,4058,156,4214
POA6716,8,78,72,19,3,180,6,186
POA6718,19,70,61,17,24,191,21,212
POA6720,26,140,211,92,45,514,19,533
POA6721,46,281,464,184,113,1088,84,1172
POA6722,163,599,959,442,251,2414,137,2551
POA6725,381,942,893,332,206,2754,164,2918
POA6726,103,553,651,204,91,1602,76,1678
POA6728,336,383,325,94,74,1212,86,1298
POA6740,137,138,82,30,16,403,34,437
POA6743,193,642,607,208,134,1784,88,1872
POA6751,41,328,421,156,46,992,35,1027
POA6753,93,446,543,191,95,1368,46,1414
POA6754,19,154,158,64,26,421,12,433
POA6758,8,23,11,0,0,42,8,50
POA6760,31,53,17,9,3,113,12,125
POA6762,16,26,9,0,0,51,0,51
POA6765,125,121,65,20,15,346,10,356
POA6770,285,237,89,34,19,664,23,687
POA6907,21,33,14,0,0,68,0,68
