POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6480,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
POA6484,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
POA6485,102,0,0,0,0,102,36,0,0,0,0,36,0,0,0,0,0,0,12,0,0,0,0,12,27,0,0,0,0,27,10,0,0,0,0,10,11,3,0,0,0,14,3,0,0,0,0,3,57,3,0,0,0,62,0,0,0,0,0,0,4,0,0,0,0,4,200,3,0,0,0,203
POA6487,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
POA6488,36,0,0,0,0,37,11,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,5,11,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,4,23,0,0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,4,76,0,0,3,0,79
POA6489,22,0,0,0,0,22,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,37,0,0,0,0,37
POA6490,41,0,0,0,0,48,10,0,0,0,0,10,3,0,0,0,0,3,7,0,0,0,0,7,16,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,97
POA6501,95,0,0,0,3,95,173,0,0,4,0,175,10,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,10,3,0,0,0,0,3,35,0,0,0,0,31,3,0,0,0,0,4,11,0,0,0,0,11,306,0,0,3,3,316
POA6502,165,0,0,0,0,172,154,0,0,0,0,156,15,0,0,0,0,15,0,0,6,0,0,6,32,0,0,0,0,32,0,0,0,0,0,3,4,0,0,0,0,5,3,0,0,0,0,4,58,0,15,0,0,74,5,0,0,0,0,5,13,0,3,0,0,14,394,0,18,0,3,419
POA6503,271,0,0,8,3,284,255,0,0,0,10,261,25,0,0,0,0,25,10,3,0,0,0,11,60,0,0,0,0,67,0,0,0,0,0,0,32,0,0,0,4,41,8,0,0,0,0,11,143,4,0,0,4,156,9,0,0,0,0,7,26,0,0,3,3,38,704,6,0,14,17,744
POA6504,30,0,0,0,0,30,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59
POA6505,16,0,0,0,0,16,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,49,0,0,0,0,49
