POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6357,0,0,0,0,25
POA6358,12,3,0,0,34
POA6359,24,15,5,0,172
POA6361,9,8,0,0,46
POA6363,3,3,3,0,41
POA6365,28,29,12,9,215
POA6367,35,12,9,0,131
POA6368,3,0,0,0,15
POA6369,45,33,14,13,224
POA6370,27,17,6,0,153
POA6372,13,6,5,0,56
POA6373,4,0,0,0,28
POA6375,65,42,26,18,383
POA6383,92,64,40,9,392
POA6384,3,0,0,0,22
POA6385,6,0,0,0,6
POA6386,10,3,10,3,49
POA6390,121,71,30,3,777
POA6391,75,51,17,3,411
POA6392,37,10,3,4,168
POA6393,13,8,0,0,46
POA6394,26,24,3,4,188
POA6395,111,70,38,26,680
POA6396,29,17,10,7,169
POA6397,3,4,4,0,37
POA6398,70,47,41,0,277
POA6401,631,404,203,94,3696
POA6403,18,15,3,0,66
POA6405,18,12,8,0,97
POA6407,80,38,23,7,442
POA6409,21,12,3,0,144
POA6410,61,44,44,18,397
POA6411,11,7,4,0,63
POA6412,5,0,0,0,29
POA6413,10,0,0,0,22
POA6414,7,5,0,0,31
POA6415,183,91,53,20,1157
POA6418,46,40,15,3,277
POA6419,3,0,0,0,19
POA6420,11,4,0,0,41
POA6421,20,7,0,0,61
POA6422,3,0,0,0,28
POA6423,15,10,8,0,100
POA6424,5,5,0,3,37
POA6425,7,0,3,0,36
POA6426,43,35,16,15,328
POA6427,7,0,0,0,66
POA6428,4,0,0,0,22
POA6429,68,41,16,0,374
POA6430,1291,472,177,44,10246
POA6431,54,23,3,0,384
POA6432,444,173,53,10,2888
POA6434,8,3,0,0,81
POA6436,9,6,0,0,42
POA6437,32,8,0,0,316
POA6438,52,23,6,3,427
POA6440,94,21,8,0,610
POA6442,127,57,17,3,1016
POA6443,82,44,10,3,392
POA6445,14,8,4,0,77
POA6446,0,0,3,0,56
POA6447,20,0,0,0,97
POA6448,32,10,8,0,169
POA6450,931,589,317,121,5869
POA6452,0,0,0,0,5
POA6460,64,46,19,8,297
POA6461,36,31,11,0,192
POA6462,7,6,0,0,42
POA6463,0,0,0,0,8
POA6465,3,0,0,0,10
POA6466,3,9,0,0,21
POA6467,0,0,0,0,9
POA6468,9,14,3,0,92
POA6470,0,0,0,0,7
POA6472,3,3,0,0,62
POA6473,3,0,0,0,12
POA6475,25,13,12,4,134
POA6476,6,4,0,0,19
POA6477,11,10,5,0,90
POA6479,32,15,6,6,204
POA6480,7,0,0,0,18
POA6484,11,0,0,0,60
POA6485,34,34,18,14,201
POA6487,7,0,0,0,20
POA6488,14,10,5,3,74
POA6489,14,5,3,0,44
POA6490,17,9,4,0,87
POA6501,80,52,18,3,416
POA6502,93,86,44,4,474
POA6503,153,131,53,13,945
POA6504,18,15,10,0,78
POA6505,5,10,3,0,47
POA6506,3,3,4,0,22
POA6507,48,30,15,3,243
POA6509,15,16,10,0,111
POA6510,139,83,34,14,749
POA6511,46,30,19,3,236
POA6512,10,3,0,0,41
POA6513,8,9,0,0,76
POA6514,73,59,15,0,263
POA6515,21,22,3,0,123
POA6516,180,121,62,6,808
POA6517,42,14,9,3,178
POA6518,9,17,6,0,73
POA6519,37,32,3,9,232
POA6521,27,18,4,0,152
POA6522,38,16,3,0,182
POA6525,306,268,121,28,1573
POA6528,36,17,8,4,175
POA6530,2183,1294,692,211,14072
POA6532,476,243,68,16,3173
POA6535,155,92,54,25,644
POA6536,186,153,52,11,768
POA6537,69,73,18,7,435
POA6556,201,114,38,8,1006
POA6558,173,84,26,0,2233
POA6560,102,69,34,3,567
POA6562,135,90,20,3,568
POA6564,36,20,9,3,145
POA6566,384,330,107,16,1574
POA6567,48,45,15,0,205
POA6568,16,5,0,0,74
POA6569,17,13,5,3,104
POA6571,7,3,0,0,25
POA6572,3,0,0,0,22
POA6574,6,0,0,0,32
POA6575,6,3,0,0,60
POA6603,80,43,11,10,429
POA6605,4,3,0,0,12
POA6606,13,6,5,0,69
POA6608,8,5,0,0,43
POA6609,47,15,15,4,326
POA6612,13,8,10,3,83
POA6613,6,0,0,0,21
POA6614,3,3,0,0,7
POA6616,0,0,0,0,18
POA6620,41,13,5,6,251
POA6623,54,19,14,6,253
POA6625,0,3,0,0,22
POA6627,3,3,0,0,23
POA6628,0,0,0,0,13
POA6630,33,27,16,0,238
POA6631,3,4,0,0,7
POA6632,0,3,0,0,30
POA6635,32,4,3,0,184
POA6638,45,44,6,0,232
POA6639,12,11,3,0,50
POA6640,24,17,3,0,100
POA6642,77,33,3,3,542
POA6646,45,15,3,0,400
POA6701,411,231,95,33,2465
POA6705,18,8,0,0,99
POA6707,211,129,27,9,1420
POA6710,397,51,8,0,2952
POA6711,0,0,0,0,0
POA6712,158,23,0,0,1566
POA6713,49,11,3,0,529
POA6714,817,197,29,6,8699
POA6716,39,0,0,0,351
POA6718,46,20,7,3,431
POA6720,131,22,4,0,1199
POA6721,297,89,17,4,2554
POA6722,476,120,29,14,4702
POA6725,739,286,82,27,5264
POA6726,424,157,40,5,2802
POA6728,358,145,34,9,2416
POA6731,0,0,0,0,3
POA6733,0,0,0,0,0
POA6740,63,50,14,0,451
POA6743,442,142,34,6,2928
POA6751,250,40,3,0,2695
POA6753,381,50,4,0,4127
POA6754,58,9,0,0,626
POA6758,106,12,0,0,1080
POA6760,31,22,3,0,263
POA6762,60,13,0,0,506
POA6765,73,29,8,5,660
POA6770,143,58,19,3,1205
