region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6111,10,3,170,84,56,217,29,174,16,759,55,71,272,128,152,144,104,128,24,1078,167,286,401,157,320,149,216,178,23,1897,240,376,351,205,358,135,225,206,31,2127,323,401,391,291,387,182,274,226,25,2500,216,356,295,245,347,112,200,167,35,1973,58,65,65,25,60,20,38,38,3,372,4,7,6,0,3,0,3,3,0,26,4,0,0,0,0,0,0,0,0,4,1077,1565,1951,1135,1683,959,1089,1120,157,10736
POA6112,30,13,309,146,124,421,40,270,21,1374,93,177,561,239,356,307,186,281,36,2236,398,850,1084,365,769,366,495,467,78,4872,416,608,687,370,636,287,511,402,65,3982,434,473,609,418,635,289,473,408,55,3794,235,290,377,282,414,148,314,278,33,2371,52,61,53,29,45,21,44,40,14,359,5,0,0,3,3,0,3,11,7,32,0,0,0,0,0,0,0,0,0,0,1663,2472,3680,1852,2982,1839,2066,2157,309,19020
POA6121,3,0,32,22,13,28,8,19,0,125,8,10,42,8,25,10,6,14,0,123,16,20,34,18,29,4,15,22,0,158,68,55,76,30,64,22,27,20,3,365,73,44,71,36,80,31,42,28,4,409,41,23,44,20,27,13,27,20,4,219,9,6,5,0,4,4,4,0,3,35,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,5,223,158,304,134,242,112,129,123,17,1442
POA6122,9,7,124,37,29,106,13,71,3,399,37,31,178,57,77,50,39,51,8,528,86,137,266,94,169,65,107,84,14,1022,122,147,223,88,192,89,141,91,26,1119,146,135,174,84,192,63,114,68,17,993,61,86,100,53,108,32,98,57,0,595,9,13,13,5,11,5,17,6,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,470,556,1078,418,778,410,529,433,68,4740
POA6123,0,0,17,6,7,19,0,17,0,66,0,6,19,6,9,7,5,10,0,62,9,16,25,4,15,0,16,12,0,97,15,11,39,17,30,13,33,13,9,180,20,15,24,15,44,6,34,12,3,173,17,13,14,11,14,4,18,19,5,115,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,146,59,119,49,106,83,17,701
POA6124,0,0,8,7,0,6,0,11,0,32,0,3,11,4,6,3,0,6,0,33,7,14,18,3,8,3,7,5,0,65,16,23,20,15,23,6,19,10,3,135,14,22,22,11,18,11,16,16,3,133,12,15,9,7,11,0,11,12,3,80,3,6,0,3,0,0,3,6,3,24,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,52,86,88,50,66,32,56,66,12,508
POA6125,0,0,26,13,3,14,6,20,0,82,16,10,27,7,6,5,11,13,3,98,13,32,37,12,18,6,10,18,4,150,35,46,76,20,45,20,55,39,0,336,62,40,65,38,52,21,35,33,5,351,53,26,38,20,36,14,22,19,0,228,24,6,5,4,9,0,4,6,3,61,3,0,3,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,209,160,277,114,172,80,143,148,15,1318
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,9,3,3,3,0,0,0,3,6,0,18,3,9,3,0,3,0,3,4,0,25,8,3,4,3,3,7,0,5,0,33,11,0,4,4,4,0,4,0,3,30,3,3,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,18,17,7,16,7,10,18,3,127
POA6147,11,8,51,57,30,117,18,79,9,380,28,116,167,117,122,120,70,99,18,857,123,476,286,164,284,107,175,154,21,1790,134,291,275,165,208,83,166,168,33,1523,156,233,199,183,277,91,150,169,19,1477,85,154,182,131,211,60,128,167,16,1134,7,28,26,17,31,11,19,36,3,178,0,4,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,3,3,544,1310,1186,834,1163,589,726,877,122,7351
POA6148,6,21,73,87,56,187,12,103,7,552,42,194,137,130,142,158,53,91,10,957,120,542,225,106,211,86,77,78,19,1464,242,505,205,132,291,89,89,102,16,1671,373,593,205,147,312,103,109,128,29,1999,239,382,173,127,261,87,77,86,18,1450,41,80,38,27,62,17,19,21,10,315,4,6,5,0,10,3,0,0,0,28,0,0,0,0,0,0,0,0,3,3,1067,2323,1061,756,1345,730,436,609,112,8439
