region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6286,3,0,4,3,0,0,13,0,0,0,0,3,3,0,0,6,0,6,10,20,23,7,4,0,70,0,6,11,13,16,8,0,0,54,0,0,6,0,3,0,3,0,12,6,10,18,14,23,6,0,0,77,3,0,0,3,0,0,0,0,6,9,10,24,17,26,6,3,0,95,0,0,0,3,0,0,0,0,3,10,6,10,16,13,0,3,3,61,19,31,58,69,85,27,10,3,302
POA6288,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,12,0,0,0,0,27,0,3,8,8,12,6,3,0,40,0,3,0,0,3,0,0,0,6,5,8,15,20,14,9,0,0,71,0,0,0,0,0,0,0,0,0,5,11,15,20,17,9,0,0,77,0,0,0,0,6,0,0,0,6,7,0,0,13,11,6,8,3,48,12,24,31,53,46,21,11,3,201
POA6290,0,0,6,6,0,0,12,0,0,3,3,3,0,0,0,9,0,9,23,20,32,20,9,0,113,4,6,11,18,27,27,14,8,115,0,0,5,15,8,0,0,0,28,20,36,30,52,59,34,23,4,258,0,0,3,5,5,0,0,0,13,20,36,38,72,72,34,23,4,299,0,3,0,9,0,13,7,0,32,12,8,13,16,19,19,25,18,130,36,62,88,138,159,119,78,30,710
POA6302,6,8,10,6,3,0,39,0,3,10,7,12,3,4,0,39,7,42,43,46,45,32,15,4,234,0,15,37,43,63,35,15,3,211,0,7,17,13,18,3,0,0,58,24,58,76,93,115,57,17,0,440,7,5,3,3,4,7,0,0,29,31,70,96,109,137,67,17,0,527,3,0,6,7,24,11,5,0,56,32,20,22,56,43,44,29,11,257,73,156,220,276,334,198,88,18,1363
POA6304,0,0,0,0,0,0,0,0,0,5,7,0,0,3,0,15,3,14,21,15,23,11,4,0,91,0,6,9,15,38,14,0,0,82,0,5,0,0,8,0,0,0,13,8,15,31,41,45,33,15,3,191,8,5,3,0,6,0,0,0,22,16,25,34,41,59,33,15,3,226,0,3,0,6,13,14,4,0,40,11,11,19,18,16,29,16,5,125,30,59,88,102,149,101,42,8,579
POA6306,0,0,4,0,0,0,4,0,3,3,0,6,0,0,0,12,4,11,13,0,3,4,0,3,38,0,3,7,6,6,6,0,3,31,0,3,3,3,0,0,0,0,9,11,15,14,16,22,11,6,0,95,0,3,3,4,0,0,0,0,10,11,21,20,23,22,11,6,0,114,0,3,6,4,7,4,0,0,24,3,7,16,7,12,17,13,6,81,18,48,65,40,60,42,19,12,304
POA6308,4,0,0,0,0,0,4,0,0,4,4,0,0,0,0,8,3,16,20,10,10,6,4,0,69,0,8,14,19,18,13,0,0,72,0,0,4,3,9,0,0,0,16,21,34,34,42,30,20,6,6,193,6,6,3,0,0,0,0,0,15,27,40,41,45,39,20,6,6,224,0,0,0,3,7,4,3,0,17,18,10,15,24,14,12,10,9,112,48,74,98,105,88,55,23,15,506
POA6309,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,0,0,14,0,3,3,3,4,0,0,0,13,0,0,3,0,3,0,0,0,6,0,5,7,9,9,0,0,0,30,3,0,0,0,0,0,0,0,3,3,5,10,9,12,0,0,0,39,0,0,0,0,0,5,0,0,5,3,0,0,6,0,4,4,3,20,6,13,16,24,22,9,4,3,97
POA6311,0,0,3,0,0,0,3,0,0,4,4,0,0,0,0,8,0,4,11,11,3,0,0,4,33,0,0,7,7,9,6,3,0,32,0,0,3,3,3,3,6,0,18,3,17,10,16,11,9,3,0,69,0,0,3,0,0,3,0,0,6,3,17,16,19,14,15,9,0,93,0,0,0,0,0,0,0,0,0,3,3,3,6,6,4,3,0,28,6,24,41,47,35,25,15,4,197
POA6312,9,9,3,0,0,0,26,0,7,14,16,11,6,0,0,54,22,75,79,85,29,26,3,0,319,4,22,58,66,50,28,10,0,238,7,4,12,12,8,0,3,0,46,101,116,114,100,103,52,23,4,613,31,20,12,5,3,0,0,0,71,139,140,138,117,114,52,26,4,730,4,3,9,14,12,5,4,0,51,51,34,45,42,51,39,54,29,345,220,286,352,349,270,156,97,33,1763
