POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6317,14,57,5,24,3,113,3,5,51,21,48,6,132,0,0,0,0,0,0,3,0,0,4,0,52,3,60,0,0,0,4,7,3,24,20,25,195,107,477,66,895
POA6318,0,9,0,9,0,15,0,0,3,5,3,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,5,4,14,3,3,29,25,65,18,139
POA6320,7,3,0,5,0,15,0,0,4,3,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,8,20,21,55,10,111
POA6321,0,6,0,0,0,10,0,0,3,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,20,53,9,113
POA6322,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,3,0,0,9,5,30,10,47
POA6323,0,9,8,6,0,24,5,0,3,10,13,3,37,0,0,0,0,0,0,3,0,0,0,0,9,0,9,0,0,0,3,3,4,7,15,9,30,38,110,19,217
POA6324,15,30,17,28,3,100,3,3,29,26,48,4,119,0,0,0,0,0,0,3,0,0,3,3,36,0,41,0,0,3,3,12,8,24,22,33,162,152,428,52,843
POA6326,0,4,3,0,0,13,0,0,5,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,34,18,60,9,125
POA6327,0,0,3,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,3,7,18,39,6,72
POA6328,0,3,5,9,0,10,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,3,20,22,64,10,110
POA6330,174,515,221,291,36,1331,115,88,512,386,502,51,1652,14,0,39,27,73,4,153,12,5,37,82,359,25,520,3,3,33,38,191,71,341,377,374,2027,1733,4879,509,9901
POA6333,35,109,39,43,6,262,20,16,80,49,52,10,224,8,0,9,7,10,0,39,5,0,8,3,43,0,55,3,3,16,5,28,9,62,105,87,413,256,658,90,1612
POA6335,0,13,7,3,0,24,0,0,4,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,9,3,12,3,0,32,24,105,18,195
POA6336,0,3,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,33,6,71
POA6337,3,3,3,6,0,19,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,20,26,78,9,143
POA6338,3,10,3,8,0,22,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,3,6,5,54,28,102,13,208
POA6341,0,4,3,7,0,11,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,15,34,3,69
POA6343,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,5,28,10,71
POA6346,3,12,3,3,3,22,0,0,9,4,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,45,43,96,17,211
POA6348,0,4,0,8,0,13,0,0,0,10,4,3,18,0,0,0,0,3,0,3,0,0,0,3,3,0,7,0,0,0,0,7,0,4,4,6,25,29,106,16,192
POA6350,0,3,0,0,0,5,0,0,3,0,8,0,10,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,8,30,0,54
POA6351,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,22
POA6352,3,7,0,3,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,3,15,10,18,0,43
POA6353,4,13,0,8,0,18,0,0,5,3,7,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,3,0,4,0,5,55,25,124,12,229
POA6355,0,5,3,0,0,11,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,38,19,46,9,116
POA6356,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,17,0,34
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,17
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,3,27
POA6359,3,0,7,0,0,15,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,5,7,4,29,23,59,10,127
POA6361,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,13,7,32
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,22
POA6365,0,11,4,3,0,20,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,4,0,4,5,4,35,23,66,3,135
POA6367,0,0,3,4,0,11,0,0,7,4,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,17,14,43,10,91
POA6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,13
POA6369,0,14,0,0,3,19,0,0,3,3,10,3,20,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,3,8,0,3,29,13,56,10,127
POA6370,0,7,0,3,0,10,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,5,0,3,24,19,49,7,100
POA6372,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,3,25
POA6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,23
POA6375,3,18,0,5,0,26,0,0,7,6,8,3,25,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,3,4,8,0,5,55,28,118,19,218
POA6383,3,11,3,8,3,24,3,0,3,3,5,3,23,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,3,11,4,4,31,26,76,21,163
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,16
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6386,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,24
POA6390,7,19,3,8,0,43,3,3,9,6,12,0,29,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,5,0,7,21,12,90,70,264,28,486
POA6391,6,24,6,3,0,36,0,0,17,3,7,0,33,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,5,6,11,71,51,124,19,280
POA6392,3,6,3,3,0,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,4,0,5,26,23,50,8,112
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,20,5,30
POA6394,0,8,0,0,0,8,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,4,3,44,18,54,11,132
POA6395,7,24,3,11,4,51,0,0,13,11,10,4,44,0,0,0,0,0,0,0,0,0,3,4,14,0,20,0,0,0,0,6,3,15,6,12,127,65,176,47,430
POA6396,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,16,22,49,5,99
POA6397,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,18
POA6398,0,4,0,7,0,11,0,0,0,4,4,0,9,0,0,4,7,4,0,23,0,0,0,0,3,0,3,0,0,0,0,0,0,3,6,4,23,24,64,4,121
POA6401,13,81,30,56,9,203,16,9,74,49,90,14,258,0,0,4,0,10,3,14,0,0,9,13,65,3,83,3,0,6,3,38,8,56,73,46,329,257,913,113,1729
POA6403,3,3,0,0,0,5,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,4,8,17,0,35
POA6405,0,0,3,7,0,14,0,0,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,6,41,7,59
POA6407,0,23,8,16,0,45,0,0,4,3,13,0,26,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,8,3,8,8,4,55,29,151,13,257
POA6409,3,6,3,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,28,13,28,8,81
POA6410,0,14,3,7,0,23,3,0,11,8,23,0,47,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,7,6,15,3,4,37,37,103,15,201
POA6411,0,0,0,3,0,5,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,10,4,14,6,39
POA6412,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,17
POA6413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14
POA6414,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,0,18
POA6415,15,41,21,24,4,103,3,4,26,17,20,7,76,0,0,0,0,3,3,7,0,0,3,0,45,3,54,0,0,3,0,3,4,13,15,29,135,99,394,47,715
POA6418,3,6,3,3,3,22,0,3,6,6,3,0,18,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,8,42,28,71,8,163
POA6419,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,13
POA6420,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,17
POA6421,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,7,30
POA6422,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,20
POA6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,40,4,72
POA6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,12
POA6425,0,7,0,0,0,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,3,0,16
POA6426,3,8,3,3,0,20,0,0,3,5,5,0,19,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,3,7,3,3,26,21,110,12,184
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30,0,35
POA6428,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,17
POA6429,3,5,3,4,0,25,0,0,4,5,6,3,17,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,6,3,3,7,24,31,83,22,163
POA6430,100,371,81,143,23,776,78,43,298,135,161,33,758,3,0,10,9,36,3,67,14,3,25,34,308,10,391,3,0,17,21,124,53,218,373,210,1551,997,3637,322,7097
POA6431,3,13,4,4,0,25,0,3,3,3,5,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,3,0,5,0,9,7,5,48,18,114,11,205
POA6432,9,29,17,33,8,104,4,4,27,35,59,16,149,0,0,0,4,11,0,20,0,0,9,11,107,7,137,0,0,0,7,44,19,71,35,21,169,208,1088,118,1631
POA6434,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,36,0,56
POA6436,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,11
POA6437,0,3,0,3,0,9,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,32,18,104,3,166
POA6438,12,4,0,3,3,25,0,0,4,4,10,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,4,0,4,13,13,42,39,119,7,224
POA6440,3,6,0,3,0,14,0,0,4,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,3,0,5,15,9,54,44,227,13,370
POA6442,5,20,4,15,0,42,0,3,5,7,16,3,35,0,0,0,0,0,0,4,0,0,0,0,15,0,13,0,0,0,0,7,0,11,13,9,72,73,365,31,563
POA6443,0,6,0,0,0,17,0,0,4,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,6,7,6,4,33,28,102,19,195
POA6445,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,8,28,3,39
POA6446,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,24,3,34
POA6447,0,5,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,8,28,0,59
POA6448,0,6,9,4,0,22,0,0,3,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,4,6,19,20,46,11,103
POA6450,48,197,59,102,11,449,17,32,107,82,130,30,395,3,0,5,10,14,0,37,0,0,14,21,168,3,202,5,0,13,10,62,35,123,75,121,632,517,1846,228,3428
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,0,9,0,8,3,22,0,0,7,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,3,0,6,3,9,28,16,77,8,142
POA6461,0,11,0,0,0,12,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,0,10,3,3,21,20,53,10,107
POA6462,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,3,26
POA6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
POA6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
POA6466,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,8
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5
POA6468,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,11,8,23,14,57
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
POA6472,0,3,0,3,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,25,0,47
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6475,0,3,0,4,0,9,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,7,10,6,43,9,80
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11
POA6477,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,10,10,21,4,56
POA6479,0,9,3,5,0,25,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,3,3,33,21,66,6,131
POA6480,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,13
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20,0,32
POA6485,0,3,3,3,0,13,0,0,8,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,49,0,84
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
POA6488,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,6,0,0,4,4,25,7,39
POA6489,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,3,19
POA6490,0,3,3,3,0,11,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,25,0,50
POA6501,0,3,4,5,0,16,0,0,3,3,10,0,19,0,0,0,0,3,0,9,0,0,0,3,19,0,21,0,0,3,0,5,6,10,0,5,38,41,136,19,231
POA6502,0,12,4,9,0,29,0,0,5,12,12,0,30,0,0,0,0,0,0,0,0,0,0,3,8,0,15,0,0,0,0,9,3,16,3,3,38,50,151,18,261
POA6503,3,21,8,10,0,39,0,3,3,13,10,5,30,0,0,0,4,3,0,4,0,0,3,3,17,0,25,0,0,0,3,13,3,27,17,9,106,85,294,36,554
POA6504,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,18,0,34
POA6505,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,3,16,0,30
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,15
POA6507,0,10,3,0,0,18,0,0,6,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,3,43,39,71,9,175
POA6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,3,13,5,16,9,47
POA6510,3,24,9,10,5,58,0,0,16,7,17,0,43,0,0,0,0,0,0,0,0,0,3,0,25,0,28,0,0,0,0,3,0,12,15,10,94,68,250,31,467
POA6511,0,3,4,0,0,8,0,0,0,3,0,0,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10,4,11,3,0,25,15,70,15,126
POA6512,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,0,34
POA6513,3,10,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,20,4,17,3,50
POA6514,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,7,0,7,3,0,3,12,67,9,95
POA6515,0,9,3,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,21,18,40,3,89
