POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6343,85,68,148,12,12,21,0,0,0,3,3,4,0,0,0,0,3,3,9,4,19,0,0,0,0,0,0,0,0,0,0,0,0,11,13,22,3,0,4,0,0,0,28,29,52,21,8,27,132,103,232
POA6346,201,156,363,38,30,65,3,4,7,3,3,9,3,0,3,6,0,9,65,48,114,0,0,0,0,0,0,0,0,0,0,0,0,81,55,140,21,11,31,4,0,4,145,98,243,46,40,87,395,295,689
POA6348,178,162,340,50,37,88,4,3,5,0,0,0,6,5,11,0,0,0,113,99,217,0,0,0,0,0,0,0,0,0,0,0,0,125,115,245,12,20,34,0,3,4,197,176,367,64,49,117,437,386,826
POA6350,78,74,156,13,12,26,0,0,0,0,0,0,0,0,0,0,0,0,26,34,61,0,0,0,0,0,0,0,0,0,0,0,0,26,37,62,4,4,8,3,5,4,43,60,103,15,12,30,137,144,278
POA6351,30,18,48,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,10,7,13,3,5,4,39,32,69
POA6352,57,48,105,3,3,8,0,0,0,0,0,3,0,0,0,0,0,0,5,10,12,0,3,4,0,0,0,0,0,0,0,0,0,6,10,22,3,0,3,3,0,3,14,14,31,16,15,32,90,79,169
POA6353,227,196,428,38,34,73,3,0,3,0,0,0,5,4,10,3,0,3,48,55,101,0,0,3,0,0,0,0,3,0,0,0,0,62,67,124,6,15,25,0,0,0,106,117,220,32,45,82,371,360,728
POA6355,148,124,272,15,12,27,0,6,4,0,0,0,3,0,5,0,0,0,21,27,49,0,0,0,0,0,0,3,0,3,0,0,0,25,34,58,5,4,9,0,0,0,42,49,98,18,15,30,213,189,396
POA6356,42,31,69,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,0,0,0,0,0,0,0,0,0,0,0,0,13,10,20,3,0,4,0,3,3,18,13,33,6,9,13,67,53,118
POA6357,33,27,58,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,5,0,0,0,3,3,10,5,3,8,37,33,77
POA6358,33,28,56,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,12,4,24,6,3,5,50,38,84
POA6359,113,108,223,27,27,58,0,0,0,3,0,3,3,0,3,3,0,3,47,26,65,0,0,0,0,0,0,0,0,0,0,0,0,53,26,76,5,7,12,4,0,3,85,63,149,25,12,36,226,180,408
POA6361,39,25,71,7,4,12,0,0,0,0,3,5,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,12,5,14,0,0,3,0,0,0,18,14,29,7,3,10,62,47,105
POA6363,41,30,71,7,3,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,6,16,4,5,12,53,39,94
POA6365,157,158,316,29,27,57,0,4,8,0,0,0,0,0,0,0,0,0,35,33,65,0,0,0,0,0,0,0,0,0,0,0,0,40,37,73,0,7,3,0,0,3,70,68,139,23,20,39,250,240,491
POA6367,102,84,184,25,20,47,0,0,0,3,0,3,0,0,0,0,0,0,33,17,52,0,0,0,0,0,0,0,0,0,0,0,0,33,21,55,5,9,16,0,0,0,60,53,111,12,19,33,179,150,328
POA6368,25,21,47,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,3,3,0,0,0,4,9,17,0,0,0,32,30,62
POA6369,183,171,348,44,46,91,0,3,7,0,0,0,0,0,0,0,3,3,35,40,80,0,0,0,0,0,0,0,0,0,0,0,0,41,46,88,11,18,28,3,5,6,105,116,220,26,26,59,314,313,628
POA6370,139,136,279,15,22,39,0,4,4,0,0,0,0,0,3,0,0,0,32,30,62,0,0,3,0,0,0,0,0,0,0,0,0,39,32,74,0,3,3,0,0,0,56,56,112,9,12,24,211,208,418
POA6372,39,32,68,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,0,0,0,0,0,15,10,17,15,10,25,64,52,112
POA6373,34,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,3,0,0,0,3,5,13,0,4,8,41,44,85
POA6375,264,242,507,57,45,99,3,3,6,0,0,0,3,4,12,0,0,0,80,92,167,0,0,0,0,0,0,0,0,0,0,0,0,87,101,193,12,9,17,0,0,0,161,153,312,70,52,121,492,440,939
POA6383,256,261,511,38,42,81,0,0,0,0,0,8,3,3,4,0,0,0,83,96,176,0,0,0,0,0,0,0,0,0,0,0,0,86,97,185,8,4,14,3,0,3,133,147,285,68,62,131,455,468,924
POA6384,13,8,24,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,3,9,3,0,3,21,11,32
POA6385,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,12,7,18
POA6386,31,27,59,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,9,10,19,7,8,16,55,39,94
POA6390,384,350,729,97,98,193,9,7,10,11,7,20,14,16,27,3,0,3,234,211,442,6,0,3,0,0,4,0,0,0,0,0,0,267,237,505,24,29,58,6,0,3,392,367,761,94,82,171,873,795,1662
POA6391,288,264,555,50,52,99,0,0,0,4,3,8,0,0,3,0,0,0,75,62,137,0,0,0,0,0,3,0,0,0,0,0,0,80,64,151,15,10,22,0,3,5,141,126,272,48,40,88,487,431,918
POA6392,134,121,258,34,34,67,0,0,0,3,3,4,0,0,0,0,0,3,25,25,44,0,0,0,0,0,0,0,0,0,0,0,0,27,29,58,3,3,6,0,0,0,62,69,132,18,11,31,212,206,423
POA6393,43,27,65,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,17,13,26,0,0,0,0,0,0,0,0,0,0,0,0,15,13,27,0,0,0,0,0,0,16,13,34,6,3,12,64,45,112
POA6394,155,142,302,17,12,28,0,0,0,0,0,0,0,0,0,0,0,0,27,25,50,0,0,0,0,0,0,0,0,0,0,0,0,28,25,46,3,7,9,0,0,0,48,42,86,22,15,38,228,201,423
POA6395,480,488,965,86,90,176,0,3,3,0,3,3,3,4,8,0,0,0,70,83,155,0,0,0,0,0,0,0,0,0,0,0,0,80,86,167,17,20,38,0,3,3,182,201,384,79,88,165,741,778,1520
POA6396,99,80,179,18,13,38,0,0,0,0,0,0,0,0,3,0,0,0,27,35,58,0,0,0,0,0,0,0,0,0,0,0,0,31,35,61,5,8,17,0,0,0,59,62,117,27,22,49,182,167,347
POA6397,33,27,62,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,0,0,0,10,6,17,9,7,12,49,38,88
POA6398,160,153,313,22,15,37,0,0,4,3,4,4,0,0,0,0,0,0,59,47,100,0,0,0,0,0,0,0,0,0,0,0,0,61,49,110,5,3,9,0,0,0,88,73,165,29,25,57,275,252,531
POA6401,1850,1914,3763,485,519,1002,10,14,21,18,23,42,17,30,51,22,17,39,567,582,1148,8,8,14,7,8,18,0,3,5,0,0,0,652,686,1341,81,115,198,28,17,50,1250,1346,2587,883,416,1299,3980,3673,7649
POA6403,47,50,101,11,11,23,0,0,0,0,0,3,0,0,0,0,0,0,13,13,25,0,0,0,0,0,0,0,0,0,0,0,0,10,11,25,3,3,3,0,0,0,29,25,59,6,4,14,81,80,167
POA6405,110,87,197,11,4,19,0,0,0,0,0,0,0,0,0,0,3,3,29,25,54,0,0,0,0,0,0,0,0,0,0,0,0,29,32,57,0,0,3,0,3,4,43,39,80,9,7,20,166,135,295
POA6407,273,226,501,64,62,131,0,0,0,0,3,3,0,0,0,0,0,0,161,81,239,0,0,0,0,0,3,0,0,0,0,0,0,161,83,250,42,42,86,0,5,6,274,197,470,57,52,104,601,475,1070
POA6409,109,94,205,15,12,25,0,0,0,0,0,3,0,4,4,0,0,0,42,37,74,0,0,0,0,0,0,0,0,0,0,0,0,39,43,84,3,3,4,3,3,3,63,56,119,28,26,52,202,174,376
POA6410,294,303,594,62,66,134,0,3,3,3,3,5,3,3,3,0,0,0,59,58,118,0,0,0,0,0,0,0,0,0,0,0,0,68,63,135,8,8,16,3,0,3,142,140,286,64,55,118,502,503,1000
POA6411,45,38,77,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,12,22,0,0,0,0,0,0,0,0,0,0,0,0,13,12,22,0,3,4,0,0,0,14,17,28,4,3,13,60,55,120
POA6412,17,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,11,3,11,25,20,52
POA6413,17,12,32,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,11,3,12,4,0,4,32,16,52
POA6414,16,17,32,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,0,3,0,0,0,9,12,23,4,4,8,35,25,60
POA6415,764,705,1474,178,165,342,10,6,14,5,7,19,17,7,21,3,3,4,228,231,464,6,3,10,0,4,7,0,0,0,0,0,0,272,268,538,136,56,197,10,14,23,597,498,1090,133,107,241,1497,1317,2809
POA6418,207,185,388,33,33,66,0,4,4,0,0,0,4,0,3,0,0,0,57,63,117,0,0,0,0,0,0,0,0,0,0,0,0,57,65,126,9,13,17,0,0,0,101,110,216,26,26,56,338,322,657
