region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6063,1007,28,3,0,0,1038,2381,54,9,0,0,2444,312,23,6,0,0,341,109,52,45,0,0,206,295,15,3,0,3,316,9,6,0,0,0,15,34,0,0,0,0,34,14,0,0,0,0,14,773,96,54,0,3,926,8,4,0,0,0,12,89,11,7,0,0,107,4258,193,73,0,3,4527
POA6064,2571,147,53,0,0,2771,4341,247,170,0,0,4758,665,77,55,0,0,797,226,276,79,0,0,581,706,71,39,0,0,816,17,15,0,0,0,32,101,11,8,0,0,120,56,3,0,0,0,59,1771,453,181,0,0,2405,47,9,3,0,0,59,241,26,18,0,0,285,8971,882,425,0,0,10278
POA6065,3374,181,100,89,0,3744,9480,494,46,8,0,10028,1400,170,21,0,0,1591,90,60,14,0,0,164,841,80,31,7,0,959,9,5,8,0,0,22,80,3,0,42,0,125,40,3,0,0,0,43,2460,321,74,49,0,2904,156,46,52,3,0,257,219,21,22,4,0,266,15689,1063,294,153,0,17199
POA6066,1528,43,4,0,0,1575,3128,22,23,0,0,3173,409,34,10,0,3,456,136,30,55,0,0,221,367,22,8,0,0,397,11,0,0,0,0,11,42,0,0,0,0,42,14,3,3,0,0,20,979,89,76,0,3,1147,25,4,0,0,0,29,90,6,3,0,0,99,5750,164,106,0,3,6023
POA6067,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,9,0,3,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,18,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,28
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POA6069,1134,54,129,0,0,1317,4869,146,24,7,3,5049,784,94,9,0,0,887,181,24,10,0,0,215,401,25,5,0,0,431,22,0,0,0,0,22,70,5,0,0,0,75,19,0,0,0,0,19,1477,148,24,0,0,1649,26,3,4,0,0,33,98,13,6,0,0,117,7604,364,187,7,3,8165
POA6070,519,0,0,0,0,519,574,7,0,0,0,581,67,3,0,0,0,70,0,0,0,0,0,0,51,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,122,3,0,0,0,125,7,0,0,0,0,7,28,0,0,0,0,28,1250,10,0,0,0,1260
POA6071,477,3,0,0,0,480,541,3,0,0,0,544,56,0,4,0,0,60,0,0,0,0,0,0,45,0,5,0,0,50,3,0,0,0,0,3,5,0,0,0,0,5,6,0,0,0,0,6,115,0,9,0,0,124,8,0,0,0,0,8,15,0,0,0,0,15,1156,6,9,0,0,1171
POA6072,116,10,0,0,0,126,125,5,0,0,0,130,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,7,266,15,0,0,0,281
POA6073,405,23,18,0,0,446,425,17,0,0,0,442,50,7,0,0,0,57,3,0,0,0,0,3,75,0,9,0,0,84,22,0,0,0,0,22,4,0,0,0,0,4,7,0,0,0,0,7,161,7,9,0,0,177,16,0,0,0,0,16,68,0,0,14,0,82,1075,47,27,14,0,1163
POA6074,122,0,0,0,0,122,177,0,0,0,0,177,14,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,31,0,0,0,0,31,3,0,0,0,0,3,5,0,0,0,0,5,338,0,0,0,0,338
POA6076,3178,193,81,0,0,3452,2930,54,9,0,0,2993,334,40,15,0,0,389,22,17,6,0,0,45,360,45,20,3,0,428,15,0,21,0,0,36,28,0,5,0,0,33,32,0,5,0,0,37,791,102,72,3,0,968,35,3,19,0,0,57,111,24,10,0,0,145,7045,376,191,3,0,7615
