region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6536,9,5,14,230,70,11,311,782,104,1197
POA6537,8,0,8,90,23,11,124,378,39,541
POA6556,14,0,14,303,126,32,461,933,82,1476
POA6558,5,0,5,130,43,0,173,394,1440,2007
POA6560,8,0,8,193,68,8,269,614,111,994
POA6562,3,0,3,172,75,13,260,577,67,904
POA6564,3,0,3,45,20,10,75,186,19,280
POA6566,23,11,34,415,172,27,614,1662,242,2518
POA6567,0,4,4,57,19,3,79,198,26,303
POA6568,3,0,3,53,6,0,59,112,11,182
POA6569,0,6,6,63,14,6,83,152,25,260
POA6575,0,0,0,49,20,0,69,115,0,184
POA6603,18,3,21,204,60,16,280,515,52,847
POA6606,0,0,0,65,9,0,74,153,15,242
POA6608,0,3,3,47,12,0,59,130,18,207
POA6609,12,3,15,82,44,7,133,305,22,460
POA6612,0,0,0,37,9,0,46,127,15,188
POA6620,0,0,0,33,9,4,46,80,9,135
POA6623,14,3,17,264,64,15,343,841,132,1316
POA6628,0,0,0,39,12,3,54,71,3,128
POA6630,4,0,4,67,21,0,88,261,76,425
POA6635,0,0,0,78,23,0,101,266,72,439
POA6638,0,0,0,55,15,4,74,367,76,517
POA6639,0,0,0,7,0,0,7,66,21,94
POA6640,5,0,5,18,3,0,21,144,58,223
POA6642,8,0,8,154,82,10,246,638,240,1124
POA6646,0,0,0,183,66,14,263,625,144,1032
POA6701,36,11,47,811,275,40,1126,2670,684,4480
POA6705,0,0,0,40,11,0,51,105,27,183
POA6707,8,0,8,400,99,29,528,1209,181,1918
POA6710,0,0,0,246,84,12,342,1378,480,2200
POA6713,3,0,3,240,50,6,296,533,168,997
POA6714,6,3,9,2812,503,147,3462,7734,3377,14573
POA6716,0,0,0,156,22,12,190,249,29,468
POA6718,6,0,6,93,62,9,164,326,158,648
POA6720,0,0,0,378,87,28,493,964,525,1982
POA6721,3,3,6,732,143,47,922,2407,1020,4349
POA6722,17,6,23,1512,360,71,1943,4444,1811,8198
POA6725,16,13,29,1511,541,133,2185,4163,1108,7456
POA6726,10,3,13,774,232,67,1073,2361,491,3925
POA6728,21,3,24,748,368,88,1204,2118,2039,5361
POA6740,7,4,11,241,124,22,387,698,158,1243
POA6743,11,0,11,893,334,93,1320,2975,579,4874
POA6751,0,0,0,1144,202,48,1394,2280,790,4464
POA6753,0,4,4,1438,335,97,1870,3997,1745,7612
POA6754,3,0,3,337,34,6,377,604,106,1087
POA6758,0,0,0,21,19,0,40,76,9,125
POA6760,0,0,0,66,76,12,154,163,40,357
POA6762,0,0,0,169,96,42,307,656,127,1090
POA6765,3,4,7,220,133,30,383,637,104,1124
POA6770,8,6,14,402,339,109,850,1244,174,2268
POA6907,0,0,0,6,30,0,36,893,37,966
