region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
POA6221,0,0,0,61,75,47,61,65,30,339
POA6224,4,3,14,158,218,127,122,198,96,919
POA6225,74,28,144,1301,1662,961,1028,1722,686,7360
POA6226,0,3,3,105,136,82,72,60,29,484
POA6227,0,0,3,68,110,48,61,46,37,370
POA6229,3,3,6,80,88,58,61,77,40,404
POA6230,294,174,697,6648,8296,3999,3615,6513,3273,32344
POA6232,108,33,177,1497,1909,974,949,1414,544,7287
POA6233,37,19,103,2469,3218,1701,1630,2019,918,11955
POA6236,3,11,17,326,381,249,221,221,93,1491
POA6237,6,3,20,371,521,325,307,328,152,2004
POA6239,28,13,58,577,808,506,514,602,228,3235
POA6240,0,0,0,39,49,37,30,47,11,213
POA6244,17,7,37,224,315,174,227,220,91,1251
POA6251,0,0,0,56,93,44,59,55,45,352
POA6253,9,0,12,72,134,100,72,64,41,483
POA6254,3,0,3,73,151,69,74,99,40,506
POA6255,28,3,55,482,750,431,505,445,142,2755
POA6256,0,0,3,32,38,34,22,29,10,165
POA6258,53,21,123,925,1298,693,711,914,376,4917
POA6260,13,3,23,237,328,181,176,195,78,1195
POA6262,0,0,0,85,165,103,114,103,56,626
POA6271,3,3,15,368,584,313,298,340,244,2147
POA6275,5,3,13,171,274,177,199,166,76,1063
POA6280,260,90,526,3573,4815,2585,2526,3489,1490,18478
POA6281,17,8,53,941,1186,697,558,638,272,4292
POA6282,0,3,6,201,291,166,140,117,58,973
POA6284,6,3,9,238,346,192,153,164,113,1206
POA6285,44,16,90,1200,1614,836,661,923,551,5785
POA6286,0,3,6,109,160,46,60,70,59,504
POA6288,3,0,6,53,113,53,46,45,40,350
POA6290,35,14,79,233,379,224,229,256,122,1443
POA6302,27,11,46,397,682,411,476,556,252,2774
POA6304,19,6,36,223,276,202,221,243,128,1293
POA6306,28,3,37,136,153,100,103,183,71,746
POA6308,8,6,31,202,295,183,199,259,115,1253
POA6309,0,0,3,35,57,36,36,47,7,218
POA6311,0,0,3,88,121,79,65,87,31,471
POA6312,62,15,115,773,954,495,476,806,291,3795
POA6313,0,0,0,65,82,43,43,48,16,297
POA6315,26,14,53,257,346,227,231,292,112,1465
POA6316,0,0,0,64,69,41,62,47,22,305
POA6317,18,27,63,531,786,412,381,755,296,3161
POA6318,0,0,0,21,39,19,44,38,18,179
POA6320,3,3,15,132,173,86,110,93,60,654
POA6321,0,3,3,26,48,27,37,50,13,201
POA6322,4,0,7,69,74,57,67,68,36,371
POA6323,0,3,9,110,198,123,151,136,55,773
POA6324,49,10,72,405,628,372,366,448,199,2418
POA6326,3,0,3,71,110,68,58,78,36,421
POA6327,0,0,3,55,65,37,35,39,12,243
POA6328,0,0,3,82,87,44,57,44,28,342
POA6330,326,143,748,5074,7082,3777,3443,4778,2176,26330
POA6333,42,19,102,703,1185,753,630,645,280,4196
POA6335,6,3,15,131,151,76,106,98,44,606
POA6336,0,0,0,44,37,25,30,36,21,193
POA6337,0,0,0,88,108,52,55,53,14,370
POA6338,0,0,0,129,141,82,109,69,49,579
POA6341,0,0,0,47,51,39,33,40,7,217
POA6343,0,0,0,41,48,24,29,28,4,174
POA6346,3,0,6,116,116,58,66,197,37,590
POA6348,0,4,4,199,245,131,164,200,122,1061
POA6350,4,0,4,33,45,19,24,37,18,176
POA6352,0,0,0,80,76,51,51,43,10,311
POA6353,3,0,16,116,168,69,91,88,37,569
POA6355,0,3,3,144,157,93,115,115,33,657
POA6358,3,3,6,52,43,27,29,30,15,196
POA6359,3,0,3,81,99,38,51,108,63,440
POA6365,3,3,13,84,120,69,78,77,32,460
POA6367,6,3,9,37,50,26,26,56,17,212
POA6368,0,0,0,32,38,21,24,26,6,147
POA6369,9,11,32,102,90,67,81,121,51,512
POA6370,4,5,9,63,102,53,85,91,37,431
POA6373,0,0,0,54,44,25,35,18,9,185
POA6375,20,0,35,135,188,60,115,142,49,689
POA6383,18,0,27,134,163,127,142,218,51,835
POA6386,0,0,0,34,41,25,39,37,5,181
POA6390,12,3,20,347,358,184,189,374,399,1851
POA6391,0,0,3,161,195,105,114,114,43,732
POA6392,3,0,10,63,97,46,77,68,30,381
POA6393,0,0,3,57,80,34,63,49,17,300
POA6394,0,0,0,61,73,48,60,60,17,319
POA6395,17,3,32,189,342,170,197,248,90,1236
POA6396,0,0,0,50,72,23,51,50,31,277
POA6397,0,0,4,39,62,31,40,32,109,313
POA6398,0,0,6,88,105,87,72,62,37,451
POA6401,75,34,166,1003,1380,765,734,1299,755,5936
POA6403,0,0,0,34,53,21,24,13,7,152
POA6405,0,3,3,27,57,35,32,50,9,210
POA6407,9,6,29,175,209,93,118,199,51,845
POA6409,0,3,3,51,72,32,45,65,29,294
POA6410,21,3,33,149,223,106,133,237,76,924
POA6413,0,0,3,27,32,20,23,20,3,125
POA6415,15,8,39,452,553,270,264,558,173,2270
POA6418,10,8,24,96,130,68,93,120,53,560
POA6421,0,0,0,36,44,31,36,29,3,179
POA6423,0,0,3,41,56,29,32,54,18,230
POA6425,0,0,4,23,36,20,21,25,4,129
POA6426,5,0,9,159,204,83,100,204,87,837
POA6429,0,0,0,223,225,99,101,381,227,1256
POA6430,80,32,136,3817,4398,1749,1645,3594,2371,17574
POA6431,4,0,4,128,118,64,29,137,35,511
POA6432,7,14,25,1157,1385,537,552,1178,1121,5930
POA6434,0,0,0,43,27,6,6,24,3,109
POA6436,0,0,0,26,32,4,10,44,24,140
POA6437,3,0,3,204,190,60,62,358,193,1067
POA6438,4,0,4,136,161,61,37,244,401,1040
POA6440,0,0,0,194,179,45,36,369,141,964
POA6442,4,0,4,393,464,185,230,408,259,1939
POA6443,0,4,4,128,193,81,82,260,180,924
POA6445,0,0,0,10,29,17,31,32,3,122
POA6447,0,0,4,80,76,30,65,51,40,342
POA6448,3,0,3,62,79,38,39,83,67,368
POA6450,90,38,180,1918,2455,1283,1214,1818,978,9666
POA6460,6,3,15,143,176,108,135,136,61,759
POA6461,7,7,14,49,75,27,54,54,27,286
POA6462,0,0,6,60,48,26,44,39,14,231
POA6468,0,3,6,49,28,19,24,37,9,166
POA6472,0,0,0,38,34,27,21,19,3,142
POA6475,0,0,0,74,73,52,60,52,21,332
POA6477,0,0,3,54,57,35,39,40,5,230
POA6479,3,0,3,89,80,64,68,76,24,401
POA6484,0,0,0,50,40,10,10,164,90,364
POA6485,7,6,17,82,99,58,56,75,52,422
POA6488,6,0,6,42,74,44,43,53,24,280
POA6490,3,0,6,32,47,30,25,30,13,177
POA6501,0,0,3,130,215,112,138,134,60,789
POA6502,6,6,18,150,192,130,138,168,87,865
POA6503,9,6,24,280,365,207,242,327,172,1593
POA6505,0,0,3,37,53,29,39,54,20,232
POA6507,6,0,9,65,81,49,47,80,8,330
POA6509,3,0,3,57,53,34,40,65,10,259
POA6510,22,9,41,298,393,213,190,371,140,1605
POA6511,3,0,6,61,90,46,60,88,42,387
POA6513,0,0,0,32,39,30,15,10,12,138
POA6514,0,0,0,70,117,70,93,116,53,519
POA6515,0,0,3,83,72,50,65,75,13,358
POA6516,5,8,17,208,281,150,189,213,140,1181
POA6517,3,3,6,69,89,47,49,57,34,345
POA6518,0,0,0,8,20,12,10,28,15,93
POA6519,3,3,13,88,99,57,88,85,53,470
POA6521,0,3,3,59,67,48,43,43,12,272
POA6522,0,0,3,70,82,40,55,86,29,362
POA6525,20,10,50,452,678,428,462,550,241,2811
POA6528,3,0,3,48,44,34,33,50,24,233
POA6530,221,97,462,4880,6373,3202,2975,5133,2190,24753
POA6532,8,7,30,851,1125,577,642,783,582,4560
POA6535,12,14,33,201,286,159,207,247,135,1235
POA6536,3,6,12,179,336,172,187,204,121,1199
POA6537,8,0,8,95,139,79,62,122,44,541
POA6556,6,6,18,288,423,216,201,256,95,1479
POA6558,0,0,4,119,173,78,93,103,1441,2007
POA6560,6,0,9,162,213,118,137,248,116,994
POA6562,3,0,3,129,228,149,148,178,72,904
POA6564,0,0,3,47,77,40,42,52,22,280
POA6566,8,10,34,409,575,389,412,477,257,2519
POA6567,0,3,3,38,89,35,63,51,27,303
POA6568,0,0,3,31,42,20,33,37,18,181
POA6569,6,0,6,52,48,38,35,65,24,262
POA6575,0,0,0,49,49,14,38,32,3,185
POA6603,10,3,20,160,195,116,122,192,63,848
POA6606,0,0,0,43,69,28,41,45,17,243
POA6608,3,0,3,38,45,27,34,53,12,209
POA6609,7,3,10,115,87,61,60,107,30,460
POA6612,0,0,0,36,36,15,36,48,12,183
POA6620,0,0,0,27,36,10,24,28,9,134
POA6623,6,4,14,238,250,129,145,424,130,1316
POA6628,0,0,0,20,39,10,29,28,3,129
POA6630,4,0,4,63,89,40,51,106,78,427
POA6635,0,0,0,70,85,34,31,143,75,438
POA6638,0,0,0,123,56,36,44,181,78,518
POA6639,0,0,0,15,17,14,7,22,19,94
POA6640,3,0,3,35,42,18,22,50,60,227
POA6642,3,0,9,158,199,79,77,356,253,1122
POA6646,0,0,0,252,181,50,33,375,145,1036
POA6701,20,14,45,787,1080,478,407,1006,722,4480
POA6705,0,0,0,42,34,15,15,52,25,183
POA6707,0,0,4,386,557,241,178,366,189,1917
POA6710,0,0,0,292,244,82,65,1014,502,2199
POA6713,0,0,3,205,265,104,90,170,167,1001
POA6714,7,3,10,2835,2945,1094,941,3297,3462,14574
POA6716,0,0,0,99,118,53,63,110,26,469
POA6718,6,0,6,132,150,50,33,122,159,646
POA6720,0,0,0,358,362,127,125,479,532,1983
POA6721,3,3,9,896,902,270,248,1001,1032,4349
POA6722,14,6,23,1647,1655,548,533,1964,1852,8199
POA6725,11,12,32,1706,1850,658,565,1516,1163,7458
POA6726,10,0,10,974,1058,415,305,678,495,3925
