POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6030,770,979,619,409,663,310,130,3879,261,210,124,85,105,26,7,814,277,229,114,73,95,21,7,819,761,714,385,236,307,92,41,2535,10,3,4,13,7,3,0,44,2084,2142,1239,809,1177,460,183,8094,76,165,113,91,160,65,30,710,73,78,35,31,39,14,8,282,51,53,45,37,51,11,7,258,228,309,182,118,115,35,15,994,22,22,13,9,13,0,0,75,457,623,379,280,381,129,70,2320,2538,2767,1626,1086,1551,583,252,10410
POA6031,541,558,351,208,294,138,51,2149,142,111,45,35,37,4,3,390,130,102,65,30,27,5,4,364,468,353,161,89,119,33,10,1227,3,8,9,4,3,3,0,27,1289,1135,627,368,479,183,68,4156,38,69,43,29,66,25,16,289,28,34,25,18,26,3,0,128,37,34,11,8,15,3,3,114,70,116,74,41,46,10,4,360,6,9,7,3,0,0,0,23,179,255,161,92,153,47,21,913,1466,1386,786,458,634,233,90,5068
POA6032,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,0,0,3,3,0,15,0,0,0,0,0,0,0,0,3,7,3,6,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,3,3,0,31
POA6033,0,5,0,5,11,4,0,26,3,0,0,0,4,0,0,5,3,4,6,3,0,0,0,14,5,12,11,0,5,4,0,44,0,0,0,0,0,0,0,0,9,23,9,4,21,7,0,91,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,11,13,27,9,4,27,7,0,96
POA6034,58,49,25,20,21,4,0,180,19,11,3,3,5,0,0,37,27,11,3,3,3,0,0,49,51,20,10,6,6,0,0,101,0,0,0,0,0,0,0,0,144,98,41,28,36,6,5,361,8,5,0,0,3,0,0,15,3,0,3,0,0,0,0,11,0,8,0,0,3,0,0,11,16,13,4,0,3,0,0,40,0,0,0,0,0,0,0,0,29,30,10,4,8,0,0,80,172,124,56,29,44,6,5,443
POA6035,187,233,148,73,88,28,14,772,71,62,26,17,15,4,0,199,86,55,25,10,25,4,3,204,256,207,90,53,53,13,3,669,3,3,3,0,0,0,0,21,610,564,288,157,181,44,18,1867,7,14,12,13,22,5,0,73,20,19,10,4,6,3,0,57,22,22,3,11,5,3,0,69,82,59,52,23,38,5,0,262,10,7,8,0,0,0,0,26,135,123,79,52,67,11,3,476,750,683,371,204,248,58,21,2342
POA6036,439,477,341,229,316,114,40,1957,152,93,50,32,38,5,3,366,138,110,43,27,29,10,0,352,353,288,144,82,98,18,7,984,11,9,3,0,3,0,0,28,1086,983,585,364,479,156,45,3694,48,79,67,45,75,32,15,355,39,38,20,12,22,10,3,149,19,28,14,20,23,3,0,114,104,130,90,35,47,10,3,421,15,21,9,6,7,0,6,61,228,300,201,117,178,53,23,1101,1316,1278,787,481,654,207,72,4795
POA6037,24,24,19,14,15,8,4,99,24,21,13,12,11,0,0,75,19,31,11,5,7,6,0,84,93,93,42,20,23,13,0,285,0,0,0,0,0,0,0,3,157,171,83,47,59,25,8,541,3,6,4,0,3,0,0,14,8,13,3,0,0,7,0,31,3,3,5,4,0,0,0,13,22,25,19,14,9,0,3,88,0,0,0,0,0,0,0,0,39,42,27,14,16,4,3,144,187,214,111,66,72,30,10,687
POA6038,238,232,132,64,98,32,15,816,91,53,6,5,4,0,0,158,58,34,14,3,5,0,0,117,169,89,36,17,18,3,3,349,3,3,0,0,0,0,0,10,561,416,184,97,125,40,16,1439,10,24,17,11,20,12,3,96,19,16,8,0,3,0,0,47,17,12,3,0,3,0,0,34,35,30,16,9,10,0,0,100,7,3,0,0,0,0,0,7,85,88,39,19,40,12,4,290,649,502,229,113,161,53,19,1729
POA6041,3,9,7,8,10,3,0,40,3,4,0,4,4,0,0,22,9,16,0,3,3,0,0,27,46,43,32,21,15,0,0,158,0,0,0,0,0,0,0,0,61,66,45,36,33,5,0,243,0,0,3,0,3,0,0,7,0,0,0,4,0,0,0,3,3,0,4,3,3,3,0,10,7,12,9,3,3,0,0,32,0,0,0,0,0,0,0,0,11,15,13,10,10,3,0,57,71,77,59,40,36,8,0,293
