POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6302,18,23,5,15,8,4,0,6,0,79,15,16,6,18,11,4,0,4,0,70,44,14,109,40,26,15,31,34,0,315,5,0,0,7,10,3,0,3,0,27,0,3,4,11,3,3,11,7,0,37,0,0,0,0,0,0,3,0,0,7,17,4,0,3,3,6,3,3,0,36,143,179,135,106,87,42,45,68,7,808
POA6304,11,8,0,7,3,0,0,0,0,26,4,7,3,3,4,0,3,0,0,33,17,7,57,14,17,6,20,8,0,142,0,0,0,0,3,0,0,4,0,3,3,0,3,4,3,3,0,0,0,20,3,0,0,0,0,0,0,0,0,8,4,3,0,9,3,0,7,3,0,26,83,59,71,38,39,13,29,29,0,362
POA6306,3,5,0,0,0,0,0,0,0,7,4,3,0,3,4,0,0,0,0,18,17,0,19,14,8,3,4,12,3,79,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,0,10,0,0,3,0,0,3,0,0,0,7,53,32,19,23,16,7,12,22,11,197
POA6308,18,3,0,6,0,0,0,0,0,24,10,0,3,12,3,3,0,0,0,30,29,3,30,14,12,0,18,20,4,134,3,0,0,0,3,0,0,0,0,11,7,0,0,3,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,5,3,0,5,0,6,0,4,4,5,26,84,42,46,38,31,6,29,28,11,312
POA6309,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,5,3,9,3,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,13,9,5,6,0,3,5,0,54
POA6311,3,0,0,3,0,0,0,0,0,8,6,0,0,4,3,0,0,0,0,14,12,3,23,6,3,3,7,5,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,30,26,30,11,8,3,8,10,0,128
POA6312,10,28,5,13,7,7,3,3,3,81,25,11,4,39,13,12,3,11,0,121,47,18,191,74,36,29,30,47,3,475,7,4,7,9,7,7,9,10,0,61,7,0,8,16,7,3,0,10,0,58,0,3,0,3,3,0,3,0,0,15,8,4,10,11,4,13,3,8,4,73,158,303,234,192,96,78,50,106,12,1230
POA6313,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,3,0,12,0,6,0,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,14,4,5,0,8,10,0,65
POA6315,18,6,0,0,4,3,3,0,0,30,7,3,0,10,3,3,0,4,0,31,37,14,56,22,15,5,12,21,0,181,3,0,4,0,3,0,0,0,0,18,4,0,0,3,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,15,0,3,5,0,3,3,0,3,31,108,76,62,44,31,16,21,37,6,396
POA6316,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,10,0,9,3,5,0,10,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,9,5,9,7,5,5,0,83
