region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
POA6105,680,4459,981,13515
POA6106,3,4,3,17
POA6107,1776,10318,3156,36879
POA6108,1340,7351,1421,22957
POA6109,551,3709,974,10626
POA6110,2223,12717,2830,34870
POA6111,1673,8306,1640,22048
POA6112,2733,15195,3181,40255
POA6121,216,1236,161,2730
POA6122,715,4174,523,9382
POA6123,132,734,66,1436
POA6124,97,511,84,1088
POA6125,196,1311,151,2676
POA6126,13,130,256,500
POA6147,730,3965,788,14809
POA6148,968,5524,1060,17416
POA6149,1090,6775,727,18639
POA6150,666,3762,546,13265
POA6151,1000,5924,1317,16443
POA6152,1401,8898,1799,24368
POA6153,1079,6791,1196,19026
POA6154,667,3601,593,9662
POA6155,2280,13105,2892,48054
POA6156,1027,7169,921,16023
POA6157,927,5680,812,12966
POA6158,487,3107,466,6940
POA6159,159,1174,346,2732
POA6160,485,2783,657,7666
POA6161,14,47,6,119
POA6162,670,3721,702,10382
POA6163,2628,17129,2735,46256
POA6164,2991,17873,2852,47548
POA6165,10,59,16,127
POA6166,479,3061,420,8199
POA6167,1464,8681,2669,22502
POA6168,1407,8826,1847,23468
POA6169,2307,13562,2605,34322
POA6170,406,2537,604,6604
POA6171,1155,6090,836,15887
POA6172,1005,5480,1233,14101
POA6173,658,3827,471,10427
POA6174,128,992,207,2173
POA6175,225,1329,172,3011
POA6176,55,314,22,714
POA6180,236,1393,313,3468
POA6181,47,251,30,505
POA6182,0,0,0,0
POA6207,71,605,112,1095
POA6208,621,5138,772,9616
POA6209,129,961,137,1838
POA6210,3586,29268,4901,60893
POA6211,361,2795,365,5545
POA6213,35,445,29,702
POA6214,20,223,25,359
POA6215,236,2008,195,3589
POA6218,20,249,88,477
POA6220,236,2454,353,4704
POA6221,24,273,22,429
POA6224,57,702,108,1223
POA6225,473,5524,653,9129
POA6226,32,394,23,620
POA6227,45,320,28,524
POA6229,26,321,45,507
POA6230,2335,21127,3421,40649
POA6232,546,5614,619,9422
POA6233,977,8690,1052,15781
POA6236,130,1140,113,1948
POA6237,143,1495,145,2552
POA6239,250,2305,228,4058
POA6240,12,161,19,270
POA6244,91,959,70,1580
POA6251,25,223,30,434
POA6253,31,257,36,567
POA6254,49,337,24,628
POA6255,244,1747,146,3484
POA6256,11,134,11,213
POA6258,364,3685,360,6304
POA6260,97,806,91,1538
POA6262,54,384,56,767
POA6271,168,1619,344,2851
POA6275,82,661,76,1257
POA6280,1431,13353,1538,23484
POA6281,397,2964,320,5553
POA6282,83,689,63,1256
POA6284,118,867,148,1604
POA6285,601,3685,652,7530
POA6286,51,271,54,580
POA6288,24,202,42,404
POA6290,80,867,104,1650
POA6302,191,1942,240,3387
POA6304,72,979,100,1559
POA6306,40,636,74,924
POA6308,81,1025,100,1603
POA6309,14,183,8,271
POA6311,26,401,32,610
POA6312,299,3109,299,4926
POA6313,27,249,15,375
POA6315,127,1134,99,1847
POA6316,32,287,22,423
POA6317,204,2319,273,4187
POA6318,10,146,10,226
POA6320,42,663,54,912
POA6321,22,151,18,275
POA6322,37,293,28,460
POA6323,70,518,67,981
POA6324,191,1677,197,3028
POA6326,43,238,33,509
POA6327,26,164,8,302
POA6328,27,292,22,428
POA6330,2201,17862,1986,32917
POA6333,379,2446,293,5191
POA6335,41,607,53,833
POA6336,15,159,23,248
POA6337,25,349,20,484
