POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA6012,541,899,186,23,1656,320,40,2010,62,17,31,0,106,170,16,289,58,32,29,3,120,100,11,231,119,49,56,3,230,262,24,524,17,3,4,3,23,47,3,74,62,12,8,3,82,228,13,328,109,25,14,4,149,181,38,371,0,0,0,0,0,0,0,0,186,41,21,8,258,455,56,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,984,272,34,2142,1041,122,3312
POA6014,1119,2397,361,50,3931,798,103,4831,99,78,35,4,208,189,18,414,124,115,48,8,299,182,29,508,227,190,87,10,511,371,45,927,118,51,19,11,195,255,34,486,285,122,48,18,477,483,66,1029,73,12,4,0,94,175,12,281,0,0,0,0,0,3,0,3,479,186,69,30,766,921,114,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,3,3,0,5,0,3,0,0,5,5,0,8,1827,2772,518,89,5212,2096,258,7573
POA6015,549,938,135,23,1646,225,32,1900,9,3,4,0,20,14,6,34,28,16,8,0,53,24,0,72,38,21,11,0,70,31,6,111,64,3,4,0,71,137,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,4,0,71,137,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,4,657,964,146,23,1792,398,36,2221
POA6016,538,981,184,32,1729,424,100,2258,73,79,23,4,184,177,11,371,108,78,43,7,237,132,42,410,185,154,66,16,425,308,53,786,103,85,16,7,213,184,27,428,39,16,3,0,63,61,10,140,39,18,3,9,66,65,10,140,0,0,0,0,0,0,0,0,182,118,22,18,345,315,47,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,5,0,16,8,0,0,0,13,5,0,16,0,0,0,0,9,0,0,5,914,1259,278,66,2515,1051,210,3770
POA6017,86,85,41,6,215,71,25,310,255,151,60,27,494,454,59,1009,37,25,12,6,82,50,16,148,300,181,70,30,577,508,73,1158,61,31,16,9,112,194,14,321,32,25,9,0,63,62,6,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,51,21,9,180,256,16,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,476,312,125,51,964,832,121,1921
POA6018,2567,3802,824,103,7304,1609,325,9233,776,439,291,43,1540,1200,185,2934,386,363,136,27,912,289,90,1286,1154,799,428,63,2452,1493,278,4217,128,36,23,4,200,407,22,630,25,6,18,0,44,44,0,85,3,0,0,0,3,50,0,53,0,0,0,0,0,0,0,0,155,42,40,4,245,500,27,773,15,0,0,0,14,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,14,0,33,5,7,0,0,11,5,0,19,3899,4652,1297,177,10028,3624,626,14278
POA6019,1078,1508,352,57,2996,763,200,3956,707,348,192,20,1266,1036,185,2482,434,320,123,21,890,357,151,1400,1141,662,310,45,2154,1397,336,3883,124,18,37,0,182,303,54,534,39,3,4,0,52,94,13,164,103,22,15,5,149,80,18,244,0,0,0,0,0,0,0,0,270,48,54,10,375,478,89,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,13,10,3,0,26,7,0,34,2494,2230,723,105,5553,2645,622,8826
POA6020,1906,2716,394,52,5066,737,95,5901,201,121,93,6,422,299,24,749,195,113,60,3,364,140,12,516,392,226,148,8,786,438,34,1262,40,3,0,0,46,148,8,199,11,0,0,3,16,78,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,0,3,57,221,10,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,16,2352,2955,548,63,5918,1408,140,7465
POA6021,1490,1976,437,68,3972,908,135,5014,540,370,219,37,1170,935,142,2246,58,76,20,7,167,58,12,236,599,451,239,43,1336,998,155,2481,4,3,3,0,15,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,15,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2092,2430,681,112,5319,1926,291,7536
POA6022,534,575,192,19,1313,340,44,1699,43,30,24,0,100,61,8,168,0,3,0,0,5,3,0,4,42,37,24,0,106,66,8,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,609,216,17,1418,407,51,1876
POA6023,1400,2297,406,59,4161,678,72,4914,66,28,21,0,119,117,3,242,3,0,3,0,7,11,0,15,67,27,24,3,129,131,6,262,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,1478,2327,436,58,4297,813,78,5186
POA6024,1446,1657,481,45,3632,791,138,4562,66,61,33,8,169,139,12,315,6,0,0,0,6,26,0,35,73,66,39,8,175,156,12,347,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,1716,517,55,3808,953,155,4919
POA6025,2914,3949,946,92,7902,1514,256,9681,196,98,102,7,402,359,19,782,65,50,24,0,136,37,3,175,263,149,127,8,540,395,19,961,18,3,6,0,32,72,0,103,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,9,0,40,71,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,0,0,8,6,0,17,3198,4105,1078,104,8490,1998,284,10766
POA6026,1977,3216,637,47,5873,917,79,6876,193,73,68,4,342,326,12,683,8,4,8,0,25,10,0,31,201,81,75,7,367,334,12,716,22,0,0,0,22,59,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,0,0,0,22,55,0,81,3,0,0,0,3,3,3,9,19,0,0,0,23,54,0,82,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,25,3,0,0,30,59,3,92,0,0,0,0,3,0,0,3,2232,3300,718,50,6300,1371,95,7769
POA6027,3636,5280,1267,113,10303,1909,325,12537,157,87,90,12,354,339,25,719,208,101,75,10,401,196,76,672,373,191,169,22,755,535,106,1395,19,7,8,3,40,49,4,92,85,23,20,12,132,103,37,269,96,30,16,21,161,142,46,348,0,0,0,0,0,0,0,3,202,53,50,34,339,297,80,716,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,8,0,7,13,4,4,3,0,9,3,7,19,8,3,3,0,18,10,3,29,4222,5535,1487,168,11413,2752,519,14686
POA6028,1652,3653,632,51,5984,548,74,6610,66,62,43,4,177,136,5,318,8,30,3,4,43,4,0,52,77,90,46,11,219,143,5,369,16,0,3,4,28,27,4,59,34,7,9,0,51,31,7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,15,4,81,58,13,152,0,0,0,0,0,0,0,0,10,0,3,0,16,38,0,55,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,15,3,3,0,19,38,0,60,3,4,0,0,9,0,0,11,1797,3757,696,60,6310,793,88,7191
POA6029,250,388,49,8,700,138,25,860,30,4,0,0,29,29,0,61,15,6,4,0,30,27,5,55,41,14,7,0,58,61,5,121,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,299,399,56,12,762,192,31,990
POA6030,2692,4908,1615,123,9340,1634,271,11245,548,194,176,20,937,548,61,1546,70,41,35,8,156,91,15,263,620,229,213,30,1093,632,74,1806,4,0,0,0,4,5,0,13,15,7,4,0,21,11,0,35,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,23,12,0,0,35,21,4,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,8,5,0,11,3341,5150,1834,150,10480,2295,351,13121
POA6031,1128,2428,636,49,4235,512,128,4872,66,50,53,7,179,129,14,317,0,3,6,0,9,3,0,17,69,51,63,7,189,133,14,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,1193,2483,701,53,4431,644,137,5209
POA6032,21,20,7,0,45,11,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,7,0,45,10,0,62
POA6033,33,57,10,0,102,19,10,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,57,10,0,102,20,10,122
POA6034,122,185,39,0,354,54,12,415,45,45,24,0,119,36,3,152,0,0,0,0,0,0,0,0,45,45,24,0,119,36,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,236,65,3,467,86,11,566
POA6035,792,1100,354,18,2266,468,69,2805,14,15,14,0,35,28,4,68,3,0,3,0,7,9,4,18,16,12,16,0,43,39,8,87,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,3,0,10,816,1115,368,19,2319,513,74,2910
POA6036,1038,2120,728,66,3948,704,114,4762,36,20,34,0,87,59,5,149,0,0,0,0,3,3,0,9,32,20,33,0,92,63,5,157,6,7,6,0,19,30,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,0,19,30,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,7,1078,2154,773,68,4064,790,119,4980
POA6037,312,344,107,4,763,222,29,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,10,0,3,0,0,3,3,0,3,310,355,110,4,777,228,29,1027
