region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6032,79,76,155,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,21,12,33,0,0,0,0,0,0,0,0,0,0,0,0,24,20,44,0,0,0,0,0,0,24,20,44,8,4,12,111,100,211
POA6033,174,128,302,20,7,27,9,8,17,0,3,3,6,4,10,0,0,0,104,99,203,0,0,0,0,7,7,0,0,0,0,0,0,119,121,240,27,27,54,0,0,0,166,155,321,34,25,59,374,308,682
POA6035,705,718,1423,177,192,369,23,18,41,19,15,34,13,19,32,0,3,3,590,627,1217,0,0,0,6,6,12,0,3,3,0,0,0,651,691,1342,201,194,395,14,7,21,1043,1084,2127,192,203,395,1940,2005,3945
POA6036,1249,1323,2572,406,479,885,70,62,132,54,60,114,39,43,82,20,15,35,1485,1599,3084,4,8,12,4,7,11,3,3,6,0,0,0,1679,1797,3476,1083,1135,2218,34,30,64,3202,3441,6643,252,241,493,4703,5005,9708
POA6037,539,496,1035,75,92,167,7,14,21,4,9,13,7,4,11,7,8,15,267,305,572,0,0,0,6,4,10,0,0,0,0,0,0,298,344,642,36,47,83,0,4,4,409,487,896,97,60,157,1045,1043,2088
POA6041,393,366,759,26,33,59,3,0,3,0,0,0,0,0,0,0,0,0,175,166,341,0,3,3,3,0,3,0,0,0,0,0,0,181,169,350,14,12,26,3,5,8,224,219,443,59,37,96,676,622,1298
POA6042,26,23,49,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,6,11,17,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20,0,0,0,0,0,0,13,11,24,3,3,6,42,37,79
POA6043,57,43,100,10,14,24,3,3,6,0,0,0,0,0,0,0,0,0,18,23,41,0,0,0,0,3,3,0,0,0,0,0,0,21,29,50,0,0,0,3,0,3,34,43,77,10,8,18,101,94,195
POA6044,382,314,696,49,42,91,0,3,3,0,3,3,3,3,6,0,3,3,144,114,258,0,0,0,5,0,5,0,0,0,0,0,0,152,126,278,33,31,64,0,0,0,234,199,433,160,108,268,776,621,1397
POA6050,3520,3726,7246,330,402,732,94,84,178,88,90,178,64,68,132,27,16,43,1492,1813,3305,11,6,17,12,7,19,6,14,20,0,0,0,1794,2098,3892,706,690,1396,26,18,44,2856,3208,6064,452,494,946,6828,7428,14256
POA6051,2220,2031,4251,276,251,527,116,108,224,121,76,197,55,47,102,31,28,59,1457,1425,2882,13,11,24,12,10,22,4,9,13,0,0,0,1809,1714,3523,1071,1008,2079,40,34,74,3196,3007,6203,683,456,1139,6099,5494,11593
