POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,0,11,19,7,10,23,39,36,28,164,0,7,21,9,3,14,8,4,4,73,38,223,671,299,199,174,86,58,18,1771,223,1316,4369,1856,1083,895,492,215,92,10548
POA6003,0,0,10,4,3,5,13,9,3,50,0,0,0,0,3,3,0,5,4,16,13,77,291,113,64,47,18,23,8,651,46,339,1417,568,338,307,159,76,27,3273
POA6004,0,5,12,8,10,14,24,26,12,102,0,0,14,3,3,3,3,3,6,38,34,183,624,225,153,175,114,53,13,1566,198,1145,3807,1505,1085,1097,694,277,70,9880
POA6005,0,0,12,4,3,5,16,24,15,74,0,3,4,0,3,3,7,10,5,30,12,64,286,126,87,68,80,50,60,837,76,516,2085,876,570,442,380,188,115,5234
POA6006,3,0,6,4,18,20,61,139,110,362,0,0,0,3,0,6,0,29,22,68,17,41,126,87,106,101,69,64,49,663,161,545,1667,1360,1263,952,538,431,261,7175
POA6007,0,0,5,4,4,9,29,50,32,124,0,0,0,0,0,0,0,10,6,25,59,52,163,83,56,38,55,35,32,583,175,510,1791,1151,813,695,494,242,153,6031
POA6008,0,0,3,11,12,13,42,42,37,159,0,3,0,0,0,3,4,3,3,19,33,62,241,169,126,153,172,111,69,1126,271,907,2575,2146,1975,1865,1509,721,277,12243
POA6009,0,10,3,4,4,15,20,31,29,116,0,0,8,3,3,0,0,3,0,25,51,121,131,91,96,120,116,70,54,850,1055,2484,2129,1927,2185,2021,1732,854,433,14815
POA6010,0,0,6,0,4,9,21,32,36,118,0,0,0,0,3,11,0,5,0,20,55,64,162,151,161,176,160,137,106,1177,483,1033,1731,1837,2325,2077,1801,1139,642,13061
POA6011,0,0,3,3,0,0,8,23,36,65,0,0,0,0,0,0,0,0,0,3,29,43,108,59,105,94,63,38,26,565,220,509,1064,945,1342,1271,919,433,252,6958
POA6012,3,3,5,0,3,9,14,21,11,71,0,0,3,3,0,3,4,4,0,24,19,23,139,70,103,93,122,81,56,711,222,479,1181,1059,1293,1028,932,453,182,6825
POA6014,0,4,9,7,10,14,33,69,74,224,0,0,0,7,4,0,4,6,10,31,33,72,193,170,141,125,101,118,76,1017,438,1234,2826,3040,2815,2224,1400,1000,643,15613
POA6015,0,0,0,0,0,5,3,38,23,73,0,0,0,0,0,0,3,3,0,4,16,14,33,18,60,41,37,47,27,302,209,416,321,610,1142,835,560,567,265,4929
POA6016,3,3,3,10,13,31,56,82,56,246,0,3,5,0,7,3,16,12,10,55,25,47,167,105,64,51,66,49,48,616,193,603,1952,1713,1339,945,551,280,173,7749
POA6017,0,0,3,11,9,21,26,34,19,128,0,4,3,7,3,4,0,13,7,38,12,31,93,51,48,54,36,26,20,358,58,362,1315,626,384,369,256,149,76,3598
POA6018,3,5,20,21,30,55,138,260,162,705,0,0,4,8,12,18,7,22,7,85,84,116,474,357,302,264,226,270,289,2395,860,1991,6142,5544,5035,3921,2946,2117,1060,29604
POA6019,0,0,9,12,11,29,41,88,51,243,0,0,9,3,3,8,0,3,3,29,44,93,413,239,198,167,142,113,45,1456,381,1346,4618,3436,2803,2170,1556,979,346,17635
POA6020,0,0,4,14,5,32,90,84,51,278,0,0,3,3,4,4,3,3,3,24,33,27,98,121,118,183,165,90,39,877,517,1038,1763,2605,3048,3237,2615,932,340,16103
POA6021,3,12,16,20,44,110,379,434,161,1191,0,8,6,18,29,27,44,119,32,280,43,62,228,149,178,146,201,194,172,1376,484,1215,3256,2797,2579,2179,1896,1311,518,16230
POA6022,0,0,3,0,3,14,38,49,5,118,3,0,0,3,3,3,5,3,0,21,7,8,31,34,32,27,44,26,15,216,118,237,696,718,605,575,646,259,57,3914
POA6023,0,0,8,3,7,17,50,54,53,192,0,0,0,0,0,0,3,6,0,19,22,33,60,66,71,94,76,53,65,542,372,784,1288,2170,2180,2039,1653,618,316,11411
POA6024,0,0,3,14,10,27,70,87,52,263,0,5,8,3,9,3,8,5,7,45,20,30,85,68,97,81,98,68,27,572,308,633,1782,1916,1707,1630,1669,559,218,10416
POA6025,7,0,10,14,25,46,115,112,59,393,0,0,0,4,3,3,7,11,4,35,70,81,207,212,188,190,198,117,55,1313,845,1818,3798,4144,4280,3981,2897,1046,399,23207
POA6026,0,3,4,6,11,58,88,124,86,399,0,0,0,3,0,0,3,7,4,24,41,33,75,107,113,130,102,145,141,877,694,1302,1975,2773,3350,3553,1964,1030,644,17297
POA6027,6,4,17,27,33,72,139,187,103,589,0,5,14,12,21,14,6,3,9,93,135,148,283,304,314,317,251,197,89,2038,1435,3140,5647,5516,6191,5556,3275,1440,531,32735
POA6028,3,0,8,12,14,27,50,46,18,181,0,3,8,4,4,5,6,6,5,34,40,58,92,128,136,100,60,66,38,708,923,1644,2109,3202,4334,2602,1167,515,136,16625
POA6029,0,0,0,0,0,3,7,21,17,43,0,0,0,0,0,0,0,0,0,0,12,3,15,15,17,21,17,11,3,110,76,135,306,358,422,350,278,153,67,2150
POA6030,8,5,34,46,60,73,140,163,68,592,0,3,18,26,34,26,11,21,6,143,151,196,372,395,443,263,193,220,217,2447,1474,2794,5375,5655,6010,3474,2300,1495,569,29142
POA6031,0,0,13,19,22,29,29,27,4,152,0,0,16,18,20,14,3,3,0,65,52,70,213,117,127,83,46,11,5,734,598,1180,3198,2636,2105,1150,556,183,42,11646
POA6032,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,0,0,16,10,13,20,34,37,29,17,6,0,161
POA6033,0,0,3,0,0,0,3,0,0,9,0,0,6,0,0,0,0,6,0,13,9,3,0,9,11,6,6,3,0,49,21,31,29,60,75,64,41,14,3,343
POA6034,0,0,0,5,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,5,18,45,31,12,9,8,0,0,123,41,187,476,230,153,73,34,7,3,1210
POA6035,3,3,6,14,7,14,22,25,12,109,3,0,6,6,3,3,3,3,0,21,37,50,133,121,115,81,97,114,83,833,246,506,1359,1301,1153,759,671,310,129,6435
POA6036,6,3,21,23,10,14,24,13,4,122,0,0,3,6,11,9,0,5,0,32,102,131,263,249,206,97,86,35,5,1166,630,1113,2611,2542,2149,954,625,216,41,10892
POA6037,0,0,0,3,8,9,22,24,8,75,0,0,0,3,0,0,0,0,0,4,18,13,39,39,55,36,48,30,4,283,97,140,383,382,451,358,302,162,24,2292
POA6038,0,0,3,3,3,3,11,6,0,28,0,0,0,3,3,0,0,0,0,6,27,35,148,105,62,34,20,8,0,439,164,552,1597,984,677,293,175,34,3,4468
POA6041,0,0,0,5,0,9,12,14,5,48,0,0,0,0,0,0,3,0,0,7,7,0,4,14,27,34,35,11,5,142,37,52,102,155,223,251,255,96,11,1190
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,8,3,9,27,24,3,0,73
POA6043,0,0,0,0,0,3,6,3,3,12,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,6,7,4,0,39,3,7,20,35,31,46,50,22,8,199
POA6044,0,0,0,0,0,11,18,19,4,52,0,0,4,0,0,0,0,0,0,9,4,0,8,7,20,24,21,24,4,107,25,40,121,126,164,246,220,93,18,1047
POA6050,0,3,4,7,5,27,68,131,120,364,0,0,12,4,10,0,8,27,7,63,51,111,269,167,138,111,152,151,257,1404,414,1181,2533,1966,2071,1795,1248,787,732,12735
POA6051,0,4,10,19,24,48,55,46,32,231,0,5,9,4,11,12,12,17,7,84,23,88,321,182,135,132,97,55,26,1054,197,930,3540,2180,1414,1264,816,314,129,10774
POA6052,0,0,6,9,24,31,54,103,55,282,0,0,4,5,14,5,8,13,11,50,30,56,131,107,113,106,89,100,34,773,287,700,1736,1738,1609,1308,774,482,214,8845
POA6053,7,3,6,16,24,43,91,116,88,389,0,5,10,10,11,13,24,14,13,98,25,43,137,120,125,104,116,152,181,1003,314,782,2369,2312,2003,1642,1065,663,444,11592
POA6054,10,6,25,32,51,115,176,203,119,739,3,3,18,12,29,20,7,15,7,121,75,88,195,211,215,195,196,167,89,1437,612,1200,2995,2957,2834,2421,1730,945,383,16079
POA6055,4,6,20,28,35,58,83,82,42,367,0,9,23,23,20,20,15,12,0,118,61,152,444,346,266,179,152,112,43,1753,514,1459,4441,3256,2584,1909,1151,536,169,16020
POA6056,4,7,44,59,106,193,342,427,206,1394,6,6,12,17,18,31,23,43,20,170,136,209,413,353,460,392,426,361,255,3013,1219,2747,5349,4956,5628,4758,3591,1918,795,30965
POA6057,3,6,17,25,41,49,106,115,45,402,0,0,0,6,3,4,6,13,8,51,48,69,200,130,150,157,125,98,32,1019,490,1088,2475,2284,2333,1966,1402,719,182,12932
POA6058,4,3,15,15,28,37,86,91,23,298,0,4,19,10,10,7,7,3,0,60,44,47,125,121,99,119,94,98,68,806,398,827,1924,1771,1578,1567,1099,603,198,9964
POA6059,7,11,23,47,64,103,225,360,177,1021,0,0,24,19,31,53,39,61,25,250,51,72,174,174,151,147,169,208,88,1226,629,1442,3125,3097,3221,2799,2195,1749,673,18931
POA6060,5,9,28,40,27,72,185,319,196,877,0,13,10,13,19,30,19,48,30,187,39,95,429,279,178,185,147,197,216,1773,407,1431,5564,3685,2668,2315,1644,1284,746,19732
POA6061,22,48,204,229,233,282,340,326,119,1796,9,36,133,165,139,122,92,85,33,814,129,259,848,503,411,329,313,255,70,3119,1008,2967,9208,5408,4051,3436,2370,1417,403,30255
POA6062,3,9,56,90,106,193,372,455,243,1529,0,9,28,21,60,76,63,89,35,380,89,140,310,250,233,260,278,235,160,1956,887,2192,5202,4280,4105,3908,3194,1950,742,26463
POA6063,3,5,35,63,82,115,94,59,30,482,0,10,31,37,39,51,29,14,3,212,56,59,152,130,137,124,99,56,14,830,522,980,2114,2098,2001,1677,895,318,113,10714
POA6064,7,33,144,184,231,279,314,267,95,1552,3,21,127,146,172,140,88,58,25,780,93,127,277,255,287,280,202,190,95,1812,1062,2226,4473,4204,4196,3588,2398,1157,381,23683
POA6065,12,13,50,85,134,193,259,277,151,1168,4,11,42,58,64,88,32,35,13,343,149,185,434,429,426,297,302,275,130,2640,1939,3850,9662,9993,8179,5428,3685,1935,663,45336
POA6066,4,12,38,64,113,127,117,74,37,596,0,6,23,48,41,37,24,25,11,217,49,81,117,100,140,117,77,64,25,765,711,1470,2396,2273,3062,2372,1121,521,165,14080
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4,0,0,0,0,24
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
POA6069,5,10,35,54,51,73,135,123,35,529,0,12,19,20,20,22,16,10,0,119,109,163,413,420,328,203,189,169,142,2134,1179,2508,6762,6362,4851,2860,1888,896,294,27597
POA6070,0,0,0,0,3,5,6,12,4,24,0,0,0,0,0,0,0,0,0,3,10,8,16,25,30,26,18,12,3,148,106,137,241,472,610,521,452,168,37,2730
POA6071,0,0,0,0,0,7,11,13,3,46,0,0,0,0,0,0,0,0,0,3,5,12,13,18,27,39,30,13,8,161,125,177,248,400,584,528,391,146,45,2650
POA6072,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,10,7,12,8,26,26,18,6,0,115,43,43,76,81,161,164,106,41,11,724
POA6073,0,0,3,8,3,3,14,26,16,74,0,0,0,0,0,4,0,3,0,12,10,10,17,22,27,29,35,31,35,205,83,146,216,338,493,426,392,217,118,2427
POA6074,0,0,0,0,0,5,12,0,3,21,0,0,0,0,0,0,0,0,0,0,0,3,7,7,13,6,10,6,0,57,27,54,92,119,155,143,126,43,16,781
POA6076,3,4,5,11,12,37,127,174,79,449,0,3,4,3,0,4,7,11,7,41,59,66,95,126,158,217,190,198,110,1223,685,1064,1568,2495,3330,2965,2819,1537,522,16968
POA6077,0,0,0,3,4,6,16,21,8,63,0,0,0,0,0,3,0,0,0,8,3,7,8,8,9,14,21,10,4,86,54,88,107,125,230,265,183,85,26,1168
POA6078,0,0,0,0,0,6,6,3,0,17,0,0,0,0,3,3,0,0,0,9,0,3,7,15,13,19,8,3,0,64,43,55,99,88,161,177,96,27,8,749
POA6079,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,6,11,4,0,24
POA6081,0,0,0,0,3,12,20,14,6,56,0,0,0,0,0,3,0,0,0,12,20,17,31,34,56,43,41,13,5,258,169,238,424,614,832,679,446,145,51,3594
POA6082,0,0,3,6,3,13,18,15,8,62,0,0,0,0,0,0,3,0,0,10,11,8,28,20,25,32,23,11,5,174,107,155,349,415,502,465,301,104,30,2427
POA6083,0,0,0,0,3,9,22,18,3,53,0,0,4,0,0,0,0,3,0,3,11,23,14,36,45,44,34,17,3,237,96,210,220,455,691,578,352,130,24,2763
POA6084,0,0,11,3,16,28,51,31,13,153,0,0,0,0,0,5,3,0,0,7,64,55,99,137,150,128,66,47,13,760,328,460,827,1181,1406,1087,682,226,44,6244
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
POA6100,0,3,13,13,24,30,47,100,51,275,0,3,13,4,10,6,7,15,8,71,40,102,343,201,150,154,91,69,25,1188,360,1359,3729,2242,1715,1529,862,423,173,12384
POA6101,4,7,22,20,20,43,85,94,63,361,0,16,21,16,23,21,18,5,5,132,56,135,409,225,216,202,169,109,81,1612,427,1468,3934,2622,1951,1513,995,503,291,13703
POA6102,0,9,33,28,39,47,57,112,111,432,0,8,29,18,14,23,15,13,7,123,56,174,313,199,146,115,159,217,396,1785,651,2258,3115,1564,1125,909,781,768,799,11972
POA6103,0,9,20,20,26,34,67,80,30,292,0,10,38,21,12,6,11,12,3,117,47,144,392,195,142,144,89,79,39,1272,226,1049,2833,1513,1092,991,580,370,139,8792
POA6104,6,8,24,33,31,63,99,127,90,481,0,12,27,21,16,12,9,9,11,110,56,124,321,201,190,175,168,153,114,1497,366,1130,2760,2097,1764,1557,1088,655,361,11771
POA6105,0,14,40,41,37,60,114,176,71,559,3,12,47,22,30,14,15,17,8,170,64,128,316,216,146,139,135,133,68,1339,403,1116,2954,2168,1669,1424,1036,793,322,11889
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,8,0,0,4,4,0,4,3,0,0,18
POA6107,11,27,106,132,135,198,270,278,137,1298,0,34,110,76,86,68,43,30,18,465,117,298,667,421,290,254,236,178,113,2585,1211,4028,9831,6425,4579,3615,2503,1323,543,34050
POA6108,5,6,57,57,64,132,154,143,60,679,0,10,39,42,34,23,31,22,14,212,61,66,189,166,173,163,142,119,54,1138,693,1512,3395,3139,3012,2881,2057,948,269,17902
POA6109,8,19,65,74,74,78,112,80,47,553,3,4,35,56,56,39,21,15,7,237,41,65,118,128,105,127,103,91,54,843,351,847,1986,1702,1410,1270,946,533,209,9256
POA6110,14,33,105,116,135,165,203,226,120,1114,0,26,64,93,71,46,33,33,7,367,130,173,419,395,331,331,299,280,191,2540,1246,2644,6509,6062,4999,4011,2757,1540,611,30386
POA6111,5,3,29,45,42,77,132,122,48,518,0,5,21,18,16,24,13,15,4,119,69,87,225,244,224,225,230,146,118,1560,703,1377,2996,3004,3237,3044,2340,909,335,17945
POA6112,8,18,65,91,135,176,232,224,100,1048,3,7,47,38,42,45,39,30,8,248,182,224,626,521,455,407,399,320,157,3287,1671,3848,10724,8314,6461,5085,3232,1656,581,41565
POA6121,0,0,3,3,5,10,21,12,6,63,0,0,0,0,0,0,0,0,0,4,7,14,15,16,27,21,14,15,4,115,127,199,227,369,594,409,239,76,15,2256
POA6122,3,4,13,15,26,44,67,45,30,261,0,0,11,13,0,3,9,3,0,41,49,68,217,149,132,74,49,34,21,779,520,1253,3542,2484,1951,1328,788,293,108,12275
POA6123,0,0,0,0,3,7,13,15,3,35,0,0,0,0,0,0,0,0,0,0,7,13,18,23,21,18,10,5,7,112,58,110,200,188,228,201,113,53,25,1168
POA6124,0,0,4,0,0,5,4,5,0,15,0,0,0,0,0,0,0,0,0,0,9,7,4,19,22,20,6,3,3,91,32,58,114,150,230,157,110,48,14,912
POA6125,0,0,0,3,7,14,25,27,7,78,0,0,0,0,0,0,3,0,0,4,14,14,20,37,68,45,33,25,7,266,118,145,270,390,566,444,312,168,30,2445
POA6126,0,0,0,0,4,3,5,0,0,10,0,0,0,0,0,0,0,0,0,3,3,11,82,114,83,37,15,7,0,357,8,19,107,150,131,85,59,14,0,579
POA6147,3,6,29,54,56,96,143,91,48,520,0,4,24,27,31,31,39,28,17,202,32,45,152,97,106,100,81,78,18,701,451,1034,2605,2093,1783,1805,1296,615,210,11888
POA6148,0,0,7,16,21,41,90,124,85,392,0,0,12,14,6,9,5,7,13,78,31,34,84,71,97,111,100,165,183,880,564,1135,1925,2224,2494,2124,1738,1060,576,13835
POA6149,3,0,3,0,15,38,72,93,74,297,0,3,6,9,7,12,5,6,9,64,17,26,68,86,84,98,114,112,140,750,532,1247,1950,2205,2481,2855,1932,869,513,14597
POA6150,3,0,3,3,18,26,63,71,47,240,0,0,0,3,8,12,10,17,12,61,19,74,93,58,58,82,104,145,181,820,555,1289,1436,1308,1647,1816,1394,794,487,10723
POA6151,0,0,8,6,19,16,43,52,38,180,0,0,9,3,4,4,3,3,0,29,43,73,282,194,174,169,156,101,77,1274,433,1204,2785,2266,2274,2149,1536,590,317,13548
POA6152,7,6,13,24,36,60,67,113,104,418,0,3,13,16,18,17,15,15,12,108,82,155,290,216,197,198,192,198,289,1819,911,2450,4324,3145,2984,3005,2123,1230,821,20997
POA6153,3,0,3,7,13,38,54,90,72,279,0,0,4,15,0,8,5,4,3,41,49,69,150,114,133,159,137,133,102,1041,566,1352,2291,2483,2799,2686,2015,1113,571,15876
POA6154,0,4,0,3,7,12,35,88,66,224,0,0,3,0,5,3,4,4,5,27,21,25,58,79,70,49,58,83,87,536,268,540,1014,1366,1390,1093,864,691,496,7722
POA6155,10,15,32,99,118,171,219,175,69,900,4,0,49,37,33,48,37,32,24,261,127,323,582,525,361,229,193,155,126,2621,1739,3708,6260,7912,7608,5567,3484,1300,444,38016
POA6156,3,3,12,14,22,35,71,134,102,396,0,5,4,5,10,5,6,10,6,41,45,45,114,102,149,103,94,142,114,909,441,975,1915,2282,2494,1781,1296,1020,569,12776
POA6157,0,0,3,3,12,22,51,108,75,279,3,0,3,3,0,13,3,4,0,31,31,30,111,106,127,95,88,134,134,851,342,703,1760,1914,1950,1596,1217,795,459,10741
POA6158,0,0,0,6,7,14,32,62,25,139,0,0,0,3,0,3,3,5,0,13,21,20,54,68,81,64,44,63,65,479,178,413,717,969,1246,1054,649,385,170,5770
POA6159,0,0,0,3,0,5,7,10,5,29,0,0,0,0,0,0,0,0,0,8,9,13,70,59,42,43,51,37,23,348,52,161,521,415,490,485,472,193,62,2839
POA6160,0,0,9,6,6,17,41,95,42,220,0,0,12,0,3,9,3,8,5,37,18,59,196,146,152,149,120,99,53,1001,168,487,1592,1180,1171,1122,813,444,190,7178
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,58,31,29,24,16,6,0,203,5,38,94,52,43,37,16,6,0,299
POA6162,0,4,7,13,11,41,125,224,138,564,0,0,0,0,6,3,17,33,19,86,34,40,108,107,122,123,86,60,39,716,256,544,1493,1546,1690,1505,1015,624,274,8943
POA6163,7,14,33,54,126,274,593,792,296,2182,0,6,21,22,25,42,59,105,54,337,134,214,603,520,482,489,494,511,371,3825,1338,3182,7428,6906,6903,6389,4684,2936,1255,41017
POA6164,11,15,29,70,102,192,237,190,85,936,3,10,26,39,33,25,24,30,16,208,190,225,629,539,461,316,233,154,90,2834,1737,3846,10150,9814,7468,4917,2570,1083,388,41974
POA6165,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,11,4,10,9,3,23,12,10,3,0,72
POA6166,0,3,3,12,16,44,121,139,38,383,0,0,0,3,0,11,7,12,4,42,27,22,59,74,100,85,88,66,30,541,300,565,1080,1283,1514,1249,896,487,121,7498
POA6167,8,6,20,56,52,117,198,134,61,651,0,3,16,14,12,12,12,11,3,91,134,318,721,588,403,304,277,200,73,3011,836,1850,4729,4051,3216,2449,1689,958,302,20080
POA6168,6,12,18,37,44,101,207,230,127,787,0,0,10,13,8,9,14,9,4,71,117,279,363,246,327,319,343,364,177,2525,758,1743,2991,2677,3216,3313,2693,1774,708,19881
POA6169,12,6,30,43,72,143,216,215,121,853,0,3,8,10,10,18,13,7,3,65,123,139,365,320,374,328,337,335,186,2508,1067,2202,4337,4339,5032,4315,3112,1752,648,26795
POA6170,3,7,14,13,25,41,42,20,5,166,0,0,5,10,7,9,3,3,0,39,52,51,202,144,90,55,48,11,3,654,418,1013,2839,1896,1393,843,460,137,21,9009
POA6171,6,3,17,16,35,49,111,80,20,348,0,0,12,8,9,7,3,3,5,48,119,229,575,375,296,201,153,83,18,2049,926,2284,6256,4749,3580,2130,1490,567,100,22073
POA6172,4,0,7,13,21,43,57,49,22,212,0,0,3,5,0,0,0,3,0,18,57,73,145,146,161,104,64,100,102,953,531,924,1749,1953,2136,1248,715,409,180,9849
POA6173,3,0,3,4,4,11,32,16,10,80,0,0,4,4,0,0,0,0,0,8,58,47,109,121,135,44,26,10,5,548,495,719,1477,2150,2006,705,396,145,36,8125
POA6174,0,0,0,8,4,3,15,7,5,49,0,0,0,0,3,0,0,0,0,3,17,24,43,48,31,26,21,19,0,236,136,277,628,579,502,267,158,92,16,2651
POA6175,0,3,3,3,3,4,15,13,0,46,0,0,0,3,3,0,0,0,0,9,8,14,44,30,39,14,14,9,3,175,151,199,522,572,566,300,208,88,14,2616
POA6176,5,0,0,4,4,0,10,13,0,28,0,0,0,0,0,0,0,0,0,0,10,12,33,14,17,9,10,5,0,115,53,142,252,171,173,134,84,27,8,1044
POA6180,0,0,5,3,6,14,32,25,0,86,0,0,0,0,6,0,0,0,0,14,11,28,59,52,48,34,37,16,6,298,164,366,955,736,596,430,426,164,12,3855
POA6181,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,7,3,0,5,3,0,3,0,0,23,14,27,37,68,99,71,26,11,0,352
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,0,0,3,3,10,3,3,17,0,0,0,0,0,0,0,0,0,3,11,0,9,18,14,12,13,3,0,80,37,49,104,154,155,153,112,32,5,809
POA6208,0,5,6,8,15,40,143,139,54,405,0,0,3,3,0,0,11,4,4,27,44,47,105,115,139,158,184,146,44,977,337,587,1232,1327,1475,1545,1570,905,231,9207
POA6209,0,0,0,4,6,18,33,26,10,103,0,0,0,3,0,0,4,0,0,10,8,9,10,16,18,33,36,19,6,148,75,99,124,202,289,322,290,142,46,1603
POA6210,24,17,49,88,116,246,612,812,391,2360,0,8,10,18,22,31,18,25,11,146,206,251,546,536,673,726,843,892,490,5176,2126,3697,7157,7631,8895,8786,8628,5555,2062,54529
POA6211,0,0,3,4,12,13,59,52,12,156,0,0,0,0,0,3,0,0,0,3,23,10,43,60,65,90,98,51,8,442,171,276,692,908,949,1007,1055,360,46,5458
POA6213,0,0,0,0,3,4,6,9,4,26,0,0,0,0,0,0,0,0,0,0,8,4,5,10,23,11,14,7,0,79,18,38,55,81,133,120,87,36,8,575
POA6214,0,0,0,4,0,4,6,4,3,22,0,0,0,0,0,0,0,0,0,0,3,3,9,4,9,3,9,3,3,50,31,31,59,75,119,74,67,19,6,476
POA6215,0,0,3,11,10,25,57,55,22,177,0,0,0,0,0,0,7,11,3,22,19,12,46,52,49,75,75,85,39,446,130,178,398,445,622,619,479,291,96,3257
POA6218,0,0,0,0,0,0,3,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,3,0,3,25,4,7,51,41,54,73,47,19,3,303
POA6220,0,3,0,4,6,27,58,100,35,227,0,0,6,0,3,3,0,5,8,26,19,25,42,68,57,84,89,55,18,451,128,222,501,586,685,625,543,327,97,3710
POA6221,0,0,0,0,0,0,3,8,0,10,0,0,0,0,0,0,0,0,0,0,56,11,6,9,12,5,5,3,0,99,67,16,24,40,49,36,26,18,5,274
POA6223,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6,8,4,0,0,0,23,13,8,28,31,38,23,14,9,0,164
POA6224,3,3,4,0,6,8,20,24,7,67,0,0,0,0,0,0,3,0,0,5,4,5,4,8,16,26,20,17,3,99,54,54,89,139,179,161,139,72,17,892
POA6225,6,0,4,10,13,69,114,110,36,368,0,0,0,3,0,3,4,0,3,16,46,43,121,93,115,143,131,107,52,838,293,522,1007,1008,1263,1391,1031,432,152,7096
POA6226,0,0,0,0,0,3,4,4,0,16,0,0,0,0,0,0,0,0,0,0,3,0,4,8,3,3,5,3,0,36,25,31,81,126,148,123,53,15,5,605
POA6227,0,0,0,0,0,0,4,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,10,3,5,3,47,28,27,102,106,117,84,63,26,6,557
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,14,7,3,16,39,18,24,20,4,0,130
POA6229,0,0,0,3,3,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,4,3,0,24,3,9,16,24,35,35,31,15,0,167
POA6230,17,8,34,57,59,149,338,413,238,1311,0,4,23,12,16,17,20,18,16,121,173,202,554,521,534,444,429,311,170,3336,1281,2413,5509,5714,6038,5325,3900,2007,921,33098
POA6232,3,0,8,13,17,31,75,102,39,278,0,3,0,5,11,3,6,0,0,26,31,36,89,100,90,96,96,128,113,785,313,655,1573,1406,1349,1150,865,571,247,8124
POA6233,3,0,12,15,23,59,95,104,33,350,0,5,7,10,3,8,0,3,3,33,85,50,176,185,211,182,174,98,38,1182,580,858,2373,2593,2603,2289,1597,641,166,13712
POA6236,0,0,5,0,3,3,9,19,8,45,0,0,0,0,0,0,0,0,0,3,13,3,8,12,26,27,20,12,4,125,74,88,140,219,378,369,207,83,18,1582
