POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6519,0,0,0,0,5,0,12,4,3,18,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,5,11,3,4,54,7,26,73,68,68,87,76,18,17,442
POA6521,0,0,0,0,0,0,3,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,12,9,17,53,30,61,56,55,14,3,301
POA6522,0,0,0,0,0,3,3,9,4,19,0,0,0,0,0,0,0,0,0,0,0,3,6,3,9,17,7,3,0,44,16,16,62,54,62,85,41,16,7,359
POA6525,3,0,0,9,6,14,51,42,26,152,0,0,0,0,0,3,4,0,3,8,14,4,25,34,46,54,68,29,8,289,73,104,288,385,491,591,564,262,85,2844
POA6528,0,0,0,0,3,4,11,7,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,10,3,4,0,43,7,15,31,55,76,70,42,28,3,322
POA6530,10,9,22,44,76,190,326,365,162,1208,0,0,9,5,16,22,24,26,19,121,189,159,352,361,435,389,355,303,156,2698,1151,1852,3878,4049,4669,3948,2795,1624,582,24549
POA6532,3,0,3,13,0,25,51,47,10,158,0,0,3,0,0,0,0,3,0,8,35,95,195,177,160,95,50,26,8,841,172,358,855,969,1068,869,535,185,48,5052
POA6535,0,0,0,0,3,17,33,29,6,88,0,0,0,0,0,0,0,0,0,3,7,4,8,15,31,38,28,27,20,179,28,52,115,154,235,331,239,119,41,1320
POA6536,0,0,0,0,3,7,16,10,4,46,0,0,0,0,0,0,0,0,0,0,5,11,23,18,30,38,46,18,6,184,24,75,120,170,244,300,268,85,19,1299
POA6537,0,0,3,0,0,7,9,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3,20,16,11,4,17,7,7,84,12,39,119,131,114,135,135,34,14,737
POA6556,0,0,0,3,0,7,9,9,3,30,0,0,0,0,0,0,0,0,0,0,12,5,7,24,32,19,14,7,5,127,74,111,195,235,373,314,186,69,23,1568
POA6558,0,0,0,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,28,245,666,543,273,110,48,16,0,1934,42,281,720,644,406,213,121,39,0,2459
POA6560,0,0,0,3,4,6,14,11,0,45,0,0,0,0,0,0,0,0,0,3,8,5,16,18,22,26,18,13,0,122,56,76,139,169,202,213,135,61,8,1062
POA6562,0,0,0,3,3,9,15,5,3,34,0,0,0,0,0,0,0,0,0,0,3,4,9,9,15,23,16,3,0,86,27,40,119,146,188,219,178,53,10,976
POA6564,0,0,0,0,0,4,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,3,3,0,21,3,7,42,26,41,74,41,26,5,270
POA6566,0,0,0,5,4,26,44,45,13,135,0,0,0,0,0,0,3,0,0,6,18,12,29,31,70,72,77,32,0,342,86,110,229,285,537,640,568,212,27,2701
POA6567,0,0,0,0,0,0,6,3,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,12,6,4,0,37,13,9,15,39,84,82,80,20,3,349
POA6568,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,11,9,15,23,56,34,21,5,0,188
POA6569,0,0,0,0,3,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,3,3,0,30,12,9,31,30,43,40,28,13,0,207
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,9,11,12,9,0,0,58
POA6572,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,14,14,8,0,0,47
POA6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,0,3,8,17,22,4,3,0,0,60
POA6575,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,13,0,6,12,28,22,20,9,3,0,100
POA6603,0,0,0,0,0,3,6,3,10,37,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,10,7,11,0,58,25,49,147,151,142,172,112,35,26,856
POA6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,8,9,3,0,0,27
POA6606,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,3,9,16,17,32,24,23,9,0,139
POA6608,0,0,0,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,3,4,14,15,20,21,10,3,0,99
POA6609,0,0,0,0,3,8,6,5,7,35,0,0,0,0,0,0,0,0,0,0,3,6,8,14,10,10,3,5,3,63,27,59,144,106,104,101,57,35,11,654
POA6612,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,5,0,9,3,31,0,8,34,35,15,34,24,15,10,171
POA6613,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,6,8,8,17,4,3,5,42
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,3,5,6,0,0,17
POA6616,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,3,4,6,11,6,11,0,0,44
