POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6014,7509,7927,15440,297,308,596,28,31,57,19,21,41,22,23,41,9,13,15,1022,1081,2107,0,3,4,3,0,6,6,3,11,0,0,0,1101,1179,2279,266,300,563,12,11,20,1670,1790,3465,791,708,1494,9971,10423,20399
POA6015,2589,2743,5324,66,70,132,7,10,16,8,7,13,0,8,9,3,0,3,279,254,538,0,0,5,0,0,3,0,0,3,0,0,0,304,282,587,39,50,93,9,6,14,417,398,820,213,220,438,3216,3363,6579
POA6016,3626,3847,7469,150,123,276,6,3,13,11,15,22,12,7,16,3,0,3,483,527,1008,3,0,4,4,0,4,0,0,0,0,0,0,515,552,1067,143,160,301,3,11,12,813,847,1665,367,390,757,4807,5083,9887
POA6017,1371,1329,2694,38,39,83,13,8,19,6,11,12,3,4,7,10,8,12,317,320,643,0,0,0,0,0,0,0,0,0,0,0,0,349,353,700,99,88,188,0,3,0,488,480,968,209,184,385,2064,1987,4052
POA6018,13650,15190,28832,393,432,825,40,30,68,32,33,66,45,47,95,10,11,27,1892,2126,4017,3,3,3,12,4,19,5,6,9,0,0,0,2043,2267,4307,297,305,601,28,26,53,2757,3028,5786,1357,1533,2894,17765,19749,37513
POA6019,7674,7676,15349,409,405,811,47,54,97,50,52,96,27,28,59,9,10,15,1226,1284,2511,3,3,8,4,10,13,9,7,14,0,0,0,1373,1443,2815,266,277,543,28,16,46,2074,2139,4217,1027,932,1959,10776,10747,21520
POA6020,8237,8618,16860,180,205,386,24,18,44,15,16,32,7,19,24,3,4,10,800,853,1654,3,3,8,6,10,16,0,0,0,0,0,0,863,920,1786,135,147,284,18,11,28,1190,1291,2480,683,587,1271,10113,10494,20606
POA6021,7630,8172,15802,161,168,333,8,8,15,9,9,20,27,16,44,5,5,7,852,821,1676,0,0,3,3,0,4,0,0,0,0,0,0,904,857,1765,177,167,344,13,13,25,1259,1209,2461,778,792,1573,9664,10175,19837
POA6022,2054,2023,4076,35,25,63,0,0,0,3,4,9,0,3,3,0,0,0,194,200,390,0,0,3,0,0,0,0,0,0,0,0,0,201,205,402,25,26,60,6,10,13,268,265,534,142,154,297,2464,2447,4916
POA6023,6216,6400,12613,171,136,308,6,7,16,10,7,23,5,6,10,3,3,10,538,540,1081,0,0,0,4,6,5,4,0,6,0,0,0,579,578,1150,94,90,177,6,12,18,847,811,1655,432,427,858,7493,7640,15126
POA6024,5484,5520,11003,98,92,184,9,11,20,14,11,26,3,8,10,0,3,5,516,508,1026,0,0,0,3,0,5,0,0,4,0,0,0,546,543,1092,65,75,142,12,10,26,725,721,1439,395,359,750,6597,6600,13192
POA6025,12019,12188,24206,269,283,545,14,21,37,23,26,43,22,24,41,8,5,13,1178,1184,2359,5,9,12,8,11,17,3,3,3,0,0,0,1254,1277,2526,176,189,366,26,18,43,1720,1764,3483,1015,948,1958,14750,14898,29649
POA6026,9079,9591,18671,184,204,393,9,15,23,10,9,19,16,13,29,4,3,3,729,767,1501,4,0,4,0,0,3,10,3,10,0,0,0,782,809,1591,87,87,172,18,27,45,1074,1132,2204,632,617,1251,10780,11346,22126
POA6027,16270,16459,32727,451,452,908,59,45,104,32,34,59,31,21,59,10,6,14,1775,1842,3612,3,0,3,9,13,18,5,3,8,0,0,0,1917,1967,3884,353,411,766,31,33,66,2758,2858,5615,1513,1382,2897,20540,20699,41239
POA6028,8925,9164,18086,265,257,521,13,22,35,14,9,23,18,23,41,3,0,8,1000,973,1975,8,13,19,3,3,11,0,3,4,0,3,3,1075,1045,2116,168,199,364,11,13,27,1516,1509,3024,597,524,1123,11041,11196,22235
POA6029,1091,1162,2257,28,22,50,3,3,6,7,7,17,7,3,13,0,0,0,120,105,230,0,0,0,0,0,0,0,0,0,0,0,0,136,119,257,22,17,31,3,0,3,183,163,343,82,85,167,1356,1406,2766
POA6030,14761,15118,29881,664,691,1356,36,47,86,32,33,62,36,36,75,8,16,25,1716,1855,3567,3,0,6,7,11,21,3,3,3,0,0,0,1846,1997,3847,263,290,552,34,41,74,2801,3021,5827,1553,1596,3146,19119,19733,38852
POA6031,6079,6391,12464,251,257,513,17,14,34,17,20,34,21,16,35,0,4,3,907,967,1873,0,3,4,3,4,3,3,5,4,0,0,0,967,1032,1995,108,123,230,16,16,27,1345,1424,2769,575,510,1090,7999,8325,16322
POA6032,83,72,156,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,10,15,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,0,0,0,0,0,0,7,12,20,11,8,19,100,95,195
POA6033,194,158,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,25,0,0,0,0,0,0,0,0,0,0,0,0,16,9,25,0,0,0,3,0,3,18,10,32,30,28,52,246,195,437
POA6034,371,381,748,41,31,68,3,3,4,4,0,3,4,0,5,0,0,0,307,336,646,0,0,0,0,0,0,0,0,0,0,0,0,316,346,660,4,6,12,4,0,4,365,378,737,84,75,154,814,827,1640
POA6035,2985,3092,6079,224,201,426,13,13,29,5,8,20,6,12,13,3,0,3,543,573,1114,0,5,5,3,3,6,0,0,0,0,0,0,577,617,1194,46,60,107,7,8,12,848,886,1734,453,452,908,4289,4435,8726
POA6036,5342,5517,10857,389,455,848,21,29,44,7,9,15,25,20,47,13,7,21,861,968,1825,0,3,7,3,7,10,0,4,3,0,0,0,927,1044,1973,124,133,256,16,10,23,1454,1644,3093,751,803,1557,7548,7968,15514
POA6037,1089,1024,2113,44,55,98,0,3,4,0,3,5,3,5,10,3,3,4,177,175,359,0,0,0,0,0,0,0,0,0,0,0,0,191,186,380,18,16,31,12,7,16,261,266,526,156,155,316,1512,1442,2956
POA6038,1644,1676,3322,88,116,208,11,16,30,3,9,14,12,15,25,0,0,3,835,919,1752,0,0,0,0,3,3,0,0,0,0,0,0,865,967,1838,69,81,149,5,3,10,1039,1165,2202,278,286,568,2961,3136,6095
POA6041,635,607,1243,17,15,28,0,0,0,0,0,0,3,3,3,0,0,0,28,23,50,0,0,0,0,0,0,0,0,0,0,0,0,32,24,54,6,12,14,0,0,0,53,47,106,73,85,158,756,746,1502
POA6042,32,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,3,3,4,7,8,3,3,9,39,36,78
POA6043,80,75,157,10,12,18,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,12,7,21,0,0,0,0,0,0,21,16,42,29,19,44,131,114,239
POA6044,502,411,914,26,32,55,0,0,0,0,0,0,0,0,0,0,0,0,49,46,99,0,0,0,0,0,0,0,0,0,0,0,0,49,48,102,4,42,42,0,0,4,82,122,202,67,43,113,648,575,1228
POA6050,5283,5730,11019,170,182,357,26,28,54,19,16,41,18,23,43,6,8,18,826,853,1677,0,3,3,3,3,10,6,0,8,0,5,5,909,942,1844,142,156,295,8,16,19,1224,1293,2518,799,898,1701,7312,7923,15238
POA6051,4170,4020,8189,257,237,500,24,23,46,36,37,74,17,18,32,7,3,12,894,888,1785,0,3,3,6,4,9,0,4,6,0,0,0,991,975,1968,214,236,442,15,14,33,1477,1464,2939,683,569,1256,6326,6058,12380
POA6052,4064,4331,8396,155,155,304,4,8,18,10,12,28,11,9,14,5,5,11,510,531,1041,3,4,8,3,4,3,3,5,4,0,0,0,552,576,1129,79,104,190,25,13,40,812,852,1659,434,481,914,5305,5666,10972
POA6053,5402,5686,11087,166,164,325,7,15,21,22,24,49,11,17,26,3,0,6,713,702,1414,0,3,3,7,5,13,0,0,0,0,0,0,773,755,1530,109,101,208,43,34,80,1080,1061,2140,510,512,1022,6998,7259,14255
POA6054,7836,8009,15840,200,237,439,13,26,40,4,6,12,17,13,29,7,0,10,896,868,1761,4,0,4,0,3,3,3,3,7,0,0,0,951,922,1873,78,111,186,24,23,43,1244,1289,2535,867,871,1738,9943,10174,20117
POA6055,7223,7125,14352,219,192,413,11,12,29,19,15,33,10,15,22,11,10,23,1696,1659,3356,0,3,3,7,7,20,0,0,0,0,0,0,1758,1729,3486,126,150,278,20,9,35,2121,2082,4208,851,1229,2076,10193,10442,20638
POA6056,14828,14992,29816,404,419,819,28,17,41,26,33,62,29,27,49,11,9,16,1913,1999,3915,3,3,9,10,11,25,3,8,8,0,0,0,2014,2106,4128,181,220,398,58,52,104,2658,2799,5454,1758,1700,3457,19240,19482,38721
POA6057,6581,6715,13298,218,234,449,12,17,23,9,5,12,5,8,21,3,3,6,639,631,1274,0,0,0,0,3,7,0,0,0,0,0,0,673,670,1344,71,65,139,24,7,30,988,978,1964,700,651,1349,8264,8341,16606
POA6058,4951,5048,10001,206,203,406,9,7,10,3,4,6,10,11,19,3,4,6,432,453,882,0,0,0,8,8,14,0,0,0,0,0,0,469,480,952,53,76,128,18,13,31,745,774,1522,511,496,1001,6208,6321,12528
POA6059,9056,9700,18752,263,263,532,13,7,24,17,10,28,8,16,22,8,0,10,929,908,1838,3,0,3,3,4,4,6,3,7,4,0,4,983,956,1938,206,234,443,19,14,36,1468,1476,2944,740,828,1569,11268,12000,23271
POA6060,7758,8708,16472,314,368,684,33,27,63,32,29,61,15,21,38,8,3,6,1425,1565,2992,0,0,0,4,0,3,0,0,0,0,0,0,1518,1656,3175,258,289,551,36,33,66,2129,2343,4476,1006,1145,2150,10895,12199,23097
POA6061,13308,13200,26509,683,629,1309,43,46,92,39,40,81,23,15,34,27,14,39,2377,2255,4630,0,5,5,8,15,24,3,3,4,0,0,0,2508,2396,4907,623,592,1219,53,36,97,3871,3657,7527,1963,1869,3834,19144,18723,37874
POA6062,12471,12737,25213,391,388,782,31,28,55,18,29,49,18,17,37,13,18,23,1529,1446,2983,0,0,0,8,3,9,7,4,9,0,0,0,1625,1542,3163,313,353,669,32,19,49,2362,2309,4670,1229,1189,2422,16065,16237,32303
POA6063,5857,5769,11625,107,115,226,6,19,22,5,5,9,14,8,25,4,0,4,510,504,1016,0,0,0,3,0,3,0,0,3,0,0,0,547,536,1088,96,123,214,12,10,14,760,780,1539,550,476,1022,7166,7031,14196
POA6064,12516,12504,25020,249,247,496,14,12,27,28,21,40,20,17,32,3,10,20,1348,1248,2593,3,6,5,3,0,3,0,3,5,0,0,0,1411,1315,2729,224,232,455,41,35,73,1925,1828,3751,1073,1078,2155,15517,15407,30930
POA6065,24076,24876,48947,850,914,1760,37,46,77,30,37,70,40,37,78,18,17,38,2674,2820,5500,3,4,7,12,14,22,0,4,7,4,0,5,2819,2982,5801,353,426,781,35,38,77,4059,4361,8419,1934,1767,3700,30068,30999,61066
POA6066,7784,7948,15734,213,224,434,10,13,23,4,4,11,3,7,17,3,3,11,522,482,1006,0,0,0,0,0,3,0,0,4,0,0,0,553,514,1070,74,93,163,11,14,26,847,838,1687,565,501,1067,9203,9286,18483
POA6067,4,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18,0,0,0,0,0,0,0,0,0,0,0,0,9,11,18,0,0,0,0,0,0,9,12,23,0,3,8,12,23,37
POA6068,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
POA6069,13849,14411,28265,840,904,1743,29,37,62,38,42,85,51,58,110,22,17,43,2349,2525,4876,5,7,9,16,20,33,3,11,15,0,0,0,2526,2713,5238,240,252,488,48,54,109,3651,3923,7574,1428,1388,2816,18929,19720,38653
POA6070,1494,1517,3015,24,26,54,0,0,3,8,9,12,0,0,0,0,0,0,126,144,271,0,0,0,0,0,0,0,0,0,0,0,0,133,150,287,12,15,24,4,10,17,172,202,379,127,109,243,1790,1834,3629
POA6071,1383,1453,2836,26,23,50,0,0,0,0,0,3,0,3,3,4,3,5,105,112,213,0,0,0,0,0,0,3,3,6,0,0,0,107,121,229,18,6,23,0,3,5,155,154,309,125,104,229,1666,1710,3376
POA6072,345,350,688,3,7,11,0,0,0,4,3,9,0,0,0,0,0,0,10,18,29,0,0,0,0,0,0,0,0,0,0,0,0,17,19,38,0,3,3,3,4,6,27,28,60,75,69,139,448,444,887
POA6073,1204,1288,2498,16,37,52,0,0,0,0,0,0,0,0,0,7,3,8,111,112,224,0,0,0,0,0,0,0,0,0,0,0,0,116,117,231,8,11,22,3,3,4,145,164,307,94,106,204,1443,1565,3010
POA6074,419,397,819,10,10,19,0,0,0,0,0,0,0,0,0,0,0,0,25,30,59,0,0,0,0,0,0,0,0,0,0,0,0,25,34,58,0,3,3,0,0,0,35,50,84,40,39,81,496,492,983
POA6076,8913,9213,18129,207,215,428,15,16,27,13,10,29,9,14,20,3,4,4,655,708,1365,0,0,0,3,3,4,0,0,0,0,0,0,701,758,1456,68,78,139,7,11,27,987,1063,2046,846,757,1598,10742,11033,21773
POA6077,622,594,1223,0,0,6,0,0,0,0,0,0,3,0,3,0,0,0,44,44,88,0,0,0,0,0,0,0,0,0,0,0,0,47,42,94,0,5,10,0,0,0,50,48,105,46,52,96,722,695,1417
POA6078,417,361,783,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,15,43,0,0,0,0,0,0,0,0,0,0,0,0,30,15,45,0,0,0,0,0,0,33,15,52,58,43,101,509,419,932
POA6079,17,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,18,11,30
POA6081,1979,1935,3919,58,45,102,0,0,6,3,0,3,0,7,7,3,0,3,147,140,289,0,0,0,0,0,0,0,0,0,0,0,0,156,151,308,5,3,16,0,3,5,222,207,426,209,166,374,2411,2308,4722
POA6082,1324,1282,2606,42,48,84,0,0,0,4,6,9,0,3,7,0,0,0,123,141,258,3,0,0,0,5,4,0,0,0,0,0,0,131,149,281,4,12,14,5,0,3,173,206,385,112,88,204,1608,1581,3190
POA6083,1503,1448,2946,12,14,26,0,0,3,0,0,0,0,0,0,0,0,0,99,111,211,0,0,0,0,0,0,0,0,0,0,0,0,102,112,216,4,6,8,0,0,0,121,133,258,149,145,285,1765,1724,3493
POA6084,3046,3092,6140,82,98,180,29,14,42,11,3,14,3,4,4,0,0,0,437,417,854,3,0,0,0,0,0,4,0,4,0,0,0,481,451,930,24,19,39,10,6,13,593,566,1164,427,421,851,4073,4080,8147
POA6090,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,3,6
POA6100,4810,4626,9439,268,275,542,28,25,51,15,17,34,23,16,46,7,3,8,1073,976,2050,0,3,4,14,13,18,0,0,4,0,0,0,1159,1056,2214,291,322,613,23,11,35,1735,1662,3397,785,671,1455,7330,6960,14290
POA6101,5614,5693,11308,227,229,452,18,13,29,27,18,41,18,17,37,9,8,13,1090,1010,2106,0,0,0,3,6,10,0,0,0,0,0,0,1165,1076,2241,251,269,519,20,15,38,1669,1587,3258,930,808,1739,8214,8091,16306
POA6102,4100,4227,8330,390,290,674,20,18,33,22,15,41,9,11,17,12,3,12,952,776,1729,4,3,8,4,4,7,3,3,6,0,0,0,1026,829,1859,514,444,957,37,34,72,1971,1591,3561,776,883,1653,6843,6701,13544
POA6103,3241,3089,6333,195,155,351,19,14,33,23,13,31,21,21,42,10,6,13,821,729,1551,3,0,3,4,0,5,0,0,0,0,0,0,894,776,1670,157,196,353,11,14,28,1258,1148,2401,801,687,1488,5302,4919,10224
POA6104,5012,4934,9944,209,196,401,12,7,23,16,13,24,12,10,20,7,11,16,835,754,1584,0,0,0,14,8,18,0,0,0,0,0,0,894,798,1698,141,173,314,21,17,43,1269,1184,2456,918,819,1746,7202,6939,14145
POA6105,5159,5164,10322,400,359,761,19,19,38,12,8,25,18,20,37,13,4,19,762,706,1474,3,0,4,10,3,11,0,0,0,0,0,0,841,762,1601,187,227,414,17,15,30,1450,1361,2807,847,803,1655,7459,7326,14784
POA6106,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,11,5,14,13,5,19
POA6107,15819,15154,30973,907,824,1736,46,50,94,28,30,59,29,29,60,25,21,43,2566,2226,4795,9,4,18,22,15,38,3,6,13,7,0,8,2733,2380,5119,828,997,1833,60,41,99,4529,4245,8780,1670,1488,3161,22015,20896,42911
POA6108,9296,9442,18735,241,238,482,13,14,22,17,9,27,12,20,28,6,6,9,863,807,1667,0,0,3,3,4,7,0,0,0,0,0,0,913,859,1767,195,259,454,22,12,36,1374,1372,2747,746,657,1403,11413,11471,22885
POA6109,4729,4426,9156,175,141,312,7,12,14,11,8,22,11,19,22,9,3,13,544,545,1096,0,0,0,5,7,11,0,0,0,0,0,0,590,587,1181,150,171,320,17,20,37,932,918,1854,503,421,921,6167,5764,11932
POA6110,15530,15468,30992,540,585,1121,22,22,36,33,30,62,18,15,33,9,12,22,2020,2013,4041,0,3,3,3,3,10,4,0,4,3,0,3,2113,2097,4213,262,338,609,37,49,90,2955,3068,6020,1634,1614,3243,20110,20148,40260
POA6111,9074,9068,18148,210,187,391,7,15,24,15,17,31,15,14,26,3,3,7,961,1029,1986,4,3,3,5,0,10,3,0,3,0,0,0,1015,1074,2087,68,103,176,29,20,44,1323,1379,2701,1005,924,1934,11405,11377,22781
POA6112,20484,20697,41181,811,903,1714,58,62,121,29,25,56,48,46,96,26,16,38,3356,3559,6914,7,4,8,18,10,27,3,3,7,0,0,0,3548,3727,7273,346,437,784,69,74,143,4775,5143,9915,2218,2129,4349,27478,27968,55443
POA6121,1261,1228,2493,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,115,124,243,0,0,0,0,0,0,0,0,0,0,0,0,123,129,248,7,4,13,0,3,3,138,138,277,101,74,172,1499,1437,2936
POA6122,6190,6201,12392,239,277,517,12,10,23,10,9,17,4,13,15,0,0,4,1272,1383,2657,0,0,0,4,5,6,0,0,0,0,0,0,1304,1422,2724,86,75,159,21,26,41,1643,1799,3442,624,588,1205,8459,8588,17043
POA6123,562,511,1074,11,12,24,0,0,0,0,0,0,0,0,0,0,0,0,128,147,270,0,0,0,0,3,3,0,0,0,0,0,0,128,147,275,0,0,0,0,0,3,136,162,301,86,60,147,782,734,1520
POA6124,478,488,970,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,28,37,63,0,0,0,0,0,0,0,0,0,0,0,0,32,37,66,7,4,14,0,0,0,42,55,98,51,57,111,583,597,1180
POA6125,1306,1280,2588,16,26,44,0,0,3,0,0,0,0,0,0,0,0,0,100,84,187,0,0,0,0,0,0,0,0,0,0,0,0,106,88,189,3,4,9,5,0,7,134,112,249,149,121,266,1591,1521,3105
POA6126,139,105,242,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,12,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,4,0,3,0,0,0,15,10,26,338,21,353,489,128,617
POA6147,5942,5835,11783,189,196,383,20,17,39,11,19,25,4,3,11,3,9,13,718,642,1361,0,0,0,0,0,0,0,7,7,0,0,0,762,692,1449,181,182,366,11,3,17,1144,1066,2216,519,450,972,7608,7360,14961
POA6148,6743,7203,13941,340,312,654,8,12,23,24,17,38,13,12,23,9,11,19,725,754,1480,0,0,0,3,0,3,0,0,0,0,0,0,786,807,1591,195,206,405,10,18,33,1330,1346,2682,494,553,1043,8565,9102,17671
POA6149,7564,7869,15426,145,123,266,14,9,21,18,16,33,8,14,25,11,4,14,630,607,1233,0,0,3,3,0,3,3,0,5,0,0,5,687,661,1341,171,192,366,8,8,17,1005,986,1988,449,471,918,9018,9317,18337
POA6150,5124,5462,10583,81,90,176,6,10,17,16,16,27,16,7,19,8,6,12,484,488,970,0,0,0,3,4,5,0,0,0,0,0,0,523,533,1058,179,181,359,7,0,7,788,802,1591,494,420,910,6401,6687,13085
