POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6181,..,13,13,42,0,42,25,0,25,44,0,44,11,0,11,12,0,12,134,13,143
POA6182,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,..,60,60,123,8,132,51,3,56,46,0,46,34,0,34,17,0,17,269,75,346
POA6208,..,945,945,1698,75,1773,606,11,618,572,0,577,239,0,239,119,0,119,3241,1024,4270
POA6209,..,225,225,251,17,268,86,3,94,84,0,84,46,0,46,28,0,28,501,246,750
POA6210,..,7055,7055,9614,631,10249,3563,82,3648,3264,22,3290,1304,9,1311,626,3,632,18375,7809,26178
POA6211,..,459,459,1020,38,1061,366,4,371,403,0,405,159,0,165,57,0,57,2013,503,2515
POA6213,..,70,70,94,5,100,30,0,30,31,0,31,17,0,17,7,0,7,181,72,256
POA6214,..,49,49,75,3,78,38,0,38,26,0,26,19,0,19,13,0,13,168,50,217
POA6215,..,370,370,521,21,544,218,3,220,172,0,172,90,0,90,56,0,56,1056,398,1452
POA6218,..,42,42,42,3,45,26,0,26,17,0,17,0,0,0,14,0,14,100,44,142
POA6220,..,431,431,561,26,586,203,6,208,256,7,258,110,0,110,53,4,52,1180,474,1647
POA6221,..,19,19,31,3,35,13,0,13,11,0,11,5,0,5,3,0,3,68,23,91
POA6223,..,15,15,22,0,22,10,0,10,14,0,14,5,0,5,0,0,0,56,15,72
POA6224,..,107,107,143,8,154,64,0,67,51,0,51,34,0,34,14,0,14,310,109,425
POA6225,..,963,963,1145,61,1200,480,4,485,434,0,432,225,0,226,77,0,77,2356,1033,3389
POA6226,..,25,25,84,4,89,47,0,47,52,0,52,31,0,31,15,0,15,226,34,254
POA6227,..,42,42,84,6,92,36,0,36,57,0,57,23,0,23,13,0,13,211,48,252
POA6228,..,15,15,23,0,24,3,0,3,9,0,9,7,0,7,3,0,3,42,18,63
POA6229,..,39,39,23,0,28,7,0,7,9,0,9,6,0,6,0,0,0,42,41,80
POA6230,..,4255,4255,5253,431,5685,2346,78,2424,2256,18,2271,883,14,892,364,3,369,11098,4796,15900
POA6232,..,747,747,1294,69,1362,626,13,641,644,8,652,246,0,246,108,0,108,2914,841,3751
POA6233,..,1116,1116,2163,94,2261,1037,13,1046,1203,8,1215,493,0,496,208,0,211,5110,1232,6337
POA6236,..,113,113,275,13,289,105,0,105,117,0,117,56,0,56,29,0,29,577,129,708
POA6237,..,125,125,351,22,367,118,0,120,140,0,140,69,0,69,29,0,29,708,145,849
POA6239,..,356,356,600,29,631,188,3,189,224,3,227,100,0,99,38,0,39,1152,397,1546
POA6240,..,6,6,33,0,33,10,0,10,3,0,3,0,0,0,0,0,0,43,6,46
POA6243,..,7,7,6,0,6,3,0,3,0,0,0,4,0,4,0,0,0,19,7,25
POA6244,..,168,168,223,11,234,63,0,63,67,0,67,30,0,30,11,0,11,390,180,570
POA6251,..,47,47,48,5,59,11,0,11,15,0,18,7,0,7,3,0,3,97,56,147
POA6252,..,13,13,28,3,26,0,0,0,3,0,3,5,0,5,0,0,0,41,15,54
POA6253,..,80,80,120,4,130,21,0,21,20,0,20,3,0,3,9,0,9,172,91,263
POA6254,..,78,78,75,0,72,23,0,24,19,0,19,5,0,5,5,0,5,135,78,210
POA6255,..,466,466,625,39,659,151,0,151,161,0,161,75,0,75,38,0,38,1055,505,1554
POA6256,..,29,29,58,0,59,17,3,21,17,0,17,13,0,13,3,0,3,111,30,139
POA6258,..,686,686,890,50,946,336,6,341,290,0,289,138,0,141,67,0,67,1721,745,2467
POA6260,..,141,141,205,6,211,54,0,60,70,0,70,26,0,26,13,0,13,367,150,522
POA6262,..,86,86,122,3,121,31,0,31,23,0,23,13,0,13,4,0,4,201,92,292
POA6271,..,243,243,471,22,493,179,0,180,169,0,169,76,0,76,22,0,22,911,268,1181
POA6275,..,147,147,221,17,240,52,0,58,46,0,45,25,0,25,12,0,12,358,164,523
POA6280,..,2427,2427,3639,202,3843,1425,28,1454,1454,10,1463,639,0,639,250,3,251,7410,2668,10078
POA6281,..,441,441,863,62,925,381,23,400,458,10,475,163,0,164,38,0,36,1902,533,2436
POA6282,..,79,79,186,10,196,61,0,61,70,0,70,27,0,27,8,0,8,361,91,448
POA6284,..,149,149,209,12,222,107,3,107,167,0,170,59,0,59,7,0,7,559,167,720
POA6285,..,685,685,994,82,1079,551,33,592,524,11,530,213,9,221,65,0,64,2354,821,3171
POA6286,..,57,57,100,7,105,34,0,30,21,0,21,12,0,12,0,0,0,165,66,231
POA6288,..,49,49,65,8,74,27,0,27,26,0,26,12,0,12,5,0,5,139,57,190
POA6290,..,241,241,329,15,347,73,3,75,50,0,50,11,0,11,4,0,4,471,261,732
POA6302,..,417,417,566,23,587,168,3,171,116,0,116,74,0,74,31,0,29,947,445,1399
POA6304,..,204,204,262,11,273,81,0,78,62,0,62,25,0,25,16,0,16,442,217,661
