region_id,Indonesia_2006,Indonesia_2007,Indonesia_2008,Indonesia_2009,Indonesia_2010,Indonesia_2011,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iraq_Before_1941,Iraq_1941_1950,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2005,Iraq_2006,Iraq_2007,Iraq_2008,Iraq_2009,Iraq_2010,Iraq_2011,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1941,Ireland_1941_1950,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2005,Ireland_2006,Ireland_2007,Ireland_2008,Ireland_2009,Ireland_2010,Ireland_2011,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1941,Italy_1941_1950,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2005,Italy_2006,Italy_2007,Italy_2008,Italy_2009,Italy_2010,Italy_2011,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1941,Japan_1941_1950,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2005,Japan_2006,Japan_2007,Japan_2008,Japan_2009,Japan_2010,Japan_2011,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1941,Korea_Rep_Sth_1941_1950,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2005,Korea_Republic_South_2006,Korea_Republic_South_2007,Korea_Republic_South_2008,Korea_Republic_South_2009,Korea_Republic_South_2010,Korea_Republic_South_2011,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1941,Lebanon_1941_1950,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2005,Lebanon_2006,Lebanon_2007,Lebanon_2008,Lebanon_2009,Lebanon_2010,Lebanon_2011,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1941,Malaysia_1941_1950,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2005,Malaysia_2006,Malaysia_2007,Malaysia_2008,Malaysia_2009,Malaysia_2010,Malaysia_2011,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1941,Malta_1941_1950,Malta_1951_1960,Malta_1961_1970,Malta_1971_1980,Malta_1981_1990,Malta_1991_2000,Malta_2001_2005,Malta_2006,Malta_2007,Malta_2008,Malta_2009,Malta_2010,Malta_2011,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1941,Netherlands_1941_1950,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2005,Netherlands_2006,Netherlands_2007,Netherlands_2008,Netherlands_2009,Netherlands_2010,Netherlands_2011,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1941,New_Zealand_1941_1950,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2005,New_Zealand_2006,New_Zealand_2007,New_Zealand_2008,New_Zealand_2009,New_Zealand_2010,New_Zealand_2011,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Philippines_Before_1941,Philippines_1941_1950,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2005,Philippines_2006,Philippines_2007,Philippines_2008,Philippines_2009,Philippines_2010,Philippines_2011,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1941,Poland_1941_1950,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2005,Poland_2006,Poland_2007,Poland_2008,Poland_2009,Poland_2010,Poland_2011,Poland_Yr_arrival_NS,Poland_Tot
POA6012,0,6,0,3,0,3,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,12,9,4,14,3,8,0,9,8,6,11,9,3,101,3,0,9,8,0,3,5,0,0,0,3,3,0,0,0,34,0,0,0,0,0,3,9,7,5,0,0,4,0,0,0,28,0,0,0,0,0,0,3,0,4,5,0,5,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,7,16,11,11,0,9,0,3,0,11,4,85,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,4,3,3,3,3,0,0,8,3,0,6,0,42,0,0,3,15,37,39,22,25,9,0,15,7,19,16,14,221,0,0,0,0,0,3,7,0,0,11,5,13,10,3,0,52,0,3,0,0,6,20,3,0,0,0,3,5,0,0,3,43
POA6014,0,5,7,3,7,3,6,62,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,19,16,22,56,22,17,3,13,15,13,19,22,10,257,9,8,41,18,6,3,7,4,0,3,5,4,0,4,9,121,0,0,0,0,0,3,13,16,3,0,3,3,3,0,6,50,0,0,0,0,3,6,0,13,0,0,5,3,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,8,12,32,50,36,25,3,8,9,6,15,9,5,225,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,9,0,8,28,5,6,10,7,5,3,0,9,0,8,11,0,100,0,5,8,28,56,78,45,27,16,11,24,15,21,19,14,367,0,3,0,0,4,13,16,8,0,9,11,20,23,8,0,115,0,6,0,0,4,15,5,4,0,0,0,0,0,0,0,34
POA6015,3,0,3,0,0,0,3,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,8,6,5,0,0,0,0,0,0,0,29,0,13,33,5,12,0,0,0,0,0,0,3,0,0,0,66,0,0,0,0,0,3,0,0,0,0,0,0,6,0,4,13,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,3,29,25,5,9,0,3,0,4,0,0,8,90,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,11,4,5,0,0,0,6,10,0,0,46,0,0,0,9,25,20,17,8,0,0,5,3,9,3,3,102,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,14,0,3,0,3,3,4,0,0,0,0,0,0,0,0,0,13
POA6016,0,3,4,0,0,0,0,14,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,9,0,0,3,8,6,26,15,3,3,0,13,5,29,37,3,151,3,20,108,53,10,4,5,0,0,0,0,0,4,0,15,222,0,0,0,0,0,3,4,9,4,0,3,3,10,0,0,36,0,0,0,0,3,3,0,3,3,9,4,6,18,13,16,78,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,5,24,39,9,10,0,7,3,6,3,4,5,115,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,3,3,0,3,0,0,0,3,3,0,3,29,0,0,0,11,28,40,34,10,4,9,15,12,14,16,13,206,0,0,0,3,3,4,3,3,0,4,11,5,4,4,0,44,0,11,0,3,3,14,9,0,0,0,0,3,3,0,3,49
POA6017,0,3,0,0,3,0,0,24,0,0,0,0,0,0,9,5,3,0,0,0,3,0,0,20,0,0,0,4,3,3,0,4,0,0,4,3,4,18,4,47,3,8,35,35,8,3,3,3,0,0,3,0,3,0,8,112,0,0,0,0,0,0,8,3,3,0,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,15,9,9,0,3,0,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,9,0,0,0,4,4,23,20,22,3,3,8,12,17,3,4,123,0,0,0,0,0,4,5,3,4,15,14,4,3,19,8,79,0,3,0,0,3,11,0,3,0,0,0,0,0,0,0,20
POA6018,3,7,3,3,11,0,11,141,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,9,3,3,16,21,13,82,30,17,12,21,22,30,30,33,18,351,6,34,155,57,31,8,8,6,10,3,3,3,10,0,30,364,0,3,3,3,5,14,32,20,9,3,7,0,10,0,0,109,0,0,0,0,5,3,3,3,3,0,13,0,7,5,3,45,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,9,0,3,9,26,41,92,58,60,14,14,15,29,16,6,10,393,0,3,3,3,0,0,0,0,0,0,0,0,3,0,3,15,0,8,62,17,8,10,20,8,3,3,0,0,3,3,9,154,3,4,8,46,119,166,129,78,21,40,51,45,64,54,42,870,0,0,0,0,6,31,10,4,5,7,10,5,16,3,6,103,0,12,4,4,8,55,11,5,4,0,3,0,3,0,0,109
POA6019,4,3,3,4,4,4,5,69,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,11,0,0,8,10,12,51,23,7,17,25,20,45,47,64,19,348,8,4,32,10,9,8,10,12,0,5,8,9,7,9,11,142,0,0,0,0,4,4,13,7,4,3,0,4,12,3,13,67,0,0,0,0,4,6,0,3,0,4,0,0,3,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,12,9,40,17,14,9,0,6,0,7,8,15,140,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,0,8,27,9,3,4,5,8,5,3,0,3,3,0,5,83,0,0,0,40,82,126,100,73,21,40,64,64,96,75,56,837,0,0,0,0,9,3,7,3,3,4,3,9,4,0,6,51,0,4,3,0,4,24,3,5,0,3,3,0,0,5,0,54
POA6020,0,0,0,4,0,3,3,30,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,5,20,19,62,15,21,6,3,9,12,3,3,7,185,3,13,78,33,16,4,3,3,3,0,3,0,0,0,5,164,0,0,0,0,3,10,13,0,0,0,3,5,3,0,0,37,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,3,19,24,42,16,7,3,3,3,3,3,0,3,129,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,45,14,14,6,4,0,4,3,3,4,0,0,4,101,0,0,4,36,66,127,89,26,8,16,21,13,27,15,31,479,0,3,0,6,3,8,10,3,0,0,0,4,3,4,0,44,0,7,0,5,5,36,7,0,0,0,0,0,0,0,3,63
POA6021,4,3,3,7,6,4,0,88,0,0,0,0,0,0,13,3,0,3,3,0,5,5,0,32,0,4,3,9,6,11,7,10,4,0,5,5,15,16,3,98,8,67,559,422,79,30,12,16,0,4,0,6,0,6,114,1323,0,0,0,0,0,5,25,11,6,0,8,3,0,3,5,66,0,0,0,0,0,5,0,9,0,3,5,3,0,0,0,25,0,0,0,0,8,3,3,0,3,0,0,3,0,0,0,20,0,0,0,9,28,85,31,28,6,7,10,0,3,8,0,215,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,14,0,4,35,3,4,3,3,3,3,0,0,3,0,0,0,61,0,0,0,17,33,71,56,40,10,18,27,12,36,31,11,362,0,0,0,0,10,12,9,13,4,3,18,6,9,6,7,97,0,11,6,6,4,40,15,3,0,3,0,0,0,0,10,98
POA6022,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,5,12,6,3,3,0,0,0,3,3,8,4,50,0,3,25,27,0,0,5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,9,0,0,0,3,5,10,3,3,0,0,3,0,0,0,3,30,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,3,4,3,0,0,0,0,0,0,0,20,0,3,0,7,20,30,47,19,7,8,13,4,5,5,15,183,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
POA6023,0,0,0,0,0,0,4,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,13,50,19,8,6,8,9,0,14,10,4,150,4,6,60,20,6,6,0,0,0,0,0,0,0,0,13,115,0,0,0,0,3,0,13,0,3,0,0,0,0,3,0,22,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,13,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,10,0,0,5,17,30,48,19,13,4,3,0,4,5,0,3,151,0,0,3,0,3,3,0,0,0,3,0,0,0,0,0,12,0,0,26,5,3,7,6,8,0,0,4,0,5,0,0,64,0,0,3,22,54,106,72,35,9,11,16,18,3,10,15,374,0,0,0,0,12,16,4,0,0,4,0,0,0,0,0,36,0,0,0,3,13,21,7,0,0,0,3,0,0,0,0,47
POA6024,0,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,21,21,14,12,3,4,13,5,7,0,3,130,0,3,54,24,15,3,4,3,0,0,0,3,0,0,3,112,0,0,0,0,0,7,4,7,0,0,3,0,0,3,0,24,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,14,20,26,6,6,5,0,5,3,0,3,3,95,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,35,4,4,4,8,0,4,0,3,0,0,0,0,66,0,3,3,20,59,113,89,51,15,17,17,13,22,21,23,466,0,0,0,0,3,17,11,3,0,10,10,3,3,3,3,66,0,3,3,0,3,8,7,0,0,0,3,0,0,0,0,27
POA6025,3,3,7,0,3,12,3,68,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,8,28,38,117,36,16,5,6,14,26,23,19,6,348,0,12,46,31,11,12,9,3,3,0,8,6,3,0,13,157,0,0,0,0,3,6,13,11,3,0,0,0,0,0,3,39,0,0,0,0,0,5,0,0,4,0,0,0,0,0,5,14,0,0,0,3,3,5,4,3,0,0,0,0,0,0,0,18,0,0,8,6,38,41,20,10,3,0,3,4,3,0,10,146,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,12,0,4,60,5,10,18,16,9,8,0,0,3,0,0,6,139,3,0,3,44,117,246,175,83,24,53,75,24,64,62,58,1031,0,0,0,0,9,40,13,14,3,7,7,5,0,0,0,98,0,3,0,3,5,79,12,7,0,0,5,3,0,0,3,120
POA6026,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,61,29,29,6,4,5,14,13,10,7,204,0,6,54,42,14,3,0,3,0,0,0,0,0,0,10,132,0,0,0,0,4,0,8,7,4,0,0,0,4,0,0,27,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,13,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,10,0,0,5,15,24,56,11,10,13,0,7,0,6,0,7,154,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,7,0,7,41,17,3,3,6,6,0,0,0,3,3,0,6,95,0,0,0,21,73,162,99,50,12,10,22,16,18,17,21,521,0,0,0,0,11,21,10,3,0,6,0,0,0,0,0,51,0,4,0,3,9,26,10,0,4,0,5,0,0,0,0,61
