region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6405,39,79,0,0,4,5,0,0,22,88,26,93,0,5,5,9,5,11,10,25,36,118,0,0,0,0,0,0,3,13,3,13,0,0,0,0,5,7,5,7,8,20,0,0,83,217
POA6407,124,241,4,9,4,18,4,18,66,260,78,305,9,31,5,15,13,43,27,89,105,394,0,0,3,8,3,13,12,30,18,51,0,0,3,4,7,19,10,23,28,74,3,4,260,713
POA6409,40,81,0,0,4,13,4,12,37,147,45,172,0,0,0,6,3,4,3,10,48,182,0,0,0,9,0,0,7,11,7,20,0,0,0,0,4,16,4,16,11,36,3,5,102,304
POA6410,145,278,0,3,13,55,5,41,83,333,101,432,3,10,6,10,18,53,27,73,128,505,0,0,3,8,4,15,22,65,29,88,0,0,0,3,10,17,10,20,39,108,3,7,315,898
POA6413,33,62,0,0,0,6,0,4,11,34,11,44,0,0,3,3,4,12,7,15,18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,4,7,0,0,55,128
POA6415,304,591,0,0,34,155,12,59,186,729,232,943,4,14,13,43,49,143,66,200,298,1143,0,6,3,9,4,13,54,152,61,180,3,8,13,17,18,48,34,73,95,253,12,27,709,2014
POA6418,115,212,0,4,6,27,0,6,54,201,60,238,0,9,0,3,7,15,7,27,67,265,0,3,3,9,3,12,10,29,16,53,0,0,0,0,7,15,7,15,23,68,0,3,205,548
POA6421,28,63,0,0,0,10,0,0,23,101,23,111,3,5,3,9,4,12,10,26,33,137,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,67,206
POA6423,35,67,0,0,0,3,3,5,20,68,23,76,0,3,3,6,3,6,6,15,29,91,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,3,0,3,3,12,0,0,67,170
POA6425,27,45,0,0,4,7,0,0,12,46,16,53,0,0,3,4,4,14,7,18,23,71,0,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,8,0,0,50,124
POA6426,105,200,0,3,4,10,4,17,90,353,98,383,4,4,0,3,18,54,22,61,120,444,4,6,4,10,0,4,21,55,29,75,0,0,0,0,11,28,11,28,40,103,0,0,265,747
POA6429,112,223,3,15,12,46,14,71,47,191,76,323,8,20,0,12,13,49,21,81,97,404,3,14,0,0,7,22,32,90,42,126,0,8,0,5,24,42,24,55,66,181,3,4,278,812
POA6430,1995,3897,62,326,216,985,134,616,1749,6866,2161,8793,85,345,99,290,393,1219,577,1854,2738,10647,7,26,34,115,32,126,354,983,427,1250,18,64,46,97,193,412,257,573,684,1823,83,169,5500,16536
POA6431,27,66,0,0,3,10,12,54,35,155,50,219,0,0,3,4,7,38,10,42,60,261,3,11,0,4,3,17,35,112,41,144,0,4,0,0,11,34,11,38,52,182,5,11,144,520
POA6432,650,1269,23,107,50,222,60,276,511,1989,644,2594,23,97,28,77,115,358,166,532,810,3126,3,18,15,62,20,72,173,492,211,644,6,19,16,30,87,187,109,236,320,880,33,68,1813,5343
POA6434,3,15,0,0,0,0,0,9,8,35,8,44,0,0,0,0,3,5,3,5,11,49,0,10,0,0,0,3,9,30,9,43,0,0,0,0,6,19,6,19,15,62,3,3,32,129
POA6436,12,22,0,10,0,0,0,0,12,29,12,39,0,0,0,0,0,4,0,4,12,43,0,0,0,0,0,0,5,22,5,22,0,0,4,3,0,4,4,7,9,29,0,0,33,94
POA6437,43,87,0,0,4,13,3,0,84,338,91,351,4,10,0,8,0,0,4,18,95,369,0,0,0,0,0,0,4,11,4,11,0,0,0,4,0,6,0,10,4,21,0,0,142,477
POA6438,59,116,0,10,4,11,7,19,28,123,39,163,3,10,0,4,7,22,10,36,49,199,0,0,0,0,5,23,20,45,25,68,0,0,3,9,3,7,6,16,31,84,3,5,142,404
POA6440,50,98,0,16,3,20,5,19,24,105,32,160,0,0,0,0,7,13,7,13,39,173,0,0,0,0,3,8,17,50,20,58,0,0,0,0,11,25,11,25,31,83,0,7,120,361
POA6442,211,420,8,48,23,116,18,85,254,993,303,1242,6,9,11,35,36,108,53,152,356,1394,3,7,8,27,4,20,47,123,62,177,3,11,4,6,17,40,24,57,86,234,5,7,658,2055
POA6443,98,189,0,8,3,18,4,18,59,226,66,270,0,3,0,3,5,21,5,27,71,297,3,3,3,13,3,12,29,86,38,114,0,0,3,3,11,25,14,28,52,142,3,4,224,632
