POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA6109,0,47,0,47,..,341,30,368,0,370,..,16,0,18,0,18,..,113,32,146,0,148,..,15,3,23,0,23,..,3,0,3,0,3,..,24,10,30,0,30,..,553,244,798,16,812,..,1732,433,2168,24,2194,..,12,9,18,395,414,3672,1740,444,2184,425,6277,3515,..,..,..,..,3515,..,4,0,4,0,4,..,61,25,83,4,84,..,10,0,10,0,10,..,35,12,44,0,44,..,46,27,75,0,77,..,4,0,10,0,9,..,89,34,123,3,125,..,9,3,12,0,12,..,16,0,16,0,16,..,11,0,15,0,17,..,14,0,16,0,16,..,10,0,10,0,10,..,28,6,35,0,35,..,49,6,53,0,56,..,80,16,99,0,98,..,23,3,24,0,24,..,32,3,32,0,32,..,38,11,52,0,52,..,245,52,298,5,304,..,73,14,90,3,90,..,3,0,3,0,3,..,10,8,16
POA6110,13,154,4,162,..,702,49,751,12,761,..,52,3,56,0,57,..,238,48,288,0,294,..,37,0,45,0,45,..,21,3,24,0,24,..,39,12,48,0,48,..,1082,281,1360,17,1385,..,4337,780,5119,53,5168,..,61,5,63,1146,1210,14043,4395,789,5181,1194,20422,14034,..,..,..,..,14034,..,90,0,91,3,97,..,172,43,218,0,222,..,11,0,11,0,11,..,157,35,189,0,189,..,423,202,621,3,630,..,35,14,46,0,46,..,610,253,859,3,862,..,10,0,12,0,12,..,62,5,65,0,65,..,66,3,75,0,77,..,36,0,34,3,37,..,10,0,10,0,10,..,41,3,39,0,39,..,145,6,155,0,155,..,205,26,233,0,237,..,85,7,89,0,89,..,134,13,148,0,148,..,91,17,107,0,107,..,705,79,783,0,780,..,106,11,120,0,117,..,32,0,33,0,33,..,46,21,61
POA6111,0,30,0,30,..,132,0,134,0,134,..,21,3,25,0,25,..,42,6,43,0,43,..,18,3,22,0,22,..,3,0,3,0,3,..,9,0,11,0,11,..,301,93,396,10,405,..,1098,169,1266,16,1285,..,38,6,45,746,794,9469,1141,174,1316,762,11552,9376,..,..,..,..,9376,..,42,0,44,0,44,..,18,0,15,0,15,..,6,0,6,0,6,..,14,5,15,0,15,..,44,21,66,0,61,..,5,0,11,0,11,..,64,26,87,0,89,..,0,0,0,0,0,..,56,0,56,0,54,..,22,0,25,0,25,..,46,0,44,0,44,..,0,0,0,0,0,..,8,3,15,0,15,..,22,3,24,0,24,..,46,6,47,0,50,..,27,3,26,0,26,..,21,9,35,0,35,..,20,0,15,0,15,..,145,21,169,0,164,..,85,13,98,5,104,..,20,0,22,0,22,..,9,3,13
POA6112,11,161,0,161,..,720,40,757,0,760,..,119,5,129,0,129,..,288,25,316,8,321,..,40,14,48,0,53,..,6,0,6,0,6,..,21,16,34,0,34,..,1321,239,1561,28,1592,..,5223,675,5894,65,5961,..,72,15,84,1662,1751,20342,5291,691,5979,1729,28059,20585,..,..,..,..,20585,..,207,4,213,4,218,..,126,20,147,0,147,..,20,0,20,0,20,..,158,29,185,0,190,..,504,168,672,3,673,..,34,6,43,0,43,..,702,199,899,3,906,..,22,5,25,0,25,..,131,0,133,0,132,..,84,3,84,0,86,..,80,0,76,0,83,..,11,0,11,0,11,..,40,3,43,0,43,..,202,19,222,0,222,..,361,63,424,0,426,..,196,9,204,0,201,..,79,5,86,0,81,..,149,23,172,0,176,..,1013,125,1143,4,1149,..,113,13,128,3,135,..,49,3,56,0,58,..,47,31,77
POA6121,0,0,0,0,..,12,0,12,0,12,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,13,10,18,0,18,..,78,12,86,3,88,..,5,0,5,60,69,1357,81,12,92,62,1514,1307,..,..,..,..,1307,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,11,0,11,..,0,0,0,0,0,..,3,3,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,8,0,8,0,8,..,0,0,0
POA6122,0,17,0,21,..,67,5,71,0,73,..,6,0,10,0,10,..,32,3,35,0,35,..,3,0,7,0,7,..,3,0,3,0,3,..,3,0,6,0,6,..,278,37,318,9,327,..,893,88,988,15,997,..,15,0,21,495,513,7127,910,89,1002,511,8644,7294,..,..,..,..,7294,..,83,3,85,0,85,..,10,0,15,0,15,..,0,0,0,0,0,..,12,0,16,0,16,..,35,12,51,0,51,..,0,0,3,0,3,..,54,16,65,0,65,..,5,0,5,0,8,..,34,0,29,0,29,..,29,3,30,0,30,..,11,0,11,0,11,..,3,3,9,0,9,..,0,0,0,0,0,..,32,0,38,0,38,..,120,19,141,5,144,..,12,0,11,0,11,..,21,0,23,0,23,..,26,3,26,0,26,..,223,21,242,5,247,..,18,3,25,0,25,..,3,0,3,0,3,..,5,0,4
POA6123,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,28,3,30,0,34,..,0,0,3,68,75,689,31,0,36,74,798,660,..,..,..,..,660,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
POA6124,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,9,..,19,4,27,0,28,..,0,0,0,48,47,514,19,10,32,45,586,514,..,..,..,..,514,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,4,4,0,4,..,3,0,3,0,3,..,0,0,0
POA6125,0,0,0,0,..,5,0,5,0,5,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,40,3,49,0,49,..,3,0,3,137,140,1412,49,3,49,137,1602,1363,..,..,..,..,1363,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0
POA6126,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,17,0,17,..,0,0,0,338,340,140,15,0,12,338,489,105,..,..,..,..,105,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0
POA6147,5,67,3,73,..,321,27,346,3,347,..,27,0,34,0,34,..,96,22,119,0,119,..,18,0,17,0,17,..,16,3,21,0,20,..,29,15,42,0,42,..,420,80,506,14,523,..,2463,550,3014,28,3044,..,27,8,34,341,371,4292,2488,561,3044,372,7703,4219,..,..,..,..,4219,..,12,0,12,0,12,..,78,29,100,0,100,..,0,0,0,0,0,..,221,97,316,3,323,..,482,208,695,3,698,..,72,44,112,0,112,..,774,351,1127,5,1131,..,0,0,3,0,3,..,11,0,11,0,11,..,29,0,29,0,29,..,20,3,19,0,19,..,4,0,4,0,4,..,32,3,41,0,41,..,41,9,52,0,48,..,70,4,75,0,80,..,40,4,42,0,42,..,64,11,74,0,74,..,35,3,42,0,42,..,282,37,319,3,319,..,21,6,25,0,25,..,22,3,22,0,22,..,47,38,84
POA6148,0,40,0,36,..,189,6,199,4,204,..,26,3,26,0,26,..,99,5,102,0,102,..,11,0,11,0,11,..,18,4,24,0,24,..,39,4,47,0,47,..,290,30,323,8,330,..,2272,263,2530,19,2554,..,24,12,32,292,328,5754,2295,272,2565,314,8632,5996,..,..,..,..,5996,..,22,0,22,0,22,..,57,9,69,0,68,..,0,0,0,0,0,..,214,46,266,0,266,..,553,142,698,3,697,..,42,16,54,0,54,..,811,202,1011,3,1019,..,4,0,4,0,4,..,29,0,33,0,33,..,35,0,41,0,41,..,24,3,28,0,28,..,17,0,15,0,15,..,39,0,37,0,37,..,82,3,82,0,82,..,40,3,44,0,44,..,141,11,152,0,152,..,26,5,26,0,33,..,69,9,78,0,78,..,394,29,422,0,426,..,59,6,73,0,73,..,26,3,31,0,30,..,79,45,126
POA6149,0,22,0,22,..,114,3,122,0,122,..,28,3,29,0,29,..,75,0,75,0,75,..,3,0,3,0,3,..,5,0,5,0,5,..,17,4,23,0,23,..,158,17,178,4,179,..,1841,228,2062,6,2074,..,16,3,17,236,255,6765,1851,231,2080,243,9090,6858,..,..,..,..,6858,..,54,0,53,0,56,..,29,0,33,0,33,..,0,0,0,0,0,..,272,42,315,0,315,..,586,127,716,6,721,..,50,13,63,0,63,..,913,185,1093,6,1096,..,3,0,4,0,4,..,19,0,19,0,19,..,35,0,34,0,34,..,43,0,43,0,43,..,6,0,6,0,6,..,18,0,24,0,24,..,57,3,56,0,56,..,48,3,54,0,54,..,33,3,31,0,31,..,0,0,0,0,0,..,12,0,12,0,12,..,167,10,179,0,179,..,57,3,56,0,61,..,35,3,40,0,40,..,59,35,91
POA6150,3,33,0,33,..,244,22,271,0,268,..,28,3,30,0,30,..,45,0,45,0,48,..,15,0,15,0,15,..,3,0,3,0,3,..,36,3,38,0,38,..,139,10,147,4,148,..,1721,187,1913,13,1930,..,15,3,16,368,382,4126,1737,190,1926,381,6441,4093,..,..,..,..,4093,..,22,0,22,0,22,..,16,5,21,0,21,..,0,0,0,0,0,..,289,48,331,0,331,..,545,114,655,3,658,..,78,14,95,0,95,..,912,173,1086,3,1088,..,14,0,11,0,11,..,15,0,15,0,15,..,33,0,30,0,30,..,21,0,21,0,21,..,3,0,3,0,3,..,19,0,19,0,19,..,36,0,35,0,35,..,24,0,25,0,25,..,50,5,48,0,48,..,7,0,7,0,7,..,20,0,21,0,21,..,149,7,152,0,152,..,68,0,71,3,76,..,21,3,25,0,25,..,33,12,44
POA6151,0,17,0,17,..,80,0,82,3,85,..,74,6,74,0,74,..,21,0,21,0,21,..,16,3,18,0,18,..,3,0,11,0,11,..,49,5,60,0,58,..,163,26,192,4,192,..,1327,153,1485,12,1500,..,19,3,26,595,619,6192,1349,157,1509,611,8305,6064,..,..,..,..,6064,..,23,0,23,0,23,..,43,8,51,0,51,..,3,0,3,0,3,..,74,21,101,0,101,..,178,44,222,3,223,..,22,0,30,0,30,..,279,72,348,5,352,..,10,0,14,0,14,..,13,0,9,0,9,..,55,0,61,0,61,..,34,0,34,3,41,..,25,0,24,0,27,..,5,0,6,0,6,..,28,0,31,0,32,..,11,0,11,0,11,..,21,0,16,0,16,..,12,3,13,0,13,..,46,7,47,0,53,..,121,15,135,0,140,..,82,12,89,3,95,..,54,15,72,0,73,..,32,6,45
POA6152,4,36,0,36,..,230,14,251,0,247,..,94,8,96,0,96,..,29,0,32,0,32,..,40,7,46,0,46,..,20,0,19,0,19,..,56,7,60,0,60,..,352,40,389,3,398,..,2603,300,2900,24,2918,..,29,4,35,734,769,8584,2627,305,2934,758,12273,9113,..,..,..,..,9113,..,41,0,41,0,41,..,97,20,114,0,114,..,17,0,17,0,17,..,223,28,252,0,252,..,498,107,603,3,609,..,75,12,90,0,90,..,797,150,945,3,946,..,19,3,21,0,21,..,26,0,28,0,28,..,83,0,87,0,87,..,51,5,52,3,51,..,45,3,44,0,47,..,18,0,18,0,18,..,54,9,65,0,65,..,17,4,22,0,26,..,38,3,38,0,38,..,16,0,15,0,15,..,61,5,63,0,63,..,204,20,226,0,227,..,134,6,144,5,151,..,54,7,63,0,61,..,78,25,100
POA6153,0,23,0,23,..,192,14,203,0,203,..,54,3,55,0,55,..,29,0,28,0,28,..,15,5,19,0,19,..,5,0,5,0,5,..,20,0,29,0,29,..,141,25,165,5,167,..,1762,197,1956,8,1964,..,26,0,25,452,483,7134,1786,198,1987,466,9579,7526,..,..,..,..,7526,..,31,0,31,0,31,..,52,3,56,0,56,..,0,0,0,0,0,..,188,33,217,0,221,..,396,81,477,3,482,..,43,8,48,0,48,..,622,123,738,7,747,..,12,0,17,0,17,..,31,0,31,0,31,..,55,0,55,3,57,..,46,0,51,0,51,..,31,0,35,0,35,..,9,0,9,0,9,..,50,4,57,0,57,..,25,0,21,0,21,..,32,3,37,0,37,..,5,0,12,0,12,..,33,3,41,0,41,..,164,11,171,0,171,..,96,6,102,0,102,..,50,14,67,0,67,..,58,27,86
POA6154,0,8,0,8,..,85,3,87,0,87,..,27,3,30,0,29,..,6,0,10,0,10,..,6,0,6,0,6,..,0,0,0,0,0,..,9,0,10,0,10,..,55,12,69,3,73,..,714,87,806,6,808,..,11,0,11,226,239,3770,726,87,815,229,4815,3994,..,..,..,..,3994,..,13,0,13,0,15,..,12,0,15,0,15,..,0,0,0,0,0,..,82,21,101,0,106,..,144,29,175,0,175,..,17,0,17,0,20,..,248,49,303,3,300,..,16,0,20,0,20,..,15,0,15,0,15,..,32,0,37,0,37,..,24,0,23,0,26,..,7,3,9,0,12,..,5,0,5,0,5,..,9,0,9,0,9,..,5,0,10,0,10,..,5,0,5,0,5,..,5,0,7,0,7,..,7,0,6,0,6,..,35,0,34,0,34,..,49,6,58,0,58,..,23,3,23,0,23,..,26,11,44
POA6155,9,182,0,182,..,581,31,615,0,615,..,105,3,116,0,116,..,399,19,421,3,424,..,25,0,25,0,25,..,19,5,23,0,23,..,70,20,89,0,87,..,1029,94,1129,23,1147,..,7864,1253,9119,66,9187,..,70,9,80,1705,1786,14806,7938,1259,9196,1769,25773,14761,..,..,..,..,14761,..,183,0,183,0,183,..,253,40,291,0,293,..,5,0,6,0,6,..,738,199,937,4,940,..,2160,828,2988,13,2992,..,205,37,245,5,251,..,3101,1064,4169,16,4184,..,15,0,21,0,21,..,39,0,39,0,39,..,83,5,88,0,88,..,45,0,45,0,45,..,20,3,26,0,26,..,155,14,171,3,173,..,318,13,331,0,331,..,272,35,305,0,305,..,249,20,273,3,279,..,168,6,177,0,177,..,194,14,204,0,206,..,1356,106,1459,9,1469,..,137,14,144,0,146,..,93,9,103,0,103,..,192,110,297
POA6156,0,0,0,0,..,74,3,81,0,83,..,46,3,53,0,53,..,5,0,5,0,5,..,9,0,7,0,7,..,0,0,0,0,0,..,11,0,11,0,11,..,108,23,129,3,131,..,763,84,853,17,872,..,13,0,15,386,402,6696,780,85,869,404,7969,7437,..,..,..,..,7437,..,16,0,16,0,16,..,18,3,22,0,25,..,3,0,3,0,3,..,47,6,52,0,52,..,83,29,115,0,116,..,6,0,8,0,8,..,137,38,177,0,176,..,28,0,29,0,29,..,22,0,23,0,23,..,37,4,38,0,40,..,39,0,44,0,47,..,12,0,14,0,14,..,0,0,4,0,4,..,12,0,13,0,13,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,11,0,11,0,11,..,44,3,42,0,42,..,129,7,134,7,140,..,27,9,33,0,33,..,4,0,8
POA6157,0,3,0,3,..,30,0,30,0,30,..,40,3,40,0,43,..,7,0,7,0,7,..,9,0,10,0,10,..,4,0,4,0,4,..,5,0,5,0,5,..,90,10,101,7,107,..,529,46,571,4,582,..,13,0,15,371,386,5406,539,50,589,379,6376,6002,..,..,..,..,6002,..,21,0,21,0,21,..,16,0,16,0,16,..,0,0,0,0,0,..,18,0,14,0,14,..,35,4,34,0,34,..,3,0,3,0,3,..,50,3,55,0,55,..,23,3,22,0,22,..,24,0,24,0,23,..,42,0,38,0,38,..,61,0,58,0,58,..,15,4,16,0,16,..,3,0,3,0,3,..,11,0,15,0,15,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,25,0,29,0,29,..,100,14,119,0,121,..,18,3,22,0,22,..,3,3,10
POA6158,0,0,0,0,..,6,0,6,0,6,..,7,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,7,0,7,..,32,3,37,0,37,..,242,17,257,3,263,..,14,0,14,234,244,3031,251,17,269,232,3539,3251,..,..,..,..,3251,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,11,0,11,0,11,..,8,0,7,0,8,..,12,0,12,0,12,..,25,3,30,0,30,..,20,0,20,0,20,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,94,16,112,0,112,..,9,0,9,0,9,..,5,0,5
POA6159,0,0,0,0,..,3,0,3,0,3,..,13,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,20,0,20,..,96,8,108,0,109,..,4,0,4,185,188,1325,103,8,110,182,1622,1396,..,..,..,..,1396,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,7,0,6,0,6,..,3,0,3,0,4,..,10,0,10,0,10,..,12,0,12,0,12,..,3,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,3,21,0,21,..,5,0,5,0,5,..,0,0,0
POA6160,0,3,0,3,..,15,0,15,0,15,..,32,3,34,0,34,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,3,4,0,4,..,79,7,94,0,90,..,449,60,507,5,516,..,7,0,7,449,463,3046,459,60,515,459,4018,3124,..,..,..,..,3124,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,16,3,17,0,17,..,15,8,31,0,31,..,3,3,8,0,8,..,36,16,51,0,51,..,22,4,21,0,26,..,16,0,16,0,16,..,44,3,49,0,50,..,27,0,35,0,35,..,3,0,6,0,6,..,0,0,0,0,0,..,6,3,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,18,3,14,0,14,..,135,41,182,0,182,..,13,0,11,0,11,..,3,0,3
POA6161,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,17,0,17,0,17,..,0,0,0,124,124,46,17,0,17,126,184,38,..,..,..,..,38,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
