POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6211,959,1871,13,69,74,323,18,85,459,1783,564,2257,42,178,54,173,134,389,229,738,796,2996,3,11,20,72,9,26,138,398,168,511,6,26,16,41,79,158,107,228,274,741,18,33,2048,5635
POA6213,90,172,3,10,0,5,3,17,35,153,44,189,4,13,4,7,18,47,22,64,64,255,0,0,0,3,3,6,8,20,8,31,0,4,3,12,13,22,20,38,32,69,3,4,183,507
POA6214,68,132,0,6,10,32,0,5,42,159,46,205,4,24,7,22,20,60,32,98,80,304,0,0,4,23,0,0,4,16,9,34,0,5,3,3,5,14,12,19,17,55,0,0,171,492
POA6215,484,940,15,87,35,157,17,69,225,878,288,1189,16,68,21,76,99,284,138,425,433,1618,0,0,10,47,5,23,70,183,90,248,3,14,13,30,59,132,81,173,167,420,9,17,1089,2998
POA6218,45,93,0,0,3,26,0,0,28,101,33,126,0,3,0,8,7,23,14,40,45,166,0,0,0,6,0,3,5,22,9,30,0,0,3,3,0,0,3,3,8,34,0,0,101,297
POA6220,524,1035,13,67,46,214,20,85,259,1037,341,1413,25,98,30,97,109,356,167,546,510,1960,0,3,8,37,6,23,59,160,79,218,3,9,12,23,58,132,73,172,149,389,12,35,1203,3413
POA6221,27,46,0,7,5,34,0,4,9,52,19,96,0,8,0,9,5,23,15,36,34,137,0,0,0,0,0,0,8,18,8,18,0,0,0,0,5,7,5,7,9,28,3,3,70,215
POA6223,19,32,0,0,3,19,4,12,16,62,23,90,3,10,0,3,0,6,9,21,31,112,0,0,0,0,0,3,0,3,0,11,3,7,0,0,4,9,7,18,8,23,0,0,56,162
POA6224,132,258,7,21,12,72,5,17,55,237,81,347,6,34,14,41,28,81,47,154,129,500,0,7,3,20,0,0,19,58,28,85,0,6,3,8,23,42,23,55,55,134,0,3,313,904
POA6225,1025,2019,15,88,91,417,40,194,494,1921,644,2616,47,175,45,155,224,687,312,1014,960,3637,0,5,35,128,11,53,171,490,219,679,13,30,31,62,117,249,156,344,374,1020,29,71,2391,6743
