POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6521,60,125,0,0,3,5,7,14,22,68,26,90,0,3,3,3,13,31,14,37,41,127,0,0,0,0,0,3,4,5,3,8,0,0,0,0,0,9,0,9,7,20,0,0,112,265
POA6522,60,110,0,0,4,6,0,5,31,133,39,143,0,4,8,13,6,30,14,42,49,184,0,0,0,6,0,7,0,3,3,16,0,4,0,0,6,12,12,24,12,40,0,4,127,333
POA6525,531,1026,8,44,43,204,9,32,188,710,245,989,11,42,15,49,63,188,94,279,340,1268,0,5,5,29,0,8,58,161,75,203,5,13,8,12,26,55,38,82,107,283,9,24,997,2601
POA6528,52,112,0,0,4,13,0,7,24,99,31,119,0,3,0,9,5,25,9,33,41,151,0,0,0,3,0,0,4,11,8,17,0,0,3,6,8,15,8,15,15,33,0,3,109,300
POA6530,3348,6514,65,358,329,1499,124,552,1857,7244,2373,9656,135,543,226,707,601,1807,969,3054,3335,12708,35,167,123,462,83,308,715,2032,944,2974,43,146,126,270,478,998,649,1409,1596,4383,144,310,8433,23916
POA6532,750,1445,14,88,84,371,15,77,484,1845,598,2379,26,115,61,170,131,392,215,671,819,3048,3,10,17,68,9,26,76,225,104,332,3,16,13,24,54,101,70,145,174,470,15,22,1757,4996
POA6535,248,478,0,0,15,58,4,28,81,346,106,434,5,15,5,15,26,89,37,125,145,554,0,0,0,4,0,5,9,31,14,37,0,3,0,3,15,36,20,49,34,87,4,9,430,1127
POA6536,230,438,0,0,16,75,3,6,68,255,85,335,3,18,7,21,24,69,35,108,123,443,0,5,5,13,0,10,21,49,28,81,3,4,0,6,18,31,23,45,51,122,3,10,412,1017
POA6537,125,233,0,0,4,13,3,7,57,242,64,267,0,6,0,0,9,28,14,34,79,297,0,0,0,0,0,0,4,20,5,24,0,0,0,3,7,12,4,16,16,36,3,7,214,580
POA6556,217,428,3,18,26,132,14,49,128,484,169,680,20,73,21,67,54,162,91,298,257,981,0,7,11,34,3,6,27,69,38,107,3,8,9,17,40,82,53,112,93,223,3,6,571,1637
POA6558,81,151,0,3,6,17,7,21,55,200,61,242,3,16,10,32,27,87,40,125,106,374,0,3,4,10,0,6,15,46,25,64,0,0,0,4,5,16,8,17,34,81,3,8,215,610
POA6560,138,274,6,46,9,45,13,52,59,233,94,377,6,21,7,27,36,109,44,161,135,534,0,0,9,31,0,3,25,66,34,102,3,14,0,3,28,60,34,76,67,182,0,3,347,994
POA6562,176,353,7,32,13,68,4,25,68,282,97,403,0,12,3,13,34,90,40,119,136,523,0,6,4,9,3,13,19,49,22,78,0,0,0,3,20,33,20,35,46,115,3,5,357,994
POA6564,61,119,0,0,0,3,0,0,16,65,21,67,0,0,0,3,8,19,9,20,25,91,0,3,0,0,0,0,7,15,7,16,0,0,0,3,5,10,7,14,17,36,0,3,99,244
POA6566,525,1019,3,35,21,99,19,87,137,525,186,747,7,27,27,70,59,180,92,277,276,1026,0,3,8,25,3,15,52,136,64,181,0,5,10,19,44,83,50,103,115,285,9,18,924,2346
POA6567,78,148,0,12,3,12,0,6,18,76,24,103,0,6,0,0,13,33,11,39,41,144,0,0,0,0,0,0,4,12,4,12,0,3,0,0,0,3,4,4,11,18,0,0,129,314
POA6568,28,52,0,9,0,3,3,5,8,43,15,56,3,4,7,13,12,27,18,49,27,111,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,4,14,4,13,0,3,68,177
POA6569,26,52,0,3,0,7,0,0,20,85,26,95,3,7,0,3,0,4,5,17,26,109,0,0,0,0,0,0,3,19,3,19,0,0,3,6,0,0,3,5,13,26,0,0,67,192
POA6571,12,18,0,0,0,0,0,0,9,31,10,32,0,0,0,0,0,3,0,3,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,21,60
POA6572,13,18,0,0,0,0,0,6,9,25,6,27,0,0,0,0,0,3,0,3,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,57
POA6574,7,17,0,7,0,3,0,0,7,30,12,41,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,24,61
POA6575,15,30,0,0,0,0,0,0,12,59,12,59,0,3,0,0,3,5,5,11,15,64,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,6,0,0,36,102
POA6603,133,266,0,8,8,37,4,12,88,329,98,381,0,0,7,13,16,48,20,62,125,444,0,5,0,5,0,3,18,72,28,84,3,8,3,6,7,14,12,27,40,116,4,9,298,831
POA6605,5,6,0,0,0,3,0,0,7,20,6,25,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31
POA6606,22,43,0,0,0,0,0,3,11,43,13,52,0,0,0,0,3,20,3,20,16,67,0,0,0,3,0,5,0,3,6,6,0,0,0,3,4,4,7,7,9,14,0,0,45,123
POA6608,11,30,0,4,3,15,0,0,8,38,14,52,0,0,0,0,4,6,6,12,14,61,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,3,0,5,9,0,0,37,104
POA6609,94,185,5,18,6,23,3,19,65,251,78,308,3,19,0,0,20,58,24,80,98,393,0,0,0,10,0,0,3,4,5,17,0,0,0,0,5,16,5,16,15,28,3,10,210,615
POA6612,24,44,0,0,0,0,0,0,12,62,14,64,0,0,0,0,7,14,7,14,16,75,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,38,122
POA6613,4,11,0,0,0,3,0,0,4,21,3,22,0,0,0,4,0,0,0,4,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41
POA6614,5,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
POA6616,6,11,0,7,0,0,0,0,3,17,3,25,0,0,0,3,0,4,3,4,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,41
POA6620,36,75,0,6,3,5,0,5,20,104,26,112,0,0,0,9,4,16,6,22,34,136,0,0,0,0,0,0,0,7,0,7,0,0,0,3,3,9,4,8,8,12,0,0,77,226
POA6623,68,127,4,18,5,28,0,6,35,148,43,201,0,12,3,7,5,23,9,38,55,240,0,3,0,0,0,0,18,47,21,56,0,3,0,0,3,14,7,15,27,75,5,6,154,450
POA6625,5,8,0,0,0,0,0,0,3,19,3,19,0,6,0,3,0,0,3,8,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
POA6627,4,10,0,0,0,7,0,9,3,10,5,32,0,0,3,9,0,0,3,9,9,38,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,3,0,3,3,11,0,0,18,53
POA6628,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,12,0,0,0,0,3,4,3,4,3,10,0,0,10,28
POA6630,56,115,0,0,6,18,3,21,29,114,37,148,0,0,5,6,8,27,14,31,49,185,0,0,0,0,3,17,15,55,21,74,0,0,0,0,4,14,7,17,32,95,0,0,140,395
POA6631,9,12,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,24
POA6632,3,10,0,0,0,0,0,3,7,33,12,40,0,4,0,0,0,0,3,3,11,45,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,18,63
POA6635,11,28,0,0,3,13,3,20,9,23,14,58,0,0,0,0,0,0,0,0,11,62,0,7,0,0,0,6,4,10,9,26,0,0,0,0,3,4,3,4,6,25,3,11,36,127
POA6638,44,84,0,0,6,27,4,18,21,75,24,119,0,0,0,4,3,14,6,14,31,131,0,0,0,4,0,7,8,22,11,35,0,0,0,0,3,6,3,6,13,40,3,3,90,259
POA6639,14,30,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38
POA6640,21,46,0,0,0,4,0,7,3,7,5,14,0,0,0,0,0,8,0,8,7,23,0,0,0,0,0,0,8,13,8,13,0,0,0,0,0,5,0,5,3,15,0,0,31,83
POA6642,55,112,0,22,0,8,5,20,27,106,34,159,0,0,0,0,5,10,5,10,41,167,0,8,3,12,5,17,23,84,30,114,0,0,0,0,11,18,11,18,40,139,4,10,142,427
POA6646,26,48,5,25,0,8,0,3,10,50,17,90,0,0,0,0,7,14,7,14,18,99,0,0,0,3,3,15,13,42,20,64,0,0,0,3,8,26,11,28,25,88,3,12,75,251
POA6701,496,984,14,68,30,137,20,85,314,1218,373,1503,4,25,14,47,92,274,116,348,486,1850,3,16,16,55,16,66,121,345,154,480,0,4,15,28,47,108,70,141,215,625,29,54,1236,3517
POA6705,14,24,0,0,3,12,0,9,11,55,12,77,0,0,0,3,0,0,0,3,14,78,0,0,0,0,0,3,9,49,10,54,0,4,0,3,7,9,9,17,20,67,0,4,46,172
POA6707,296,568,3,18,25,112,9,28,203,741,232,893,9,31,13,38,31,90,54,167,286,1059,0,0,5,24,0,8,36,105,50,134,0,3,11,17,15,33,26,52,69,184,7,14,663,1829
POA6710,104,206,0,0,3,19,7,18,46,179,53,219,0,8,0,3,5,27,8,30,66,246,0,0,0,3,3,13,9,28,10,39,0,0,0,4,11,30,12,34,27,75,9,17,204,545
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6713,86,164,3,20,10,52,7,20,121,487,144,583,3,15,13,36,14,49,26,95,172,682,0,0,0,3,0,0,3,20,7,20,0,0,3,7,7,18,8,23,17,42,0,0,275,888
POA6714,1255,2466,21,132,166,771,52,252,1476,5811,1727,6959,48,196,103,314,176,543,328,1046,2054,8003,6,36,21,86,21,76,218,625,269,822,10,22,26,53,92,205,132,277,402,1104,48,106,3751,11677
POA6716,68,128,0,4,3,7,0,5,78,321,84,338,0,3,0,4,5,16,7,27,95,365,0,0,0,0,0,0,10,26,10,26,0,0,0,0,3,8,3,5,13,36,0,3,175,529
POA6718,36,80,4,28,7,33,3,19,43,157,56,236,0,13,4,9,14,52,17,74,75,308,3,16,3,26,8,31,30,81,40,150,0,5,0,0,14,42,16,43,60,190,10,31,182,612
POA6720,198,392,4,27,33,164,9,48,245,961,295,1199,6,31,14,51,35,104,52,184,350,1379,0,0,3,15,7,20,29,86,37,124,0,0,0,3,17,27,18,33,54,160,8,19,616,1943
POA6721,448,870,5,32,29,133,12,80,350,1386,400,1629,5,23,16,51,39,108,58,184,461,1815,0,6,4,10,0,4,40,104,42,122,0,9,3,9,21,48,28,64,69,182,6,14,982,2883
POA6722,740,1456,20,110,69,343,42,203,777,3015,919,3674,27,116,46,138,109,356,180,612,1097,4284,0,12,21,84,14,55,160,459,202,604,5,14,12,28,80,178,96,219,298,824,41,102,2176,6664
POA6725,833,1624,18,108,74,343,44,229,724,2875,865,3552,20,78,37,107,106,356,167,544,1030,4093,6,27,30,122,32,123,277,782,340,1052,4,16,22,47,118,260,139,322,483,1376,60,134,2406,7230
POA6726,503,961,12,55,57,267,21,82,360,1380,446,1783,14,49,29,84,60,177,96,306,543,2098,6,23,18,71,16,57,127,377,171,527,0,5,15,28,51,110,69,140,241,669,18,35,1300,3766
POA6728,383,773,10,57,35,193,47,245,367,1559,453,2051,5,29,4,24,52,162,62,211,524,2261,8,23,18,101,30,148,166,533,228,808,3,11,12,24,79,195,94,230,318,1042,72,198,1298,4273
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,58,117,0,22,7,43,5,26,66,284,84,377,0,6,0,3,14,50,21,60,102,441,3,17,3,10,12,62,45,151,64,248,0,8,0,0,18,53,22,60,85,303,10,27,258,885
POA6743,558,1076,3,17,32,139,30,135,387,1493,455,1789,12,44,20,58,61,183,93,287,543,2074,7,29,18,79,32,146,151,476,209,734,3,6,8,17,53,144,64,166,271,892,30,63,1397,4115
POA6751,226,436,5,29,32,150,12,41,349,1401,400,1613,6,37,9,30,18,56,38,121,438,1734,0,0,3,12,3,3,37,114,47,132,0,3,6,10,20,37,26,49,71,186,5,22,739,2377
POA6753,337,666,8,50,42,206,15,75,446,1788,515,2123,14,50,27,73,47,146,81,267,591,2387,0,3,5,19,3,22,50,151,62,202,3,7,12,21,29,61,35,87,102,291,7,19,1042,3371
POA6754,76,142,4,12,13,75,3,12,151,611,172,713,3,13,9,18,7,23,18,54,190,773,0,0,0,4,5,8,12,31,18,49,0,4,0,0,9,14,7,23,28,70,0,0,293,978
POA6758,13,33,0,4,0,3,0,23,3,12,5,47,0,0,0,0,0,10,0,10,4,52,0,0,0,0,3,14,0,0,3,14,0,0,0,0,4,9,4,9,5,25,0,6,30,113
POA6760,23,52,3,20,0,3,3,16,29,140,34,181,0,4,0,0,3,16,7,22,45,202,0,6,0,0,4,26,18,56,23,90,3,5,0,0,8,16,6,22,29,110,3,16,102,370
POA6762,9,30,0,4,0,0,4,20,19,89,20,117,0,0,3,9,7,17,6,25,28,141,0,4,0,0,0,12,16,46,17,64,0,4,0,0,3,7,3,10,25,78,0,3,60,249
POA6765,93,196,0,21,8,49,14,67,92,400,120,545,0,8,0,0,14,59,19,63,130,610,7,21,0,6,9,38,64,206,83,269,3,4,0,8,26,68,29,78,110,352,24,61,365,1216
POA6770,127,262,5,44,10,43,26,141,118,493,149,721,3,17,3,10,22,77,25,99,178,816,3,13,9,38,31,152,86,283,131,491,0,0,3,3,26,91,34,97,159,584,21,60,484,1720
