POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6440,790,368,1153,22,30,48,40,55,94,15,18,31,47,26,72,214,84,301,124,42,163,165,48,213,106,50,152,34,14,45,14,3,21,0,3,3,742,338,1076,44,29,73,143,162,301,0,0,3,3,0,3,146,165,310,444,266,716,187,47,234,519,212,727,106,99,209,526,281,811,0,8,12,40,46,85,3,10,16,0,3,3,10,8,14,239,90,327,84,33,118,160,65,227,51,30,82,26,25,45,3,0,3,230,245,469,1818,278,2092
POA6442,1336,1201,2542,108,119,225,203,196,401,81,84,162,67,76,141,237,220,461,190,169,360,217,160,378,142,118,253,73,42,121,15,15,31,0,3,3,1274,1159,2432,63,47,110,65,53,124,3,0,5,0,6,9,72,63,133,855,790,1642,265,264,528,1066,987,2051,65,82,153,965,876,1842,18,19,28,166,169,332,57,45,103,4,12,16,27,44,67,271,301,575,139,131,271,347,261,605,62,62,122,31,17,41,3,3,6,1094,1062,2154,601,151,749
POA6443,490,361,854,13,8,25,39,49,90,9,13,25,15,19,33,85,63,143,53,32,83,103,62,166,92,61,152,60,34,95,17,17,35,3,3,6,440,331,771,52,27,79,37,41,81,0,0,0,0,0,4,41,44,81,308,219,525,96,80,175,374,286,661,24,23,48,346,251,592,0,3,3,38,41,80,0,4,9,0,4,4,3,8,13,108,84,187,54,30,85,121,89,211,28,19,51,24,16,41,3,0,3,304,267,575,796,359,1158
POA6445,97,97,203,0,15,18,17,19,33,4,0,5,0,3,8,16,6,22,15,22,32,19,15,31,20,17,30,11,11,21,7,0,6,0,0,0,84,85,172,14,14,26,0,0,0,0,0,0,0,0,0,0,0,0,77,69,147,6,12,21,79,74,156,3,5,13,84,72,159,0,3,5,13,12,27,0,0,0,0,3,3,0,3,3,26,30,64,16,3,23,14,10,25,6,4,9,3,4,5,0,0,0,84,72,160,10,17,32
POA6446,68,60,133,3,4,9,7,14,23,3,0,7,4,3,11,7,12,21,7,11,21,15,14,28,3,0,10,0,4,6,3,0,3,0,0,0,60,54,118,11,3,19,3,0,0,0,0,0,0,0,0,3,0,0,53,48,104,4,3,4,55,52,109,0,0,0,55,49,106,0,0,0,3,12,14,0,0,0,0,0,0,0,3,3,18,24,49,8,3,9,12,4,15,11,3,10,3,0,5,0,0,0,50,46,96,13,9,19
POA6447,108,77,183,9,3,14,12,15,22,9,0,12,6,3,12,17,13,36,13,8,21,18,17,37,16,14,31,5,0,3,0,0,0,0,0,0,94,68,166,13,14,22,0,0,0,0,0,0,0,0,0,0,0,0,81,55,133,3,9,18,83,64,144,8,3,10,87,59,142,3,0,3,12,15,22,3,3,3,0,0,0,3,0,5,38,35,76,5,5,14,18,5,27,3,0,4,0,0,0,0,0,0,81,58,142,21,11,28
POA6448,224,223,449,15,4,17,28,34,66,41,51,92,5,8,15,22,24,48,20,16,40,34,36,70,22,22,47,28,12,41,12,5,12,0,3,4,209,218,425,13,4,23,33,34,64,0,0,0,0,0,0,33,34,64,172,168,339,40,34,70,197,194,396,12,9,18,193,182,379,3,3,3,28,34,59,26,37,63,0,0,0,0,4,4,48,63,113,34,33,69,58,49,110,18,8,29,4,3,13,0,0,0,165,157,320,64,75,139
POA6450,6730,6669,13397,462,405,865,964,929,1898,469,427,898,373,313,684,738,788,1525,798,846,1650,1019,948,1967,847,844,1689,654,645,1295,310,367,678,93,157,251,6095,6155,12250,633,510,1147,257,256,509,6,0,5,0,0,0,262,258,521,5068,4994,10058,779,897,1673,5737,5721,11463,189,247,438,5592,5574,11166,66,79,142,841,798,1635,277,270,543,27,37,63,51,163,216,1745,2119,3857,657,717,1372,1494,1282,2776,367,286,652,232,183,419,19,12,23,5559,5673,11232,1090,960,2052
POA6452,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,23
POA6460,373,382,752,19,28,49,51,53,103,15,12,31,13,5,21,42,48,83,44,38,86,41,41,87,57,57,118,53,49,99,32,31,59,14,20,32,352,361,709,22,26,41,16,23,34,0,0,0,0,0,0,16,23,34,284,298,578,40,39,80,320,339,654,9,3,17,309,330,648,7,10,13,41,41,84,7,5,6,0,3,3,3,9,10,100,111,214,21,34,55,85,70,155,28,27,53,22,28,47,0,0,0,314,323,639,54,52,102
POA6461,263,267,533,27,26,52,27,37,61,13,8,21,6,10,19,23,28,51,40,32,70,44,24,67,33,47,76,38,30,69,12,20,29,0,3,10,245,256,498,23,12,33,10,9,16,0,0,0,0,0,0,10,9,16,220,219,441,20,25,48,238,239,471,3,3,10,240,235,481,3,3,11,27,26,52,3,4,9,0,3,3,0,5,6,77,72,151,17,28,45,62,76,137,18,4,23,9,6,11,0,0,0,241,241,483,17,15,39
POA6462,70,62,128,3,8,12,15,11,26,3,0,8,0,3,6,7,8,10,7,5,14,6,7,20,11,9,14,10,4,12,4,0,5,0,0,0,68,56,124,0,8,6,5,3,9,0,0,0,0,0,0,5,3,9,58,51,109,3,7,13,68,53,118,0,0,0,65,56,116,3,0,5,15,11,26,0,0,0,0,0,0,0,0,0,21,19,42,7,6,11,14,12,22,3,0,3,3,0,5,0,0,0,62,53,121,5,4,13
POA6463,8,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,3,3,4,0,4,0,0,0,9,6,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,18,0,0,0,11,6,14,0,0,0,11,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,6,15,0,0,0
POA6465,18,15,28,0,0,0,3,3,6,0,0,0,0,0,0,4,3,3,0,0,3,5,3,5,6,0,7,3,3,9,0,0,0,0,0,0,13,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,27,0,0,0,18,9,26,0,0,0,18,15,28,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,7,8,15,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,13,16,30,0,0,0
