POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6572,33,27,57,0,0,4,9,4,7,0,0,0,0,0,3,4,0,4,0,3,3,6,6,14,9,5,14,3,0,8,0,0,0,0,0,0,32,27,55,3,0,3,3,4,7,0,0,0,0,0,0,3,4,7,27,13,42,3,9,13,29,22,57,0,0,0,31,20,53,0,0,0,9,4,7,0,0,0,0,0,0,0,0,0,7,7,12,3,3,7,6,8,16,3,3,3,3,0,3,0,0,0,29,27,54,0,0,0
POA6574,45,39,84,0,6,6,12,12,18,0,0,0,0,0,3,3,0,8,11,8,17,13,10,22,3,5,4,3,0,3,0,0,0,0,0,0,41,36,72,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,31,36,65,3,3,9,34,35,74,0,0,0,34,37,67,0,0,0,5,6,13,0,0,0,0,0,0,0,0,0,17,18,34,3,3,4,4,5,8,0,0,0,0,0,0,0,0,0,33,32,67,9,3,11
POA6575,85,56,141,11,4,11,15,10,25,3,0,3,5,3,6,8,5,12,14,10,28,11,14,22,11,11,20,6,4,9,3,3,3,0,0,0,76,52,131,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,68,40,105,9,3,9,73,49,121,0,0,0,64,45,113,0,0,0,17,7,24,3,0,3,0,0,0,0,4,4,20,25,46,5,3,17,16,11,26,4,0,4,0,0,4,0,0,0,72,43,116,6,11,17
POA6603,586,524,1111,36,36,74,88,75,164,25,17,40,31,21,49,77,75,147,77,77,151,73,69,142,90,80,172,62,49,112,20,15,35,10,15,26,545,496,1038,43,33,67,43,41,79,0,0,0,0,0,0,43,41,79,475,444,921,91,61,150,530,486,1017,31,21,56,517,473,994,4,6,11,83,72,156,9,14,21,0,3,3,4,20,23,184,180,363,50,43,93,143,123,267,31,28,56,15,20,37,0,0,0,542,488,1033,36,34,71
POA6605,26,15,40,5,0,5,0,8,12,0,0,0,3,0,3,3,3,8,5,3,7,3,3,8,7,0,9,0,0,3,0,0,0,0,0,0,19,15,40,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,11,35,4,3,6,26,15,40,0,0,0,18,17,39,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,14,7,15,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,19,15,40,0,0,0
POA6606,97,71,168,5,4,5,7,14,20,3,0,3,6,0,9,8,9,16,11,11,17,24,13,32,16,11,24,16,6,23,6,3,9,0,0,0,87,67,158,4,7,13,0,0,3,0,0,0,0,0,0,0,0,3,78,61,137,7,5,13,93,75,166,0,0,0,87,68,152,0,0,0,7,11,17,3,0,3,0,0,0,0,0,0,29,27,57,10,9,15,25,17,38,9,0,8,5,0,8,0,0,0,88,73,160,5,0,8
POA6608,74,55,135,7,3,8,10,15,24,0,0,5,3,0,4,3,8,14,11,6,15,13,10,20,10,7,21,10,3,11,3,0,3,0,0,0,70,55,130,6,0,3,6,11,14,0,0,0,0,0,0,6,11,14,60,42,103,5,11,17,67,49,120,0,4,4,66,46,111,0,0,0,10,15,24,0,0,0,0,0,0,0,0,0,25,14,41,9,3,13,14,15,25,0,3,3,3,3,9,0,0,0,67,57,126,6,4,10
POA6609,434,392,822,36,22,52,57,50,102,25,16,34,31,34,59,76,66,144,56,45,106,53,51,104,60,45,101,28,28,57,21,17,35,4,15,18,413,367,780,16,29,46,25,15,36,0,0,0,0,0,0,25,15,36,300,258,554,95,98,194,342,301,635,58,65,122,322,294,618,4,6,11,42,43,81,10,6,22,4,0,5,8,11,15,164,163,331,37,26,61,90,70,163,15,4,22,14,23,35,0,0,0,392,349,737,54,56,106
POA6612,133,94,224,11,8,13,16,16,32,0,0,0,4,3,8,21,15,34,24,12,35,8,8,15,23,14,34,14,9,24,8,10,15,3,3,10,104,84,188,26,13,31,8,10,16,0,0,0,0,0,0,8,10,16,102,67,170,6,7,12,106,77,176,3,3,8,108,75,176,0,3,3,12,12,30,0,0,0,0,0,0,0,0,0,44,22,63,10,8,19,18,23,39,6,0,7,8,3,11,0,0,0,83,64,153,80,39,113
POA6613,36,23,62,3,0,3,5,0,7,0,0,0,0,0,0,3,3,6,4,3,8,3,3,8,6,3,17,0,0,4,0,0,3,0,3,5,30,18,49,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,24,20,40,4,3,3,27,20,42,0,0,3,26,16,47,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,12,12,25,3,0,3,4,4,7,4,0,4,3,0,3,0,0,0,28,21,47,9,3,7
POA6614,9,10,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,7,4,5,3,0,6,0,0,0,0,0,0,13,3,16,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,0,5,5,9,4,18,0,0,0,9,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,3,3,4,3,5,0,0,0,0,0,0,0,0,0,9,4,18,0,0,0
POA6616,28,28,56,0,0,5,3,3,6,4,0,6,0,0,3,3,0,4,3,3,6,5,6,11,3,3,6,7,6,11,0,0,0,0,0,0,27,21,50,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,28,26,50,3,0,3,27,23,48,0,3,3,30,26,51,0,0,0,3,3,6,4,0,4,0,0,0,0,0,0,10,9,15,3,3,3,11,7,17,4,0,3,0,0,4,0,0,0,28,24,59,0,0,0
POA6620,331,169,498,11,12,26,22,24,40,10,9,15,18,4,18,82,28,110,52,24,75,60,31,89,57,25,80,16,10,25,6,3,14,3,3,3,316,161,472,15,12,26,21,18,39,0,0,0,0,0,0,21,18,39,225,130,361,49,21,76,267,146,422,18,5,23,255,135,391,4,0,3,19,20,32,3,0,3,7,0,5,5,10,10,113,58,172,33,21,54,81,31,110,15,9,22,3,0,4,4,3,4,148,134,285,491,81,574
POA6623,358,319,674,23,28,51,54,44,96,46,20,65,15,18,29,28,39,67,38,34,68,42,38,83,56,53,111,26,21,42,22,18,42,5,4,15,335,297,631,22,16,42,54,43,98,0,0,0,0,0,0,55,43,96,286,247,533,34,30,68,325,277,597,7,8,17,315,269,583,4,3,6,45,37,86,34,14,48,0,3,3,0,4,6,93,109,203,38,33,70,81,44,123,20,9,30,19,9,23,0,0,0,292,274,564,101,65,168
POA6625,28,27,49,0,0,3,4,4,7,0,3,5,0,0,0,4,3,9,3,3,10,5,3,14,0,4,3,0,3,3,0,0,0,3,0,3,25,22,50,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,20,15,38,3,3,3,24,24,45,0,0,0,22,24,42,0,0,0,4,4,7,0,3,3,0,0,0,0,0,0,9,12,23,3,0,4,0,0,7,4,0,4,4,0,4,0,0,0,20,20,43,6,3,6
POA6627,36,25,69,0,0,0,9,3,15,3,0,5,3,0,5,3,7,7,0,3,6,5,5,9,5,3,4,3,4,8,0,0,0,0,0,0,39,22,59,3,4,4,19,9,27,0,0,0,0,0,0,19,9,27,39,23,62,0,3,3,36,17,58,3,3,7,36,26,67,0,0,0,9,3,15,3,0,4,0,0,0,0,4,4,13,15,28,0,0,0,9,9,15,0,0,0,0,0,0,0,0,0,39,22,61,0,0,0
POA6628,16,12,34,0,3,3,0,3,4,0,0,0,0,0,0,0,0,3,3,0,5,8,6,15,0,0,3,0,0,0,0,0,0,0,0,0,15,12,31,0,0,0,6,7,9,0,0,0,0,0,0,6,7,9,13,14,26,0,3,4,18,13,32,0,0,0,18,16,32,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,8,0,0,4,4,5,6,4,0,3,3,3,8,0,0,0,14,14,31,8,9,15
POA6630,329,287,622,31,22,52,49,43,97,7,5,14,13,18,27,39,43,80,26,37,68,68,54,118,41,39,84,28,16,41,17,12,29,4,3,7,304,265,570,31,21,53,73,88,162,0,0,0,0,0,0,73,88,162,243,210,453,29,31,55,263,241,502,8,12,26,261,232,496,3,5,11,33,40,72,6,0,3,0,0,0,3,6,10,68,73,136,15,35,53,69,56,122,14,5,22,33,16,42,0,0,0,255,249,508,162,98,264
POA6631,18,13,30,0,0,0,3,0,3,0,3,3,0,0,0,0,0,3,0,0,3,3,0,5,6,0,7,0,4,6,3,0,3,0,0,0,18,7,30,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27,3,0,3,15,13,29,0,0,0,15,13,29,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,4,5,6,0,0,0,7,8,10,0,0,0,3,0,3,0,0,0,15,10,25,0,0,3
POA6632,36,29,69,4,3,5,14,9,20,0,0,5,0,0,0,0,3,6,10,6,12,6,3,8,0,3,0,6,0,3,0,0,3,0,0,0,38,32,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,59,4,0,8,35,27,59,0,0,3,35,24,58,0,0,0,9,3,15,0,0,0,0,0,0,0,3,3,16,19,28,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,34,28,63,0,0,4
POA6635,217,130,344,4,7,9,18,14,28,15,12,23,20,8,30,52,21,72,31,18,46,44,21,70,28,23,50,4,3,12,0,0,3,0,0,0,199,116,314,16,10,27,55,66,117,0,0,0,0,0,0,57,62,120,129,94,221,44,11,55,157,98,252,17,8,20,142,99,241,0,0,0,13,12,22,5,5,9,0,0,0,7,0,7,70,39,104,22,14,37,44,27,72,7,4,10,0,0,6,3,0,7,73,82,155,511,95,608
POA6638,262,216,482,14,19,26,41,22,62,16,13,26,6,10,21,32,23,60,26,34,65,45,29,69,43,37,78,41,26,69,7,5,12,0,3,3,246,203,450,20,21,36,54,52,105,0,0,0,0,0,0,54,52,105,164,130,297,30,35,60,188,156,340,11,8,17,177,143,323,0,3,3,28,16,48,3,6,12,0,0,0,0,3,3,48,51,98,9,16,28,56,36,95,21,19,38,14,6,14,0,0,3,185,154,340,226,124,354
POA6639,53,34,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,7,9,20,15,12,28,17,9,23,3,0,6,0,0,0,48,29,77,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,35,26,65,6,4,11,43,24,75,0,0,5,43,27,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,21,8,3,8,24,12,33,4,0,8,6,0,3,0,0,0,56,42,107,33,6,41
POA6640,116,89,196,3,11,15,8,3,15,4,5,9,6,5,6,15,10,25,12,3,15,12,7,19,25,27,52,28,7,29,3,7,10,0,0,0,105,77,183,8,5,13,20,14,38,0,0,0,0,0,0,20,14,38,64,50,113,18,18,33,79,67,146,3,0,5,73,60,135,0,0,0,11,0,9,0,0,0,0,0,0,3,0,3,26,24,54,3,4,9,23,20,43,4,4,7,9,0,9,0,0,0,75,63,140,157,93,255
POA6642,632,434,1067,40,28,67,66,54,117,17,39,53,33,20,52,149,76,230,104,64,172,85,60,148,76,61,138,43,32,70,8,3,12,3,3,10,591,389,980,47,47,86,154,164,319,0,0,0,0,5,5,155,171,325,398,269,667,97,52,150,448,304,748,52,34,85,456,311,772,3,3,7,43,34,77,5,8,9,3,0,3,8,7,15,161,106,268,45,26,75,132,87,216,27,14,43,17,16,36,0,0,0,309,296,603,946,280,1223
POA6646,510,237,742,24,10,36,26,24,47,26,9,30,33,17,47,142,57,203,101,45,145,80,33,109,46,29,78,25,5,33,3,5,7,0,0,0,488,216,700,24,17,39,100,110,211,4,0,7,3,0,8,108,113,223,288,169,456,123,36,163,287,93,383,113,107,220,343,186,535,3,0,6,18,24,45,4,3,13,3,6,7,4,10,15,151,66,218,58,25,81,89,44,139,21,16,39,30,20,52,4,0,7,157,149,305,990,193,1190
POA6701,2899,2650,5544,192,148,343,421,365,790,134,132,262,146,164,302,366,395,762,349,363,710,440,416,848,434,316,752,266,225,490,121,94,210,32,35,69,2667,2467,5129,237,180,413,477,508,981,0,0,3,3,3,11,481,514,994,1922,1704,3627,461,498,960,2082,1891,3978,351,353,697,2258,2025,4278,32,23,53,329,283,605,50,57,101,4,12,24,24,64,90,689,772,1464,236,253,490,600,500,1102,167,103,268,157,109,261,21,20,38,2328,2204,4531,2036,1710,3750
POA6705,158,119,278,15,11,29,21,30,50,19,10,22,12,16,24,28,21,54,17,10,23,16,9,29,15,9,28,14,3,17,3,0,3,0,0,0,158,116,274,3,6,7,87,72,164,0,0,0,0,0,0,87,72,164,131,103,225,13,8,20,126,103,226,10,8,17,135,106,242,8,6,9,17,21,38,6,8,9,0,0,0,4,3,5,20,25,46,22,16,33,33,21,59,10,3,14,5,0,7,0,0,0,111,96,203,138,82,214
POA6707,1420,1290,2713,101,97,201,195,161,359,70,62,126,66,61,125,197,212,412,217,237,455,224,178,399,174,148,324,139,97,239,43,23,60,3,6,11,1272,1172,2444,149,118,266,35,20,56,3,0,3,0,0,0,38,20,55,1054,937,1993,217,225,441,1237,1107,2343,58,71,129,1186,1072,2264,17,16,31,169,142,312,39,43,81,3,4,6,15,46,57,422,503,924,137,125,264,333,224,562,74,50,120,31,17,52,0,0,3,1245,1159,2406,1243,1127,2367
POA6710,3235,766,4002,23,19,47,48,44,95,16,17,32,122,48,173,884,221,1099,860,113,972,777,138,917,435,129,560,55,25,84,11,8,19,0,0,3,3148,725,3870,91,41,127,124,103,227,7,3,8,5,0,3,133,109,242,1386,424,1816,1104,194,1296,2040,547,2584,460,88,545,1862,522,2379,7,5,10,40,39,82,9,7,12,4,8,12,86,42,127,1282,288,1572,347,87,433,659,155,809,67,18,83,36,9,43,8,3,16,381,344,727,6368,902,7275
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14
POA6712,1811,151,1965,0,0,0,0,0,0,0,0,0,57,7,69,595,56,656,556,28,590,391,33,428,185,18,202,23,0,24,0,0,0,0,0,0,1687,139,1823,126,12,139,23,3,26,0,0,3,3,0,3,26,4,30,716,66,782,737,58,793,1175,110,1281,277,22,299,1066,98,1160,0,0,0,0,0,0,0,0,0,5,0,5,56,3,59,785,89,871,220,19,234,372,18,390,32,4,35,16,0,14,13,0,13,0,0,3,5136,461,5597
POA6713,591,509,1104,49,37,89,130,104,232,30,25,53,13,22,35,60,76,137,108,104,209,120,111,230,55,26,82,18,11,28,8,3,6,0,3,5,560,483,1038,31,31,62,10,16,28,0,0,0,4,3,3,16,20,32,470,380,854,69,86,159,532,447,976,10,22,34,520,436,958,15,6,21,111,97,206,17,20,35,0,0,0,6,17,20,166,199,369,71,51,120,123,71,193,15,11,24,5,3,9,0,0,0,531,466,998,115,61,173
POA6714,9325,7507,16829,816,804,1616,1346,1177,2526,459,367,828,532,498,1027,2061,1704,3765,1813,1344,3158,1326,956,2278,765,491,1256,185,126,308,28,22,52,11,3,9,8687,7187,15871,637,317,960,731,752,1486,43,37,76,31,32,59,799,826,1621,5840,4930,10774,2128,1690,3822,6886,5674,12562,1150,1007,2156,6737,5631,12369,155,137,293,1143,1015,2157,267,236,500,26,61,86,176,301,482,3052,2933,5984,928,609,1532,1611,1003,2614,256,164,420,95,67,164,15,10,26,7135,6644,13781,4418,1420,5841
POA6716,406,345,751,48,30,77,59,67,124,4,6,14,9,26,35,77,84,163,85,51,137,84,47,131,43,31,68,0,3,10,0,0,3,0,0,0,389,321,704,23,25,46,47,43,88,3,0,3,3,0,5,59,41,99,306,245,553,64,70,135,342,288,634,39,33,69,341,284,622,11,5,16,51,61,111,0,0,4,0,0,0,9,15,24,102,123,229,56,27,90,80,61,142,24,8,32,6,4,12,0,0,0,310,290,607,372,150,520
POA6718,585,429,1010,27,30,61,67,59,124,45,36,75,67,29,101,115,65,177,92,64,157,77,57,136,44,51,95,33,20,53,9,14,18,3,4,7,559,398,957,29,24,55,415,317,731,0,0,0,10,3,8,422,320,742,503,358,862,28,21,51,204,191,391,172,179,351,376,369,739,3,13,13,61,54,116,19,15,30,0,3,3,6,0,7,44,57,101,36,38,70,87,86,172,42,47,86,47,33,76,6,8,8,360,358,722,267,89,362
POA6720,1438,1087,2528,148,119,266,217,176,389,76,60,138,91,66,156,270,241,504,263,192,455,220,141,366,127,72,201,28,13,42,4,3,4,0,0,0,1373,1037,2413,66,51,116,201,177,376,14,11,27,3,0,7,218,184,406,1024,793,1815,180,211,394,1134,917,2051,76,102,183,1120,892,2013,35,30,59,199,155,357,43,40,77,6,8,9,16,39,58,353,383,737,161,124,288,270,171,442,42,29,68,23,15,31,6,0,8,1200,1030,2229,651,203,853
POA6721,2490,2028,4512,183,188,365,289,287,571,79,82,158,107,121,228,529,515,1047,512,352,859,416,258,674,268,166,435,76,57,134,27,12,37,4,0,4,2301,1893,4191,189,133,321,142,147,288,3,3,10,5,5,7,146,157,305,1582,1280,2855,537,456,998,1892,1513,3405,249,244,493,1878,1500,3374,29,39,71,240,248,489,40,54,97,7,18,25,63,108,165,840,831,1676,271,166,438,443,249,688,85,51,129,31,12,41,3,0,3,1814,1678,3499,2109,748,2862
POA6722,5173,4672,9848,518,471,994,763,686,1456,245,266,506,309,341,652,1132,1068,2205,820,718,1542,743,626,1367,469,323,798,134,109,235,34,36,70,9,19,31,4852,4417,9270,323,255,576,853,906,1763,70,38,107,62,57,117,983,1010,1988,3270,2885,6159,989,964,1954,3581,3149,6729,732,760,1499,3691,3262,6952,68,62,134,601,544,1143,132,147,279,20,43,62,92,204,295,1378,1497,2876,518,413,928,955,692,1648,165,137,304,89,93,182,19,46,65,4045,3844,7885,2016,1077,3092
POA6725,5443,5352,10795,451,437,891,841,837,1680,310,255,568,305,330,636,941,1034,1978,837,880,1708,717,703,1420,650,564,1219,281,218,498,91,62,159,20,28,45,5045,5020,10067,394,333,729,1633,1669,3296,23,18,37,60,92,153,1711,1774,3485,4044,3916,7962,721,805,1526,4010,3969,7983,665,752,1419,4368,4344,8717,74,74,155,688,703,1389,163,128,292,19,36,58,94,242,333,1585,1961,3549,484,465,946,983,717,1701,192,149,342,147,143,291,23,20,47,4548,4685,9236,2589,2461,5049
POA6726,2682,2751,5436,225,194,418,446,443,895,169,128,297,117,125,248,407,489,893,414,471,889,402,404,802,303,333,634,159,117,281,37,42,74,8,5,9,2466,2574,5042,218,177,398,472,543,1016,8,3,12,29,32,62,508,582,1083,1916,1923,3840,436,447,887,2150,2184,4337,232,225,457,2126,2169,4294,34,34,67,378,368,744,104,76,181,11,14,26,69,131,199,883,1066,1946,226,235,461,455,377,832,99,66,163,42,38,80,6,7,14,2375,2425,4796,1834,1899,3734
POA6728,3039,2905,5946,294,240,538,502,508,1011,205,170,376,223,223,450,503,522,1027,425,404,823,358,370,728,324,309,636,159,100,256,41,41,81,9,12,29,2812,2683,5497,233,224,456,1845,1813,3650,3,7,10,46,42,87,1890,1867,3752,2557,2445,5001,251,229,478,1609,1555,3166,1006,1041,2050,2534,2533,5062,56,49,101,406,423,829,75,71,148,13,13,27,48,75,117,616,742,1356,248,309,563,575,495,1068,165,119,283,128,89,216,56,58,113,2540,2591,5123,1183,956,2141
POA6731,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
POA6740,595,692,1289,45,66,109,104,114,224,34,58,89,49,55,102,81,107,191,82,87,166,71,96,165,55,58,115,52,35,87,13,12,23,0,5,4,545,635,1183,47,55,106,361,450,814,0,0,0,7,3,7,371,452,820,483,554,1034,34,29,68,477,543,1017,42,46,93,503,583,1087,8,9,12,76,97,177,17,18,36,0,0,4,10,13,21,112,148,264,41,55,101,120,135,254,46,47,90,34,35,65,4,8,10,531,614,1143,369,406,766
POA6743,3120,3116,6232,280,259,539,420,437,862,179,171,348,248,202,447,517,604,1114,428,486,914,453,457,913,393,345,739,161,114,273,42,30,67,3,11,16,2820,2837,5664,295,272,569,801,980,1782,8,11,19,15,5,22,827,998,1825,2316,2279,4589,411,469,881,2299,2278,4575,441,493,933,2510,2499,5005,44,48,90,344,353,700,79,72,152,20,21,44,52,128,178,903,1080,1985,242,282,523,617,460,1075,122,112,235,145,82,225,38,64,102,2564,2657,5221,1911,1615,3524
POA6751,3184,1741,4927,221,187,410,284,277,559,90,52,145,120,94,217,847,439,1285,737,333,1065,539,204,741,296,125,424,51,19,73,5,3,9,0,3,0,2927,1597,4524,256,147,404,275,183,461,17,31,45,16,17,28,307,224,529,1997,1199,3195,680,334,1011,2393,1375,3767,311,186,490,2296,1322,3625,40,33,80,252,240,499,58,24,82,11,6,21,71,64,143,1053,617,1667,366,172,538,631,242,873,100,37,131,29,13,44,12,3,19,1462,1288,2747,4436,1231,5666
POA6753,4589,2648,7238,280,234,516,395,406,801,111,130,240,264,206,473,1275,667,1946,1050,429,1477,748,358,1104,407,177,586,54,27,85,7,9,13,0,3,4,4259,2469,6728,331,178,510,510,466,980,23,17,38,15,3,16,548,491,1039,2507,1679,4185,942,546,1489,2859,1763,4626,604,483,1090,2929,1888,4820,39,44,79,333,345,672,61,69,133,15,18,40,110,102,216,1334,892,2219,493,238,728,815,392,1207,101,57,159,50,32,85,8,3,15,1969,1913,3879,6940,1493,8435
POA6754,786,602,1380,82,75,165,133,112,249,33,27,52,31,33,63,142,112,251,162,133,302,128,59,188,55,40,92,10,4,14,0,0,0,0,0,0,715,556,1274,68,40,110,67,52,120,8,0,9,0,0,0,76,54,124,535,441,976,123,105,222,622,506,1131,40,45,82,590,482,1075,14,18,34,123,99,219,21,15,38,3,6,9,17,23,41,192,202,392,83,57,137,154,75,232,21,11,31,6,7,9,0,0,3,603,541,1143,476,114,591
POA6758,1364,337,1701,3,10,12,7,18,29,16,9,22,86,23,110,464,107,571,358,58,417,265,70,341,140,36,178,15,11,25,0,0,0,0,0,0,1315,315,1635,45,19,66,198,110,314,3,0,4,3,3,10,208,120,321,829,226,1063,347,60,411,1016,213,1230,164,77,242,993,245,1238,0,0,0,7,15,24,4,0,6,3,0,3,36,18,56,539,143,677,223,32,253,325,66,393,41,11,47,15,3,19,0,4,6,69,67,139,2042,415,2454
POA6760,377,258,634,16,24,41,51,47,99,16,11,30,28,22,45,83,54,136,58,26,86,46,31,77,49,20,70,24,16,43,5,3,10,0,0,3,345,246,591,27,11,44,164,157,326,0,0,0,3,3,6,164,162,331,293,221,518,36,16,58,215,116,331,108,102,207,317,224,542,5,0,3,42,35,80,7,6,18,0,0,3,3,4,9,89,57,144,41,20,64,68,45,118,18,17,40,14,11,20,7,3,15,235,223,452,458,122,580
POA6762,676,197,875,23,8,25,37,22,64,15,11,28,25,19,42,213,59,275,163,27,188,122,21,146,62,19,86,12,7,24,0,0,3,0,0,0,626,173,804,45,24,72,137,131,272,0,0,3,0,0,0,143,130,271,402,169,567,147,13,163,369,55,421,174,122,300,471,177,649,3,0,3,36,22,59,4,10,12,0,0,0,13,9,20,236,50,282,61,12,69,136,36,173,17,11,29,13,17,33,3,6,14,138,122,258,1022,113,1135
POA6765,848,903,1757,91,92,188,124,122,253,72,56,130,65,76,145,162,180,347,95,127,227,106,121,221,74,74,147,36,37,71,10,13,20,7,5,9,804,827,1630,47,80,122,577,621,1198,0,0,0,0,6,5,584,624,1205,709,726,1439,60,82,141,288,270,564,470,523,995,730,761,1491,9,16,19,101,105,208,15,17,34,7,0,3,14,16,31,179,234,410,65,82,146,154,160,314,50,38,91,50,28,78,31,16,48,719,747,1464,372,415,796
