region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
POA6720,918,711,1629,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,89,57,146,9,12,21,0,4,4,3,3,6,11,5,16,0,0,0,0,0,0,4,0,4,0,0,0,47,24,71,3,3,6,4,0,4,181,24,205,263,144,407,1557,993,2550
POA6721,1788,1237,3025,3,0,3,0,0,0,0,0,0,5,0,5,7,5,12,3,0,3,3,0,3,3,3,6,15,7,22,4,0,4,3,0,3,17,11,28,9,4,13,0,4,4,20,11,31,4,0,4,0,0,0,0,4,4,3,0,3,16,11,27,0,0,0,8,3,11,207,100,307,26,30,56,0,5,5,3,5,8,31,30,61,3,0,3,4,5,9,3,14,17,0,0,0,148,75,223,13,10,23,3,0,3,88,66,154,773,344,1117,3213,1984,5197
POA6722,3644,2898,6542,3,0,3,0,0,0,10,10,20,8,9,17,7,5,12,6,0,6,12,4,16,7,0,7,8,15,23,4,0,4,0,3,3,49,32,81,15,21,36,0,0,0,20,14,34,5,0,5,3,0,3,6,7,13,6,3,9,21,16,37,0,0,0,5,3,8,334,207,541,40,53,93,4,0,4,17,23,40,50,51,101,4,0,4,9,12,21,5,32,37,0,0,0,204,127,331,7,12,19,4,3,7,113,95,208,1335,924,2259,5965,4579,10544
POA6725,3882,3721,7603,0,0,0,0,0,0,6,13,19,0,7,7,4,4,8,4,0,4,0,0,0,0,0,0,21,26,47,0,0,0,8,3,11,26,11,37,11,11,22,0,0,0,21,10,31,4,3,7,3,7,10,16,16,32,0,0,0,5,8,13,0,0,0,14,9,23,119,85,204,46,46,92,0,0,0,6,3,9,27,17,44,4,0,4,5,0,5,5,31,36,0,0,0,194,175,369,7,4,11,0,0,0,180,96,276,518,415,933,5136,4721,9857
POA6726,1904,1989,3893,0,0,0,0,0,0,6,6,12,3,0,3,0,3,3,0,3,3,0,0,0,3,0,3,18,18,36,0,0,0,0,0,0,15,4,19,3,11,14,0,0,0,6,8,14,3,11,14,3,7,10,4,3,7,0,0,0,3,6,9,0,3,3,3,9,12,65,36,101,18,25,43,4,0,4,0,6,6,18,18,36,0,0,0,0,0,0,0,12,12,0,0,0,123,130,253,7,7,14,0,3,3,37,40,77,290,263,553,2536,2621,5157
POA6728,2202,2171,4373,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,0,0,0,3,0,3,0,0,0,3,10,13,0,0,0,0,3,3,7,8,15,3,0,3,22,0,22,8,3,11,4,0,4,0,0,0,3,0,3,0,0,0,0,5,5,3,0,3,0,0,0,70,39,109,0,6,6,3,0,3,4,0,4,3,9,12,0,0,0,108,0,108,3,6,9,3,0,3,59,37,96,7,3,10,3,0,3,1239,32,1271,451,344,795,4214,2680,6894
POA6740,735,756,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,5,7,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,7,0,0,0,22,21,43,0,0,0,0,0,0,5,0,5,87,86,173,870,885,1755
POA6743,2572,2324,4896,0,3,3,0,0,0,3,8,11,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,19,26,45,0,0,0,0,8,8,11,5,16,0,0,0,0,0,0,16,10,26,3,3,6,7,12,19,24,23,47,0,0,0,7,11,18,3,0,3,9,5,14,73,62,135,12,17,29,0,3,3,0,0,0,21,14,35,3,4,7,6,0,6,0,7,7,0,0,0,109,128,237,12,17,29,15,13,28,60,66,126,358,227,585,3347,2999,6346
POA6751,2249,1435,3684,0,0,0,0,0,0,3,3,6,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,7,7,14,0,0,0,0,0,0,14,5,19,8,9,17,0,0,0,23,3,26,4,3,7,4,0,4,0,0,0,0,0,0,10,4,14,0,0,0,7,5,12,275,130,405,11,19,30,4,0,4,5,0,5,35,10,45,0,0,0,4,0,4,3,12,15,0,0,0,153,64,217,4,6,10,0,0,0,90,25,115,636,162,798,3558,1902,5460
POA6753,3420,1939,5359,0,0,0,3,0,3,9,8,17,7,5,12,11,4,15,3,0,3,3,8,11,6,3,9,15,6,21,0,0,0,0,0,0,45,12,57,10,9,19,0,0,0,43,22,65,9,0,9,0,3,3,0,0,0,3,3,6,14,10,24,0,3,3,7,8,15,435,207,642,46,51,97,7,3,10,7,3,10,54,38,92,5,3,8,4,0,4,8,42,50,3,0,3,283,89,372,4,7,11,3,3,6,211,90,301,1357,474,1831,6035,3053,9088
POA6754,598,513,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,0,0,5,4,9,3,7,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,62,34,96,5,5,10,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,3,4,7,0,0,0,44,22,66,0,3,3,0,0,0,18,16,34,79,53,132,838,671,1509
POA6758,67,82,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,3,3,4,3,7,83,94,177
POA6760,224,229,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,15,12,27,257,254,511
POA6762,587,211,798,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,98,23,121,5,3,8,0,0,0,3,0,3,16,0,16,3,0,3,0,0,0,0,0,0,0,0,0,50,3,53,3,0,3,3,0,3,26,3,29,97,14,111,915,263,1178
POA6765,669,692,1361,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,20,11,31,0,0,0,0,0,0,9,13,22,29,26,55,746,773,1519
POA6770,1522,1518,3040,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,3,3,4,3,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,15,17,32,0,3,3,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28,0,0,0,3,0,3,10,8,18,73,28,101,1653,1611,3264
POA6907,217,240,457,0,0,0,0,0,0,3,3,6,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,8,12,8,4,12,3,3,6,3,0,3,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,30,33,63,0,0,0,0,4,4,3,3,6,0,3,3,0,0,0,69,78,147,17,13,30,0,0,0,3,3,6,0,0,0,0,0,0,19,14,33,6,10,16,5,3,8,47,48,95,21,16,37,481,495,976
