POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA6012,8,18,11,9,19,10,5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,30,26,47,21,6,183,0,0,0,0,0,0,0,7,0,3,4,0,3,0,0,10,0,6,6,0,4,0,0,13,13,38,34,30,49,24,13,200,10,10,9,12,16,0,3,60,0,0,0,0,0,0,0,0,26,49,42,38,63,23,13,264
POA6014,19,56,30,25,40,15,8,195,0,10,0,0,3,0,0,11,0,0,0,0,0,0,0,0,25,99,58,53,89,37,17,384,0,7,0,0,0,3,0,15,3,5,3,0,3,0,0,15,0,13,3,3,8,3,0,24,32,113,59,57,97,35,17,411,18,22,15,13,18,13,14,118,0,0,0,0,0,0,0,0,52,133,74,69,106,56,31,522
POA6015,3,6,3,3,7,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,18,16,23,13,10,113,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,25,18,16,23,13,10,114,0,11,12,7,9,3,4,47,0,0,0,0,0,0,0,0,18,39,33,21,33,15,17,168
POA6016,10,30,19,8,20,7,8,101,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,23,46,41,27,34,17,14,195,5,3,0,0,0,0,0,12,3,9,5,0,0,0,0,23,7,11,9,3,0,3,0,29,29,55,44,30,36,20,14,233,11,13,10,5,6,0,0,54,0,0,0,0,0,0,0,0,47,68,58,33,42,18,16,284
POA6017,6,9,4,4,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,10,5,6,5,3,50,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,9,14,19,9,10,5,3,4,64,18,7,3,3,0,0,0,30,0,0,0,0,0,0,0,0,30,29,15,10,5,3,7,91
POA6018,43,94,85,49,76,20,17,386,6,4,3,3,3,3,3,23,3,0,3,3,0,0,0,10,72,168,153,100,192,81,60,825,3,10,10,8,5,8,3,44,7,16,12,3,5,0,0,43,11,29,19,7,13,8,5,86,78,200,171,105,207,82,64,913,58,69,45,41,40,23,11,290,3,3,4,0,0,0,0,13,145,277,226,152,245,107,77,1215
POA6019,33,73,37,33,37,21,13,240,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,49,124,78,72,86,60,30,503,3,0,4,0,4,3,0,18,5,3,5,0,0,0,0,14,6,7,10,3,3,0,0,39,53,135,89,74,96,62,34,539,31,41,20,20,19,3,5,134,0,0,0,0,0,0,0,5,82,175,116,95,108,63,35,677
POA6020,20,54,38,30,45,15,6,209,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,7,33,93,68,55,93,30,28,400,0,3,3,0,3,0,0,13,4,4,0,0,5,0,0,12,4,8,3,3,3,0,0,26,41,104,67,62,100,29,28,431,29,21,29,16,10,4,0,103,0,0,0,0,0,0,0,0,65,123,99,75,108,33,28,539
POA6021,33,49,31,22,41,18,9,200,0,0,0,0,3,3,0,10,0,0,0,0,4,0,0,4,44,82,58,40,83,48,30,383,3,7,5,5,9,0,8,36,0,12,6,6,0,0,0,30,3,20,11,12,5,3,6,62,46,101,70,55,85,51,38,444,53,32,20,11,23,16,4,148,0,0,0,0,0,0,0,0,96,135,87,64,109,62,44,596
POA6022,6,28,15,10,11,5,0,79,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,10,45,15,15,31,12,10,147,0,0,3,0,0,0,0,9,0,5,0,0,0,0,0,5,0,4,3,0,0,0,0,10,10,50,24,18,31,12,10,160,11,4,3,3,6,4,0,37,0,0,0,0,0,0,0,0,25,59,23,23,40,21,10,197
POA6023,15,51,29,27,37,10,6,175,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,3,20,81,56,40,82,37,23,346,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,9,20,86,60,46,84,36,23,360,10,25,15,5,4,3,3,66,0,0,0,0,0,0,0,0,32,111,73,49,87,43,27,422
POA6024,15,50,32,18,36,3,7,173,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,4,25,83,53,43,74,20,19,316,3,4,3,0,0,0,0,16,3,4,0,0,0,0,0,11,10,9,3,3,0,0,0,23,28,92,60,45,73,20,19,337,30,31,22,11,11,3,0,111,0,0,0,0,0,0,0,0,60,117,78,57,88,24,24,449
POA6025,41,94,67,52,65,16,9,343,8,9,5,3,3,0,0,30,0,0,0,0,0,0,0,0,65,171,139,97,166,59,33,724,3,11,4,4,0,0,0,22,7,16,8,0,0,0,0,28,8,22,14,3,7,0,0,51,66,189,150,98,176,59,39,774,75,85,60,28,30,10,15,297,0,0,0,0,0,0,0,0,143,272,209,133,205,72,49,1076
POA6026,28,64,41,43,51,19,8,247,3,3,6,0,3,0,0,16,0,0,0,0,0,0,0,0,38,101,94,84,134,47,25,534,3,6,0,4,10,0,0,25,0,8,4,5,10,0,0,29,3,13,7,12,17,0,0,45,40,111,99,97,151,54,25,577,35,35,14,8,15,0,4,118,0,0,0,0,0,3,0,6,81,156,119,107,166,52,30,698
POA6027,44,107,74,57,75,38,11,413,6,8,7,0,3,0,0,25,0,7,5,6,4,3,3,25,81,190,151,135,210,107,46,916,6,13,9,15,13,3,3,58,6,28,15,9,5,3,0,79,14,41,30,26,15,9,4,133,94,232,177,154,223,110,53,1047,108,119,43,38,54,19,6,387,3,0,0,0,0,0,0,3,203,353,222,197,284,129,61,1441
POA6028,32,61,42,36,52,21,10,254,3,3,3,3,0,0,0,15,3,0,0,0,0,0,0,5,54,110,89,71,127,62,23,533,3,4,6,0,0,0,0,16,3,11,3,3,3,0,0,25,5,14,4,5,5,3,0,39,57,121,90,78,135,68,23,576,60,47,29,14,24,11,4,195,0,0,0,0,0,0,0,3,115,175,124,93,155,81,30,769
POA6029,0,3,0,0,3,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,12,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,12,7,0,49,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,12,8,3,14,8,0,51
POA6030,80,179,119,97,118,34,18,639,9,13,4,3,13,3,0,47,4,9,3,0,8,3,0,35,138,294,204,176,279,94,49,1231,9,40,19,18,26,7,3,124,22,40,25,12,13,0,3,118,33,78,43,31,40,10,4,241,168,374,249,207,317,100,57,1469,278,248,126,74,60,20,11,824,6,7,6,6,0,0,0,27,457,623,379,280,381,129,70,2320
POA6031,39,74,44,23,41,15,7,250,3,3,0,0,0,3,0,15,0,5,3,0,0,0,0,14,85,133,83,56,109,32,13,520,9,20,7,8,4,0,0,51,8,14,17,5,6,0,0,49,20,31,26,12,7,0,0,103,107,170,105,64,119,34,15,620,76,82,49,25,33,14,6,288,0,0,5,0,0,0,0,9,179,255,161,92,153,47,21,913
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,11
POA6034,7,10,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,7,0,3,0,0,41,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,6,20,7,0,8,0,0,45,18,6,8,0,3,0,0,35,0,0,0,0,0,0,0,0,29,30,10,4,8,0,0,80
POA6035,19,20,26,16,28,5,0,112,0,0,0,3,0,0,0,11,0,0,0,3,0,0,0,8,41,33,41,26,51,13,3,205,3,8,3,3,0,0,0,15,11,12,7,6,0,0,0,32,12,17,13,6,6,0,0,54,54,47,52,35,54,13,3,255,86,68,34,14,11,6,0,213,0,3,0,0,0,0,0,3,135,123,79,52,67,11,3,476
POA6036,36,79,49,21,45,8,0,243,7,3,3,0,4,0,0,22,0,5,3,0,4,0,0,18,74,153,106,78,118,37,10,580,8,12,7,3,11,4,4,53,8,22,21,11,16,4,3,77,16,34,27,13,26,10,4,129,92,188,139,88,145,43,18,710,127,106,62,31,28,4,9,372,8,4,8,0,0,0,0,18,228,300,201,117,178,53,23,1101
POA6037,9,6,11,6,5,0,0,39,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,11,12,11,11,8,3,69,0,3,0,0,3,0,0,12,3,3,4,0,0,0,0,15,3,6,7,0,3,0,0,24,17,22,20,11,12,4,3,91,19,18,13,3,3,0,0,58,0,0,0,0,0,0,0,0,39,42,27,14,16,4,3,144
POA6038,20,21,12,4,15,6,0,79,3,3,3,0,0,0,0,9,0,0,0,0,0,3,0,3,26,53,20,14,28,16,3,161,0,0,3,4,3,0,0,7,3,10,3,0,0,0,0,17,4,10,6,4,0,0,0,25,33,58,25,18,37,16,4,185,51,28,17,3,0,0,0,105,0,0,0,0,0,0,0,0,85,88,39,19,40,12,4,290
POA6041,0,3,7,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,6,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,10,6,5,3,0,32,7,7,7,3,0,0,0,25,0,0,0,0,0,0,0,0,11,15,13,10,10,3,0,57
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA6044,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,9,3,3,4,3,0,0,0,16,0,0,0,0,0,0,0,0,3,8,6,7,3,0,0,28
POA6050,13,27,16,12,15,9,3,91,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,27,41,27,30,39,21,12,199,0,3,3,0,0,0,3,7,3,4,3,3,0,3,0,15,3,7,3,3,0,5,4,25,33,43,33,32,39,21,19,221,20,14,3,5,11,8,4,55,0,0,0,0,0,0,0,3,47,61,35,37,44,29,22,282
POA6051,11,28,10,14,7,11,3,94,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,33,65,37,27,23,21,12,208,0,0,0,0,0,0,0,6,3,8,3,4,0,0,0,23,6,8,3,3,0,0,3,26,40,77,40,28,24,21,11,239,30,23,7,4,8,5,0,82,0,0,0,0,0,0,0,0,67,100,45,30,33,29,12,325
POA6052,18,32,22,14,21,7,3,124,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,54,43,45,67,29,19,274,4,3,3,0,6,0,0,17,0,8,4,0,3,0,0,18,4,15,5,3,8,0,0,31,21,63,46,49,69,29,20,304,15,18,7,13,9,6,3,72,0,0,0,0,0,0,0,0,42,85,62,62,81,39,18,383
POA6053,6,49,23,18,31,11,5,144,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28,75,45,40,59,29,14,281,0,10,0,3,3,3,0,16,0,3,7,0,3,0,0,17,0,11,6,5,5,3,0,35,28,86,52,37,64,27,14,316,46,23,11,11,15,5,3,111,0,0,0,0,0,0,0,0,67,116,67,48,79,40,13,431
POA6054,37,74,57,21,37,15,12,258,8,0,0,0,5,0,0,17,0,4,4,3,3,0,0,10,73,129,97,57,110,52,24,527,3,13,9,12,7,0,0,37,6,19,13,4,6,0,0,51,10,33,21,16,11,3,0,88,81,158,117,70,118,53,22,620,126,100,53,30,35,6,6,352,5,4,3,0,0,0,0,16,213,259,173,100,151,67,32,991
POA6055,22,62,42,23,40,8,3,208,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,48,111,81,64,83,34,12,425,15,6,5,3,4,5,0,39,10,14,7,3,3,0,0,29,19,18,6,6,7,5,0,63,65,129,88,65,89,36,11,493,84,66,43,16,26,9,3,249,0,0,0,0,0,0,0,0,150,195,128,82,116,46,16,739
POA6056,66,171,106,74,85,23,8,520,8,9,6,4,12,3,0,40,5,7,3,0,0,0,0,15,143,285,210,161,223,64,23,1105,12,19,19,14,23,8,0,92,12,25,27,16,8,0,0,95,28,44,44,26,33,10,0,193,167,336,250,184,256,76,24,1298,250,218,106,74,66,14,9,729,3,16,3,4,0,0,0,25,418,561,361,264,323,90,34,2057
POA6057,26,85,46,24,32,8,7,223,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,42,133,93,54,103,30,14,472,3,11,3,3,3,0,0,32,4,13,9,0,3,0,0,31,4,31,11,6,5,0,0,57,49,167,112,57,107,25,14,533,81,74,41,28,22,4,3,240,0,0,0,0,0,0,0,3,129,243,148,84,129,31,18,776
POA6058,18,42,37,28,34,3,0,159,0,3,3,4,3,0,3,11,0,0,0,0,0,0,0,3,30,80,59,53,86,18,11,336,3,4,0,3,4,3,0,26,3,13,4,0,3,0,0,22,9,16,10,5,4,3,0,47,37,94,66,62,88,15,13,380,87,70,38,25,21,3,0,244,4,7,3,0,0,0,0,7,133,169,106,85,115,18,16,631
POA6059,28,65,36,34,35,21,6,223,0,6,4,0,0,0,0,10,0,3,0,0,0,0,0,4,57,102,78,67,94,62,22,475,3,9,0,3,4,6,0,26,3,15,12,4,3,4,0,41,7,18,11,11,8,10,4,61,57,119,84,73,103,66,29,533,61,55,25,19,22,13,8,206,0,0,0,0,0,0,0,4,124,178,112,92,121,84,39,749
POA6060,31,49,42,27,36,20,8,216,3,0,3,3,0,0,0,9,3,0,0,0,4,0,0,10,54,95,67,63,85,64,22,440,3,7,8,4,6,0,0,24,8,9,4,0,3,0,0,23,6,11,11,4,12,0,0,47,63,104,76,68,92,62,23,481,86,58,17,13,20,8,10,202,0,3,0,0,0,0,0,5,144,169,92,88,110,73,28,694
POA6061,61,104,69,45,65,16,11,382,14,7,5,4,7,0,0,35,9,11,5,5,8,0,4,45,140,217,149,100,153,61,37,860,21,49,29,16,18,4,4,142,30,34,19,16,14,7,0,113,51,84,48,32,30,9,5,254,187,307,194,133,182,76,41,1110,268,218,133,75,90,31,32,849,10,12,7,3,5,0,0,43,466,534,341,214,273,109,72,2004
POA6062,38,87,62,50,70,36,18,356,3,3,0,0,0,0,0,10,0,3,0,3,0,0,0,14,83,163,116,106,158,90,42,761,3,7,7,5,9,4,3,44,13,19,8,6,6,5,0,61,15,29,21,14,17,13,3,100,98,195,140,114,177,100,45,864,108,77,63,36,38,15,16,349,0,0,3,0,0,0,0,7,206,271,197,152,218,112,59,1211
POA6063,15,40,31,20,35,12,3,164,6,3,8,3,0,0,0,25,0,0,0,0,0,0,0,14,39,66,59,61,81,37,14,348,5,3,0,7,6,0,0,31,4,7,7,4,7,0,0,25,11,10,8,10,9,3,4,58,50,79,66,64,93,41,13,404,94,65,38,28,26,10,7,263,8,4,3,3,0,0,0,16,149,142,107,95,122,50,19,679
POA6064,60,125,92,44,71,38,18,443,0,4,3,0,8,4,0,27,6,4,4,0,0,0,0,19,99,194,166,102,157,83,47,852,8,19,15,15,14,8,0,75,14,32,17,12,9,3,0,91,21,46,31,24,24,11,0,164,118,248,196,126,181,98,47,1016,191,202,101,93,87,37,23,730,6,9,3,0,0,0,0,26,322,461,295,216,272,136,69,1768
POA6065,104,222,137,79,116,37,24,718,12,8,4,0,3,0,4,32,3,10,9,7,3,3,0,29,173,379,265,185,299,115,53,1477,0,27,20,12,27,7,3,93,11,30,15,11,8,4,3,90,18,60,35,17,34,11,6,179,195,440,303,197,338,128,58,1658,215,167,83,45,66,25,15,615,3,10,4,0,0,0,0,17,412,614,389,249,409,152,74,2289
POA6066,38,71,55,39,59,23,13,310,4,3,0,0,0,0,0,11,4,0,4,0,0,5,0,15,78,126,101,83,123,65,34,611,8,12,11,6,5,9,3,52,4,8,11,5,8,3,0,43,8,24,18,11,19,11,3,94,86,150,123,94,140,76,35,706,93,97,64,36,43,21,16,373,3,0,0,0,0,0,0,7,177,244,190,134,184,98,51,1081
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
