region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6642,6,9,15,112,51,163,0,0,0,7,3,10,0,0,0,119,68,187,0,4,4,0,0,0,3,3,6,0,0,0,6,5,11,0,0,0,0,3,3,0,0,0,11,4,15,5,0,5,39,54,93,20,13,33,22,16,38,3,0,3,347,224,571,0,0,0,0,0,0,0,0,0,4,8,12,3,3,6,7,11,18,226,165,391,14,7,21,221,140,361,821,556,1377
POA6646,10,0,10,87,26,113,0,0,0,8,3,11,0,0,0,153,41,194,0,0,0,5,3,8,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,0,3,3,21,3,24,4,0,4,102,124,226,22,8,30,19,10,29,0,3,3,430,224,654,3,7,10,5,0,5,0,0,0,0,0,0,4,0,4,4,0,4,225,65,290,26,3,29,113,45,158,816,344,1160
POA6701,84,83,167,434,449,883,0,0,0,24,23,47,0,0,0,791,855,1646,59,62,121,8,14,22,24,30,54,3,4,7,7,12,19,0,0,0,8,10,18,16,19,35,74,37,111,4,4,8,7,13,20,82,69,151,60,70,130,3,0,3,1604,1671,3275,8,5,13,8,6,14,0,0,0,0,0,0,10,13,23,10,13,23,774,598,1372,35,25,60,440,423,863,2963,2824,5787
POA6705,0,0,0,12,11,23,0,0,0,0,4,4,0,0,0,15,9,24,7,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,3,6,0,3,3,0,3,3,0,0,0,43,43,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,61,129,0,0,0,25,9,34,136,113,249
POA6707,17,22,39,245,220,465,0,0,0,11,7,18,0,0,0,217,237,454,3,3,6,3,3,6,5,5,10,0,0,0,11,7,18,0,0,0,0,3,3,6,10,16,36,23,59,3,3,6,0,3,3,41,29,70,35,35,70,0,0,0,616,588,1204,3,4,7,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,469,378,847,21,3,24,156,110,266,1285,1108,2393
POA6710,26,12,38,238,101,339,0,0,0,18,4,22,0,0,0,325,92,417,6,5,11,8,3,11,3,3,6,4,0,4,8,3,11,0,0,0,3,3,6,6,0,6,43,15,58,7,0,7,0,0,0,45,15,60,29,14,43,0,3,3,743,261,1004,4,0,4,10,6,16,0,0,0,4,5,9,4,3,7,8,8,16,478,193,671,22,5,27,461,142,603,1752,627,2379
POA6713,5,8,13,105,71,176,0,0,0,4,10,14,0,0,0,127,122,249,0,0,0,3,0,3,3,3,6,0,0,0,3,3,6,0,0,0,3,0,3,3,0,3,15,12,27,0,0,0,0,0,0,7,14,21,13,12,25,0,0,0,286,247,533,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,239,196,435,21,3,24,134,120,254,688,577,1265
POA6714,143,108,251,1365,1070,2435,0,0,0,175,140,315,0,0,0,2211,1619,3830,18,16,34,55,36,91,24,31,55,42,35,77,62,33,95,0,0,0,14,17,31,51,36,87,188,111,299,21,22,43,23,25,48,231,208,439,199,189,388,28,22,50,4707,3610,8317,110,60,170,82,54,136,6,6,12,5,5,10,35,42,77,40,47,87,2945,1837,4782,112,46,158,2930,1430,4360,11075,7198,18273
POA6716,4,4,8,72,63,135,0,0,0,12,3,15,3,0,3,95,85,180,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,4,3,7,10,4,14,0,0,0,0,0,0,11,12,23,5,7,12,3,0,3,215,184,399,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,3,0,3,112,67,179,3,0,3,30,24,54,370,282,652
POA6718,0,0,0,50,37,87,0,0,0,0,3,3,0,0,0,49,43,92,4,11,15,3,0,3,0,3,3,0,3,3,3,0,3,0,0,0,0,0,0,3,3,6,4,4,8,3,0,3,0,0,0,7,6,13,42,49,91,0,0,0,168,162,330,0,0,0,0,0,0,0,0,0,8,3,11,3,3,6,11,6,17,165,141,306,11,11,22,74,63,137,429,383,812
